,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,410.00,413.00,399.00,400.00,-2.91,"24,776.00","10,012,206.00"
2,2,2021-07-04,430.00,430.00,410.00,412.00,-2.14,"55,485.00","23,140,376.00"
3,3,2021-07-01,410.00,429.00,404.00,421.00,4.73,"72,123.00","30,361,706.00"
4,4,2021-06-30,380.00,412.00,360.00,402.00,7.20,"55,178.00","20,854,576.00"
5,5,2021-06-29,384.00,415.00,365.00,375.00,-7.18,"64,961.00","24,920,377.00"
6,6,2021-06-28,425.00,425.00,401.00,404.00,-3.12,"24,052.00","9,787,656.00"
7,7,2021-06-27,416.00,430.00,408.00,417.00,-0.48,"21,028.00","8,744,672.00"
8,8,2021-06-24,412.00,440.00,412.00,419.00,-3.23,"28,871.00","12,288,171.00"
9,9,2021-06-23,460.00,465.00,430.00,433.00,-2.26,"52,667.00","23,478,882.00"
10,10,2021-06-22,418.00,445.00,400.00,443.00,8.05,"73,766.00","31,878,645.00"
11,11,2021-06-21,440.00,449.00,404.00,410.00,-5.31,"63,449.00","26,478,941.00"
12,12,2021-06-20,471.00,480.00,428.00,433.00,-8.84,"54,722.00","24,521,298.00"
13,13,2021-06-17,456.00,497.00,456.00,475.00,-1.04,"113,334.00","53,927,970.00"
14,14,2021-06-16,511.00,516.00,461.00,480.00,-6.25,"89,572.00","43,220,310.00"
15,15,2021-06-15,550.00,550.00,501.00,512.00,-6.57,"121,010.00","63,292,862.00"
16,16,2021-06-14,577.00,599.00,535.00,548.00,-0.36,"126,669.00","71,030,240.00"
17,17,2021-06-13,500.00,550.00,500.00,550.00,10.00,"186,380.00","100,400,295.00"
18,18,2021-06-10,482.00,506.00,454.00,500.00,5.71,"205,582.00","98,721,963.00"
19,19,2021-06-09,496.00,515.00,453.00,473.00,0.00,"141,620.00","67,167,606.00"
20,20,2021-06-08,440.00,473.00,440.00,473.00,10.00,"76,672.00","36,165,008.00"
21,21,2021-06-07,391.00,430.00,387.00,430.00,9.97,"193,632.00","81,053,072.00"
22,22,2021-06-06,400.00,400.00,372.00,391.00,-2.25,"92,004.00","35,254,133.00"
23,23,2021-06-03,390.00,411.00,366.00,400.00,5.26,"193,895.00","75,992,007.00"
24,24,2021-06-02,363.00,380.00,346.00,380.00,9.83,"151,855.00","56,139,442.00"
25,25,2021-06-01,350.00,351.00,335.00,346.00,0.29,"45,058.00","15,520,511.00"
26,26,2021-05-31,363.00,364.00,341.00,345.00,-3.63,"76,042.00","26,914,254.00"
27,27,2021-05-30,341.00,368.00,324.00,358.00,5.92,"115,554.00","40,485,331.00"
28,28,2021-05-27,344.00,344.00,317.00,338.00,3.05,"64,749.00","21,565,041.00"
29,29,2021-05-25,346.00,346.00,319.00,328.00,-0.61,"66,269.00","21,800,513.00"
30,30,2021-05-24,352.00,353.00,319.00,330.00,-1.79,"83,473.00","27,489,433.00"
31,31,2021-05-23,291.00,336.00,291.00,336.00,9.80,"198,596.00","64,269,865.00"
32,32,2021-05-20,292.00,316.00,286.00,306.00,6.25,"102,059.00","30,846,973.00"
33,33,2021-05-19,301.00,306.00,283.00,288.00,-4.32,"69,028.00","20,092,442.00"
34,34,2021-05-18,284.00,301.00,276.00,301.00,7.89,"138,923.00","40,952,735.00"
35,35,2021-05-17,284.00,285.00,275.00,279.00,-1.76,"33,526.00","9,300,930.00"
36,36,2021-05-16,278.00,288.00,275.00,284.00,4.03,"62,368.00","17,640,863.00"
37,37,2021-05-13,263.00,275.00,263.00,273.00,5.41,"78,819.00","21,259,011.00"
38,38,2021-05-12,254.00,270.00,251.00,259.00,2.37,"56,711.00","14,685,011.00"
39,39,2021-05-11,248.00,257.00,248.00,253.00,2.02,"11,260.00","2,841,968.00"
40,40,2021-05-10,247.00,248.00,245.00,248.00,0.81,"1,545.00","380,434.00"
41,41,2021-05-09,248.00,249.00,243.00,246.00,-2.38,"5,158.00","1,273,194.00"
42,42,2021-05-06,249.00,252.00,247.00,252.00,0.00,"2,430.00","604,939.00"
43,43,2021-05-05,250.00,257.00,250.00,252.00,0.00,"9,336.00","2,370,186.00"
44,44,2021-05-04,256.00,256.00,251.00,252.00,-0.40,"5,641.00","1,431,483.00"
45,45,2021-05-03,250.00,265.00,245.00,253.00,1.61,"18,593.00","4,711,609.00"
46,46,2021-05-02,245.00,252.00,241.00,249.00,3.32,"17,442.00","4,298,720.00"
47,47,2021-04-29,245.00,248.00,241.00,241.00,-2.82,"14,554.00","3,547,793.00"
48,48,2021-04-28,240.00,248.00,240.00,248.00,3.33,"9,458.00","2,303,692.00"
49,49,2021-04-27,245.00,252.00,240.00,240.00,2.56,"17,934.00","4,373,073.00"
50,50,2021-04-26,245.00,262.00,230.00,234.00,-6.40,"33,672.00","8,329,095.00"
51,51,2021-04-25,257.00,257.00,247.00,250.00,-2.72,"19,927.00","4,986,719.00"
52,52,2021-04-22,255.00,262.00,250.00,257.00,-1.15,"6,584.00","1,695,903.00"
53,53,2021-04-21,260.00,264.00,257.00,260.00,-1.89,"10,736.00","2,784,687.00"
54,54,2021-04-20,261.00,266.00,259.00,265.00,0.38,"15,624.00","4,126,186.00"
55,55,2021-04-19,262.00,267.00,260.00,264.00,0.76,"21,175.00","5,588,429.00"
56,56,2021-04-18,275.00,275.00,257.00,262.00,0.00,"11,464.00","3,015,696.00"
57,57,2021-04-15,261.00,276.00,260.00,262.00,1.95,"30,438.00","8,137,181.00"
58,58,2021-04-13,263.00,266.00,254.00,257.00,-3.38,"65,834.00","17,131,114.00"
