,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,"1,506.00","1,615.00","1,506.00","1,562.00",2.09,"13,251.00","20,910,834.00"
2,2,2021-07-01,"1,537.00","1,560.00","1,530.00","1,530.00",-0.33,"4,843.00","7,467,287.00"
3,3,2021-06-30,"1,530.00","1,560.00","1,524.00","1,535.00",-0.97,"4,645.00","7,152,870.00"
4,4,2021-06-29,"1,580.00","1,580.00","1,538.00","1,550.00",-1.27,"8,202.00","12,731,843.00"
5,5,2021-06-28,"1,595.00","1,618.00","1,550.00","1,570.00",0.38,"5,488.00","8,676,497.00"
6,6,2021-06-27,"1,610.00","1,611.00","1,555.00","1,564.00",-1.01,"7,877.00","12,357,843.00"
7,7,2021-06-24,"1,560.00","1,620.00","1,540.00","1,580.00",1.28,"12,409.00","19,590,352.00"
8,8,2021-06-23,"1,580.00","1,640.00","1,550.00","1,560.00",-1.27,"7,519.00","11,882,406.00"
9,9,2021-06-22,"1,575.00","1,614.00","1,550.00","1,580.00",0.57,"10,673.00","16,937,904.00"
10,10,2021-06-21,"1,620.00","1,620.00","1,570.00","1,571.00",-3.26,"11,763.00","18,724,702.00"
11,11,2021-06-20,"1,652.00","1,685.00","1,595.00","1,624.00",-1.69,"19,147.00","30,897,622.00"
12,12,2021-06-17,"1,690.00","1,690.00","1,645.00","1,652.00",-2.02,"14,691.00","24,429,574.00"
13,13,2021-06-16,"1,700.00","1,722.00","1,682.00","1,686.00",-2.09,"15,638.00","26,505,274.00"
14,14,2021-06-15,"1,817.00","1,817.00","1,685.00","1,722.00",-0.52,"35,695.00","61,006,252.00"
15,15,2021-06-14,"1,830.00","1,830.00","1,730.00","1,731.00",-1.98,"15,343.00","26,778,932.00"
16,16,2021-06-13,"1,751.00","1,795.00","1,751.00","1,766.00",-0.45,"22,848.00","40,524,737.00"
17,17,2021-06-10,"1,780.00","1,809.00","1,751.00","1,774.00",-0.34,"7,488.00","13,385,979.00"
18,18,2021-06-09,"1,819.00","1,820.00","1,766.00","1,780.00",-1.49,"15,950.00","28,552,835.00"
19,19,2021-06-08,"1,801.00","1,855.00","1,800.00","1,807.00",-0.82,"17,974.00","32,680,747.00"
20,20,2021-06-07,"1,845.00","1,858.00","1,812.00","1,822.00",-1.94,"10,395.00","19,042,985.00"
21,21,2021-06-06,"1,870.00","1,935.00","1,855.00","1,858.00",0.16,"36,654.00","69,465,042.00"
22,22,2021-06-03,"1,800.00","1,907.00","1,772.00","1,855.00",4.74,"41,121.00","76,691,546.00"
23,23,2021-06-02,"1,742.00","1,847.00","1,685.00","1,771.00",3.63,"22,971.00","39,715,576.00"
24,24,2021-06-01,"1,740.00","1,750.00","1,700.00","1,709.00",-2.29,"21,442.00","36,769,070.00"
25,25,2021-05-31,"1,771.00","1,800.00","1,748.00","1,749.00",-1.63,"26,427.00","46,625,309.00"
26,26,2021-05-30,"1,815.00","1,820.00","1,765.00","1,778.00",-0.95,"24,258.00","43,321,687.00"
27,27,2021-05-27,"1,816.00","1,819.00","1,790.00","1,795.00",-1.16,"16,765.00","30,192,257.00"
28,28,2021-05-25,"1,835.00","1,849.00","1,812.00","1,816.00",-0.82,"11,045.00","20,127,828.00"
29,29,2021-05-24,"1,823.00","1,850.00","1,822.00","1,831.00",-0.76,"16,326.00","30,055,148.00"
30,30,2021-05-23,"1,800.00","1,848.00","1,795.00","1,845.00",1.37,"16,148.00","29,438,480.00"
31,31,2021-05-20,"1,830.00","1,850.00","1,814.00","1,820.00",-1.52,"14,733.00","26,937,797.00"
32,32,2021-05-19,"1,855.00","1,900.00","1,845.00","1,848.00",-1.96,"9,015.00","16,823,605.00"
33,33,2021-05-18,"1,850.00","1,949.00","1,819.00","1,885.00",3.29,"21,722.00","40,951,218.00"
34,34,2021-05-17,"1,838.00","1,856.00","1,820.00","1,825.00",-0.71,"7,849.00","14,401,403.00"
35,35,2021-05-16,"1,820.00","1,850.00","1,801.00","1,838.00",0.99,"18,197.00","33,063,096.00"
36,36,2021-05-13,"1,836.00","1,850.00","1,819.00","1,820.00",-1.62,"18,252.00","33,424,727.00"
37,37,2021-05-12,"1,859.00","1,860.00","1,840.00","1,850.00",-0.48,"6,492.00","11,987,007.00"
38,38,2021-05-11,"1,856.00","1,879.00","1,832.00","1,859.00",0.76,"9,113.00","16,894,734.00"
39,39,2021-05-10,"1,803.00","1,872.00","1,800.00","1,845.00",0.82,"14,311.00","26,341,501.00"
40,40,2021-05-09,"1,851.00","1,869.00","1,825.00","1,830.00",-2.19,"19,029.00","34,985,561.00"
41,41,2021-05-06,"1,804.00","1,930.00","1,804.00","1,871.00",-1.42,"17,620.00","33,171,635.00"
42,42,2021-05-05,"1,911.00","1,949.00","1,898.00","1,898.00",-1.66,"17,812.00","34,111,276.00"
43,43,2021-05-04,"1,950.00","2,000.00","1,920.00","1,930.00",-1.98,"17,048.00","33,193,996.00"
44,44,2021-05-03,"1,900.00","2,050.00","1,900.00","1,969.00",-0.86,"19,189.00","38,394,541.00"
45,45,2021-05-02,"1,893.00","2,066.00","1,824.00","1,986.00",4.42,"48,659.00","91,898,411.00"
46,46,2021-04-29,"1,927.00","1,943.00","1,894.00","1,902.00",-1.30,"19,104.00","36,494,862.00"
47,47,2021-04-28,"1,960.00","1,990.00","1,911.00","1,927.00",-1.18,"13,540.00","26,294,805.00"
48,48,2021-04-27,"1,924.00","1,969.00","1,896.00","1,950.00",1.35,"16,883.00","32,852,867.00"
49,49,2021-04-26,"1,936.00","2,019.00","1,890.00","1,924.00",-1.59,"32,988.00","64,244,741.00"
50,50,2021-04-25,"2,093.00","2,093.00","1,941.00","1,955.00",-8.43,"54,284.00","108,769,698.00"
51,51,2021-04-22,"2,200.00","2,228.00","2,122.00","2,135.00",-2.29,"17,055.00","36,732,068.00"
52,52,2021-04-21,"2,196.00","2,280.00","2,160.00","2,185.00",-0.55,"16,027.00","35,429,755.00"
53,53,2021-04-20,"2,071.00","2,240.00","2,071.00","2,197.00",0.78,"34,463.00","74,570,201.00"
54,54,2021-04-19,"2,300.00","2,329.00","2,169.00","2,180.00",-9.51,"98,372.00","218,512,957.00"
55,55,2021-04-18,"2,490.00","2,520.00","2,409.00","2,409.00",-3.25,"38,573.00","93,992,451.00"
56,56,2021-04-15,"2,450.00","2,550.00","2,405.00","2,490.00",0.20,"33,584.00","83,617,354.00"
57,57,2021-04-13,"2,550.00","2,560.00","2,485.00","2,485.00",-2.63,"43,878.00","110,236,690.00"
58,58,2021-04-12,"2,675.00","2,675.00","2,532.00","2,552.00",-2.78,"55,263.00","142,746,491.00"
59,59,2021-04-08,"2,578.00","2,800.00","2,500.00","2,625.00",1.82,"84,315.00","224,411,844.00"
60,60,2021-04-07,"2,461.00","2,578.00","2,355.00","2,578.00",9.98,"58,262.00","148,528,528.00"
61,61,2021-04-06,"2,237.00","2,344.00","2,108.00","2,344.00",10.00,"56,311.00","129,057,098.00"
62,62,2021-04-05,"2,009.00","2,185.00","1,980.00","2,131.00",6.07,"72,510.00","151,892,196.00"
63,63,2021-04-04,"2,100.00","2,100.00","1,980.00","2,009.00",-2.00,"45,782.00","91,733,123.00"
64,64,2021-04-01,"2,120.00","2,120.00","2,037.00","2,050.00",-3.30,"34,884.00","72,097,828.00"
65,65,2021-03-31,"2,060.00","2,170.00","2,050.00","2,120.00",3.41,"31,955.00","67,379,324.00"
66,66,2021-03-30,"1,900.00","2,079.00","1,850.00","2,050.00",6.22,"84,925.00","162,313,755.00"
67,67,2021-03-29,"2,182.00","2,286.00","1,872.00","1,930.00",-7.17,"183,623.00","370,776,490.00"
68,68,2021-03-25,"1,984.00","2,079.00","1,984.00","2,079.00",10.00,"30,820.00","64,053,230.00"
69,69,2021-03-24,"1,804.00","1,890.00","1,804.00","1,890.00",9.95,"17,362.00","32,799,280.00"
70,70,2021-03-23,"1,641.00","1,719.00","1,641.00","1,719.00",9.98,"19,797.00","34,010,403.00"
71,71,2021-03-22,"1,492.00","1,563.00","1,492.00","1,563.00",9.99,"17,549.00","27,418,297.00"
72,72,2021-03-21,"1,356.00","1,421.00","1,356.00","1,421.00",9.98,"10,784.00","15,299,144.00"
73,73,2021-03-18,"1,233.00","1,292.00","1,233.00","1,292.00",9.96,"7,276.00","9,390,112.00"
74,74,2021-03-17,"1,122.00","1,175.00","1,122.00","1,175.00",9.92,"5,090.00","5,967,520.00"
75,75,2021-03-16,"1,020.00","1,069.00","1,020.00","1,069.00",9.98,"7,206.00","7,696,464.00"
76,76,2021-03-15,928.00,972.00,928.00,972.00,9.95,"4,377.00","4,249,434.00"
77,77,2021-03-14,844.00,884.00,844.00,884.00,9.95,"3,840.00","3,385,050.00"
78,78,2021-03-10,767.00,804.00,767.00,804.00,9.99,"2,130.00","1,711,100.00"
79,79,2021-03-09,698.00,731.00,698.00,731.00,9.92,"1,629.00","1,188,559.00"
80,80,2021-03-07,635.00,665.00,635.00,665.00,9.92,910.00,"603,035.00"
81,81,2021-03-04,577.00,605.00,577.00,605.00,10.00,716.00,"432,098.00"
82,82,2021-03-03,525.00,550.00,525.00,550.00,10.00,531.00,"291,063.00"
83,83,2021-03-02,459.00,500.00,459.00,500.00,9.89,205.00,"100,940.00"
84,84,2021-03-01,422.00,455.00,422.00,455.00,9.90,161.00,"71,894.00"
85,85,2021-02-28,395.00,414.00,395.00,414.00,9.81,150.00,"61,750.00"
86,86,2021-02-25,337.00,377.00,337.00,377.00,9.91,185.00,"68,265.00"
87,87,2021-02-24,297.00,343.00,295.00,343.00,9.94,190.00,"62,000.00"
88,88,2021-02-23,300.00,312.00,300.00,312.00,5.76,50.00,"15,420.00"
89,89,2021-02-22,280.00,295.00,280.00,295.00,9.67,50.00,"14,450.00"
90,90,2021-02-21,249.00,269.00,249.00,269.00,9.80,120.00,"31,740.00"
91,91,2021-02-18,229.00,245.00,229.00,245.00,8.89,50.00,"11,850.00"
92,92,2021-02-17,217.00,225.00,217.00,225.00,2.27,65.00,"14,285.00"
93,93,2021-02-16,204.00,220.00,204.00,220.00,10.00,100.00,"21,600.00"
94,94,2021-02-15,197.00,200.00,197.00,200.00,3.09,20.00,"3,970.00"
95,95,2021-02-14,191.00,194.00,191.00,194.00,3.19,20.00,"3,850.00"
96,96,2021-02-11,182.00,188.00,182.00,188.00,5.03,30.00,"5,550.00"
97,97,2021-02-10,179.00,179.00,179.00,179.00,1.70,20.00,"3,552.00"
98,98,2021-02-09,168.00,176.00,168.00,176.00,1.73,30.00,"5,189.00"
99,99,2021-02-08,159.00,173.00,159.00,173.00,5.49,50.00,"8,294.00"
100,100,2021-02-07,161.00,164.00,161.00,164.00,0.00,30.00,"4,860.00"
