,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,673.00,740.00,673.00,730.00,8.47,"119,920.00","86,204,805.00"
2,2,2021-07-01,618.00,673.00,605.00,673.00,9.97,"99,916.00","64,686,669.00"
3,3,2021-06-30,636.00,636.00,593.00,612.00,0.99,"54,720.00","32,930,152.00"
4,4,2021-06-29,564.00,606.00,564.00,606.00,5.76,"111,975.00","66,962,552.00"
5,5,2021-06-28,550.00,584.00,550.00,573.00,3.43,"57,409.00","32,915,110.00"
6,6,2021-06-27,571.00,571.00,550.00,554.00,-1.07,"31,521.00","17,522,031.00"
7,7,2021-06-24,559.00,574.00,545.00,560.00,2.00,"25,231.00","14,137,407.00"
8,8,2021-06-23,570.00,571.00,541.00,549.00,-3.68,"31,283.00","17,362,474.00"
9,9,2021-06-22,553.00,575.00,538.00,570.00,4.97,"34,588.00","19,450,618.00"
10,10,2021-06-21,586.00,586.00,542.00,543.00,-5.73,"31,528.00","17,551,215.00"
11,11,2021-06-20,597.00,620.00,566.00,576.00,-1.87,"49,245.00","28,990,858.00"
12,12,2021-06-17,630.00,630.00,571.00,587.00,-2.17,"37,984.00","22,358,777.00"
13,13,2021-06-16,607.00,652.00,585.00,600.00,-3.07,"84,442.00","50,949,776.00"
14,14,2021-06-15,614.00,643.00,548.00,619.00,5.81,"194,215.00","116,017,405.00"
15,15,2021-06-14,558.00,585.00,545.00,585.00,9.96,"113,066.00","65,444,087.00"
16,16,2021-06-13,489.00,532.00,482.00,532.00,9.92,"122,857.00","63,652,241.00"
17,17,2021-06-10,488.00,488.00,480.00,484.00,1.04,"20,685.00","10,005,279.00"
18,18,2021-06-09,477.00,489.00,477.00,479.00,0.42,"10,419.00","5,016,192.00"
19,19,2021-06-08,487.00,488.00,474.00,477.00,-0.63,"12,360.00","5,894,188.00"
20,20,2021-06-07,481.00,488.00,477.00,480.00,-0.83,"24,309.00","11,702,038.00"
21,21,2021-06-06,485.00,490.00,478.00,484.00,-1.63,"10,778.00","5,231,483.00"
22,22,2021-06-03,481.00,493.00,481.00,492.00,0.41,"11,732.00","5,720,219.00"
23,23,2021-06-02,481.00,492.00,472.00,490.00,1.87,"11,096.00","5,367,343.00"
24,24,2021-06-01,481.00,494.00,476.00,481.00,-1.03,"17,339.00","8,331,212.00"
25,25,2021-05-31,525.00,525.00,485.00,486.00,-2.80,"45,666.00","22,704,755.00"
26,26,2021-05-30,464.00,500.00,464.00,500.00,9.89,"97,025.00","47,798,360.00"
27,27,2021-05-27,455.00,463.00,451.00,455.00,0.00,"12,648.00","5,779,920.00"
28,28,2021-05-25,451.00,467.00,450.00,455.00,-0.66,"9,255.00","4,237,458.00"
29,29,2021-05-24,460.00,480.00,451.00,458.00,0.66,"16,029.00","7,461,131.00"
30,30,2021-05-23,451.00,460.00,434.00,455.00,-1.09,"15,621.00","6,997,044.00"
31,31,2021-05-20,487.00,487.00,452.00,460.00,-3.77,"19,647.00","9,168,490.00"
32,32,2021-05-19,485.00,508.00,471.00,478.00,3.46,"83,963.00","41,509,826.00"
33,33,2021-05-18,420.00,462.00,417.00,462.00,10.00,"33,491.00","15,193,593.00"
34,34,2021-05-17,413.00,425.00,405.00,420.00,0.72,"15,613.00","6,482,109.00"
35,35,2021-05-16,399.00,420.00,398.00,417.00,2.71,"7,623.00","3,140,726.00"
36,36,2021-05-13,408.00,409.00,401.00,406.00,-0.25,"10,722.00","4,328,054.00"
37,37,2021-05-12,404.00,408.00,403.00,407.00,0.74,"1,450.00","588,411.00"
38,38,2021-05-11,410.00,412.00,404.00,404.00,-0.25,"2,793.00","1,135,948.00"
39,39,2021-05-10,401.00,406.00,401.00,405.00,0.50,943.00,"382,137.00"
40,40,2021-05-09,400.00,408.00,400.00,403.00,-0.74,"4,439.00","1,793,043.00"
41,41,2021-05-06,403.00,409.00,400.00,406.00,-0.49,"3,943.00","1,600,548.00"
42,42,2021-05-05,415.00,415.00,407.00,408.00,-2.16,"5,563.00","2,286,142.00"
43,43,2021-05-04,417.00,417.00,409.00,417.00,1.71,868.00,"358,222.00"
44,44,2021-05-03,415.00,419.00,410.00,410.00,-0.97,803.00,"331,265.00"
45,45,2021-05-02,425.00,425.00,402.00,414.00,1.97,"5,329.00","2,209,955.00"
46,46,2021-04-29,403.00,411.00,403.00,406.00,0.00,"1,963.00","799,160.00"
47,47,2021-04-28,389.00,415.00,389.00,406.00,-0.73,"2,841.00","1,122,776.00"
48,48,2021-04-27,412.00,413.00,404.00,409.00,1.24,"4,523.00","1,848,366.00"
49,49,2021-04-26,406.00,420.00,401.00,404.00,-1.94,"5,492.00","2,255,690.00"
50,50,2021-04-25,440.00,440.00,410.00,412.00,-6.36,"6,677.00","2,805,981.00"
51,51,2021-04-22,435.00,445.00,433.00,440.00,2.09,"5,609.00","2,471,752.00"
52,52,2021-04-21,436.00,445.00,430.00,431.00,-2.05,"9,456.00","4,128,306.00"
