,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,280.00,289.00,277.00,277.00,0.73,"178,055.00","50,220,222.00"
2,2,2021-07-01,263.00,282.00,263.00,275.00,6.59,"150,679.00","41,204,619.00"
3,3,2021-06-30,270.00,270.00,251.00,258.00,-2.64,"71,496.00","18,358,242.00"
4,4,2021-06-29,267.00,277.00,262.00,265.00,-0.75,"72,233.00","19,387,700.00"
5,5,2021-06-28,265.00,279.00,262.00,267.00,0.00,"76,760.00","20,473,949.00"
6,6,2021-06-27,276.00,276.00,265.00,267.00,-1.48,"102,254.00","27,296,930.00"
7,7,2021-06-24,271.00,279.00,265.00,271.00,1.12,"102,293.00","27,722,176.00"
8,8,2021-06-23,287.00,287.00,266.00,268.00,-2.19,"85,623.00","23,313,474.00"
9,9,2021-06-22,260.00,281.00,260.00,274.00,5.38,"165,097.00","45,052,139.00"
10,10,2021-06-21,279.00,280.00,260.00,260.00,-5.80,"163,796.00","43,521,078.00"
11,11,2021-06-20,290.00,299.00,268.00,276.00,-3.83,"182,988.00","51,486,420.00"
12,12,2021-06-17,271.00,294.00,269.00,287.00,5.13,"212,860.00","60,119,872.00"
13,13,2021-06-16,285.00,298.00,272.00,273.00,-9.00,"411,881.00","115,317,113.00"
14,14,2021-06-15,306.00,321.00,292.00,300.00,2.74,"543,079.00","164,853,839.00"
15,15,2021-06-14,279.00,292.00,279.00,292.00,9.77,"68,961.00","20,119,912.00"
16,16,2021-06-13,254.00,266.00,245.00,266.00,9.92,"178,288.00","46,259,526.00"
17,17,2021-06-10,256.00,256.00,241.00,242.00,-0.82,"95,055.00","23,158,859.00"
18,18,2021-06-09,240.00,249.00,240.00,244.00,1.67,"110,174.00","27,027,572.00"
19,19,2021-06-08,244.00,244.00,238.00,240.00,0.00,"95,433.00","22,993,775.00"
20,20,2021-06-07,243.00,245.00,240.00,240.00,-0.41,"67,073.00","16,262,366.00"
21,21,2021-06-06,245.00,250.00,238.00,241.00,-1.23,"177,488.00","42,947,365.00"
22,22,2021-06-03,238.00,249.00,238.00,244.00,2.95,"221,161.00","54,056,770.00"
23,23,2021-06-02,232.00,237.00,226.00,237.00,2.16,"107,577.00","25,132,800.00"
24,24,2021-06-01,242.00,243.00,232.00,232.00,-3.33,"96,760.00","22,774,227.00"
25,25,2021-05-31,244.00,256.00,239.00,240.00,3.00,"282,754.00","69,835,959.00"
26,26,2021-05-30,216.00,233.00,216.00,233.00,9.91,"532,669.00","122,132,151.00"
27,27,2021-05-27,207.00,217.00,206.00,212.00,0.47,"90,794.00","19,195,613.00"
28,28,2021-05-25,217.00,217.00,210.00,211.00,-0.94,"51,902.00","11,007,037.00"
