,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,421.00,445.00,420.00,422.00,1.20,"132,175.00","56,840,516.00"
2,2,2021-07-01,400.00,419.00,395.00,417.00,6.11,"87,666.00","36,085,366.00"
3,3,2021-06-30,400.00,405.00,385.00,393.00,-1.50,"30,422.00","11,918,512.00"
4,4,2021-06-29,395.00,410.00,395.00,399.00,2.84,"111,934.00","44,973,590.00"
5,5,2021-06-28,394.00,398.00,383.00,388.00,0.26,"18,298.00","7,127,405.00"
6,6,2021-06-27,399.00,404.00,380.00,387.00,-1.28,"53,489.00","20,904,004.00"
7,7,2021-06-24,390.00,404.00,378.00,392.00,-0.76,"98,857.00","37,901,836.00"
8,8,2021-06-23,420.00,420.00,392.00,395.00,-3.66,"32,300.00","12,873,537.00"
9,9,2021-06-22,398.00,412.00,387.00,410.00,4.86,"37,211.00","15,074,383.00"
10,10,2021-06-21,408.00,410.00,383.00,391.00,-4.17,"51,015.00","20,111,777.00"
11,11,2021-06-20,408.00,430.00,394.00,408.00,2.00,"108,592.00","44,933,946.00"
12,12,2021-06-17,400.00,416.00,385.00,400.00,1.27,"37,378.00","14,918,130.00"
13,13,2021-06-16,416.00,418.00,385.00,395.00,-6.40,"73,195.00","29,239,633.00"
14,14,2021-06-15,441.00,455.00,382.00,422.00,0.48,"161,050.00","67,119,514.00"
15,15,2021-06-14,401.00,420.00,401.00,420.00,9.95,"43,875.00","18,405,010.00"
16,16,2021-06-13,354.00,382.00,353.00,382.00,9.77,"97,004.00","36,589,756.00"
17,17,2021-06-10,342.00,366.00,338.00,348.00,1.46,"34,451.00","11,971,260.00"
18,18,2021-06-09,338.00,355.00,338.00,343.00,0.88,"32,616.00","11,236,030.00"
19,19,2021-06-08,336.00,343.00,336.00,340.00,0.00,"33,781.00","11,477,674.00"
20,20,2021-06-07,340.00,345.00,337.00,340.00,0.00,"20,929.00","7,132,921.00"
21,21,2021-06-06,337.00,340.00,335.00,340.00,-0.29,"24,480.00","8,268,207.00"
22,22,2021-06-03,327.00,358.00,327.00,341.00,-0.87,"17,689.00","6,070,441.00"
23,23,2021-06-02,360.00,360.00,330.00,344.00,0.29,"12,505.00","4,260,449.00"
24,24,2021-06-01,360.00,360.00,337.00,343.00,0.00,"22,246.00","7,579,588.00"
25,25,2021-05-31,360.00,360.00,342.00,343.00,0.00,"56,482.00","19,766,963.00"
26,26,2021-05-30,325.00,354.00,325.00,343.00,6.52,"93,107.00","31,946,905.00"
27,27,2021-05-27,322.00,327.00,319.00,322.00,0.00,"12,936.00","4,161,388.00"
