,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,450.00,457.00,442.00,447.00,-0.22,"70,647.00","31,705,800.00"
2,2,2021-07-01,447.00,461.00,444.00,448.00,1.82,"147,760.00","66,648,229.00"
3,3,2021-06-30,442.00,450.00,428.00,440.00,-0.45,"143,353.00","62,523,019.00"
4,4,2021-06-29,483.00,483.00,441.00,442.00,-3.91,"153,798.00","68,859,371.00"
5,5,2021-06-28,487.00,487.00,456.00,460.00,-3.97,"151,504.00","70,556,570.00"
6,6,2021-06-27,497.00,497.00,475.00,479.00,-1.84,"112,115.00","54,229,539.00"
7,7,2021-06-24,520.00,520.00,478.00,488.00,-1.61,"146,599.00","71,773,775.00"
8,8,2021-06-23,509.00,518.00,486.00,496.00,-2.55,"274,580.00","137,233,117.00"
9,9,2021-06-22,470.00,509.00,466.00,509.00,7.61,"248,704.00","122,673,517.00"
10,10,2021-06-21,515.00,515.00,473.00,473.00,-4.83,"413,750.00","201,389,181.00"
11,11,2021-06-20,495.00,527.00,476.00,497.00,-4.24,"351,008.00","176,705,016.00"
12,12,2021-06-17,507.00,532.00,504.00,519.00,0.97,"439,239.00","227,548,913.00"
13,13,2021-06-16,513.00,542.00,493.00,514.00,-4.64,"665,062.00","344,045,004.00"
14,14,2021-06-15,547.00,569.00,535.00,539.00,-1.46,"629,984.00","345,580,361.00"
15,15,2021-06-14,580.00,590.00,540.00,547.00,-4.70,"1,121,286.00","625,993,917.00"
16,16,2021-06-13,552.00,578.00,506.00,574.00,9.13,"1,297,789.00","722,976,267.00"
17,17,2021-06-10,502.00,526.00,502.00,526.00,9.81,"417,987.00","219,572,869.00"
18,18,2021-06-09,440.00,479.00,429.00,479.00,9.86,"1,896,335.00","879,490,107.00"
19,19,2021-06-08,434.00,448.00,427.00,436.00,0.46,"408,195.00","179,026,473.00"
20,20,2021-06-07,404.00,445.00,404.00,434.00,2.12,"393,033.00","168,828,268.00"
21,21,2021-06-06,417.00,435.00,415.00,425.00,-2.97,"274,502.00","115,463,632.00"
22,22,2021-06-03,460.00,460.00,415.00,438.00,-1.57,"489,908.00","211,718,786.00"
23,23,2021-06-02,403.00,445.00,403.00,445.00,4.95,"263,100.00","113,621,265.00"
24,24,2021-06-01,428.00,440.00,412.00,424.00,-1.40,"271,733.00","115,948,457.00"
25,25,2021-05-31,439.00,475.00,416.00,430.00,-6.93,"555,576.00","238,267,103.00"
26,26,2021-05-30,495.00,495.00,441.00,462.00,-2.12,"540,710.00","253,223,801.00"
27,27,2021-05-27,444.00,480.00,424.00,472.00,6.31,"538,006.00","252,029,257.00"
28,28,2021-05-25,430.00,450.00,423.00,444.00,3.26,"299,198.00","131,233,861.00"
29,29,2021-05-24,402.00,430.00,390.00,430.00,7.50,"507,681.00","210,377,033.00"
30,30,2021-05-23,380.00,400.00,359.00,400.00,5.26,"542,953.00","207,231,186.00"
31,31,2021-05-20,380.00,390.00,363.00,380.00,0.80,"448,203.00","170,260,098.00"
32,32,2021-05-19,378.00,378.00,343.00,377.00,4.72,"388,243.00","137,232,745.00"
33,33,2021-05-18,329.00,361.00,329.00,360.00,9.42,"481,383.00","166,174,538.00"
34,34,2021-05-17,315.00,335.00,310.00,329.00,5.11,"374,126.00","119,618,948.00"
35,35,2021-05-16,320.00,320.00,305.00,313.00,0.00,"153,757.00","47,815,708.00"
36,36,2021-05-13,305.00,318.00,300.00,313.00,2.62,"309,426.00","97,037,281.00"
37,37,2021-05-12,302.00,305.00,300.00,305.00,0.00,"93,701.00","28,399,754.00"
38,38,2021-05-11,300.00,305.00,295.00,305.00,1.67,"91,210.00","27,405,670.00"
39,39,2021-05-10,302.00,302.00,294.00,300.00,-0.66,"64,296.00","19,132,437.00"
40,40,2021-05-09,315.00,315.00,293.00,302.00,-1.63,"178,533.00","53,922,197.00"
41,41,2021-05-06,314.00,320.00,305.00,307.00,-2.23,"214,153.00","66,081,164.00"
42,42,2021-05-05,321.00,321.00,300.00,314.00,2.61,"183,679.00","56,894,920.00"
43,43,2021-05-04,300.00,312.00,294.00,306.00,2.34,"404,290.00","122,746,568.00"
44,44,2021-05-03,305.00,308.00,290.00,299.00,-1.32,"362,571.00","106,573,807.00"
45,45,2021-05-02,290.00,303.00,283.00,303.00,5.21,"434,134.00","128,699,016.00"
46,46,2021-04-29,270.00,297.00,268.00,288.00,5.49,"486,535.00","138,386,260.00"
47,47,2021-04-28,270.00,279.00,259.00,273.00,1.11,"282,874.00","75,968,750.00"
48,48,2021-04-27,259.00,271.00,245.00,270.00,9.31,"211,308.00","54,656,813.00"
49,49,2021-04-26,248.00,255.00,237.00,247.00,-2.37,"186,608.00","46,313,401.00"
50,50,2021-04-25,262.00,262.00,250.00,253.00,-3.44,"99,132.00","25,044,269.00"
51,51,2021-04-22,275.00,275.00,255.00,262.00,0.00,"59,214.00","15,479,511.00"
52,52,2021-04-21,266.00,276.00,256.00,262.00,-1.50,"266,675.00","71,022,515.00"
53,53,2021-04-20,248.00,266.00,248.00,266.00,5.14,"97,413.00","24,974,778.00"
54,54,2021-04-19,268.00,268.00,250.00,253.00,-1.17,"92,979.00","23,437,617.00"
55,55,2021-04-18,265.00,265.00,254.00,256.00,-1.92,"109,384.00","28,102,641.00"
56,56,2021-04-15,265.00,265.00,258.00,261.00,0.38,"119,080.00","31,058,407.00"
57,57,2021-04-13,261.00,266.00,258.00,260.00,-0.38,"79,584.00","20,706,605.00"
58,58,2021-04-12,270.00,270.00,256.00,261.00,-1.14,"117,363.00","30,452,910.00"
59,59,2021-04-08,265.00,270.00,262.00,264.00,-1.12,"57,217.00","15,143,775.00"
60,60,2021-04-07,290.00,290.00,266.00,267.00,-3.61,"115,331.00","31,082,759.00"
61,61,2021-04-06,290.00,290.00,266.00,277.00,0.00,"167,831.00","46,246,722.00"
62,62,2021-04-05,275.00,280.00,271.00,277.00,1.84,"206,107.00","57,053,100.00"
63,63,2021-04-04,260.00,276.00,256.00,272.00,6.67,"316,925.00","85,356,234.00"
