,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,273.00,275.00,260.00,265.00,-2.21,"5,994.00","1,612,317.00"
2,2,2021-07-01,270.00,289.00,269.00,271.00,0.74,"7,161.00","1,977,646.00"
3,3,2021-06-30,283.00,283.00,254.00,269.00,-0.37,"13,431.00","3,495,814.00"
4,4,2021-06-29,274.00,282.00,266.00,270.00,-3.23,"11,676.00","3,200,878.00"
5,5,2021-06-28,285.00,290.00,276.00,279.00,-2.11,"12,432.00","3,486,926.00"
6,6,2021-06-27,290.00,292.00,280.00,285.00,-2.06,"14,963.00","4,297,581.00"
7,7,2021-06-24,297.00,302.00,281.00,291.00,-1.69,"22,854.00","6,664,587.00"
8,8,2021-06-23,298.00,308.00,290.00,296.00,4.23,"40,904.00","12,262,947.00"
9,9,2021-06-22,262.00,284.00,259.00,284.00,9.65,"27,770.00","7,729,032.00"
10,10,2021-06-21,280.00,280.00,259.00,259.00,-7.50,"21,518.00","5,771,407.00"
11,11,2021-06-20,302.00,305.00,279.00,280.00,-6.04,"31,542.00","9,181,968.00"
12,12,2021-06-17,279.00,315.00,264.00,298.00,1.71,"33,434.00","9,531,663.00"
13,13,2021-06-16,309.00,310.00,293.00,293.00,-9.85,"65,569.00","19,643,396.00"
14,14,2021-06-15,340.00,349.00,314.00,325.00,-2.99,"56,335.00","18,754,612.00"
15,15,2021-06-14,327.00,343.00,300.00,335.00,7.37,"93,202.00","30,296,149.00"
16,16,2021-06-13,298.00,312.00,281.00,312.00,9.86,"117,085.00","35,483,098.00"
17,17,2021-06-10,281.00,285.00,261.00,284.00,5.97,"74,711.00","20,459,316.00"
18,18,2021-06-09,287.00,287.00,255.00,268.00,-2.19,"33,740.00","9,040,804.00"
19,19,2021-06-08,262.00,279.00,262.00,274.00,5.38,"48,622.00","13,342,912.00"
20,20,2021-06-07,237.00,260.00,233.00,260.00,7.88,"38,768.00","9,842,204.00"
21,21,2021-06-06,250.00,250.00,235.00,241.00,-5.49,"51,222.00","12,247,237.00"
22,22,2021-06-03,265.00,270.00,248.00,255.00,-3.41,"38,232.00","9,916,781.00"
23,23,2021-06-02,260.00,270.00,241.00,264.00,3.13,"47,970.00","12,210,060.00"
