,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,439.00,440.00,426.00,427.00,-1.39,"96,041.00","41,556,479.00"
2,2,2021-07-01,430.00,440.00,425.00,433.00,1.88,"189,336.00","82,294,462.00"
3,3,2021-06-30,444.00,444.00,414.00,425.00,0.47,"161,003.00","67,504,331.00"
4,4,2021-06-29,432.00,448.00,421.00,423.00,-2.53,"138,501.00","59,272,524.00"
5,5,2021-06-28,448.00,448.00,433.00,434.00,-1.36,"115,388.00","50,381,228.00"
6,6,2021-06-27,445.00,453.00,436.00,440.00,0.92,"143,558.00","63,545,581.00"
7,7,2021-06-24,445.00,455.00,425.00,436.00,-0.23,"184,146.00","80,771,074.00"
8,8,2021-06-23,469.00,475.00,437.00,437.00,-5.00,"201,232.00","90,268,085.00"
9,9,2021-06-22,435.00,462.00,414.00,460.00,7.48,"328,726.00","146,762,535.00"
10,10,2021-06-21,470.00,470.00,427.00,428.00,-5.31,"341,219.00","149,227,971.00"
11,11,2021-06-20,478.00,481.00,441.00,452.00,-4.64,"325,637.00","149,437,575.00"
12,12,2021-06-17,475.00,490.00,460.00,474.00,-0.21,"284,274.00","135,404,361.00"
13,13,2021-06-16,471.00,510.00,460.00,475.00,-4.04,"512,685.00","246,250,148.00"
14,14,2021-06-15,514.00,517.00,493.00,495.00,-3.70,"525,578.00","264,329,582.00"
15,15,2021-06-14,553.00,553.00,503.00,514.00,-2.47,"772,074.00","399,658,523.00"
16,16,2021-06-13,505.00,530.00,493.00,527.00,7.55,"790,346.00","406,001,660.00"
17,17,2021-06-10,487.00,508.00,463.00,490.00,5.60,"606,929.00","291,778,186.00"
18,18,2021-06-09,458.00,476.00,445.00,464.00,2.65,"510,093.00","236,267,306.00"
19,19,2021-06-08,477.00,477.00,452.00,452.00,-0.66,"476,407.00","219,302,606.00"
20,20,2021-06-07,438.00,457.00,435.00,455.00,4.84,"392,597.00","175,342,408.00"
21,21,2021-06-06,440.00,441.00,424.00,434.00,-1.14,"349,036.00","150,379,257.00"
22,22,2021-06-03,452.00,464.00,435.00,439.00,-2.88,"333,442.00","148,418,409.00"
23,23,2021-06-02,456.00,459.00,430.00,452.00,3.91,"327,969.00","146,114,898.00"
24,24,2021-06-01,415.00,441.00,415.00,435.00,1.87,"366,669.00","158,426,740.00"
25,25,2021-05-31,431.00,470.00,421.00,427.00,-5.74,"606,893.00","266,748,656.00"
26,26,2021-05-30,486.00,486.00,443.00,453.00,-2.16,"1,012,079.00","469,263,790.00"
27,27,2021-05-27,415.00,463.00,412.00,463.00,9.98,"836,448.00","377,409,888.00"
28,28,2021-05-25,400.00,424.00,390.00,421.00,7.95,"825,687.00","338,337,589.00"
29,29,2021-05-24,390.00,397.00,385.00,390.00,0.26,"530,132.00","207,741,184.00"
30,30,2021-05-23,362.00,391.00,361.00,389.00,2.91,"397,528.00","152,757,399.00"
31,31,2021-05-20,377.00,382.00,373.00,378.00,-0.53,"310,631.00","117,289,287.00"
