,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,400.00,401.00,374.00,378.00,-2.83,"144,466.00","55,560,600.00"
2,2,2021-07-01,380.00,399.00,375.00,389.00,4.01,"300,261.00","117,201,308.00"
3,3,2021-06-30,372.00,381.00,357.00,374.00,0.54,"215,342.00","78,766,064.00"
4,4,2021-06-29,385.00,392.00,369.00,372.00,-3.88,"246,149.00","92,708,638.00"
5,5,2021-06-28,414.00,414.00,383.00,387.00,-2.03,"253,762.00","98,532,766.00"
6,6,2021-06-27,410.00,414.00,395.00,395.00,-1.74,"261,840.00","105,145,294.00"
7,7,2021-06-24,410.00,419.00,394.00,402.00,-1.71,"234,677.00","95,251,321.00"
8,8,2021-06-23,428.00,435.00,401.00,409.00,-4.22,"264,405.00","109,812,490.00"
9,9,2021-06-22,400.00,429.00,382.00,427.00,9.49,"364,146.00","148,516,384.00"
10,10,2021-06-21,418.00,426.00,388.00,390.00,-6.70,"521,902.00","209,833,697.00"
11,11,2021-06-20,435.00,444.00,405.00,418.00,-2.79,"456,901.00","193,859,810.00"
12,12,2021-06-17,430.00,446.00,405.00,430.00,1.65,"505,568.00","216,159,522.00"
13,13,2021-06-16,427.00,458.00,405.00,423.00,-5.79,"736,173.00","314,694,019.00"
14,14,2021-06-15,480.00,480.00,443.00,449.00,-5.47,"664,433.00","304,462,432.00"
15,15,2021-06-14,462.00,481.00,433.00,475.00,7.22,"1,191,290.00","548,697,650.00"
16,16,2021-06-13,420.00,446.00,410.00,443.00,7.79,"775,017.00","336,701,417.00"
17,17,2021-06-10,400.00,419.00,378.00,411.00,7.87,"1,107,296.00","445,886,115.00"
18,18,2021-06-09,380.00,402.00,364.00,381.00,1.60,"465,193.00","178,300,093.00"
19,19,2021-06-08,374.00,387.00,372.00,375.00,0.27,"364,804.00","138,106,921.00"
20,20,2021-06-07,345.00,379.00,345.00,374.00,7.16,"336,507.00","122,782,045.00"
21,21,2021-06-06,371.00,371.00,339.00,349.00,-3.32,"342,420.00","119,586,371.00"
22,22,2021-06-03,385.00,385.00,360.00,361.00,-3.99,"270,354.00","99,128,617.00"
23,23,2021-06-02,364.00,378.00,358.00,376.00,3.30,"334,985.00","124,188,628.00"
24,24,2021-06-01,366.00,376.00,359.00,364.00,0.00,"338,878.00","123,744,135.00"
25,25,2021-05-31,410.00,410.00,360.00,364.00,-6.91,"662,815.00","247,946,204.00"
26,26,2021-05-30,390.00,413.00,382.00,391.00,3.99,"1,006,857.00","401,342,890.00"
27,27,2021-05-27,345.00,376.00,334.00,376.00,9.94,"1,178,496.00","432,834,401.00"
28,28,2021-05-25,329.00,346.00,324.00,342.00,4.91,"448,920.00","151,190,329.00"
29,29,2021-05-24,330.00,334.00,323.00,326.00,0.31,"206,417.00","67,346,989.00"
30,30,2021-05-23,323.00,330.00,314.00,325.00,0.62,"320,245.00","103,205,448.00"
31,31,2021-05-20,327.00,329.00,319.00,323.00,-1.22,"232,982.00","75,370,581.00"
32,32,2021-05-19,346.00,346.00,317.00,327.00,-3.82,"364,917.00","119,555,357.00"
33,33,2021-05-18,330.00,342.00,316.00,340.00,7.94,"472,440.00","156,738,560.00"
34,34,2021-05-17,312.00,317.00,307.00,315.00,1.94,"290,584.00","90,387,315.00"
35,35,2021-05-16,315.00,315.00,307.00,309.00,-1.28,"240,542.00","74,304,974.00"
36,36,2021-05-13,318.00,320.00,311.00,313.00,-0.32,"234,461.00","73,504,341.00"
37,37,2021-05-12,300.00,315.00,300.00,314.00,6.08,"477,795.00","148,493,931.00"
38,38,2021-05-11,358.00,358.00,349.00,353.00,0.86,"577,295.00","202,370,381.00"
39,39,2021-05-10,346.00,355.00,346.00,350.00,0.29,"226,662.00","79,485,994.00"
40,40,2021-05-09,365.00,365.00,346.00,349.00,-2.79,"326,754.00","115,031,753.00"
41,41,2021-05-06,369.00,371.00,358.00,359.00,-2.18,"433,473.00","156,728,311.00"
42,42,2021-05-05,367.00,372.00,363.00,367.00,0.82,"496,544.00","182,717,889.00"
43,43,2021-05-04,375.00,375.00,360.00,364.00,-1.36,"401,848.00","146,767,674.00"
44,44,2021-05-03,343.00,380.00,343.00,369.00,2.22,"1,060,252.00","393,559,351.00"
45,45,2021-05-02,359.00,363.00,353.00,361.00,1.69,"209,419.00","75,297,177.00"
46,46,2021-04-29,355.00,358.00,348.00,355.00,0.28,"171,062.00","60,780,489.00"
47,47,2021-04-28,364.00,365.00,349.00,354.00,-1.94,"174,058.00","61,865,807.00"
48,48,2021-04-27,333.00,364.00,331.00,361.00,8.41,"335,355.00","117,784,471.00"
49,49,2021-04-26,340.00,349.00,330.00,333.00,-4.03,"319,389.00","107,797,680.00"
50,50,2021-04-25,365.00,365.00,345.00,347.00,-4.41,"302,408.00","105,741,347.00"
51,51,2021-04-22,383.00,383.00,357.00,363.00,-0.55,"254,262.00","92,294,993.00"
52,52,2021-04-21,335.00,378.00,335.00,365.00,3.69,"428,608.00","155,216,090.00"
53,53,2021-04-20,355.00,355.00,342.00,352.00,2.03,"242,039.00","84,604,277.00"
54,54,2021-04-19,345.00,353.00,343.00,345.00,-1.43,"199,489.00","68,965,212.00"
55,55,2021-04-18,355.00,358.00,346.00,350.00,0.00,"244,057.00","85,608,709.00"
56,56,2021-04-15,350.00,357.00,340.00,350.00,1.74,"370,351.00","130,125,682.00"
57,57,2021-04-13,328.00,349.00,328.00,344.00,4.88,"507,390.00","173,337,226.00"
58,58,2021-04-12,335.00,335.00,327.00,328.00,-0.30,"198,093.00","65,444,287.00"
59,59,2021-04-08,327.00,333.00,327.00,329.00,-0.30,"116,381.00","38,382,346.00"
60,60,2021-04-07,336.00,342.00,328.00,330.00,-1.20,"135,122.00","44,905,821.00"
61,61,2021-04-06,332.00,340.00,323.00,334.00,1.83,"247,582.00","82,573,351.00"
62,62,2021-04-05,343.00,343.00,324.00,328.00,-1.50,"203,847.00","67,006,534.00"
63,63,2021-04-04,345.00,349.00,331.00,333.00,-2.06,"234,391.00","78,897,127.00"
64,64,2021-04-01,322.00,349.00,322.00,340.00,5.92,"711,253.00","240,000,761.00"
65,65,2021-03-31,318.00,322.00,315.00,321.00,1.90,"244,068.00","77,853,835.00"
66,66,2021-03-30,315.00,318.00,311.00,315.00,0.96,"163,662.00","51,337,771.00"
67,67,2021-03-29,320.00,320.00,310.00,312.00,-1.27,"122,788.00","38,557,141.00"
68,68,2021-03-25,325.00,327.00,311.00,316.00,-1.86,"270,922.00","86,145,878.00"
69,69,2021-03-24,313.00,325.00,313.00,322.00,4.89,"529,911.00","170,152,308.00"
70,70,2021-03-23,296.00,315.00,295.00,307.00,3.72,"331,939.00","101,636,143.00"
71,71,2021-03-22,297.00,300.00,295.00,296.00,-0.34,"101,288.00","30,008,095.00"
72,72,2021-03-21,310.00,310.00,295.00,297.00,0.34,"123,237.00","36,802,095.00"
73,73,2021-03-18,310.00,310.00,295.00,296.00,0.00,"92,684.00","27,615,536.00"
74,74,2021-03-17,310.00,310.00,294.00,296.00,0.00,"89,995.00","26,659,746.00"
75,75,2021-03-16,293.00,305.00,292.00,296.00,0.00,"93,922.00","27,848,275.00"
76,76,2021-03-15,315.00,315.00,294.00,296.00,-1.33,"129,043.00","38,372,747.00"
77,77,2021-03-14,285.00,315.00,285.00,300.00,0.00,"235,012.00","71,279,320.00"
78,78,2021-03-10,276.00,308.00,276.00,300.00,3.45,"314,328.00","94,022,786.00"
79,79,2021-03-09,286.00,295.00,282.00,290.00,1.40,"205,109.00","59,736,977.00"
80,80,2021-03-07,290.00,295.00,283.00,286.00,-2.72,"141,475.00","40,696,449.00"
81,81,2021-03-04,288.00,295.00,286.00,294.00,3.16,"134,863.00","39,378,833.00"
82,82,2021-03-03,298.00,298.00,279.00,285.00,-1.04,"133,903.00","37,965,493.00"
83,83,2021-03-02,302.00,305.00,284.00,288.00,-4.32,"183,361.00","53,454,608.00"
84,84,2021-03-01,293.00,303.00,286.00,301.00,3.08,"260,043.00","77,551,518.00"
85,85,2021-02-28,326.00,326.00,292.00,292.00,-6.11,"310,140.00","92,478,755.00"
86,86,2021-02-25,315.00,325.00,309.00,311.00,-1.27,"377,271.00","117,915,219.00"
