,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,513.00,553.00,513.00,532.00,-1.30,"18,188.00","9,799,505.00"
2,2,2021-07-01,565.00,565.00,525.00,539.00,-0.37,"27,461.00","14,930,324.00"
3,3,2021-06-30,490.00,564.00,490.00,541.00,5.46,"99,220.00","53,651,304.00"
4,4,2021-06-29,503.00,540.00,503.00,513.00,-2.84,"20,925.00","10,917,653.00"
5,5,2021-06-28,545.00,549.00,510.00,528.00,-1.31,"45,843.00","24,101,243.00"
6,6,2021-06-27,502.00,560.00,502.00,535.00,1.33,"36,899.00","20,013,907.00"
7,7,2021-06-24,581.00,581.00,528.00,528.00,-4.69,"29,404.00","15,808,682.00"
8,8,2021-06-23,544.00,586.00,532.00,554.00,-3.15,"49,650.00","27,339,971.00"
9,9,2021-06-22,520.00,572.00,500.00,572.00,10.00,"68,100.00","36,712,508.00"
10,10,2021-06-21,512.00,529.00,488.00,520.00,1.56,"80,122.00","40,257,452.00"
11,11,2021-06-20,550.00,570.00,512.00,512.00,-8.73,"59,633.00","31,756,422.00"
12,12,2021-06-17,530.00,573.00,525.00,561.00,0.72,"61,505.00","33,717,864.00"
13,13,2021-06-16,570.00,612.00,551.00,557.00,-7.17,"121,998.00","70,160,146.00"
14,14,2021-06-15,677.00,677.00,598.00,600.00,-6.98,"125,498.00","76,354,994.00"
15,15,2021-06-14,625.00,645.00,580.00,645.00,4.20,"251,172.00","152,086,930.00"
16,16,2021-06-13,590.00,625.00,568.00,619.00,4.92,"322,335.00","194,431,745.00"
17,17,2021-06-10,563.00,590.00,561.00,590.00,9.87,"136,700.00","80,428,667.00"
18,18,2021-06-09,513.00,537.00,513.00,537.00,9.82,"188,436.00","100,932,307.00"
19,19,2021-06-08,460.00,489.00,460.00,489.00,9.89,"189,235.00","91,578,573.00"
20,20,2021-06-07,441.00,450.00,425.00,445.00,4.95,"117,730.00","51,826,075.00"
21,21,2021-06-06,448.00,448.00,418.00,424.00,-1.17,"98,662.00","42,042,422.00"
22,22,2021-06-03,452.00,453.00,428.00,429.00,-4.88,"67,357.00","29,272,169.00"
23,23,2021-06-02,420.00,459.00,420.00,451.00,5.62,"40,936.00","18,059,112.00"
24,24,2021-06-01,423.00,448.00,407.00,427.00,0.47,"76,293.00","32,770,658.00"
25,25,2021-05-31,490.00,490.00,425.00,425.00,-9.57,"208,794.00","91,788,302.00"
26,26,2021-05-30,513.00,513.00,463.00,470.00,-6.56,"183,959.00","88,367,496.00"
27,27,2021-05-27,487.00,532.00,466.00,503.00,3.50,"120,258.00","59,855,204.00"
28,28,2021-05-25,460.00,486.00,440.00,486.00,9.95,"104,058.00","49,038,371.00"
29,29,2021-05-24,422.00,442.00,405.00,442.00,9.95,"76,584.00","33,536,750.00"
30,30,2021-05-23,360.00,402.00,352.00,402.00,9.84,"145,274.00","56,422,506.00"
31,31,2021-05-20,357.00,377.00,350.00,366.00,2.52,"113,327.00","40,760,934.00"
32,32,2021-05-19,375.00,382.00,351.00,357.00,-4.29,"159,005.00","57,693,862.00"
33,33,2021-05-18,373.00,386.00,357.00,373.00,4.78,"87,792.00","32,833,301.00"
34,34,2021-05-17,324.00,356.00,324.00,356.00,9.88,"195,468.00","68,527,413.00"
35,35,2021-05-16,300.00,324.00,285.00,324.00,9.83,"206,713.00","63,829,857.00"
36,36,2021-05-13,283.00,298.00,280.00,295.00,4.24,"162,716.00","47,561,947.00"
37,37,2021-05-12,279.00,290.00,265.00,283.00,5.20,"107,576.00","30,284,308.00"
38,38,2021-05-11,275.00,275.00,265.00,269.00,-2.18,"34,296.00","9,275,226.00"
39,39,2021-05-10,260.00,275.00,257.00,275.00,3.77,"41,164.00","10,893,384.00"
40,40,2021-05-09,284.00,284.00,261.00,265.00,-5.02,"54,714.00","14,612,382.00"
41,41,2021-05-06,284.00,287.00,260.00,279.00,2.95,"144,155.00","39,848,223.00"
42,42,2021-05-05,245.00,271.00,245.00,271.00,9.72,"162,667.00","42,496,476.00"
43,43,2021-05-04,255.00,255.00,239.00,247.00,1.65,"39,775.00","9,730,420.00"
44,44,2021-05-03,243.00,251.00,240.00,243.00,0.41,"25,900.00","6,350,198.00"
