,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,528.00,528.00,514.00,516.00,-0.39,"76,293.00","39,665,213.00"
2,2,2021-07-01,510.00,525.00,497.00,518.00,3.60,"328,552.00","166,031,760.00"
3,3,2021-06-30,500.00,505.00,492.00,500.00,-0.99,"52,559.00","26,155,121.00"
4,4,2021-06-29,524.00,524.00,502.00,505.00,-1.75,"51,414.00","26,127,062.00"
5,5,2021-06-28,551.00,551.00,512.00,514.00,-2.10,"79,810.00","41,665,929.00"
6,6,2021-06-27,523.00,548.00,509.00,525.00,5.21,"243,182.00","127,834,509.00"
7,7,2021-06-24,504.00,514.00,493.00,499.00,-0.99,"63,254.00","31,710,505.00"
8,8,2021-06-23,518.00,527.00,499.00,504.00,-1.75,"67,660.00","34,264,125.00"
9,9,2021-06-22,492.00,521.00,486.00,513.00,4.48,"91,086.00","46,089,837.00"
10,10,2021-06-21,516.00,522.00,490.00,491.00,-5.21,"121,491.00","60,978,309.00"
11,11,2021-06-20,540.00,544.00,512.00,518.00,-2.81,"77,201.00","40,613,526.00"
12,12,2021-06-17,520.00,546.00,510.00,533.00,2.50,"202,682.00","107,676,697.00"
13,13,2021-06-16,537.00,546.00,511.00,520.00,-3.17,"132,434.00","69,164,299.00"
14,14,2021-06-15,562.00,562.00,533.00,537.00,-2.54,"107,917.00","58,482,681.00"
15,15,2021-06-14,590.00,590.00,537.00,551.00,-1.96,"200,607.00","112,138,394.00"
16,16,2021-06-13,533.00,575.00,533.00,562.00,4.27,"292,609.00","161,562,505.00"
17,17,2021-06-10,550.00,550.00,524.00,539.00,2.47,"166,560.00","88,576,221.00"
18,18,2021-06-09,550.00,550.00,518.00,526.00,0.38,"105,328.00","55,795,337.00"
19,19,2021-06-08,546.00,546.00,520.00,524.00,0.77,"133,968.00","70,306,258.00"
20,20,2021-06-07,542.00,542.00,515.00,520.00,0.58,"166,792.00","87,062,285.00"
21,21,2021-06-06,525.00,533.00,512.00,517.00,-1.52,"124,851.00","64,625,530.00"
22,22,2021-06-03,567.00,567.00,522.00,525.00,-2.78,"202,203.00","107,448,928.00"
23,23,2021-06-02,525.00,547.00,515.00,540.00,4.85,"198,193.00","105,364,176.00"
24,24,2021-06-01,500.00,539.00,500.00,515.00,-0.77,"174,019.00","90,622,525.00"
25,25,2021-05-31,560.00,571.00,515.00,519.00,-6.99,"441,099.00","235,935,138.00"
26,26,2021-05-30,550.00,578.00,530.00,558.00,6.08,"730,116.00","412,857,001.00"
27,27,2021-05-27,479.00,526.00,479.00,526.00,9.81,"502,918.00","259,119,207.00"
28,28,2021-05-25,464.00,480.00,462.00,479.00,2.79,"226,789.00","106,720,224.00"
29,29,2021-05-24,465.00,475.00,460.00,466.00,2.19,"171,888.00","80,530,620.00"
30,30,2021-05-23,450.00,461.00,437.00,456.00,-0.22,"111,064.00","50,586,968.00"
31,31,2021-05-20,450.00,474.00,441.00,457.00,0.66,"158,192.00","72,622,940.00"
32,32,2021-05-19,492.00,492.00,445.00,454.00,-3.20,"314,999.00","146,559,934.00"
33,33,2021-05-18,448.00,469.00,427.00,469.00,9.84,"431,480.00","196,321,403.00"
34,34,2021-05-17,444.00,444.00,421.00,427.00,0.71,"66,624.00","28,286,607.00"
35,35,2021-05-16,422.00,429.00,419.00,424.00,1.68,"112,208.00","47,369,052.00"
36,36,2021-05-13,413.00,419.00,412.00,417.00,0.97,"62,439.00","26,046,319.00"
37,37,2021-05-12,420.00,422.00,413.00,413.00,-0.72,"59,327.00","24,627,787.00"
38,38,2021-05-11,410.00,423.00,408.00,416.00,0.48,"123,321.00","51,257,071.00"
39,39,2021-05-10,418.00,418.00,410.00,414.00,0.00,"17,651.00","7,293,257.00"
40,40,2021-05-09,414.00,417.00,412.00,414.00,-0.72,"30,710.00","12,697,362.00"
41,41,2021-05-06,421.00,423.00,415.00,417.00,-1.18,"51,624.00","21,557,241.00"
42,42,2021-05-05,431.00,431.00,418.00,422.00,-0.24,"23,625.00","9,983,194.00"
43,43,2021-05-04,425.00,426.00,418.00,423.00,-0.47,"27,141.00","11,448,010.00"
44,44,2021-05-03,405.00,437.00,405.00,425.00,-0.23,"73,222.00","31,005,558.00"
45,45,2021-05-02,431.00,438.00,415.00,426.00,3.65,"129,267.00","55,303,364.00"
46,46,2021-04-29,397.00,413.00,397.00,411.00,1.48,"34,239.00","14,035,091.00"
47,47,2021-04-28,405.00,410.00,400.00,405.00,-0.98,"34,864.00","14,098,922.00"
48,48,2021-04-27,398.00,409.00,398.00,409.00,2.76,"25,453.00","10,292,433.00"
49,49,2021-04-26,400.00,413.00,397.00,398.00,-2.45,"50,711.00","20,415,474.00"
50,50,2021-04-25,420.00,420.00,406.00,408.00,-2.63,"44,594.00","18,290,274.00"
51,51,2021-04-22,411.00,423.00,411.00,419.00,0.48,"45,815.00","19,119,772.00"
52,52,2021-04-21,416.00,425.00,413.00,417.00,-0.71,"34,936.00","14,523,038.00"
53,53,2021-04-20,415.00,425.00,415.00,420.00,0.24,"28,046.00","11,785,655.00"
54,54,2021-04-19,419.00,427.00,417.00,419.00,-0.95,"37,100.00","15,636,039.00"
55,55,2021-04-18,430.00,430.00,419.00,423.00,-0.94,"46,840.00","19,767,485.00"
56,56,2021-04-15,420.00,431.00,420.00,427.00,0.47,"45,025.00","19,172,015.00"
57,57,2021-04-13,420.00,428.00,416.00,425.00,1.19,"50,957.00","21,500,423.00"
58,58,2021-04-12,420.00,427.00,412.00,420.00,-0.47,"53,453.00","22,451,755.00"
59,59,2021-04-08,427.00,431.00,420.00,422.00,-2.31,"73,559.00","31,140,346.00"
60,60,2021-04-07,460.00,465.00,429.00,432.00,-3.36,"136,136.00","60,099,779.00"
61,61,2021-04-06,415.00,449.00,404.00,447.00,9.29,"367,903.00","160,273,767.00"
62,62,2021-04-05,415.00,415.00,405.00,409.00,-0.24,"37,712.00","15,379,163.00"
63,63,2021-04-04,406.00,414.00,406.00,410.00,0.74,"62,574.00","25,679,736.00"
64,64,2021-04-01,410.00,411.00,403.00,407.00,0.74,"56,035.00","22,841,924.00"
65,65,2021-03-31,409.00,410.00,403.00,404.00,0.00,"25,733.00","10,401,717.00"
66,66,2021-03-30,385.00,412.00,385.00,404.00,0.00,"29,497.00","11,997,198.00"
67,67,2021-03-29,405.00,409.00,397.00,404.00,-0.74,"35,405.00","14,261,358.00"
68,68,2021-03-25,408.00,415.00,402.00,407.00,-0.25,"50,104.00","20,398,703.00"
69,69,2021-03-24,410.00,416.00,405.00,408.00,0.74,"70,113.00","28,647,147.00"
70,70,2021-03-23,396.00,413.00,396.00,405.00,2.27,"118,024.00","47,970,444.00"
71,71,2021-03-22,393.00,400.00,392.00,396.00,0.76,"22,486.00","8,880,915.00"
72,72,2021-03-21,411.00,411.00,388.00,393.00,0.26,"20,878.00","8,201,743.00"
73,73,2021-03-18,408.00,408.00,391.00,392.00,0.77,"15,459.00","6,095,953.00"
74,74,2021-03-17,386.00,394.00,383.00,389.00,0.26,"11,690.00","4,569,673.00"
75,75,2021-03-16,387.00,393.00,386.00,388.00,0.00,"14,073.00","5,462,534.00"
76,76,2021-03-15,389.00,393.00,387.00,388.00,-0.51,"26,208.00","10,223,191.00"
77,77,2021-03-14,392.00,396.00,389.00,390.00,-0.51,"18,671.00","7,299,077.00"
78,78,2021-03-10,394.00,399.00,392.00,392.00,-0.51,"14,977.00","5,911,413.00"
79,79,2021-03-09,393.00,398.00,392.00,394.00,-1.50,"13,960.00","5,504,116.00"
80,80,2021-03-07,393.00,412.00,393.00,400.00,0.00,"23,884.00","9,549,363.00"
81,81,2021-03-04,393.00,400.00,389.00,400.00,3.36,"42,349.00","16,688,289.00"
82,82,2021-03-03,392.00,395.00,387.00,387.00,-1.78,"37,667.00","14,688,503.00"
83,83,2021-03-02,397.00,400.00,392.00,394.00,-0.76,"36,994.00","14,576,113.00"
84,84,2021-03-01,390.00,402.00,390.00,397.00,0.76,"24,846.00","9,837,290.00"
85,85,2021-02-28,405.00,405.00,393.00,394.00,-1.50,"42,617.00","16,902,146.00"
86,86,2021-02-25,410.00,410.00,400.00,400.00,-0.99,"29,632.00","11,935,360.00"
