,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,665.00,665.00,654.00,656.00,-0.61,"31,398.00","20,650,343.00"
2,2,2021-07-01,658.00,670.00,654.00,660.00,0.61,"94,543.00","62,399,504.00"
3,3,2021-06-30,670.00,670.00,639.00,656.00,-0.61,"78,842.00","51,105,589.00"
4,4,2021-06-29,682.00,682.00,654.00,660.00,-1.64,"104,596.00","69,036,657.00"
5,5,2021-06-28,675.00,682.00,666.00,671.00,-0.15,"94,279.00","63,196,131.00"
6,6,2021-06-27,709.00,709.00,669.00,672.00,-0.59,"63,625.00","43,074,103.00"
7,7,2021-06-24,672.00,690.00,666.00,676.00,-0.15,"67,105.00","45,552,501.00"
8,8,2021-06-23,695.00,701.00,670.00,677.00,-2.03,"82,924.00","56,812,546.00"
9,9,2021-06-22,687.00,700.00,665.00,691.00,2.52,"84,697.00","58,009,864.00"
10,10,2021-06-21,705.00,708.00,670.00,674.00,-3.02,"128,247.00","87,296,088.00"
11,11,2021-06-20,715.00,719.00,695.00,695.00,-3.34,"147,208.00","103,476,926.00"
12,12,2021-06-17,750.00,750.00,705.00,719.00,0.56,"119,166.00","86,113,459.00"
13,13,2021-06-16,700.00,735.00,700.00,715.00,-1.38,"209,027.00","149,891,555.00"
14,14,2021-06-15,742.00,742.00,721.00,725.00,-2.42,"132,450.00","96,604,587.00"
15,15,2021-06-14,760.00,785.00,730.00,743.00,-1.20,"228,516.00","171,353,676.00"
16,16,2021-06-13,720.00,759.00,720.00,752.00,4.59,"314,191.00","233,124,678.00"
17,17,2021-06-10,743.00,743.00,703.00,719.00,1.55,"170,845.00","122,424,754.00"
18,18,2021-06-09,748.00,748.00,701.00,708.00,-0.70,"132,306.00","93,657,081.00"
19,19,2021-06-08,743.00,743.00,706.00,713.00,0.71,"142,704.00","102,256,036.00"
20,20,2021-06-07,741.00,741.00,701.00,708.00,0.28,"129,893.00","91,977,833.00"
21,21,2021-06-06,750.00,750.00,698.00,706.00,-1.26,"141,096.00","99,349,051.00"
22,22,2021-06-03,725.00,744.00,710.00,715.00,-1.38,"158,135.00","114,104,028.00"
23,23,2021-06-02,707.00,729.00,699.00,725.00,2.55,"214,365.00","153,915,181.00"
24,24,2021-06-01,712.00,721.00,696.00,707.00,-1.12,"203,686.00","143,817,055.00"
25,25,2021-05-31,782.00,782.00,712.00,715.00,-4.03,"288,333.00","208,656,074.00"
26,26,2021-05-30,778.00,781.00,734.00,745.00,-0.80,"457,903.00","348,623,583.00"
27,27,2021-05-27,700.00,768.00,681.00,751.00,6.52,"500,899.00","370,311,996.00"
28,28,2021-05-25,664.00,717.00,664.00,705.00,1.29,"195,797.00","138,681,509.00"
29,29,2021-05-24,656.00,720.00,656.00,696.00,0.87,"120,297.00","84,217,565.00"
30,30,2021-05-23,675.00,699.00,668.00,690.00,0.88,"165,404.00","113,706,927.00"
31,31,2021-05-20,700.00,700.00,680.00,684.00,-2.29,"140,428.00","96,479,545.00"
32,32,2021-05-19,720.00,720.00,686.00,700.00,-1.55,"225,586.00","157,093,893.00"
33,33,2021-05-18,721.00,721.00,686.00,711.00,3.49,"243,310.00","172,688,630.00"
34,34,2021-05-17,695.00,699.00,684.00,687.00,0.00,"156,923.00","108,216,680.00"
35,35,2021-05-16,650.00,695.00,648.00,687.00,7.34,"333,179.00","225,804,521.00"
36,36,2021-05-13,638.00,650.00,638.00,640.00,0.63,"54,320.00","34,939,172.00"
37,37,2021-05-12,635.00,641.00,632.00,636.00,-0.47,"41,168.00","26,165,794.00"
38,38,2021-05-11,634.00,644.00,634.00,639.00,0.79,"36,880.00","23,584,939.00"
39,39,2021-05-10,640.00,640.00,628.00,634.00,0.48,"26,397.00","16,791,184.00"
40,40,2021-05-09,632.00,642.00,630.00,631.00,-0.79,"43,412.00","27,605,616.00"
41,41,2021-05-06,650.00,658.00,632.00,636.00,-1.85,"45,712.00","29,237,947.00"
42,42,2021-05-05,640.00,651.00,636.00,648.00,0.93,"50,042.00","32,337,835.00"
43,43,2021-05-04,640.00,647.00,637.00,642.00,0.47,"65,049.00","41,622,681.00"
44,44,2021-05-03,683.00,683.00,638.00,639.00,-1.84,"82,837.00","53,689,605.00"
45,45,2021-05-02,631.00,655.00,628.00,651.00,3.17,"94,371.00","60,928,431.00"
46,46,2021-04-29,652.00,652.00,616.00,631.00,1.61,"62,057.00","38,970,862.00"
47,47,2021-04-28,635.00,635.00,613.00,621.00,-1.27,"29,188.00","18,199,450.00"
48,48,2021-04-27,580.00,630.00,580.00,629.00,3.11,"53,487.00","33,221,073.00"
49,49,2021-04-26,611.00,629.00,602.00,610.00,-1.45,"79,184.00","48,418,698.00"
50,50,2021-04-25,635.00,642.00,615.00,619.00,-3.58,"86,718.00","54,092,900.00"
51,51,2021-04-22,635.00,642.00,634.00,642.00,0.63,"42,936.00","27,330,127.00"
52,52,2021-04-21,638.00,650.00,635.00,638.00,-0.93,"61,182.00","39,127,600.00"
53,53,2021-04-20,644.00,655.00,635.00,644.00,0.00,"69,941.00","44,992,594.00"
54,54,2021-04-19,642.00,653.00,635.00,644.00,0.00,"71,966.00","46,455,079.00"
55,55,2021-04-18,650.00,653.00,644.00,644.00,-1.68,"63,124.00","40,883,831.00"
56,56,2021-04-15,668.00,668.00,650.00,655.00,0.00,"79,400.00","52,086,776.00"
57,57,2021-04-13,661.00,674.00,644.00,655.00,0.92,"87,270.00","56,896,743.00"
58,58,2021-04-12,672.00,672.00,646.00,649.00,-3.13,"166,421.00","109,216,513.00"
59,59,2021-04-08,700.00,700.00,664.00,670.00,-1.62,"114,625.00","77,481,963.00"
60,60,2021-04-07,700.00,710.00,676.00,681.00,-0.15,"322,277.00","223,300,890.00"
61,61,2021-04-06,630.00,682.00,620.00,682.00,10.00,"466,588.00","311,063,955.00"
62,62,2021-04-05,615.00,626.00,610.00,620.00,0.81,"131,301.00","81,180,389.00"
63,63,2021-04-04,619.00,640.00,586.00,615.00,4.24,"180,499.00","110,281,462.00"
64,64,2021-04-01,618.00,618.00,585.00,590.00,0.17,"76,436.00","45,129,761.00"
65,65,2021-03-31,624.00,624.00,580.00,589.00,-1.01,"36,363.00","21,379,389.00"
66,66,2021-03-30,570.00,608.00,564.00,595.00,4.39,"69,872.00","40,948,300.00"
67,67,2021-03-29,578.00,578.00,565.00,570.00,0.00,"21,466.00","12,243,881.00"
68,68,2021-03-25,616.00,616.00,570.00,570.00,-2.90,"38,455.00","22,133,882.00"
69,69,2021-03-24,600.00,600.00,584.00,587.00,-1.01,"67,343.00","39,700,733.00"
70,70,2021-03-23,575.00,595.00,564.00,593.00,4.22,"126,091.00","73,854,416.00"
71,71,2021-03-22,551.00,592.00,540.00,569.00,5.18,"66,610.00","36,704,374.00"
72,72,2021-03-21,550.00,550.00,536.00,541.00,-0.37,"38,736.00","20,977,572.00"
73,73,2021-03-18,543.00,551.00,542.00,543.00,0.00,"19,627.00","10,709,859.00"
74,74,2021-03-17,532.00,545.00,532.00,543.00,1.12,"16,690.00","9,041,484.00"
75,75,2021-03-16,539.00,547.00,534.00,537.00,-0.37,"23,389.00","12,572,265.00"
76,76,2021-03-15,541.00,544.00,537.00,539.00,-1.46,"31,884.00","17,228,411.00"
77,77,2021-03-14,550.00,555.00,545.00,547.00,-0.91,"40,660.00","22,291,603.00"
78,78,2021-03-10,550.00,559.00,550.00,552.00,-0.54,"23,648.00","13,082,447.00"
79,79,2021-03-09,555.00,563.00,550.00,555.00,-0.72,"34,344.00","19,108,966.00"
80,80,2021-03-07,554.00,572.00,551.00,559.00,-0.53,"19,987.00","11,206,305.00"
81,81,2021-03-04,542.00,586.00,535.00,562.00,3.69,"47,701.00","26,596,978.00"
82,82,2021-03-03,555.00,555.00,537.00,542.00,-1.45,"33,658.00","18,224,978.00"
83,83,2021-03-02,568.00,568.00,542.00,550.00,-1.79,"39,056.00","21,449,642.00"
84,84,2021-03-01,558.00,569.00,549.00,560.00,0.36,"46,742.00","26,122,012.00"
85,85,2021-02-28,575.00,575.00,557.00,558.00,-2.62,"88,154.00","49,954,223.00"
86,86,2021-02-25,571.00,582.00,569.00,573.00,-1.04,"48,054.00","27,573,573.00"
87,87,2021-02-24,590.00,598.00,575.00,579.00,-0.86,"40,132.00","23,469,225.00"
88,88,2021-02-23,584.00,587.00,566.00,584.00,0.00,"51,255.00","29,514,098.00"
89,89,2021-02-22,588.00,604.00,584.00,584.00,-0.34,"87,328.00","51,635,463.00"
90,90,2021-02-21,582.00,592.00,577.00,586.00,0.69,"62,039.00","36,440,182.00"
91,91,2021-02-18,585.00,589.00,577.00,582.00,0.00,"65,262.00","37,839,330.00"
92,92,2021-02-17,575.00,590.00,575.00,582.00,-0.68,"31,524.00","18,404,284.00"
93,93,2021-02-16,600.00,601.00,582.00,586.00,-2.17,"38,023.00","22,307,303.00"
94,94,2021-02-15,587.00,604.00,577.00,599.00,3.99,"52,137.00","30,719,041.00"
95,95,2021-02-14,585.00,585.00,576.00,576.00,-1.03,"45,736.00","26,508,850.00"
96,96,2021-02-11,590.00,597.00,582.00,582.00,-1.69,"47,910.00","28,084,556.00"
97,97,2021-02-10,599.00,600.00,588.00,592.00,-2.63,"68,890.00","40,890,922.00"
98,98,2021-02-09,625.00,625.00,601.00,608.00,-1.94,"51,318.00","31,249,922.00"
99,99,2021-02-08,632.00,642.00,613.00,620.00,-0.16,"101,386.00","63,303,731.00"
100,100,2021-02-07,589.00,622.00,589.00,621.00,5.25,"274,193.00","168,010,059.00"
101,101,2021-02-04,584.00,595.00,584.00,590.00,0.85,"43,860.00","25,885,023.00"
102,102,2021-02-03,590.00,595.00,577.00,585.00,0.86,"78,292.00","46,016,273.00"
103,103,2021-02-02,586.00,587.00,573.00,580.00,0.69,"59,693.00","34,560,901.00"
104,104,2021-02-01,569.00,588.00,569.00,576.00,1.23,"32,434.00","18,736,101.00"
105,105,2021-01-31,580.00,580.00,564.00,569.00,-2.07,"55,976.00","31,912,308.00"
106,106,2021-01-28,595.00,597.00,581.00,581.00,-1.02,"35,282.00","20,637,483.00"
107,107,2021-01-27,598.00,598.00,586.00,587.00,-0.84,"32,789.00","19,301,059.00"
108,108,2021-01-26,595.00,601.00,586.00,592.00,-0.17,"72,249.00","42,709,573.00"
109,109,2021-01-25,592.00,599.00,586.00,593.00,0.17,"55,764.00","33,070,662.00"
110,110,2021-01-24,600.00,613.00,592.00,592.00,-0.17,"77,520.00","46,359,827.00"
111,111,2021-01-21,595.00,595.00,580.00,593.00,0.85,"52,994.00","31,135,009.00"
112,112,2021-01-20,565.00,604.00,565.00,588.00,2.62,"52,483.00","30,314,495.00"
113,113,2021-01-19,584.00,585.00,570.00,573.00,-1.38,"40,451.00","23,241,651.00"
114,114,2021-01-18,588.00,590.00,580.00,581.00,-1.36,"29,496.00","17,222,596.00"
115,115,2021-01-17,597.00,597.00,583.00,589.00,-0.51,"120,910.00","71,218,390.00"
116,116,2021-01-13,593.00,605.00,591.00,592.00,0.17,"104,274.00","61,997,055.00"
117,117,2021-01-12,600.00,600.00,585.00,591.00,-0.17,"60,404.00","35,825,892.00"
118,118,2021-01-11,595.00,605.00,590.00,592.00,0.51,"115,331.00","68,955,749.00"
119,119,2021-01-10,570.00,596.00,563.00,589.00,5.18,"165,988.00","95,917,459.00"
120,120,2021-01-07,535.00,570.00,530.00,560.00,4.67,"456,566.00","247,945,422.00"
121,121,2021-01-06,569.00,569.00,530.00,535.00,-1.29,"59,430.00","31,770,755.00"
122,122,2021-01-05,540.00,555.00,526.00,542.00,1.31,"58,066.00","31,379,662.00"
123,123,2021-01-04,530.00,545.00,520.00,535.00,1.71,"106,558.00","56,943,570.00"
124,124,2021-01-03,494.00,530.00,494.00,526.00,5.62,"96,591.00","49,749,068.00"
125,125,2020-12-31,497.00,510.00,495.00,498.00,1.22,"60,113.00","30,007,682.00"
126,126,2020-12-30,491.00,495.00,486.00,492.00,-0.61,"23,310.00","11,437,231.00"
127,127,2020-12-29,500.00,502.00,491.00,495.00,-1.00,"16,742.00","8,326,114.00"
128,128,2020-12-28,495.00,506.00,490.00,500.00,0.60,"24,036.00","11,985,684.00"
129,129,2020-12-27,530.00,530.00,496.00,497.00,-1.58,"25,644.00","12,896,156.00"
130,130,2020-12-24,510.00,510.00,502.00,505.00,-0.79,"20,004.00","10,099,980.00"
131,131,2020-12-23,542.00,542.00,505.00,509.00,-1.55,"28,357.00","14,500,651.00"
132,132,2020-12-22,510.00,525.00,499.00,517.00,3.40,"34,294.00","17,494,549.00"
133,133,2020-12-21,486.00,504.00,460.00,500.00,1.01,"65,308.00","31,717,898.00"
134,134,2020-12-20,525.00,529.00,495.00,495.00,-6.25,"68,169.00","34,971,150.00"
135,135,2020-12-17,535.00,545.00,525.00,528.00,0.57,"50,137.00","26,775,933.00"
136,136,2020-12-16,535.00,539.00,525.00,525.00,-2.96,"54,345.00","28,887,210.00"
137,137,2020-12-15,559.00,560.00,540.00,541.00,-3.05,"65,191.00","35,547,726.00"
138,138,2020-12-14,598.00,598.00,555.00,558.00,-2.11,"54,691.00","30,589,099.00"
139,139,2020-12-13,630.00,640.00,620.00,627.00,0.80,"243,368.00","152,815,825.00"
140,140,2020-12-10,635.00,639.00,618.00,622.00,-0.80,"169,808.00","105,617,659.00"
141,141,2020-12-09,659.00,662.00,620.00,627.00,-3.54,"110,491.00","69,717,658.00"
142,142,2020-12-08,673.00,673.00,629.00,650.00,1.40,"228,967.00","148,757,134.00"
143,143,2020-12-07,620.00,643.00,587.00,641.00,5.08,"87,073.00","53,998,806.00"
144,144,2020-12-06,661.00,661.00,610.00,610.00,-6.87,"83,959.00","52,783,100.00"
145,145,2020-12-03,702.00,720.00,645.00,655.00,-2.09,"155,485.00","104,800,719.00"
146,146,2020-12-02,621.00,669.00,610.00,669.00,9.85,"260,731.00","163,495,592.00"
147,147,2020-12-01,632.00,640.00,606.00,609.00,-1.77,"190,152.00","116,927,118.00"
148,148,2020-11-30,613.00,635.00,608.00,620.00,3.16,"134,768.00","83,156,790.00"
149,149,2020-11-29,565.00,601.00,565.00,601.00,6.37,"194,171.00","114,404,928.00"
150,150,2020-11-26,540.00,573.00,540.00,565.00,5.41,"185,054.00","104,092,684.00"
151,151,2020-11-25,520.00,555.00,517.00,536.00,4.08,"130,451.00","69,862,502.00"
152,152,2020-11-24,517.00,522.00,514.00,515.00,0.00,"63,692.00","32,938,560.00"
153,153,2020-11-23,516.00,521.00,515.00,515.00,-1.53,"32,859.00","17,038,291.00"
154,154,2020-11-22,530.00,530.00,516.00,523.00,-0.38,"41,453.00","21,641,818.00"
155,155,2020-11-19,516.00,525.00,516.00,525.00,1.55,"40,170.00","20,852,668.00"
156,156,2020-11-18,515.00,519.00,515.00,517.00,-0.39,"16,681.00","8,632,760.00"
157,157,2020-11-12,520.00,530.00,518.00,519.00,0.00,"44,849.00","23,330,804.00"
158,158,2020-11-11,515.00,524.00,515.00,519.00,0.39,"37,433.00","19,459,451.00"
159,159,2020-11-10,515.00,519.00,514.00,517.00,0.19,"21,314.00","11,001,790.00"
160,160,2020-11-09,517.00,520.00,514.00,516.00,-0.19,"49,735.00","25,677,405.00"
161,161,2020-11-08,510.00,519.00,510.00,517.00,0.58,"58,057.00","29,835,844.00"
162,162,2020-11-05,515.00,516.00,510.00,514.00,-0.39,"29,933.00","15,335,974.00"
163,163,2020-11-04,511.00,519.00,511.00,516.00,0.39,"12,398.00","6,388,379.00"
164,164,2020-11-03,517.00,518.00,511.00,514.00,0.19,"7,283.00","3,733,710.00"
165,165,2020-11-02,519.00,522.00,510.00,513.00,-0.19,"29,884.00","15,377,459.00"
166,166,2020-11-01,538.00,538.00,508.00,514.00,0.19,"23,675.00","12,201,652.00"
167,167,2020-10-29,525.00,525.00,509.00,513.00,-1.16,"25,791.00","13,223,458.00"
168,168,2020-10-28,520.00,521.00,509.00,519.00,0.00,"41,648.00","21,279,150.00"
169,169,2020-10-22,546.00,546.00,515.00,519.00,-0.19,"11,575.00","5,991,728.00"
170,170,2020-10-21,520.00,524.00,517.00,520.00,-0.76,"10,351.00","5,374,426.00"
