,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,412.00,428.00,410.00,424.00,0.95,"23,423.00","9,777,967.00"
2,2,2021-07-01,409.00,438.00,409.00,420.00,0.96,"22,811.00","9,672,766.00"
3,3,2021-06-30,404.00,424.00,390.00,416.00,0.97,"35,271.00","14,254,820.00"
4,4,2021-06-29,450.00,450.00,407.00,412.00,-3.96,"20,998.00","8,704,490.00"
5,5,2021-06-28,439.00,444.00,423.00,429.00,-2.94,"25,268.00","10,838,296.00"
6,6,2021-06-27,449.00,455.00,439.00,442.00,-1.12,"32,288.00","14,407,881.00"
7,7,2021-06-24,460.00,464.00,439.00,447.00,-1.76,"39,476.00","17,733,361.00"
8,8,2021-06-23,431.00,468.00,428.00,455.00,6.56,"144,121.00","64,026,243.00"
9,9,2021-06-22,396.00,427.00,392.00,427.00,9.77,"58,106.00","24,170,741.00"
10,10,2021-06-21,423.00,423.00,387.00,389.00,-7.60,"54,952.00","22,010,426.00"
11,11,2021-06-20,440.00,455.00,399.00,421.00,-4.32,"53,420.00","22,307,704.00"
12,12,2021-06-17,456.00,473.00,411.00,440.00,-3.51,"88,503.00","37,996,165.00"
13,13,2021-06-16,496.00,520.00,456.00,456.00,-9.88,"94,745.00","44,670,981.00"
14,14,2021-06-15,550.00,550.00,496.00,506.00,-7.66,"50,635.00","26,563,338.00"
15,15,2021-06-14,525.00,576.00,508.00,548.00,4.58,"124,830.00","66,415,886.00"
16,16,2021-06-13,500.00,524.00,482.00,524.00,9.85,"160,720.00","81,562,391.00"
17,17,2021-06-10,415.00,477.00,415.00,477.00,9.91,"169,745.00","79,309,768.00"
18,18,2021-06-09,458.00,458.00,420.00,434.00,-0.69,"95,258.00","41,712,639.00"
19,19,2021-06-08,406.00,438.00,394.00,437.00,9.52,"137,391.00","58,686,867.00"
20,20,2021-06-07,371.00,415.00,371.00,399.00,5.56,"64,440.00","25,754,919.00"
21,21,2021-06-06,413.00,413.00,371.00,378.00,-4.06,"47,998.00","18,175,154.00"
22,22,2021-06-03,416.00,419.00,387.00,394.00,-3.43,"37,906.00","15,155,446.00"
23,23,2021-06-02,380.00,409.00,373.00,408.00,4.62,"39,301.00","15,468,241.00"
24,24,2021-06-01,397.00,405.00,380.00,390.00,-2.50,"67,819.00","26,559,432.00"
