,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,262.00,273.00,260.00,265.00,-0.75,"16,327.00","4,337,708.00"
2,2,2021-07-01,263.00,272.00,262.00,267.00,3.49,"18,855.00","5,032,216.00"
3,3,2021-06-30,257.00,262.00,236.00,258.00,-1.53,"32,451.00","8,137,390.00"
4,4,2021-06-29,274.00,275.00,260.00,262.00,-4.38,"22,196.00","5,906,838.00"
5,5,2021-06-28,282.00,282.00,271.00,274.00,-1.08,"27,005.00","7,413,687.00"
6,6,2021-06-27,284.00,294.00,277.00,277.00,-0.72,"27,984.00","7,868,586.00"
7,7,2021-06-24,278.00,295.00,272.00,279.00,-1.06,"33,282.00","9,385,214.00"
8,8,2021-06-23,294.00,306.00,279.00,282.00,-2.42,"41,149.00","11,931,135.00"
9,9,2021-06-22,263.00,289.00,255.00,289.00,9.89,"59,290.00","16,529,480.00"
10,10,2021-06-21,273.00,278.00,251.00,263.00,-3.66,"42,243.00","11,139,229.00"
11,11,2021-06-20,289.00,295.00,261.00,273.00,-5.54,"46,621.00","12,952,069.00"
12,12,2021-06-17,288.00,306.00,262.00,289.00,0.35,"75,110.00","21,203,044.00"
13,13,2021-06-16,304.00,304.00,288.00,288.00,-9.72,"114,670.00","33,537,119.00"
14,14,2021-06-15,330.00,346.00,310.00,319.00,-2.45,"86,617.00","27,922,584.00"
15,15,2021-06-14,317.00,332.00,295.00,327.00,8.28,"178,033.00","57,179,152.00"
16,16,2021-06-13,288.00,302.00,265.00,302.00,9.82,"215,758.00","63,368,072.00"
17,17,2021-06-10,256.00,275.00,251.00,275.00,7.42,"154,661.00","41,337,930.00"
18,18,2021-06-09,269.00,271.00,249.00,256.00,-3.03,"55,393.00","14,292,958.00"
19,19,2021-06-08,263.00,270.00,258.00,264.00,5.18,"105,438.00","27,998,851.00"
20,20,2021-06-07,229.00,251.00,221.00,251.00,9.61,"82,632.00","20,362,777.00"
21,21,2021-06-06,244.00,244.00,226.00,229.00,-6.91,"88,807.00","20,410,244.00"
