,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,287.00,290.00,279.00,284.00,-2.41,"6,082.00","1,737,240.00"
2,2,2021-07-01,296.00,302.00,290.00,291.00,-0.34,"4,503.00","1,323,437.00"
3,3,2021-06-30,276.00,306.00,261.00,292.00,4.66,"12,276.00","3,339,042.00"
4,4,2021-06-29,290.00,304.00,278.00,279.00,-5.10,"10,422.00","2,989,587.00"
5,5,2021-06-28,305.00,305.00,293.00,294.00,-2.00,"11,272.00","3,346,120.00"
6,6,2021-06-27,306.00,319.00,299.00,300.00,-1.96,"13,777.00","4,216,222.00"
7,7,2021-06-24,303.00,324.00,303.00,306.00,-3.47,"14,829.00","4,567,025.00"
8,8,2021-06-23,313.00,322.00,294.00,317.00,6.02,"38,591.00","12,037,839.00"
9,9,2021-06-22,272.00,299.00,268.00,299.00,9.93,"12,463.00","3,605,867.00"
10,10,2021-06-21,290.00,295.00,268.00,272.00,-7.80,"26,926.00","7,525,924.00"
11,11,2021-06-20,314.00,316.00,288.00,295.00,-7.81,"29,477.00","8,853,828.00"
12,12,2021-06-17,318.00,335.00,294.00,320.00,-1.23,"38,875.00","12,125,746.00"
13,13,2021-06-16,342.00,350.00,324.00,324.00,-9.75,"59,978.00","19,749,589.00"
14,14,2021-06-15,369.00,387.00,335.00,359.00,1.99,"106,226.00","38,700,093.00"
15,15,2021-06-14,336.00,352.00,336.00,352.00,10.00,"39,973.00","14,042,786.00"
16,16,2021-06-13,300.00,320.00,294.00,320.00,9.97,"74,449.00","23,116,412.00"
17,17,2021-06-10,270.00,294.00,265.00,291.00,6.99,"51,651.00","14,547,270.00"
18,18,2021-06-09,282.00,282.00,267.00,272.00,-2.86,"17,918.00","4,910,560.00"
19,19,2021-06-08,270.00,283.00,270.00,280.00,4.09,"30,981.00","8,664,389.00"
20,20,2021-06-07,243.00,270.00,243.00,269.00,8.91,"34,715.00","9,063,045.00"
21,21,2021-06-06,247.00,258.00,235.00,247.00,-5.00,"35,460.00","8,677,518.00"
22,22,2021-06-03,267.00,277.00,260.00,260.00,-4.41,"31,757.00","8,398,504.00"
23,23,2021-06-02,263.00,277.00,244.00,272.00,1.49,"51,052.00","13,239,968.00"
24,24,2021-06-01,265.00,282.00,260.00,268.00,-3.60,"22,902.00","6,211,908.00"
25,25,2021-05-31,300.00,306.00,270.00,278.00,-6.71,"66,172.00","18,666,047.00"
26,26,2021-05-30,280.00,298.00,275.00,298.00,9.96,"122,538.00","36,164,569.00"
27,27,2021-05-27,259.00,271.00,250.00,271.00,9.72,"39,493.00","10,469,177.00"
28,28,2021-05-25,221.00,247.00,221.00,247.00,9.78,"70,202.00","16,878,915.00"
29,29,2021-05-24,240.00,240.00,224.00,225.00,-1.75,"32,936.00","7,560,796.00"
30,30,2021-05-23,219.00,234.00,211.00,229.00,4.57,"33,090.00","7,398,855.00"
31,31,2021-05-20,222.00,226.00,211.00,219.00,-2.23,"31,624.00","6,898,425.00"
32,32,2021-05-19,242.00,246.00,218.00,224.00,-3.03,"53,397.00","12,358,004.00"
33,33,2021-05-18,220.00,231.00,215.00,231.00,10.00,"58,994.00","13,435,477.00"
34,34,2021-05-17,207.00,214.00,200.00,210.00,2.94,"42,283.00","8,739,531.00"
35,35,2021-05-16,210.00,210.00,198.00,204.00,-3.77,"48,287.00","9,816,074.00"
36,36,2021-05-13,205.00,212.00,190.00,212.00,8.16,"69,342.00","14,434,848.00"
37,37,2021-05-12,182.00,201.00,180.00,196.00,6.52,"54,427.00","10,517,566.00"
38,38,2021-05-11,183.00,188.00,179.00,184.00,1.10,"24,858.00","4,527,164.00"
39,39,2021-05-10,179.00,182.00,176.00,182.00,0.00,"15,920.00","2,868,365.00"
40,40,2021-05-09,189.00,189.00,172.00,182.00,-3.70,"32,066.00","5,849,755.00"
41,41,2021-05-06,194.00,199.00,175.00,189.00,2.16,"52,800.00","10,027,476.00"
42,42,2021-05-05,172.00,185.00,172.00,185.00,9.47,"85,641.00","15,568,382.00"
43,43,2021-05-04,163.00,180.00,163.00,169.00,3.05,"27,375.00","4,650,719.00"
44,44,2021-05-03,168.00,169.00,164.00,164.00,-1.20,"13,580.00","2,262,470.00"
45,45,2021-05-02,156.00,168.00,156.00,166.00,1.22,"20,246.00","3,355,429.00"
46,46,2021-04-29,166.00,166.00,161.00,164.00,0.00,"5,060.00","827,270.00"
47,47,2021-04-28,171.00,177.00,153.00,164.00,0.61,"8,266.00","1,381,749.00"
48,48,2021-04-27,149.00,164.00,149.00,163.00,4.49,"11,553.00","1,852,009.00"
49,49,2021-04-26,158.00,164.00,156.00,156.00,-3.11,"13,861.00","2,228,100.00"
50,50,2021-04-25,162.00,169.00,160.00,161.00,-2.42,"19,595.00","3,205,512.00"
51,51,2021-04-22,159.00,166.00,158.00,165.00,1.85,"15,101.00","2,460,810.00"
52,52,2021-04-21,164.00,165.00,161.00,162.00,-1.22,"8,188.00","1,331,589.00"
53,53,2021-04-20,161.00,164.00,160.00,164.00,0.61,"7,360.00","1,188,145.00"
54,54,2021-04-19,162.00,165.00,160.00,163.00,-1.21,"3,418.00","558,827.00"
55,55,2021-04-18,162.00,166.00,162.00,165.00,0.61,"8,942.00","1,470,690.00"
56,56,2021-04-15,162.00,171.00,162.00,164.00,-0.61,"16,431.00","2,701,947.00"
57,57,2021-04-13,163.00,166.00,161.00,165.00,1.23,"13,720.00","2,257,062.00"
58,58,2021-04-12,166.00,171.00,162.00,163.00,-0.61,"24,308.00","4,028,062.00"
59,59,2021-04-08,161.00,166.00,159.00,164.00,1.86,"10,035.00","1,621,561.00"
60,60,2021-04-07,173.00,173.00,160.00,161.00,-3.01,"12,994.00","2,125,971.00"
61,61,2021-04-06,167.00,173.00,160.00,166.00,3.75,"27,149.00","4,481,423.00"
62,62,2021-04-05,172.00,172.00,158.00,160.00,-2.44,"5,967.00","955,379.00"
63,63,2021-04-04,156.00,166.00,153.00,164.00,4.46,"24,693.00","3,949,510.00"
64,64,2021-04-01,151.00,163.00,151.00,157.00,1.95,"13,746.00","2,156,138.00"
65,65,2021-03-31,155.00,158.00,153.00,154.00,-1.28,"10,601.00","1,638,946.00"
66,66,2021-03-30,158.00,158.00,155.00,156.00,0.65,"6,595.00","1,029,045.00"
67,67,2021-03-29,155.00,157.00,154.00,155.00,-1.90,"4,855.00","750,917.00"
68,68,2021-03-25,164.00,167.00,156.00,158.00,-1.86,"9,376.00","1,502,874.00"
69,69,2021-03-24,163.00,168.00,157.00,161.00,-1.23,"14,729.00","2,391,183.00"
70,70,2021-03-23,160.00,171.00,155.00,163.00,1.88,"10,603.00","1,722,987.00"
71,71,2021-03-22,156.00,165.00,151.00,160.00,0.63,"13,736.00","2,182,167.00"
72,72,2021-03-21,163.00,163.00,150.00,159.00,-4.22,"36,167.00","5,633,273.00"
73,73,2021-03-18,174.00,175.00,158.00,166.00,-4.05,"38,526.00","6,388,199.00"
74,74,2021-03-17,199.00,202.00,171.00,173.00,-8.95,"42,901.00","7,595,410.00"
75,75,2021-03-16,181.00,190.00,181.00,190.00,9.83,"45,114.00","8,531,681.00"
76,76,2021-03-15,165.00,173.00,149.00,173.00,9.49,"78,184.00","12,874,388.00"
77,77,2021-03-14,144.00,158.00,144.00,158.00,9.72,"63,998.00","9,847,723.00"
78,78,2021-03-10,125.00,144.00,125.00,144.00,9.92,"48,123.00","6,773,963.00"
79,79,2021-03-09,123.00,137.00,123.00,131.00,4.80,"16,363.00","2,150,062.00"
80,80,2021-03-07,124.00,128.00,123.00,125.00,-0.79,"5,140.00","644,860.00"
81,81,2021-03-04,128.00,130.00,126.00,126.00,0.00,"3,800.00","480,200.00"
82,82,2021-03-03,120.00,128.00,120.00,126.00,3.28,"3,954.00","487,660.00"
83,83,2021-03-02,125.00,125.00,121.00,122.00,-3.94,"6,524.00","799,188.00"
84,84,2021-03-01,124.00,128.00,124.00,127.00,0.79,"1,855.00","233,450.00"
85,85,2021-02-28,129.00,129.00,124.00,126.00,-3.82,"11,867.00","1,491,872.00"
86,86,2021-02-25,132.00,138.00,130.00,131.00,-2.24,"11,430.00","1,525,590.00"
87,87,2021-02-24,136.00,138.00,134.00,134.00,-2.19,"6,370.00","866,980.00"
88,88,2021-02-23,144.00,144.00,131.00,137.00,-0.72,"10,790.00","1,482,253.00"
89,89,2021-02-22,133.00,146.00,132.00,138.00,3.76,"43,693.00","6,170,307.00"
90,90,2021-02-21,127.00,134.00,127.00,133.00,3.10,"8,321.00","1,098,389.00"
91,91,2021-02-18,130.00,132.00,128.00,129.00,-2.27,"3,571.00","464,250.00"
92,92,2021-02-17,136.00,136.00,128.00,132.00,-1.49,"1,605.00","209,310.00"
93,93,2021-02-16,135.00,136.00,127.00,134.00,0.75,"8,193.00","1,089,403.00"
94,94,2021-02-15,129.00,133.00,127.00,133.00,3.10,"5,791.00","748,564.00"
95,95,2021-02-14,130.00,130.00,126.00,129.00,-2.27,"5,880.00","754,890.00"
96,96,2021-02-11,132.00,134.00,131.00,132.00,-0.75,"3,510.00","462,400.00"
97,97,2021-02-10,133.00,136.00,132.00,133.00,-1.48,"6,339.00","843,866.00"
98,98,2021-02-09,140.00,141.00,133.00,135.00,-3.57,"17,444.00","2,388,891.00"
99,99,2021-02-08,139.00,144.00,133.00,140.00,2.19,"27,078.00","3,755,533.00"
100,100,2021-02-07,125.00,137.00,123.00,137.00,9.60,"41,088.00","5,417,992.00"
101,101,2021-02-04,120.00,127.00,120.00,125.00,0.81,"10,159.00","1,269,256.00"
