,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,360.00,370.00,359.00,359.00,-2.18,"10,541.00","3,828,549.00"
2,2,2021-07-01,356.00,377.00,356.00,367.00,1.94,"11,414.00","4,171,405.00"
3,3,2021-06-30,365.00,366.00,355.00,360.00,-1.37,"8,884.00","3,181,493.00"
4,4,2021-06-29,371.00,375.00,364.00,365.00,-2.14,"13,517.00","4,981,029.00"
5,5,2021-06-28,396.00,396.00,371.00,373.00,-1.32,"20,718.00","7,769,171.00"
6,6,2021-06-27,378.00,390.00,375.00,378.00,0.00,"14,232.00","5,384,814.00"
7,7,2021-06-24,380.00,385.00,375.00,378.00,0.00,"13,588.00","5,146,275.00"
8,8,2021-06-23,414.00,414.00,378.00,378.00,-4.30,"10,287.00","3,938,060.00"
9,9,2021-06-22,390.00,395.00,370.00,395.00,4.22,"16,943.00","6,472,941.00"
10,10,2021-06-21,376.00,389.00,373.00,379.00,-0.79,"15,216.00","5,739,918.00"
11,11,2021-06-20,390.00,392.00,380.00,382.00,-3.78,"29,029.00","11,154,248.00"
12,12,2021-06-17,393.00,409.00,384.00,397.00,1.28,"21,852.00","8,546,222.00"
13,13,2021-06-16,402.00,415.00,383.00,392.00,-4.39,"39,748.00","15,768,325.00"
14,14,2021-06-15,415.00,428.00,406.00,410.00,-3.30,"55,734.00","23,103,988.00"
15,15,2021-06-14,463.00,463.00,423.00,424.00,-3.85,"68,732.00","29,698,389.00"
16,16,2021-06-13,435.00,444.00,403.00,441.00,6.27,"159,930.00","69,660,187.00"
17,17,2021-06-10,361.00,415.00,361.00,415.00,9.79,"89,320.00","36,091,807.00"
18,18,2021-06-09,382.00,388.00,378.00,378.00,-1.05,"22,164.00","8,471,591.00"
19,19,2021-06-08,378.00,393.00,378.00,382.00,-0.26,"37,584.00","14,505,409.00"
20,20,2021-06-07,380.00,386.00,373.00,383.00,2.41,"31,129.00","11,892,925.00"
21,21,2021-06-06,383.00,385.00,370.00,374.00,-2.35,"35,202.00","13,239,931.00"
22,22,2021-06-03,392.00,394.00,381.00,383.00,-2.30,"29,683.00","11,407,086.00"
23,23,2021-06-02,376.00,393.00,376.00,392.00,2.89,"22,681.00","8,769,623.00"
24,24,2021-06-01,385.00,390.00,378.00,381.00,-1.80,"20,792.00","7,957,424.00"
25,25,2021-05-31,382.00,407.00,382.00,388.00,-3.48,"33,760.00","13,291,032.00"
26,26,2021-05-30,425.00,443.00,399.00,402.00,-4.29,"72,953.00","30,097,825.00"
27,27,2021-05-27,401.00,434.00,400.00,420.00,4.74,"116,366.00","48,827,506.00"
28,28,2021-05-25,382.00,408.00,382.00,401.00,3.62,"52,861.00","21,137,832.00"
29,29,2021-05-24,398.00,398.00,386.00,387.00,-1.02,"31,570.00","12,292,787.00"
30,30,2021-05-23,380.00,395.00,380.00,391.00,0.77,"20,910.00","8,136,005.00"
31,31,2021-05-20,395.00,402.00,386.00,388.00,-1.27,"17,114.00","6,670,731.00"
32,32,2021-05-19,410.00,410.00,392.00,393.00,-3.20,"18,488.00","7,340,143.00"
33,33,2021-05-18,383.00,417.00,383.00,406.00,4.37,"87,505.00","35,638,950.00"
34,34,2021-05-17,369.00,390.00,369.00,389.00,0.26,"36,107.00","13,935,580.00"
35,35,2021-05-16,399.00,399.00,383.00,388.00,-2.76,"46,265.00","17,924,917.00"
36,36,2021-05-13,395.00,400.00,390.00,399.00,1.53,"39,488.00","15,664,321.00"
37,37,2021-05-12,400.00,400.00,385.00,393.00,0.00,"47,981.00","18,806,097.00"
38,38,2021-05-11,379.00,394.00,372.00,393.00,1.81,"22,186.00","8,618,911.00"
39,39,2021-05-10,403.00,422.00,369.00,386.00,0.52,"16,664.00","6,302,749.00"
40,40,2021-05-09,407.00,407.00,375.00,384.00,-1.03,"32,899.00","12,587,489.00"
41,41,2021-05-06,405.00,405.00,382.00,388.00,-3.00,"19,453.00","7,536,912.00"
42,42,2021-05-05,383.00,405.00,369.00,400.00,4.44,"56,811.00","22,328,554.00"
43,43,2021-05-04,373.00,383.00,364.00,383.00,3.23,"21,924.00","8,164,538.00"
44,44,2021-05-03,368.00,382.00,368.00,371.00,-1.07,"19,169.00","7,139,555.00"
45,45,2021-05-02,365.00,378.00,365.00,375.00,2.18,"13,085.00","4,879,330.00"
46,46,2021-04-29,350.00,374.00,350.00,367.00,1.94,"13,195.00","4,827,880.00"
47,47,2021-04-28,386.00,386.00,353.00,360.00,-2.17,"7,244.00","2,636,917.00"
48,48,2021-04-27,350.00,369.00,349.00,368.00,3.37,"13,009.00","4,680,746.00"
49,49,2021-04-26,365.00,365.00,345.00,356.00,-4.30,"26,868.00","9,467,544.00"
50,50,2021-04-25,379.00,379.00,364.00,372.00,-3.63,"20,901.00","7,720,371.00"
51,51,2021-04-22,381.00,386.00,374.00,386.00,-0.52,"12,225.00","4,656,120.00"
52,52,2021-04-21,391.00,395.00,381.00,388.00,-0.77,"9,608.00","3,688,340.00"
53,53,2021-04-20,376.00,392.00,376.00,391.00,2.09,"14,831.00","5,698,555.00"
54,54,2021-04-19,409.00,409.00,372.00,383.00,-1.79,"12,506.00","4,807,956.00"
55,55,2021-04-18,400.00,400.00,386.00,390.00,-0.76,"12,353.00","4,803,746.00"
56,56,2021-04-15,405.00,410.00,388.00,393.00,-1.01,"18,195.00","7,171,269.00"
57,57,2021-04-13,381.00,409.00,381.00,397.00,-1.00,"17,889.00","7,136,378.00"
58,58,2021-04-12,430.00,430.00,400.00,401.00,-2.20,"47,381.00","19,333,751.00"
59,59,2021-04-08,390.00,410.00,371.00,410.00,9.92,"81,311.00","32,544,212.00"
60,60,2021-04-07,389.00,389.00,362.00,373.00,-0.27,"17,295.00","6,468,018.00"
