,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,274.00,280.00,271.00,272.00,-0.73,"105,005.00","28,861,613.00"
2,2,2021-07-01,265.00,282.00,265.00,274.00,3.01,"196,626.00","54,000,612.00"
3,3,2021-06-30,263.00,269.00,250.00,266.00,-0.37,"216,439.00","56,103,107.00"
4,4,2021-06-29,280.00,285.00,265.00,267.00,-3.96,"153,227.00","41,419,685.00"
5,5,2021-06-28,287.00,293.00,276.00,278.00,-2.80,"119,004.00","33,730,216.00"
6,6,2021-06-27,290.00,295.00,284.00,286.00,0.35,"160,100.00","46,345,537.00"
7,7,2021-06-24,271.00,300.00,271.00,285.00,0.00,"263,992.00","76,812,799.00"
8,8,2021-06-23,305.00,314.00,281.00,285.00,-2.06,"334,094.00","99,090,765.00"
9,9,2021-06-22,278.00,291.00,260.00,291.00,9.81,"273,961.00","76,788,919.00"
10,10,2021-06-21,290.00,294.00,264.00,265.00,-8.62,"242,596.00","66,594,362.00"
11,11,2021-06-20,300.00,302.00,276.00,290.00,-2.03,"306,548.00","89,355,935.00"
12,12,2021-06-17,275.00,311.00,275.00,296.00,2.78,"351,064.00","103,202,709.00"
13,13,2021-06-16,313.00,319.00,282.00,288.00,-7.99,"556,353.00","164,359,067.00"
14,14,2021-06-15,335.00,340.00,313.00,313.00,-5.72,"534,405.00","172,115,677.00"
15,15,2021-06-14,342.00,350.00,310.00,332.00,1.84,"712,159.00","236,226,654.00"
16,16,2021-06-13,302.00,326.00,302.00,326.00,9.76,"923,852.00","293,596,956.00"
17,17,2021-06-10,279.00,301.00,279.00,297.00,8.00,"850,066.00","246,664,088.00"
18,18,2021-06-09,280.00,295.00,265.00,275.00,-0.36,"521,870.00","144,763,119.00"
19,19,2021-06-08,286.00,300.00,274.00,276.00,-2.82,"540,712.00","154,609,947.00"
20,20,2021-06-07,264.00,290.00,259.00,284.00,7.58,"831,313.00","228,539,344.00"
21,21,2021-06-06,246.00,264.00,245.00,264.00,2.33,"576,977.00","145,935,760.00"
22,22,2021-06-03,260.00,272.00,242.00,258.00,-0.77,"527,626.00","135,426,007.00"
23,23,2021-06-02,233.00,267.00,233.00,260.00,6.12,"627,007.00","154,603,553.00"
24,24,2021-06-01,239.00,260.00,239.00,245.00,-2.39,"357,734.00","88,183,629.00"
