,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,336.00,350.00,336.00,344.00,0.58,"5,787.00","2,009,020.00"
2,2,2021-07-01,343.00,362.00,338.00,342.00,1.18,"6,218.00","2,141,228.00"
3,3,2021-06-30,340.00,341.00,334.00,338.00,-2.31,"5,808.00","1,958,918.00"
4,4,2021-06-29,359.00,359.00,343.00,346.00,-1.70,"5,280.00","1,831,290.00"
5,5,2021-06-28,351.00,357.00,350.00,352.00,-1.68,"10,925.00","3,876,305.00"
6,6,2021-06-27,351.00,372.00,345.00,358.00,1.70,"7,981.00","2,832,180.00"
7,7,2021-06-24,344.00,367.00,344.00,352.00,0.57,"11,466.00","4,094,604.00"
8,8,2021-06-23,365.00,375.00,339.00,350.00,-1.96,"15,984.00","5,667,881.00"
9,9,2021-06-22,325.00,357.00,319.00,357.00,9.85,"24,012.00","8,326,678.00"
10,10,2021-06-21,352.00,352.00,325.00,325.00,-7.67,"19,410.00","6,498,327.00"
11,11,2021-06-20,370.00,373.00,341.00,352.00,-4.61,"21,093.00","7,454,399.00"
12,12,2021-06-17,352.00,375.00,343.00,369.00,2.79,"22,804.00","8,160,320.00"
13,13,2021-06-16,372.00,387.00,352.00,359.00,-8.18,"38,891.00","14,288,064.00"
14,14,2021-06-15,410.00,413.00,390.00,391.00,-4.87,"41,255.00","16,412,680.00"
15,15,2021-06-14,443.00,443.00,399.00,411.00,-2.61,"64,520.00","26,471,596.00"
16,16,2021-06-13,405.00,426.00,390.00,422.00,5.50,"108,768.00","44,967,444.00"
17,17,2021-06-10,386.00,415.00,382.00,400.00,3.63,"52,799.00","20,995,769.00"
18,18,2021-06-09,388.00,403.00,376.00,386.00,-0.26,"20,672.00","8,021,155.00"
19,19,2021-06-08,387.00,398.00,383.00,387.00,0.00,"36,707.00","14,337,247.00"
20,20,2021-06-07,375.00,400.00,375.00,387.00,4.31,"26,796.00","10,359,828.00"
21,21,2021-06-06,379.00,381.00,365.00,371.00,-3.89,"23,194.00","8,649,676.00"
22,22,2021-06-03,417.00,417.00,386.00,386.00,-3.02,"23,079.00","8,986,420.00"
23,23,2021-06-02,380.00,408.00,369.00,398.00,6.13,"25,540.00","9,835,325.00"
24,24,2021-06-01,378.00,389.00,366.00,375.00,-0.79,"23,340.00","8,773,681.00"
25,25,2021-05-31,406.00,410.00,376.00,378.00,-6.44,"66,369.00","25,763,555.00"
26,26,2021-05-30,431.00,444.00,404.00,404.00,-6.26,"52,810.00","22,209,233.00"
27,27,2021-05-27,417.00,437.00,390.00,431.00,8.29,"134,644.00","56,505,436.00"
28,28,2021-05-25,390.00,399.00,385.00,398.00,2.05,"46,619.00","18,356,401.00"
29,29,2021-05-24,393.00,400.00,387.00,390.00,1.04,"31,358.00","12,339,805.00"
30,30,2021-05-23,380.00,406.00,380.00,386.00,-0.26,"44,601.00","17,480,112.00"
31,31,2021-05-20,389.00,395.00,381.00,387.00,-2.27,"23,921.00","9,236,142.00"
32,32,2021-05-19,416.00,416.00,390.00,396.00,-3.41,"37,250.00","14,713,633.00"
33,33,2021-05-18,406.00,414.00,397.00,410.00,2.76,"49,930.00","20,416,839.00"
34,34,2021-05-17,406.00,406.00,384.00,399.00,3.10,"66,019.00","26,076,458.00"
35,35,2021-05-16,410.00,410.00,379.00,387.00,-1.02,"68,541.00","26,549,117.00"
36,36,2021-05-13,370.00,391.00,370.00,391.00,3.71,"55,759.00","21,475,204.00"
37,37,2021-05-12,380.00,383.00,366.00,377.00,1.07,"48,098.00","18,120,042.00"
38,38,2021-05-11,370.00,383.00,365.00,373.00,2.75,"20,075.00","7,513,130.00"
39,39,2021-05-10,363.00,367.00,357.00,363.00,0.00,"12,752.00","4,602,953.00"
40,40,2021-05-09,368.00,374.00,363.00,363.00,-1.36,"9,263.00","3,407,691.00"
41,41,2021-05-06,386.00,386.00,367.00,368.00,-2.90,"29,390.00","10,897,967.00"
42,42,2021-05-05,384.00,384.00,370.00,379.00,0.53,"30,816.00","11,669,617.00"
43,43,2021-05-04,384.00,384.00,369.00,377.00,0.00,"35,036.00","13,084,441.00"
44,44,2021-05-03,397.00,397.00,376.00,377.00,-3.58,"41,021.00","15,635,691.00"
45,45,2021-05-02,390.00,406.00,376.00,391.00,0.51,"113,349.00","43,350,318.00"
46,46,2021-04-29,390.00,391.00,373.00,389.00,-0.26,"34,668.00","13,166,655.00"
47,47,2021-04-28,374.00,411.00,353.00,390.00,4.28,"94,465.00","36,630,286.00"
48,48,2021-04-27,345.00,379.00,344.00,374.00,8.41,"83,713.00","30,902,256.00"
49,49,2021-04-26,351.00,356.00,345.00,345.00,-3.63,"17,621.00","6,129,386.00"
50,50,2021-04-25,361.00,368.00,348.00,358.00,-1.92,"55,055.00","19,666,018.00"
51,51,2021-04-22,371.00,385.00,364.00,365.00,-3.44,"27,048.00","9,965,521.00"
52,52,2021-04-21,368.00,396.00,361.00,378.00,2.72,"73,395.00","27,456,313.00"
53,53,2021-04-20,329.00,368.00,329.00,368.00,9.85,"104,322.00","36,630,803.00"
54,54,2021-04-19,338.00,344.00,333.00,335.00,-0.89,"13,110.00","4,434,610.00"
55,55,2021-04-18,333.00,351.00,330.00,338.00,1.50,"46,847.00","16,127,112.00"
