,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,296.00,296.00,275.00,280.00,-3.78,"16,332.00","4,583,326.00"
2,2,2021-07-01,276.00,298.00,276.00,291.00,7.38,"28,455.00","8,133,738.00"
3,3,2021-06-30,263.00,278.00,253.00,271.00,1.12,"24,528.00","6,401,167.00"
4,4,2021-06-29,280.00,286.00,268.00,268.00,-4.29,"16,045.00","4,404,714.00"
5,5,2021-06-28,303.00,303.00,276.00,280.00,-3.11,"17,524.00","4,932,193.00"
6,6,2021-06-27,294.00,300.00,283.00,289.00,-2.03,"24,925.00","7,199,943.00"
7,7,2021-06-24,294.00,315.00,284.00,295.00,-0.34,"17,175.00","5,061,939.00"
8,8,2021-06-23,303.00,320.00,295.00,296.00,-0.67,"29,816.00","9,068,405.00"
9,9,2021-06-22,271.00,298.00,261.00,298.00,9.96,"43,066.00","12,429,068.00"
10,10,2021-06-21,308.00,308.00,265.00,271.00,-7.82,"33,139.00","9,121,379.00"
11,11,2021-06-20,318.00,318.00,281.00,294.00,-5.77,"33,696.00","10,032,546.00"
12,12,2021-06-17,302.00,322.00,280.00,312.00,1.30,"63,199.00","18,848,018.00"
13,13,2021-06-16,342.00,342.00,308.00,308.00,-9.94,"41,107.00","12,842,800.00"
14,14,2021-06-15,355.00,368.00,330.00,342.00,0.29,"79,184.00","27,682,192.00"
15,15,2021-06-14,312.00,341.00,306.00,341.00,10.00,"151,800.00","50,368,366.00"
16,16,2021-06-13,296.00,310.00,290.00,310.00,9.93,"100,541.00","30,693,348.00"
17,17,2021-06-10,257.00,282.00,250.00,282.00,9.73,"141,261.00","38,824,318.00"
18,18,2021-06-09,260.00,262.00,252.00,257.00,-1.91,"27,914.00","7,159,394.00"
19,19,2021-06-08,260.00,270.00,258.00,262.00,1.55,"64,453.00","17,021,349.00"
20,20,2021-06-07,240.00,260.00,236.00,258.00,5.74,"45,081.00","11,452,729.00"
21,21,2021-06-06,255.00,255.00,231.00,244.00,-4.31,"60,750.00","14,450,118.00"
22,22,2021-06-03,256.00,270.00,245.00,255.00,-1.92,"35,828.00","9,128,499.00"
23,23,2021-06-02,265.00,265.00,228.00,260.00,2.77,"71,661.00","17,487,768.00"
24,24,2021-06-01,264.00,264.00,245.00,253.00,-4.17,"54,166.00","13,697,055.00"
25,25,2021-05-31,279.00,289.00,260.00,264.00,-5.38,"103,273.00","27,782,008.00"
26,26,2021-05-30,258.00,279.00,255.00,279.00,9.84,"59,432.00","16,554,173.00"
27,27,2021-05-27,230.00,254.00,227.00,254.00,9.96,"90,450.00","22,565,509.00"
28,28,2021-05-25,218.00,231.00,215.00,231.00,4.05,"43,174.00","9,781,215.00"
29,29,2021-05-24,229.00,231.00,218.00,222.00,-2.20,"35,375.00","7,854,688.00"
30,30,2021-05-23,217.00,234.00,207.00,227.00,2.71,"38,368.00","8,522,970.00"
31,31,2021-05-20,234.00,234.00,212.00,221.00,-4.33,"47,041.00","10,359,360.00"
32,32,2021-05-19,233.00,251.00,219.00,231.00,0.87,"94,636.00","22,455,081.00"
33,33,2021-05-18,205.00,229.00,205.00,229.00,9.57,"44,216.00","10,030,675.00"
34,34,2021-05-17,198.00,214.00,193.00,209.00,6.63,"57,796.00","11,572,055.00"
35,35,2021-05-16,206.00,210.00,186.00,196.00,-2.97,"82,461.00","16,218,737.00"
36,36,2021-05-13,189.00,202.00,189.00,202.00,9.78,"102,853.00","20,674,814.00"
37,37,2021-05-12,169.00,184.00,166.00,184.00,9.52,"67,248.00","11,949,682.00"
38,38,2021-05-11,163.00,170.00,163.00,168.00,3.07,"23,902.00","3,972,238.00"
