,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,268.00,272.00,260.00,261.00,-3.33,"5,620.00","1,486,641.00"
2,2,2021-07-01,265.00,272.00,265.00,270.00,3.85,"10,576.00","2,850,004.00"
3,3,2021-06-30,264.00,270.00,244.00,260.00,-3.35,"21,033.00","5,323,349.00"
4,4,2021-06-29,271.00,278.00,259.00,269.00,-2.54,"15,403.00","4,165,162.00"
5,5,2021-06-28,285.00,290.00,275.00,276.00,-3.16,"9,386.00","2,609,892.00"
6,6,2021-06-27,304.00,304.00,279.00,285.00,-1.72,"9,307.00","2,689,210.00"
7,7,2021-06-24,284.00,304.00,275.00,290.00,0.35,"17,480.00","5,067,719.00"
8,8,2021-06-23,300.00,307.00,283.00,289.00,-3.34,"18,751.00","5,556,306.00"
9,9,2021-06-22,267.00,299.00,262.00,299.00,9.93,"25,752.00","7,391,287.00"
10,10,2021-06-21,280.00,285.00,256.00,272.00,-2.86,"22,816.00","6,171,776.00"
11,11,2021-06-20,304.00,309.00,278.00,280.00,-7.89,"21,861.00","6,374,503.00"
12,12,2021-06-17,285.00,310.00,262.00,304.00,7.42,"62,033.00","18,148,861.00"
13,13,2021-06-16,317.00,317.00,272.00,283.00,-6.29,"137,607.00","40,560,307.00"
14,14,2021-06-15,288.00,302.00,288.00,302.00,9.82,"18,314.00","5,529,224.00"
15,15,2021-06-14,262.00,275.00,262.00,275.00,10.00,"13,692.00","3,758,274.00"
16,16,2021-06-03,252.00,258.00,247.00,250.00,-2.34,"35,563.00","8,914,543.00"
17,17,2021-06-02,238.00,270.00,225.00,256.00,2.40,"65,042.00","15,558,838.00"
18,18,2021-06-01,257.00,259.00,236.00,250.00,-4.21,"27,112.00","6,833,442.00"
19,19,2021-05-31,291.00,305.00,260.00,261.00,-6.12,"64,200.00","17,353,325.00"
20,20,2021-05-30,265.00,278.00,265.00,278.00,9.88,"43,956.00","12,147,022.00"
21,21,2021-05-27,229.00,253.00,222.00,253.00,10.00,"52,105.00","12,882,686.00"
22,22,2021-05-25,220.00,230.00,217.00,230.00,4.55,"32,764.00","7,343,793.00"
23,23,2021-05-24,223.00,230.00,216.00,220.00,-1.35,"27,201.00","6,013,698.00"
24,24,2021-05-23,209.00,229.00,200.00,223.00,1.83,"39,132.00","8,564,299.00"
25,25,2021-05-20,229.00,229.00,209.00,219.00,-4.78,"35,545.00","7,753,646.00"
26,26,2021-05-19,230.00,248.00,222.00,230.00,1.77,"46,372.00","11,322,190.00"
27,27,2021-05-18,216.00,226.00,202.00,226.00,9.71,"19,856.00","4,348,533.00"
28,28,2021-05-17,188.00,206.00,183.00,206.00,9.57,"63,676.00","12,298,523.00"
29,29,2021-05-16,194.00,207.00,180.00,188.00,-3.09,"71,433.00","13,623,742.00"
30,30,2021-05-13,180.00,194.00,180.00,194.00,9.60,"31,236.00","6,027,642.00"
31,31,2021-05-12,162.00,177.00,161.00,177.00,9.94,"45,669.00","7,892,853.00"
32,32,2021-05-11,158.00,162.00,155.00,161.00,3.87,"14,014.00","2,226,168.00"
33,33,2021-05-10,155.00,156.00,150.00,155.00,0.00,"15,881.00","2,456,093.00"
34,34,2021-05-09,170.00,172.00,154.00,155.00,-6.06,"54,425.00","8,742,964.00"
35,35,2021-05-06,157.00,165.00,152.00,165.00,10.00,"77,966.00","12,729,234.00"
36,36,2021-05-05,143.00,150.00,136.00,150.00,9.49,"68,477.00","10,011,599.00"
37,37,2021-05-04,134.00,140.00,132.00,137.00,3.79,"22,099.00","3,015,867.00"
38,38,2021-05-03,140.00,140.00,132.00,132.00,-1.49,"8,792.00","1,168,962.00"
39,39,2021-05-02,128.00,134.00,128.00,134.00,3.08,"6,015.00","800,269.00"
40,40,2021-04-29,130.00,134.00,129.00,130.00,0.00,"1,933.00","252,757.00"
41,41,2021-04-28,130.00,134.00,129.00,130.00,-1.52,"3,531.00","461,306.00"
42,42,2021-04-27,124.00,134.00,124.00,132.00,5.60,"8,934.00","1,176,299.00"
43,43,2021-04-26,129.00,133.00,125.00,125.00,-3.10,"7,568.00","979,939.00"
44,44,2021-04-25,135.00,136.00,126.00,129.00,-4.44,"9,013.00","1,188,701.00"
45,45,2021-04-22,134.00,138.00,134.00,135.00,-0.74,"8,776.00","1,194,062.00"
46,46,2021-04-21,136.00,140.00,134.00,136.00,-1.45,"8,930.00","1,228,558.00"
47,47,2021-04-20,135.00,138.00,130.00,138.00,2.22,"9,247.00","1,249,819.00"
48,48,2021-04-19,140.00,140.00,134.00,135.00,-2.17,"9,824.00","1,334,556.00"
49,49,2021-04-18,134.00,138.00,132.00,138.00,2.99,"22,991.00","3,129,526.00"
50,50,2021-04-15,132.00,135.00,130.00,134.00,1.52,"10,539.00","1,390,173.00"
51,51,2021-04-13,128.00,137.00,126.00,132.00,1.54,"8,403.00","1,111,159.00"
52,52,2021-04-12,132.00,133.00,130.00,130.00,-2.99,"7,721.00","1,013,836.00"
53,53,2021-04-08,140.00,141.00,133.00,134.00,-2.90,"15,315.00","2,082,715.00"
54,54,2021-04-07,130.00,140.00,130.00,138.00,7.81,"62,800.00","8,582,276.00"
55,55,2021-04-06,125.00,132.00,123.00,128.00,4.07,"21,719.00","2,774,910.00"
56,56,2021-04-05,123.00,127.00,123.00,123.00,0.00,"6,471.00","804,832.00"
57,57,2021-04-04,125.00,127.00,122.00,123.00,-1.60,"4,580.00","565,662.00"
58,58,2021-04-01,121.00,126.00,121.00,125.00,1.63,"9,670.00","1,194,408.00"
59,59,2021-03-31,125.00,129.00,122.00,123.00,-1.60,"10,616.00","1,322,224.00"
60,60,2021-03-30,125.00,125.00,121.00,125.00,0.81,"8,955.00","1,095,601.00"
61,61,2021-03-29,123.00,128.00,121.00,124.00,-0.80,"3,687.00","457,809.00"
62,62,2021-03-25,127.00,128.00,123.00,125.00,0.00,"10,283.00","1,285,226.00"
63,63,2021-03-24,130.00,130.00,123.00,125.00,-2.34,"9,771.00","1,234,070.00"
64,64,2021-03-23,124.00,134.00,123.00,128.00,2.40,"9,593.00","1,227,595.00"
65,65,2021-03-22,123.00,127.00,121.00,125.00,0.00,"7,508.00","917,688.00"
66,66,2021-03-21,131.00,131.00,120.00,125.00,-6.02,"20,453.00","2,557,099.00"
67,67,2021-03-18,147.00,151.00,130.00,133.00,-5.00,"21,781.00","2,982,595.00"
68,68,2021-03-17,130.00,140.00,130.00,140.00,9.38,"42,112.00","5,817,851.00"
69,69,2021-03-16,115.00,128.00,115.00,128.00,9.40,"74,341.00","9,350,637.00"
70,70,2021-03-15,114.00,118.00,114.00,117.00,0.86,"5,890.00","682,192.00"
71,71,2021-03-14,114.00,118.00,114.00,116.00,0.00,"4,383.00","502,676.00"
72,72,2021-03-10,120.00,120.00,116.00,116.00,-1.69,592.00,"68,740.00"
73,73,2021-03-09,114.00,120.00,113.00,118.00,1.72,"8,527.00","994,597.00"
74,74,2021-03-07,119.00,121.00,115.00,116.00,-2.52,"2,678.00","313,520.00"
75,75,2021-03-04,115.00,119.00,111.00,119.00,1.71,"3,526.00","411,915.00"
76,76,2021-03-03,113.00,117.00,111.00,117.00,1.74,"7,092.00","811,497.00"
77,77,2021-03-02,114.00,118.00,113.00,115.00,-0.86,"6,838.00","782,108.00"
78,78,2021-03-01,115.00,120.00,114.00,116.00,-0.85,"3,915.00","458,494.00"
79,79,2021-02-28,120.00,120.00,115.00,117.00,-3.31,"4,377.00","510,610.00"
80,80,2021-02-25,129.00,129.00,118.00,121.00,-1.63,"7,518.00","901,435.00"
81,81,2021-02-24,125.00,127.00,121.00,123.00,0.00,"10,575.00","1,313,780.00"
82,82,2021-02-23,134.00,136.00,120.00,123.00,-3.91,"28,621.00","3,610,062.00"
83,83,2021-02-22,117.00,128.00,117.00,128.00,9.40,"39,336.00","4,963,469.00"
84,84,2021-02-21,111.00,118.00,111.00,117.00,4.46,"23,781.00","2,775,242.00"
85,85,2021-02-18,111.00,115.00,111.00,112.00,-0.88,"7,448.00","841,614.00"
86,86,2021-02-17,113.00,113.00,111.00,113.00,0.00,"11,226.00","1,253,949.00"
87,87,2021-02-16,114.00,115.00,111.00,113.00,-1.74,"4,666.00","529,144.00"
88,88,2021-02-15,114.00,116.00,113.00,115.00,0.00,"5,621.00","644,631.00"
89,89,2021-02-14,116.00,116.00,113.00,115.00,-0.86,"1,070.00","121,843.00"
90,90,2021-02-11,115.00,119.00,115.00,116.00,2.65,"8,824.00","1,025,479.00"
91,91,2021-02-10,114.00,116.00,113.00,113.00,-2.59,"6,675.00","760,052.00"
92,92,2021-02-09,114.00,118.00,114.00,116.00,1.75,"7,244.00","845,563.00"
93,93,2021-02-08,117.00,117.00,114.00,114.00,-1.72,"4,001.00","459,842.00"
94,94,2021-02-07,118.00,119.00,115.00,116.00,0.00,"8,454.00","989,181.00"
95,95,2021-02-04,113.00,119.00,113.00,116.00,2.65,"5,721.00","668,231.00"
96,96,2021-02-03,114.00,118.00,113.00,113.00,-1.74,"10,794.00","1,242,192.00"
97,97,2021-02-02,115.00,117.00,115.00,115.00,-1.71,"5,317.00","616,168.00"
98,98,2021-02-01,110.00,123.00,110.00,117.00,4.46,"6,872.00","800,953.00"
99,99,2021-01-31,118.00,120.00,112.00,112.00,-6.67,"6,661.00","759,640.00"
100,100,2021-01-28,126.00,130.00,120.00,120.00,0.00,"23,566.00","2,973,031.00"
101,101,2021-01-27,114.00,121.00,114.00,120.00,3.45,"11,052.00","1,318,196.00"
102,102,2021-01-26,112.00,123.00,111.00,116.00,1.75,"11,157.00","1,290,777.00"
103,103,2021-01-25,113.00,116.00,112.00,114.00,0.00,"9,247.00","1,047,410.00"
104,104,2021-01-24,114.00,119.00,113.00,114.00,0.00,"8,878.00","1,017,784.00"
105,105,2021-01-21,108.00,116.00,108.00,114.00,4.59,"16,916.00","1,905,003.00"
106,106,2021-01-20,107.00,109.00,107.00,109.00,0.00,"1,418.00","154,174.00"
107,107,2021-01-19,108.00,110.00,108.00,109.00,-0.91,"1,735.00","188,501.00"
108,108,2021-01-18,106.00,110.00,106.00,110.00,1.85,"1,088.00","118,254.00"
109,109,2021-01-17,112.00,113.00,108.00,108.00,-1.82,"2,124.00","232,606.00"
