,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,436.00,448.00,432.00,436.00,-1.80,"4,285.00","1,869,863.00"
2,2,2021-07-01,443.00,445.00,429.00,444.00,2.07,"8,364.00","3,656,285.00"
3,3,2021-06-30,420.00,435.00,408.00,435.00,1.87,"16,874.00","7,062,008.00"
4,4,2021-06-29,425.00,454.00,423.00,427.00,-0.70,"12,415.00","5,325,949.00"
5,5,2021-06-28,441.00,457.00,430.00,430.00,-4.23,"8,043.00","3,520,277.00"
6,6,2021-06-27,452.00,461.00,437.00,449.00,1.13,"5,603.00","2,511,427.00"
7,7,2021-06-24,432.00,455.00,432.00,444.00,1.37,"15,897.00","7,056,399.00"
8,8,2021-06-23,463.00,474.00,434.00,438.00,-5.60,"15,788.00","7,183,986.00"
9,9,2021-06-22,416.00,464.00,416.00,464.00,9.95,"32,412.00","14,297,256.00"
10,10,2021-06-21,441.00,469.00,413.00,422.00,-6.01,"26,935.00","11,484,572.00"
11,11,2021-06-20,480.00,485.00,445.00,449.00,-6.26,"16,011.00","7,350,795.00"
12,12,2021-06-17,460.00,494.00,451.00,479.00,4.13,"24,096.00","11,317,240.00"
13,13,2021-06-16,470.00,504.00,448.00,460.00,-6.69,"37,379.00","17,495,897.00"
14,14,2021-06-15,492.00,519.00,490.00,493.00,-4.64,"39,874.00","19,967,708.00"
15,15,2021-06-14,525.00,566.00,501.00,517.00,-2.82,"46,859.00","24,245,969.00"
16,16,2021-06-13,513.00,534.00,482.00,532.00,8.79,"53,309.00","27,084,052.00"
17,17,2021-06-10,468.00,499.00,465.00,489.00,6.07,"53,718.00","25,821,294.00"
18,18,2021-06-09,470.00,481.00,456.00,461.00,-3.35,"30,650.00","14,348,114.00"
19,19,2021-06-08,456.00,481.00,450.00,477.00,4.61,"58,732.00","27,520,063.00"
20,20,2021-06-07,424.00,457.00,424.00,456.00,5.56,"32,323.00","14,470,971.00"
21,21,2021-06-06,469.00,469.00,425.00,432.00,-3.36,"24,287.00","10,468,934.00"
22,22,2021-06-03,467.00,469.00,439.00,447.00,-4.08,"21,378.00","9,727,060.00"
23,23,2021-06-02,473.00,482.00,452.00,466.00,3.33,"57,856.00","26,913,481.00"
24,24,2021-06-01,405.00,451.00,405.00,451.00,10.00,"155,250.00","68,537,530.00"
25,25,2021-05-31,443.00,445.00,408.00,410.00,-7.24,"52,572.00","22,288,526.00"
26,26,2021-05-30,441.00,470.00,428.00,442.00,2.08,"81,370.00","36,362,748.00"
27,27,2021-05-27,400.00,441.00,396.00,433.00,7.98,"83,691.00","35,758,690.00"
28,28,2021-05-25,394.00,410.00,386.00,401.00,2.04,"35,815.00","14,307,157.00"
29,29,2021-05-24,421.00,421.00,379.00,393.00,-2.00,"59,232.00","23,277,253.00"
30,30,2021-05-23,365.00,401.00,360.00,401.00,9.86,"84,154.00","32,955,147.00"
31,31,2021-05-20,359.00,374.00,359.00,365.00,-3.18,"48,022.00","17,599,439.00"
32,32,2021-05-19,403.00,405.00,362.00,377.00,-4.80,"74,243.00","28,156,641.00"
33,33,2021-05-18,365.00,396.00,365.00,396.00,10.00,"62,755.00","24,213,472.00"
