,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,336.00,350.00,336.00,346.00,2.98,"19,184.00","6,592,585.00"
2,2,2021-07-01,321.00,361.00,321.00,336.00,-0.30,"19,473.00","6,733,477.00"
3,3,2021-06-30,340.00,340.00,325.00,337.00,-0.88,"28,583.00","9,483,652.00"
4,4,2021-06-29,344.00,357.00,336.00,340.00,-3.13,"17,146.00","5,860,644.00"
5,5,2021-06-28,357.00,367.00,346.00,351.00,-2.23,"16,044.00","5,659,594.00"
6,6,2021-06-27,357.00,375.00,350.00,359.00,-0.83,"27,285.00","9,807,483.00"
7,7,2021-06-24,354.00,374.00,340.00,362.00,0.56,"38,567.00","13,852,269.00"
8,8,2021-06-23,373.00,383.00,339.00,360.00,-1.64,"40,549.00","14,431,679.00"
9,9,2021-06-22,349.00,366.00,331.00,366.00,9.91,"55,822.00","20,064,545.00"
10,10,2021-06-21,365.00,378.00,328.00,333.00,-8.52,"53,719.00","18,805,857.00"
11,11,2021-06-20,389.00,399.00,358.00,364.00,-6.43,"59,738.00","22,373,627.00"
12,12,2021-06-17,387.00,421.00,371.00,389.00,0.52,"72,215.00","27,636,916.00"
13,13,2021-06-16,403.00,436.00,382.00,387.00,-8.73,"152,343.00","59,998,655.00"
14,14,2021-06-15,447.00,454.00,423.00,424.00,-7.02,"109,331.00","47,712,107.00"
15,15,2021-06-14,460.00,486.00,437.00,456.00,-0.87,"163,359.00","74,552,046.00"
16,16,2021-06-13,425.00,460.00,399.00,460.00,9.79,"278,522.00","123,249,189.00"
17,17,2021-06-10,380.00,419.00,380.00,419.00,9.97,"141,948.00","56,452,443.00"
18,18,2021-06-09,394.00,401.00,376.00,381.00,-2.31,"57,423.00","22,211,344.00"
19,19,2021-06-08,385.00,398.00,385.00,390.00,3.45,"102,578.00","40,071,934.00"
20,20,2021-06-07,338.00,383.00,338.00,377.00,6.20,"93,914.00","35,241,600.00"
21,21,2021-06-06,366.00,366.00,353.00,355.00,-3.01,"40,155.00","14,299,527.00"
22,22,2021-06-03,381.00,384.00,366.00,366.00,-3.68,"38,522.00","14,439,650.00"
23,23,2021-06-02,358.00,380.00,355.00,380.00,5.26,"48,988.00","18,042,343.00"
24,24,2021-06-01,361.00,375.00,348.00,361.00,-1.90,"40,968.00","14,864,764.00"
25,25,2021-05-31,364.00,387.00,362.00,368.00,-3.92,"86,852.00","32,267,815.00"
26,26,2021-05-30,383.00,420.00,378.00,383.00,-3.77,"136,473.00","53,263,209.00"
27,27,2021-05-27,362.00,408.00,362.00,398.00,6.42,"142,576.00","56,162,767.00"
28,28,2021-05-25,352.00,388.00,352.00,374.00,1.36,"90,115.00","34,034,545.00"
29,29,2021-05-24,380.00,393.00,365.00,369.00,-1.34,"48,968.00","18,131,966.00"
30,30,2021-05-23,365.00,387.00,358.00,374.00,0.54,"72,646.00","26,987,423.00"
31,31,2021-05-20,373.00,380.00,370.00,372.00,-2.11,"36,555.00","13,692,182.00"
32,32,2021-05-19,396.00,396.00,376.00,380.00,-3.55,"57,371.00","21,915,007.00"
33,33,2021-05-18,388.00,411.00,388.00,394.00,0.25,"78,662.00","31,405,010.00"
34,34,2021-05-17,370.00,393.00,370.00,393.00,5.08,"93,249.00","35,783,570.00"
35,35,2021-05-16,404.00,404.00,370.00,374.00,-3.36,"83,629.00","31,445,220.00"
