,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,822.00,835.00,821.00,835.00,0.00,"1,774.00","1,474,952.00"
2,2,2021-07-01,850.00,868.00,825.00,835.00,0.00,"7,561.00","6,348,476.00"
3,3,2021-06-30,850.00,855.00,825.00,835.00,-0.95,"15,060.00","12,519,143.00"
4,4,2021-06-29,843.00,888.00,841.00,843.00,-1.52,"6,893.00","5,872,539.00"
5,5,2021-06-28,856.00,876.00,845.00,856.00,-1.95,"9,045.00","7,816,530.00"
6,6,2021-06-27,845.00,890.00,845.00,873.00,1.39,"12,282.00","10,567,800.00"
7,7,2021-06-24,845.00,899.00,843.00,861.00,0.12,"12,090.00","10,492,520.00"
8,8,2021-06-23,870.00,895.00,850.00,860.00,-3.04,"10,960.00","9,524,295.00"
9,9,2021-06-22,840.00,929.00,840.00,887.00,3.74,"11,837.00","10,401,938.00"
10,10,2021-06-21,858.00,908.00,841.00,855.00,-2.29,"25,140.00","21,567,873.00"
11,11,2021-06-20,900.00,914.00,846.00,875.00,-3.10,"30,764.00","26,829,747.00"
12,12,2021-06-17,917.00,938.00,899.00,903.00,-3.42,"16,795.00","15,377,410.00"
13,13,2021-06-16,955.00,970.00,878.00,935.00,-4.00,"51,201.00","47,886,746.00"
14,14,2021-06-15,"1,006.00","1,026.00",967.00,974.00,1.56,"79,578.00","78,983,705.00"
15,15,2021-06-14,997.00,"1,045.00",925.00,959.00,0.95,"81,217.00","78,491,187.00"
16,16,2021-06-13,907.00,950.00,907.00,950.00,9.95,"17,664.00","16,636,518.00"
17,17,2021-06-10,780.00,864.00,771.00,864.00,9.92,"96,143.00","81,127,037.00"
18,18,2021-06-09,777.00,800.00,777.00,786.00,-0.76,"6,139.00","4,836,747.00"
19,19,2021-06-08,776.00,806.00,776.00,792.00,0.51,"12,447.00","9,939,326.00"
20,20,2021-06-07,790.00,800.00,781.00,788.00,0.90,"20,385.00","16,070,890.00"
21,21,2021-06-06,781.00,790.00,775.00,781.00,-1.88,"6,435.00","5,037,650.00"
22,22,2021-06-03,835.00,835.00,794.00,796.00,-2.81,"18,901.00","15,230,446.00"
23,23,2021-06-02,765.00,829.00,765.00,819.00,5.00,"19,008.00","15,131,940.00"
24,24,2021-06-01,777.00,793.00,770.00,780.00,-1.27,"24,965.00","19,404,848.00"
25,25,2021-05-31,805.00,820.00,788.00,790.00,-2.11,"30,437.00","24,281,081.00"
26,26,2021-05-30,835.00,849.00,800.00,807.00,-3.81,"26,738.00","21,893,033.00"
27,27,2021-05-27,800.00,860.00,799.00,839.00,3.58,"36,891.00","30,550,887.00"
28,28,2021-05-25,807.00,827.00,807.00,810.00,-0.98,"10,215.00","8,306,903.00"
29,29,2021-05-24,830.00,837.00,815.00,818.00,-1.45,"12,269.00","10,068,491.00"
30,30,2021-05-23,808.00,837.00,808.00,830.00,0.73,"12,830.00","10,560,720.00"
31,31,2021-05-20,830.00,840.00,816.00,824.00,-1.90,"21,914.00","18,059,349.00"
32,32,2021-05-19,869.00,869.00,823.00,840.00,-1.52,"25,322.00","21,226,713.00"
33,33,2021-05-18,845.00,877.00,835.00,853.00,2.16,"27,370.00","23,431,509.00"
34,34,2021-05-17,828.00,851.00,821.00,835.00,0.60,"20,835.00","17,415,790.00"
35,35,2021-05-16,850.00,872.00,825.00,830.00,-1.19,"25,792.00","21,563,089.00"
36,36,2021-05-13,850.00,867.00,830.00,840.00,-0.59,"24,444.00","20,644,616.00"
37,37,2021-05-12,809.00,864.00,805.00,845.00,4.58,"33,795.00","28,045,055.00"
38,38,2021-05-11,811.00,812.00,796.00,808.00,1.51,"12,944.00","10,443,725.00"
39,39,2021-05-10,777.00,798.00,763.00,796.00,2.45,"5,919.00","4,683,311.00"
40,40,2021-05-09,765.00,826.00,750.00,777.00,2.24,"30,693.00","24,289,793.00"
41,41,2021-05-06,780.00,788.00,760.00,760.00,-2.56,"9,309.00","7,180,065.00"
42,42,2021-05-05,781.00,792.00,778.00,780.00,-1.52,"7,210.00","5,650,510.00"
43,43,2021-05-04,807.00,807.00,778.00,792.00,-0.13,"6,540.00","5,140,416.00"
44,44,2021-05-03,805.00,810.00,782.00,793.00,-1.49,"16,942.00","13,442,076.00"
45,45,2021-05-02,775.00,810.00,762.00,805.00,1.90,"16,014.00","12,810,701.00"
46,46,2021-04-29,760.00,798.00,758.00,790.00,2.33,"8,804.00","6,883,192.00"
47,47,2021-04-28,755.00,785.00,726.00,772.00,0.26,"6,769.00","5,189,759.00"
48,48,2021-04-27,717.00,770.00,717.00,770.00,5.48,"9,220.00","6,949,499.00"
49,49,2021-04-26,703.00,759.00,703.00,730.00,-1.22,"13,105.00","9,565,620.00"
50,50,2021-04-25,770.00,770.00,732.00,739.00,-4.52,"18,366.00","13,617,517.00"
51,51,2021-04-22,763.00,775.00,761.00,774.00,-0.51,"10,350.00","7,962,060.00"
52,52,2021-04-21,775.00,805.00,766.00,778.00,-1.52,"11,935.00","9,270,852.00"
53,53,2021-04-20,782.00,802.00,760.00,790.00,1.02,"11,927.00","9,395,053.00"
54,54,2021-04-19,788.00,804.00,771.00,782.00,-2.74,"13,642.00","10,726,274.00"
55,55,2021-04-18,820.00,820.00,790.00,804.00,-2.31,"29,998.00","24,061,355.00"
56,56,2021-04-15,874.00,884.00,805.00,823.00,-1.20,"40,059.00","33,158,354.00"
57,57,2021-04-13,764.00,833.00,764.00,833.00,9.89,"45,712.00","37,243,613.00"
58,58,2021-04-12,730.00,800.00,730.00,758.00,3.55,"25,683.00","19,552,921.00"
59,59,2021-04-08,720.00,740.00,713.00,732.00,0.69,"10,293.00","7,521,426.00"
60,60,2021-04-07,702.00,750.00,702.00,727.00,1.82,"23,145.00","16,880,665.00"
61,61,2021-04-06,700.00,738.00,696.00,714.00,0.85,"14,289.00","10,199,742.00"
62,62,2021-04-05,705.00,718.00,691.00,708.00,0.57,"11,655.00","8,172,016.00"
63,63,2021-04-04,701.00,707.00,690.00,704.00,0.28,"9,826.00","6,873,624.00"
64,64,2021-04-01,676.00,702.00,676.00,702.00,1.89,"17,953.00","12,508,596.00"
65,65,2021-03-31,680.00,695.00,680.00,689.00,-0.14,"7,189.00","4,950,243.00"
66,66,2021-03-30,680.00,707.00,659.00,690.00,1.02,"5,594.00","3,821,661.00"
67,67,2021-03-29,690.00,697.00,677.00,683.00,-2.01,"13,610.00","9,328,085.00"
68,68,2021-03-25,730.00,735.00,680.00,697.00,-1.13,"10,820.00","7,510,274.00"
69,69,2021-03-24,715.00,725.00,696.00,705.00,-1.40,"18,923.00","13,427,680.00"
70,70,2021-03-23,651.00,716.00,651.00,715.00,4.38,"43,777.00","30,809,123.00"
71,71,2021-03-22,680.00,690.00,654.00,685.00,0.74,"12,700.00","8,654,601.00"
72,72,2021-03-21,661.00,691.00,630.00,680.00,0.89,"21,793.00","14,478,106.00"
73,73,2021-03-18,654.00,678.00,654.00,674.00,1.05,"6,396.00","4,282,673.00"
74,74,2021-03-17,659.00,685.00,647.00,667.00,-0.74,"7,630.00","5,109,400.00"
