,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,309.00,331.00,309.00,317.00,-2.46,"13,172.00","4,284,056.00"
2,2,2021-07-01,323.00,330.00,319.00,325.00,2.52,"7,439.00","2,421,739.00"
3,3,2021-06-30,305.00,323.00,300.00,317.00,1.93,"11,654.00","3,558,489.00"
4,4,2021-06-29,336.00,336.00,310.00,311.00,-2.81,"9,672.00","3,063,384.00"
5,5,2021-06-28,335.00,335.00,320.00,320.00,-3.03,"12,339.00","4,023,280.00"
6,6,2021-06-27,337.00,342.00,329.00,330.00,-0.30,"12,181.00","4,046,339.00"
7,7,2021-06-24,333.00,344.00,331.00,331.00,-2.36,"12,960.00","4,347,065.00"
8,8,2021-06-23,350.00,354.00,335.00,339.00,-2.87,"22,499.00","7,719,919.00"
9,9,2021-06-22,317.00,350.00,317.00,349.00,9.40,"19,234.00","6,424,425.00"
10,10,2021-06-21,343.00,343.00,315.00,319.00,-5.34,"15,660.00","5,069,675.00"
11,11,2021-06-20,350.00,356.00,330.00,337.00,-3.71,"26,870.00","9,209,058.00"
12,12,2021-06-17,347.00,364.00,335.00,350.00,0.57,"26,932.00","9,338,140.00"
13,13,2021-06-16,361.00,377.00,342.00,348.00,-8.18,"50,427.00","17,837,818.00"
14,14,2021-06-15,400.00,413.00,375.00,379.00,-4.77,"44,391.00","17,199,671.00"
15,15,2021-06-14,439.00,439.00,392.00,398.00,-5.01,"98,154.00","40,049,051.00"
16,16,2021-06-13,390.00,420.00,378.00,419.00,8.27,"90,600.00","36,966,165.00"
17,17,2021-06-10,345.00,392.00,345.00,387.00,6.61,"78,594.00","30,112,747.00"
18,18,2021-06-09,364.00,384.00,357.00,363.00,-1.89,"36,761.00","13,669,480.00"
19,19,2021-06-08,377.00,384.00,370.00,370.00,0.00,"45,104.00","16,956,207.00"
20,20,2021-06-07,346.00,370.00,345.00,370.00,8.82,"28,271.00","10,093,179.00"
21,21,2021-06-06,343.00,347.00,331.00,340.00,-2.58,"33,638.00","11,284,141.00"
22,22,2021-06-03,364.00,365.00,345.00,349.00,-2.79,"30,929.00","10,846,034.00"
23,23,2021-06-02,364.00,373.00,341.00,359.00,3.46,"32,298.00","11,482,517.00"
24,24,2021-06-01,353.00,369.00,338.00,347.00,-3.61,"26,262.00","9,247,503.00"
25,25,2021-05-31,388.00,388.00,354.00,360.00,-8.16,"72,288.00","26,624,244.00"
26,26,2021-05-30,406.00,412.00,379.00,392.00,-5.31,"191,123.00","75,004,681.00"
27,27,2021-05-27,379.00,415.00,371.00,414.00,9.23,"71,904.00","28,971,171.00"
28,28,2021-05-25,350.00,379.00,350.00,379.00,9.86,"90,896.00","34,247,008.00"
29,29,2021-05-24,324.00,345.00,320.00,345.00,9.87,"208,921.00","70,830,266.00"
30,30,2021-05-23,304.00,316.00,284.00,314.00,8.28,"45,973.00","13,889,773.00"
31,31,2021-05-20,294.00,297.00,288.00,290.00,-3.01,"24,905.00","7,254,818.00"
32,32,2021-05-19,317.00,317.00,294.00,299.00,-4.47,"39,008.00","11,751,165.00"
33,33,2021-05-18,296.00,318.00,296.00,313.00,7.56,"88,706.00","27,689,220.00"
34,34,2021-05-17,284.00,301.00,282.00,291.00,1.75,"33,649.00","9,794,624.00"
35,35,2021-05-16,289.00,292.00,283.00,286.00,-1.38,"18,857.00","5,374,961.00"
36,36,2021-05-13,300.00,306.00,289.00,290.00,-1.69,"37,151.00","11,068,446.00"
37,37,2021-05-12,293.00,298.00,278.00,295.00,2.43,"23,497.00","6,806,960.00"
38,38,2021-05-11,277.00,290.00,277.00,288.00,2.49,"18,456.00","5,246,739.00"
39,39,2021-05-10,279.00,281.00,267.00,281.00,1.44,"11,380.00","3,125,690.00"
40,40,2021-05-09,281.00,282.00,273.00,277.00,-3.15,"12,390.00","3,419,450.00"
41,41,2021-05-06,293.00,293.00,281.00,286.00,-3.70,"28,253.00","8,025,065.00"
42,42,2021-05-05,285.00,301.00,282.00,297.00,4.58,"44,067.00","12,950,043.00"
43,43,2021-05-04,279.00,296.00,266.00,284.00,3.27,"32,867.00","9,282,052.00"
44,44,2021-05-03,272.00,280.00,270.00,275.00,-0.72,"12,805.00","3,520,910.00"
45,45,2021-05-02,265.00,282.00,262.00,277.00,2.59,"26,128.00","7,186,400.00"
46,46,2021-04-29,257.00,270.00,257.00,270.00,3.05,"8,647.00","2,312,449.00"
47,47,2021-04-28,260.00,265.00,250.00,262.00,-0.76,"2,602.00","667,291.00"
48,48,2021-04-27,247.00,265.00,246.00,264.00,5.60,"9,270.00","2,342,750.00"
49,49,2021-04-26,256.00,258.00,250.00,250.00,-4.21,"9,567.00","2,409,057.00"
50,50,2021-04-25,268.00,269.00,255.00,261.00,-3.69,"10,844.00","2,825,969.00"
51,51,2021-04-22,266.00,275.00,262.00,271.00,0.37,"24,572.00","6,625,208.00"
52,52,2021-04-21,270.00,290.00,267.00,270.00,0.00,"34,290.00","9,400,190.00"
53,53,2021-04-20,265.00,272.00,260.00,270.00,3.45,"25,117.00","6,689,522.00"
