,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,540.00,550.00,530.00,531.00,-2.39,"95,999.00","51,357,162.00"
2,2,2021-07-01,559.00,569.00,529.00,544.00,-0.91,"33,721.00","18,320,059.00"
3,3,2021-06-30,535.00,559.00,516.00,549.00,2.62,"32,057.00","17,123,672.00"
4,4,2021-06-29,562.00,575.00,520.00,535.00,-5.98,"36,418.00","19,728,751.00"
5,5,2021-06-28,595.00,595.00,569.00,569.00,-4.21,"68,173.00","39,321,575.00"
6,6,2021-06-27,532.00,610.00,532.00,594.00,6.26,"150,760.00","89,006,788.00"
7,7,2021-06-24,525.00,585.00,525.00,559.00,2.19,"116,002.00","65,189,498.00"
8,8,2021-06-23,543.00,586.00,533.00,547.00,-1.26,"109,753.00","60,401,223.00"
9,9,2021-06-22,514.00,559.00,510.00,554.00,7.78,"101,345.00","54,670,461.00"
10,10,2021-06-21,575.00,575.00,512.00,514.00,-6.20,"145,262.00","76,096,741.00"
11,11,2021-06-20,609.00,609.00,532.00,548.00,-5.52,"95,615.00","52,840,165.00"
12,12,2021-06-17,592.00,605.00,563.00,580.00,-2.03,"110,509.00","64,486,429.00"
13,13,2021-06-16,599.00,624.00,567.00,592.00,-6.03,"264,112.00","156,506,076.00"
14,14,2021-06-15,689.00,689.00,627.00,630.00,-4.11,"147,784.00","93,620,331.00"
15,15,2021-06-14,700.00,700.00,637.00,657.00,-3.67,"382,355.00","252,491,667.00"
16,16,2021-06-13,664.00,696.00,613.00,682.00,7.74,"285,677.00","189,923,112.00"
17,17,2021-06-10,604.00,633.00,567.00,633.00,9.90,"562,704.00","344,281,092.00"
18,18,2021-06-09,550.00,576.00,550.00,576.00,9.92,"334,179.00","192,420,874.00"
19,19,2021-06-08,500.00,524.00,500.00,524.00,9.85,"29,475.00","15,402,056.00"
20,20,2021-06-07,455.00,477.00,455.00,477.00,9.91,"66,636.00","31,675,253.00"
21,21,2021-06-06,414.00,434.00,396.00,434.00,9.87,"287,176.00","122,188,819.00"
22,22,2021-06-03,386.00,408.00,386.00,395.00,2.33,"277,663.00","109,769,429.00"
23,23,2021-06-02,360.00,391.00,360.00,386.00,4.04,"77,692.00","29,529,915.00"
24,24,2021-06-01,386.00,386.00,355.00,371.00,0.82,"104,453.00","38,782,645.00"
25,25,2021-05-31,420.00,420.00,367.00,368.00,-8.00,"148,067.00","56,758,479.00"
26,26,2021-05-30,408.00,430.00,388.00,400.00,-1.96,"271,931.00","110,900,423.00"
27,27,2021-05-27,365.00,408.00,360.00,408.00,9.97,"268,446.00","106,023,336.00"
28,28,2021-05-25,370.00,384.00,349.00,371.00,5.10,"166,830.00","60,572,235.00"
29,29,2021-05-24,379.00,379.00,345.00,353.00,-2.22,"169,724.00","60,557,779.00"
30,30,2021-05-23,384.00,384.00,349.00,361.00,-1.37,"158,653.00","58,025,833.00"
31,31,2021-05-20,350.00,377.00,335.00,366.00,6.40,"260,139.00","91,564,903.00"
32,32,2021-05-19,364.00,364.00,331.00,344.00,-0.86,"171,761.00","58,286,356.00"
33,33,2021-05-18,331.00,347.00,319.00,347.00,9.81,"123,165.00","42,216,754.00"
34,34,2021-05-17,302.00,316.00,288.00,316.00,9.72,"288,773.00","88,442,322.00"
35,35,2021-05-16,295.00,295.00,275.00,288.00,2.49,"189,501.00","54,136,609.00"
36,36,2021-05-13,275.00,295.00,275.00,281.00,-2.09,"174,471.00","49,998,045.00"
37,37,2021-05-12,284.00,292.00,274.00,287.00,5.51,"132,669.00","37,306,395.00"
38,38,2021-05-11,253.00,276.00,253.00,272.00,5.84,"155,746.00","41,686,979.00"
39,39,2021-05-10,252.00,261.00,251.00,257.00,0.78,"103,117.00","26,284,491.00"
40,40,2021-05-09,248.00,270.00,241.00,255.00,1.19,"218,388.00","56,067,559.00"
41,41,2021-05-06,265.00,265.00,239.00,252.00,-0.40,"298,123.00","74,620,708.00"
42,42,2021-05-05,241.00,253.00,225.00,253.00,10.00,"308,930.00","76,344,866.00"
43,43,2021-05-04,235.00,235.00,222.00,230.00,2.68,"111,293.00","25,401,077.00"
44,44,2021-05-03,219.00,231.00,213.00,224.00,4.19,"247,320.00","55,085,723.00"
45,45,2021-05-02,215.00,219.00,211.00,215.00,0.00,"43,993.00","9,464,078.00"
46,46,2021-04-29,210.00,216.00,207.00,215.00,4.37,"52,292.00","11,112,328.00"
47,47,2021-04-28,215.00,221.00,203.00,206.00,-3.29,"46,756.00","9,812,547.00"
48,48,2021-04-27,201.00,216.00,197.00,213.00,7.58,"52,881.00","11,012,423.00"
49,49,2021-04-26,201.00,204.00,194.00,198.00,-3.41,"53,052.00","10,587,410.00"
50,50,2021-04-25,220.00,220.00,203.00,205.00,-7.66,"135,579.00","28,260,416.00"
51,51,2021-04-22,227.00,231.00,220.00,222.00,-2.20,"52,190.00","11,736,563.00"
52,52,2021-04-21,222.00,236.00,222.00,227.00,-1.73,"58,617.00","13,321,225.00"
53,53,2021-04-20,215.00,231.00,215.00,231.00,5.48,"114,715.00","25,899,142.00"
54,54,2021-04-19,231.00,231.00,219.00,219.00,-3.52,"65,405.00","14,535,656.00"
55,55,2021-04-18,223.00,238.00,223.00,227.00,0.00,"115,227.00","26,366,400.00"
56,56,2021-04-15,215.00,229.00,213.00,227.00,7.08,"218,856.00","48,743,717.00"
57,57,2021-04-13,206.00,220.00,206.00,212.00,2.91,"79,637.00","17,092,878.00"
58,58,2021-04-12,221.00,221.00,202.00,206.00,-2.37,"61,432.00","12,719,689.00"
59,59,2021-04-08,224.00,224.00,211.00,211.00,-3.21,"39,909.00","8,533,122.00"
60,60,2021-04-07,234.00,234.00,214.00,218.00,-3.11,"88,003.00","19,381,446.00"
61,61,2021-04-06,212.00,228.00,206.00,225.00,6.13,"154,483.00","33,239,799.00"
62,62,2021-04-05,223.00,223.00,208.00,212.00,-0.47,"90,015.00","19,046,181.00"
63,63,2021-04-04,213.00,213.00,208.00,213.00,1.91,"97,331.00","20,577,874.00"
64,64,2021-04-01,210.00,214.00,203.00,209.00,0.97,"114,947.00","23,814,241.00"
65,65,2021-03-31,206.00,210.00,201.00,207.00,0.98,"91,639.00","18,848,758.00"
66,66,2021-03-30,219.00,219.00,205.00,205.00,-1.91,"119,616.00","25,132,513.00"
67,67,2021-03-29,204.00,214.00,194.00,209.00,7.18,"214,834.00","43,362,964.00"
68,68,2021-03-25,210.00,210.00,195.00,195.00,-3.47,"122,626.00","24,418,241.00"
69,69,2021-03-24,190.00,206.00,189.00,202.00,7.45,"187,813.00","36,892,053.00"
70,70,2021-03-23,185.00,190.00,185.00,188.00,1.62,"61,160.00","11,471,347.00"
71,71,2021-03-22,195.00,195.00,184.00,185.00,-0.54,"17,365.00","3,210,616.00"
72,72,2021-03-21,183.00,189.00,183.00,186.00,0.00,"42,250.00","7,865,704.00"
73,73,2021-03-18,187.00,190.00,185.00,186.00,0.54,"26,316.00","4,898,870.00"
74,74,2021-03-17,188.00,190.00,182.00,185.00,0.00,"22,460.00","4,202,521.00"
75,75,2021-03-16,185.00,188.00,180.00,185.00,0.00,"62,109.00","11,415,586.00"
76,76,2021-03-15,189.00,190.00,183.00,185.00,-0.54,"28,725.00","5,304,223.00"
77,77,2021-03-14,189.00,196.00,184.00,186.00,-1.59,"67,046.00","12,667,341.00"
78,78,2021-03-10,199.00,199.00,187.00,189.00,-0.53,"30,889.00","5,853,444.00"
79,79,2021-03-09,184.00,200.00,181.00,190.00,4.40,"187,558.00","36,163,747.00"
80,80,2021-03-07,189.00,191.00,182.00,182.00,-2.15,"87,969.00","16,434,251.00"
81,81,2021-03-04,178.00,188.00,174.00,186.00,6.29,"63,423.00","11,544,535.00"
82,82,2021-03-03,173.00,182.00,171.00,175.00,-0.57,"29,861.00","5,190,518.00"
83,83,2021-03-02,189.00,189.00,173.00,176.00,-2.22,"42,607.00","7,534,173.00"
84,84,2021-03-01,179.00,184.00,177.00,180.00,2.27,"52,366.00","9,392,308.00"
85,85,2021-02-28,185.00,185.00,175.00,176.00,-5.88,"66,305.00","11,823,407.00"
86,86,2021-02-25,189.00,190.00,183.00,187.00,-1.58,"33,174.00","6,141,365.00"
87,87,2021-02-24,195.00,197.00,184.00,190.00,-1.55,"65,166.00","12,343,667.00"
88,88,2021-02-23,199.00,199.00,183.00,193.00,1.58,"63,800.00","11,969,087.00"
89,89,2021-02-22,198.00,198.00,187.00,190.00,0.53,"205,976.00","39,329,430.00"
90,90,2021-02-21,187.00,192.00,183.00,189.00,2.72,"75,898.00","14,214,979.00"
91,91,2021-02-18,181.00,187.00,180.00,184.00,1.66,"34,905.00","6,401,066.00"
92,92,2021-02-17,178.00,189.00,178.00,181.00,-3.21,"32,223.00","5,885,710.00"
93,93,2021-02-16,190.00,194.00,179.00,187.00,0.00,"67,814.00","12,746,884.00"
94,94,2021-02-15,174.00,188.00,174.00,187.00,9.36,"158,239.00","29,194,703.00"
95,95,2021-02-14,177.00,180.00,171.00,171.00,-5.00,"59,432.00","10,294,402.00"
96,96,2021-02-11,171.00,187.00,171.00,180.00,0.00,"27,955.00","5,062,170.00"
97,97,2021-02-10,180.00,185.00,177.00,180.00,-1.64,"53,115.00","9,532,410.00"
98,98,2021-02-09,188.00,189.00,179.00,183.00,-2.66,"40,685.00","7,408,891.00"
99,99,2021-02-08,201.00,201.00,183.00,188.00,-2.08,"127,060.00","23,876,004.00"
100,100,2021-02-07,176.00,200.00,176.00,192.00,3.78,"165,945.00","31,868,890.00"
101,101,2021-02-04,175.00,190.00,172.00,185.00,6.32,"104,696.00","19,019,558.00"
102,102,2021-02-03,174.00,183.00,171.00,174.00,1.75,"76,028.00","13,315,778.00"
103,103,2021-02-02,176.00,176.00,165.00,171.00,-1.16,"59,583.00","10,187,070.00"
104,104,2021-02-01,173.00,176.00,168.00,173.00,0.00,"35,540.00","6,076,424.00"
