,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,459.00,468.00,443.00,444.00,-1.55,"49,646.00","22,135,128.00"
2,2,2021-07-01,464.00,464.00,446.00,451.00,-0.88,"47,147.00","21,526,265.00"
3,3,2021-06-30,452.00,458.00,433.00,455.00,2.25,"72,915.00","32,325,595.00"
4,4,2021-06-29,463.00,472.00,438.00,445.00,-3.89,"142,431.00","64,184,054.00"
5,5,2021-06-28,476.00,476.00,461.00,463.00,-0.86,"51,558.00","24,065,228.00"
6,6,2021-06-27,471.00,490.00,466.00,467.00,0.43,"87,580.00","41,590,501.00"
7,7,2021-06-24,451.00,494.00,450.00,465.00,1.75,"147,782.00","69,596,264.00"
8,8,2021-06-23,498.00,498.00,453.00,457.00,-3.79,"127,018.00","59,316,423.00"
9,9,2021-06-22,450.00,476.00,440.00,475.00,6.26,"100,624.00","46,483,832.00"
10,10,2021-06-21,478.00,478.00,445.00,447.00,-6.49,"156,349.00","71,711,911.00"
11,11,2021-06-20,495.00,500.00,469.00,478.00,-4.02,"188,842.00","91,536,221.00"
12,12,2021-06-17,475.00,510.00,475.00,498.00,-0.40,"160,645.00","79,455,209.00"
13,13,2021-06-16,521.00,537.00,494.00,500.00,-8.76,"525,400.00","269,078,942.00"
14,14,2021-06-15,580.00,588.00,539.00,548.00,-5.35,"260,366.00","145,046,364.00"
15,15,2021-06-14,580.00,613.00,550.00,579.00,2.48,"590,954.00","343,823,446.00"
16,16,2021-06-13,517.00,568.00,507.00,565.00,9.28,"668,796.00","366,216,964.00"
17,17,2021-06-10,513.00,530.00,511.00,517.00,-0.58,"189,578.00","98,720,464.00"
18,18,2021-06-09,549.00,549.00,509.00,520.00,-0.57,"348,346.00","183,737,443.00"
19,19,2021-06-08,453.00,523.00,453.00,523.00,9.87,"950,570.00","478,292,107.00"
20,20,2021-06-07,451.00,485.00,451.00,476.00,0.63,"146,382.00","69,907,012.00"
21,21,2021-06-06,470.00,487.00,467.00,473.00,0.21,"113,698.00","53,839,820.00"
22,22,2021-06-03,462.00,499.00,462.00,472.00,-2.88,"158,450.00","75,464,269.00"
23,23,2021-06-02,497.00,497.00,462.00,486.00,2.53,"88,556.00","42,387,200.00"
24,24,2021-06-01,492.00,494.00,468.00,474.00,-2.27,"118,600.00","56,411,668.00"
25,25,2021-05-31,532.00,532.00,478.00,485.00,-4.34,"158,057.00","77,388,318.00"
26,26,2021-05-30,529.00,549.00,497.00,507.00,0.60,"577,020.00","298,543,653.00"
27,27,2021-05-27,500.00,514.00,480.00,504.00,2.86,"388,311.00","195,216,515.00"
28,28,2021-05-25,509.00,509.00,475.00,490.00,1.03,"97,550.00","47,392,790.00"
29,29,2021-05-24,512.00,512.00,482.00,485.00,-0.61,"67,989.00","33,067,806.00"
30,30,2021-05-23,480.00,500.00,469.00,488.00,0.41,"90,667.00","44,247,022.00"
31,31,2021-05-20,495.00,498.00,483.00,486.00,-1.02,"125,957.00","61,349,841.00"
32,32,2021-05-19,520.00,523.00,489.00,491.00,-3.73,"196,142.00","98,014,083.00"
33,33,2021-05-18,473.00,521.00,473.00,510.00,3.03,"251,248.00","128,267,014.00"
34,34,2021-05-17,500.00,505.00,489.00,495.00,-0.40,"172,776.00","85,563,697.00"
35,35,2021-05-16,491.00,510.00,490.00,497.00,2.26,"243,663.00","120,775,875.00"
36,36,2021-05-13,471.00,499.00,471.00,486.00,3.40,"245,015.00","119,754,376.00"
37,37,2021-05-12,466.00,475.00,466.00,470.00,0.86,"51,563.00","24,247,080.00"
38,38,2021-05-11,470.00,474.00,462.00,466.00,0.00,"40,174.00","18,773,382.00"
39,39,2021-05-10,460.00,474.00,455.00,466.00,0.22,"40,772.00","19,067,594.00"
40,40,2021-05-09,470.00,473.00,461.00,465.00,-1.48,"54,672.00","25,449,887.00"
41,41,2021-05-06,485.00,485.00,470.00,472.00,-1.46,"60,447.00","28,628,551.00"
42,42,2021-05-05,466.00,491.00,464.00,479.00,2.13,"128,786.00","62,157,429.00"
43,43,2021-05-04,463.00,475.00,461.00,469.00,1.30,"53,897.00","25,331,400.00"
44,44,2021-05-03,485.00,487.00,463.00,463.00,-3.34,"86,965.00","41,148,004.00"
45,45,2021-05-02,479.00,498.00,464.00,479.00,0.00,"82,859.00","39,878,397.00"
46,46,2021-04-29,455.00,482.00,450.00,479.00,5.27,"112,578.00","52,785,495.00"
47,47,2021-04-28,451.00,464.00,433.00,455.00,0.89,"81,037.00","36,853,165.00"
48,48,2021-04-27,423.00,453.00,416.00,451.00,4.64,"74,831.00","33,174,300.00"
49,49,2021-04-26,456.00,459.00,427.00,431.00,-5.48,"106,895.00","46,928,570.00"
50,50,2021-04-25,481.00,481.00,453.00,456.00,-5.20,"80,151.00","36,910,603.00"
51,51,2021-04-22,470.00,484.00,450.00,481.00,2.78,"72,557.00","34,011,992.00"
52,52,2021-04-21,456.00,485.00,456.00,468.00,-2.30,"71,917.00","33,741,547.00"
53,53,2021-04-20,466.00,480.00,465.00,479.00,1.05,"62,561.00","29,526,354.00"
54,54,2021-04-19,480.00,501.00,470.00,474.00,-1.25,"104,682.00","50,283,157.00"
55,55,2021-04-18,510.00,510.00,475.00,480.00,-1.23,"134,611.00","64,748,701.00"
56,56,2021-04-15,504.00,504.00,484.00,486.00,-1.82,"118,813.00","58,159,687.00"
57,57,2021-04-13,488.00,514.00,480.00,495.00,1.43,"129,208.00","63,446,495.00"
58,58,2021-04-12,500.00,500.00,478.00,488.00,-3.56,"175,809.00","85,934,855.00"
59,59,2021-04-08,533.00,538.00,501.00,506.00,-4.17,"121,697.00","62,043,720.00"
60,60,2021-04-07,562.00,562.00,505.00,528.00,-1.49,"291,809.00","154,692,369.00"
61,61,2021-04-06,490.00,538.00,472.00,536.00,9.39,"285,657.00","147,872,003.00"
62,62,2021-04-05,517.00,517.00,481.00,490.00,-2.39,"277,684.00","137,128,941.00"
63,63,2021-04-04,493.00,517.00,472.00,502.00,6.81,"368,576.00","184,050,181.00"
64,64,2021-04-01,457.00,478.00,425.00,470.00,7.80,"333,390.00","152,909,921.00"
65,65,2021-03-31,421.00,447.00,416.00,436.00,3.56,"224,193.00","97,309,084.00"
66,66,2021-03-30,397.00,432.00,397.00,421.00,4.73,"107,002.00","44,496,661.00"
67,67,2021-03-29,395.00,417.00,395.00,402.00,-0.25,"69,743.00","28,238,260.00"
68,68,2021-03-25,420.00,420.00,398.00,403.00,-4.05,"171,847.00","69,340,975.00"
69,69,2021-03-24,439.00,459.00,414.00,420.00,0.24,"242,025.00","103,352,401.00"
70,70,2021-03-23,388.00,419.00,381.00,419.00,9.97,"335,801.00","137,480,747.00"
71,71,2021-03-22,359.00,386.00,359.00,381.00,5.25,"169,184.00","64,133,365.00"
72,72,2021-03-21,359.00,365.00,357.00,362.00,0.00,"30,800.00","11,092,640.00"
73,73,2021-03-18,360.00,366.00,360.00,362.00,0.00,"20,445.00","7,430,215.00"
74,74,2021-03-17,373.00,373.00,353.00,362.00,1.69,"13,372.00","4,819,337.00"
75,75,2021-03-16,353.00,374.00,353.00,356.00,-1.11,"29,870.00","10,806,560.00"
76,76,2021-03-15,381.00,381.00,355.00,360.00,-0.83,"38,783.00","14,004,832.00"
77,77,2021-03-14,382.00,382.00,358.00,363.00,-0.27,"35,954.00","13,068,645.00"
78,78,2021-03-10,365.00,370.00,362.00,364.00,-1.36,"17,557.00","6,419,509.00"
79,79,2021-03-09,360.00,377.00,357.00,369.00,1.37,"36,192.00","13,356,727.00"
80,80,2021-03-07,360.00,370.00,358.00,364.00,0.00,"21,516.00","7,849,627.00"
81,81,2021-03-04,341.00,369.00,341.00,364.00,5.20,"30,042.00","10,826,803.00"
82,82,2021-03-03,355.00,362.00,341.00,346.00,-2.81,"27,675.00","9,669,115.00"
83,83,2021-03-02,364.00,371.00,355.00,356.00,-2.20,"73,446.00","26,618,160.00"
84,84,2021-03-01,359.00,372.00,358.00,364.00,1.39,"17,688.00","6,432,247.00"
85,85,2021-02-28,365.00,367.00,358.00,359.00,-2.45,"45,076.00","16,294,757.00"
86,86,2021-02-25,369.00,380.00,365.00,368.00,-1.87,"42,653.00","15,758,940.00"
87,87,2021-02-24,381.00,392.00,362.00,375.00,-1.32,"42,361.00","16,050,477.00"
88,88,2021-02-23,396.00,396.00,365.00,380.00,0.53,"63,516.00","23,629,400.00"
89,89,2021-02-22,393.00,400.00,374.00,378.00,-2.33,"37,751.00","14,394,776.00"
90,90,2021-02-21,377.00,407.00,362.00,387.00,4.59,"160,740.00","62,509,219.00"
91,91,2021-02-18,370.00,376.00,361.00,370.00,1.65,"51,659.00","19,077,857.00"
92,92,2021-02-17,388.00,388.00,360.00,364.00,-1.62,"44,106.00","16,082,228.00"
93,93,2021-02-16,378.00,385.00,365.00,370.00,-2.12,"28,949.00","10,788,431.00"
94,94,2021-02-15,369.00,383.00,363.00,378.00,4.42,"23,341.00","8,612,491.00"
95,95,2021-02-14,363.00,371.00,360.00,362.00,-2.16,"28,012.00","10,189,892.00"
96,96,2021-02-11,370.00,375.00,366.00,370.00,-0.27,"36,675.00","13,518,965.00"
97,97,2021-02-10,366.00,376.00,366.00,371.00,-0.27,"30,217.00","11,210,387.00"
98,98,2021-02-09,379.00,380.00,371.00,372.00,-2.11,"24,950.00","9,352,434.00"
99,99,2021-02-08,404.00,404.00,375.00,380.00,-1.30,"31,054.00","11,790,037.00"
100,100,2021-02-07,382.00,386.00,375.00,385.00,0.79,"56,771.00","21,693,872.00"
101,101,2021-02-04,372.00,389.00,370.00,382.00,1.33,"58,941.00","22,555,170.00"
102,102,2021-02-03,380.00,394.00,375.00,377.00,-0.26,"57,736.00","22,118,087.00"
103,103,2021-02-02,372.00,378.00,366.00,378.00,1.89,"44,923.00","16,760,150.00"
104,104,2021-02-01,366.00,375.00,365.00,371.00,1.09,"51,845.00","19,251,530.00"
105,105,2021-01-31,367.00,370.00,359.00,367.00,-1.87,"81,285.00","29,460,131.00"
106,106,2021-01-28,374.00,382.00,371.00,374.00,-1.58,"140,811.00","53,240,056.00"
107,107,2021-01-27,375.00,384.00,367.00,380.00,0.00,"61,281.00","23,036,361.00"
108,108,2021-01-26,397.00,400.00,373.00,380.00,-4.28,"139,478.00","53,327,300.00"
109,109,2021-01-25,400.00,400.00,380.00,397.00,-0.75,"280,413.00","110,301,550.00"
110,110,2021-01-24,369.00,402.00,350.00,400.00,8.40,"242,792.00","92,479,432.00"
111,111,2021-01-21,344.00,373.00,341.00,369.00,8.53,"208,068.00","74,177,849.00"
112,112,2021-01-20,320.00,346.00,320.00,340.00,6.25,"165,694.00","55,001,268.00"
113,113,2021-01-19,309.00,328.00,302.00,320.00,5.26,"97,968.00","30,642,833.00"
114,114,2021-01-18,300.00,307.00,298.00,304.00,0.66,"45,405.00","13,799,531.00"
115,115,2021-01-17,310.00,310.00,300.00,302.00,-2.58,"23,701.00","7,216,353.00"
116,116,2021-01-13,308.00,321.00,303.00,310.00,1.31,"55,868.00","17,363,561.00"
117,117,2021-01-12,287.00,307.00,282.00,306.00,7.37,"108,617.00","32,676,547.00"
118,118,2021-01-11,280.00,290.00,280.00,285.00,0.00,"25,375.00","7,240,253.00"
119,119,2021-01-10,284.00,290.00,284.00,285.00,0.35,"16,898.00","4,823,275.00"
120,120,2021-01-07,286.00,298.00,280.00,284.00,-2.41,"44,980.00","12,888,285.00"
121,121,2021-01-06,297.00,297.00,285.00,291.00,-0.68,"69,375.00","20,104,711.00"
122,122,2021-01-05,282.00,302.00,278.00,293.00,2.45,"50,015.00","14,623,249.00"
123,123,2021-01-04,290.00,294.00,284.00,286.00,-1.38,"32,321.00","9,298,536.00"
124,124,2021-01-03,276.00,292.00,276.00,290.00,3.94,"49,679.00","14,240,031.00"
125,125,2020-12-31,286.00,289.00,275.00,279.00,-1.76,"36,238.00","10,168,527.00"
126,126,2020-12-30,265.00,284.00,264.00,284.00,7.17,"26,470.00","7,155,501.00"
127,127,2020-12-29,265.00,270.00,262.00,265.00,-0.38,"30,185.00","7,990,830.00"
128,128,2020-12-28,264.00,273.00,262.00,266.00,-0.75,"23,940.00","6,385,820.00"
129,129,2020-12-27,266.00,271.00,263.00,268.00,-1.11,"38,024.00","10,141,411.00"
130,130,2020-12-24,276.00,280.00,268.00,271.00,-1.81,"31,657.00","8,632,131.00"
131,131,2020-12-23,285.00,291.00,274.00,276.00,-1.43,"25,356.00","7,049,904.00"
132,132,2020-12-22,255.00,280.00,255.00,280.00,9.80,"60,220.00","16,406,336.00"
133,133,2020-12-21,256.00,270.00,236.00,255.00,-2.30,"72,901.00","18,600,150.00"
134,134,2020-12-20,280.00,293.00,261.00,261.00,-6.79,"62,410.00","16,664,419.00"
135,135,2020-12-17,283.00,286.00,268.00,280.00,-2.78,"73,753.00","20,615,724.00"
136,136,2020-12-16,288.00,293.00,283.00,288.00,-1.03,"42,350.00","12,195,491.00"
137,137,2020-12-15,294.00,296.00,289.00,291.00,-1.02,"43,755.00","12,807,388.00"
138,138,2020-12-14,300.00,307.00,289.00,294.00,-2.33,"59,235.00","17,469,561.00"
139,139,2020-12-13,302.00,305.00,286.00,301.00,-2.27,"96,152.00","28,409,148.00"
140,140,2020-12-10,337.00,340.00,304.00,308.00,-8.61,"142,852.00","44,820,721.00"
141,141,2020-12-09,329.00,345.00,313.00,337.00,7.32,"389,411.00","130,833,227.00"
142,142,2020-12-08,300.00,314.00,289.00,314.00,9.79,"299,172.00","92,305,457.00"
143,143,2020-12-07,255.00,286.00,255.00,286.00,10.00,"127,729.00","34,917,561.00"
144,144,2020-12-06,275.00,275.00,258.00,260.00,-6.14,"115,422.00","30,442,761.00"
145,145,2020-12-03,295.00,295.00,274.00,277.00,-5.14,"178,600.00","50,329,242.00"
146,146,2020-12-02,289.00,303.00,279.00,292.00,5.80,"199,075.00","58,441,007.00"
147,147,2020-12-01,260.00,276.00,247.00,276.00,9.96,"190,694.00","50,859,932.00"
148,148,2020-11-30,233.00,251.00,231.00,251.00,9.61,"109,154.00","26,375,168.00"
149,149,2020-11-29,228.00,236.00,224.00,229.00,0.44,"110,183.00","25,113,464.00"
150,150,2020-11-26,224.00,233.00,224.00,228.00,-2.15,"41,920.00","9,592,450.00"
151,151,2020-11-25,220.00,233.00,220.00,233.00,3.56,"79,356.00","18,167,273.00"
152,152,2020-11-24,214.00,229.00,212.00,225.00,5.14,"52,829.00","11,809,520.00"
153,153,2020-11-23,217.00,223.00,213.00,214.00,-1.38,"57,351.00","12,362,187.00"
154,154,2020-11-22,217.00,224.00,217.00,217.00,-1.81,"78,033.00","17,122,733.00"
155,155,2020-11-19,223.00,223.00,216.00,221.00,0.00,"78,715.00","17,266,558.00"
156,156,2020-11-18,214.00,221.00,214.00,221.00,1.84,"57,307.00","12,507,146.00"
157,157,2020-11-12,220.00,220.00,215.00,217.00,-1.81,"37,491.00","8,149,889.00"
158,158,2020-11-11,215.00,224.00,215.00,221.00,0.91,"26,323.00","5,731,112.00"
159,159,2020-11-10,216.00,224.00,216.00,219.00,-0.45,"91,446.00","20,077,496.00"
160,160,2020-11-09,224.00,225.00,216.00,220.00,-1.35,"61,850.00","13,532,616.00"
161,161,2020-11-08,215.00,225.00,215.00,223.00,2.29,"32,946.00","7,299,187.00"
162,162,2020-11-05,218.00,224.00,215.00,218.00,1.40,"46,209.00","10,073,606.00"
163,163,2020-11-04,218.00,218.00,214.00,215.00,-1.38,"27,344.00","5,888,295.00"
164,164,2020-11-03,216.00,219.00,215.00,218.00,-0.91,"24,016.00","5,190,043.00"
165,165,2020-11-02,220.00,222.00,215.00,220.00,-0.45,"49,255.00","10,724,731.00"
166,166,2020-11-01,213.00,226.00,212.00,221.00,2.31,"61,523.00","13,629,284.00"
167,167,2020-10-29,210.00,223.00,210.00,216.00,0.00,"26,916.00","5,796,474.00"
168,168,2020-10-28,217.00,218.00,213.00,216.00,0.93,"28,913.00","6,208,704.00"
169,169,2020-10-22,215.00,218.00,209.00,214.00,-0.47,"37,705.00","7,972,471.00"
170,170,2020-10-21,216.00,219.00,212.00,215.00,-1.83,"44,723.00","9,590,378.00"
171,171,2020-10-20,214.00,226.00,214.00,219.00,2.34,"47,705.00","10,446,095.00"
172,172,2020-10-19,203.00,216.00,203.00,214.00,4.90,"28,607.00","6,027,360.00"
173,173,2020-10-18,206.00,210.00,199.00,204.00,-2.39,"28,787.00","5,839,837.00"
174,174,2020-10-15,210.00,216.00,205.00,209.00,0.00,"32,807.00","6,821,689.00"
175,175,2020-10-14,206.00,214.00,202.00,209.00,-0.48,"23,840.00","4,916,165.00"
176,176,2020-10-13,214.00,217.00,207.00,210.00,-2.33,"68,635.00","14,589,901.00"
177,177,2020-10-12,224.00,224.00,208.00,215.00,0.47,"61,740.00","13,116,780.00"
178,178,2020-10-11,224.00,228.00,210.00,214.00,0.00,"165,657.00","36,010,221.00"
179,179,2020-10-08,230.00,245.00,212.00,214.00,-6.55,"208,332.00","46,856,857.00"
180,180,2020-10-07,220.00,231.00,212.00,229.00,9.05,"275,749.00","62,627,056.00"
181,181,2020-10-06,188.00,210.00,188.00,210.00,9.95,"209,898.00","42,786,219.00"
182,182,2020-10-05,180.00,196.00,180.00,191.00,4.37,"58,069.00","11,066,112.00"
183,183,2020-10-04,185.00,190.00,180.00,183.00,-1.61,"34,679.00","6,403,316.00"
184,184,2020-10-01,189.00,192.00,186.00,186.00,-3.13,"58,696.00","11,095,122.00"
185,185,2020-09-30,193.00,200.00,185.00,192.00,-1.03,"47,762.00","9,173,354.00"
186,186,2020-09-29,187.00,199.00,186.00,194.00,2.11,"49,525.00","9,481,224.00"
187,187,2020-09-28,187.00,191.00,183.00,190.00,0.00,"38,470.00","7,244,799.00"
188,188,2020-09-27,195.00,202.00,185.00,190.00,-4.04,"92,695.00","18,062,641.00"
189,189,2020-09-24,186.00,203.00,186.00,198.00,5.32,"184,408.00","36,507,955.00"
190,190,2020-09-23,180.00,191.00,179.00,188.00,3.30,"53,324.00","9,938,657.00"
191,191,2020-09-22,181.00,194.00,179.00,182.00,-1.09,"87,809.00","16,267,223.00"
192,192,2020-09-21,182.00,190.00,176.00,184.00,0.00,"57,334.00","10,441,247.00"
193,193,2020-09-20,195.00,196.00,179.00,184.00,-5.64,"66,408.00","12,185,473.00"
194,194,2020-09-17,180.00,196.00,177.00,195.00,8.94,"303,625.00","58,548,970.00"
195,195,2020-09-16,174.00,185.00,168.00,179.00,4.68,"38,710.00","6,842,960.00"
196,196,2020-09-15,171.00,173.00,170.00,171.00,-1.72,"21,248.00","3,637,944.00"
197,197,2020-09-14,175.00,181.00,169.00,174.00,-1.69,"44,180.00","7,786,111.00"
198,198,2020-09-13,166.00,177.00,163.00,177.00,4.73,"48,236.00","8,238,449.00"
199,199,2020-09-10,174.00,177.00,167.00,169.00,1.81,"24,394.00","4,162,100.00"
200,200,2020-09-09,165.00,172.00,158.00,166.00,1.84,"34,141.00","5,617,771.00"
201,201,2020-09-08,160.00,168.00,159.00,163.00,0.00,"11,477.00","1,843,791.00"
202,202,2020-09-07,162.00,164.00,159.00,163.00,1.24,"32,645.00","5,251,080.00"
203,203,2020-09-06,172.00,172.00,159.00,161.00,-5.29,"55,471.00","9,284,066.00"
204,204,2020-09-03,180.00,180.00,162.00,170.00,-1.73,"77,239.00","13,041,439.00"
205,205,2020-09-02,165.00,173.00,160.00,173.00,9.49,"80,185.00","13,580,081.00"
206,206,2020-08-31,160.00,162.00,147.00,158.00,3.27,"42,161.00","6,615,112.00"
207,207,2020-08-30,145.00,153.00,145.00,153.00,4.08,"6,180.00","913,380.00"
208,208,2020-08-27,153.00,153.00,146.00,147.00,-3.92,"15,980.00","2,376,680.00"
209,209,2020-08-26,148.00,153.00,144.00,153.00,4.08,"24,508.00","3,648,372.00"
210,210,2020-08-25,147.00,148.00,145.00,147.00,1.38,"9,405.00","1,383,710.00"
211,211,2020-08-24,146.00,146.00,143.00,145.00,-0.68,"8,440.00","1,219,600.00"
212,212,2020-08-23,149.00,150.00,143.00,146.00,-0.68,"21,009.00","3,032,496.00"
213,213,2020-08-20,144.00,149.00,144.00,147.00,0.68,"5,951.00","870,375.00"
214,214,2020-08-19,145.00,147.00,143.00,146.00,-0.68,"9,168.00","1,324,766.00"
215,215,2020-08-18,145.00,150.00,145.00,147.00,0.00,"12,105.00","1,777,065.00"
216,216,2020-08-17,146.00,149.00,145.00,147.00,0.00,"14,610.00","2,144,730.00"
217,217,2020-08-16,147.00,148.00,145.00,147.00,-1.34,"16,234.00","2,372,780.00"
218,218,2020-08-13,147.00,151.00,146.00,149.00,0.00,"16,971.00","2,530,699.00"
219,219,2020-08-12,150.00,153.00,147.00,149.00,-2.61,"12,167.00","1,827,500.00"
220,220,2020-08-11,150.00,153.00,146.00,153.00,2.68,"18,730.00","2,817,330.00"
221,221,2020-08-10,144.00,151.00,144.00,149.00,2.05,"24,475.00","3,629,718.00"
222,222,2020-08-09,143.00,148.00,143.00,146.00,1.39,"11,970.00","1,739,163.00"
223,223,2020-08-06,144.00,146.00,142.00,144.00,0.00,"14,409.00","2,074,256.00"
224,224,2020-08-05,142.00,146.00,142.00,144.00,0.00,"8,390.00","1,205,930.00"
225,225,2020-08-03,142.00,145.00,142.00,144.00,0.70,"10,721.00","1,531,932.00"
226,226,2020-08-02,144.00,146.00,143.00,143.00,-2.05,"10,680.00","1,538,003.00"
227,227,2020-07-30,144.00,148.00,142.00,146.00,1.39,"13,915.00","2,020,125.00"
228,228,2020-07-29,146.00,147.00,142.00,144.00,0.00,"14,590.00","2,108,330.00"
229,229,2020-07-28,141.00,146.00,140.00,144.00,1.41,"33,856.00","4,806,954.00"
