,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,376.00,382.00,359.00,368.00,-0.27,"12,300.00","4,513,088.00"
2,2,2021-07-01,366.00,373.00,363.00,369.00,2.50,"16,407.00","6,045,951.00"
3,3,2021-06-30,385.00,385.00,343.00,360.00,-1.91,"30,570.00","10,748,240.00"
4,4,2021-06-29,395.00,395.00,367.00,367.00,-5.41,"17,633.00","6,578,804.00"
5,5,2021-06-28,400.00,400.00,382.00,388.00,-2.02,"12,899.00","4,998,166.00"
6,6,2021-06-27,399.00,412.00,388.00,396.00,0.25,"12,967.00","5,193,308.00"
7,7,2021-06-24,389.00,405.00,385.00,395.00,0.25,"16,973.00","6,677,122.00"
8,8,2021-06-23,415.00,420.00,388.00,394.00,-1.25,"35,166.00","14,128,708.00"
9,9,2021-06-22,383.00,411.00,377.00,399.00,4.18,"46,983.00","18,653,644.00"
10,10,2021-06-21,402.00,417.00,381.00,383.00,-6.59,"28,516.00","11,145,482.00"
11,11,2021-06-20,414.00,430.00,387.00,410.00,-2.84,"28,661.00","11,524,779.00"
12,12,2021-06-17,407.00,427.00,398.00,422.00,3.69,"67,278.00","27,964,841.00"
13,13,2021-06-16,418.00,436.00,396.00,407.00,-7.29,"48,758.00","19,995,542.00"
14,14,2021-06-15,487.00,487.00,433.00,439.00,-5.39,"69,578.00","30,898,319.00"
15,15,2021-06-14,458.00,510.00,458.00,464.00,-3.73,"133,669.00","62,884,618.00"
16,16,2021-06-13,450.00,482.00,434.00,482.00,9.79,"235,932.00","109,169,686.00"
17,17,2021-06-10,418.00,459.00,415.00,439.00,5.02,"193,402.00","84,644,514.00"
18,18,2021-06-09,420.00,435.00,410.00,418.00,1.46,"77,096.00","32,458,489.00"
19,19,2021-06-08,436.00,436.00,412.00,412.00,-0.96,"74,678.00","31,191,134.00"
20,20,2021-06-07,400.00,416.00,393.00,416.00,5.32,"100,473.00","40,654,840.00"
21,21,2021-06-06,425.00,425.00,390.00,395.00,-2.95,"37,960.00","15,227,013.00"
22,22,2021-06-03,422.00,431.00,400.00,407.00,-1.69,"33,138.00","13,607,634.00"
23,23,2021-06-02,406.00,420.00,406.00,414.00,0.24,"42,660.00","17,627,940.00"
24,24,2021-06-01,402.00,421.00,402.00,413.00,0.73,"75,784.00","31,331,027.00"
25,25,2021-05-31,435.00,435.00,407.00,410.00,-5.31,"26,203.00","10,929,735.00"
26,26,2021-05-30,453.00,498.00,423.00,433.00,-4.42,"86,923.00","38,498,373.00"
27,27,2021-05-27,397.00,458.00,397.00,453.00,8.63,"99,224.00","44,285,373.00"
28,28,2021-05-25,415.00,420.00,409.00,417.00,0.97,"25,560.00","10,590,351.00"
29,29,2021-05-24,418.00,433.00,404.00,413.00,-1.20,"45,059.00","18,831,703.00"
30,30,2021-05-23,399.00,440.00,394.00,418.00,4.24,"22,830.00","9,470,573.00"
31,31,2021-05-20,399.00,413.00,390.00,401.00,-1.47,"23,411.00","9,300,581.00"
