,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,918.00,920.00,901.00,913.00,-2.46,"1,629.00","1,489,984.00"
2,2,2021-07-01,909.00,940.00,891.00,936.00,0.97,"4,440.00","4,122,720.00"
3,3,2021-06-30,921.00,943.00,907.00,927.00,0.22,"1,608.00","1,488,445.00"
4,4,2021-06-29,940.00,940.00,915.00,925.00,-2.63,"1,330.00","1,232,050.00"
5,5,2021-06-28,964.00,970.00,933.00,950.00,-1.45,710.00,"674,120.00"
6,6,2021-06-27,"1,008.00","1,008.00",931.00,964.00,0.42,"3,500.00","3,331,020.00"
7,7,2021-06-24,920.00,965.00,920.00,960.00,2.56,"2,380.00","2,245,770.00"
8,8,2021-06-23,951.00,960.00,933.00,936.00,-1.58,"1,115.00","1,050,395.00"
9,9,2021-06-22,955.00,991.00,936.00,951.00,-0.31,"3,954.00","3,761,428.00"
10,10,2021-06-21,980.00,980.00,937.00,954.00,-2.65,"3,410.00","3,271,460.00"
11,11,2021-06-20,932.00,"1,000.00",925.00,980.00,3.16,"8,256.00","7,894,878.00"
12,12,2021-06-17,901.00,954.00,889.00,950.00,3.94,"4,414.00","4,035,480.00"
13,13,2021-06-16,921.00,963.00,885.00,914.00,-3.79,"3,420.00","3,178,810.00"
14,14,2021-06-15,966.00,966.00,943.00,950.00,-2.46,"4,493.00","4,289,895.00"
15,15,2021-06-14,980.00,999.00,956.00,974.00,0.41,"3,620.00","3,513,580.00"
16,16,2021-06-13,"1,000.00","1,005.00",970.00,970.00,-1.62,"6,830.00","6,726,265.00"
17,17,2021-06-10,980.00,"1,005.00",943.00,986.00,-1.40,"12,413.00","12,024,905.00"
18,18,2021-06-09,985.00,"1,000.00",985.00,"1,000.00",0.60,"1,821.00","1,800,462.00"
19,19,2021-06-08,"1,001.00","1,021.00",982.00,994.00,0.40,"3,190.00","3,173,870.00"
20,20,2021-06-07,975.00,"1,033.00",975.00,990.00,-0.60,"3,880.00","3,865,440.00"
21,21,2021-06-06,"1,000.00","1,021.00",993.00,996.00,-1.58,"3,992.00","4,008,115.00"
22,22,2021-06-03,"1,010.00","1,048.00",994.00,"1,012.00",-1.75,"1,684.00","1,708,688.00"
23,23,2021-06-02,"1,031.00","1,031.00",961.00,"1,030.00",3.10,"2,625.00","2,632,602.00"
24,24,2021-06-01,"1,000.00","1,020.00",968.00,999.00,-1.67,"6,215.00","6,142,170.00"
25,25,2021-05-31,"1,050.00","1,070.00","1,011.00","1,016.00",-3.42,"8,268.00","8,611,004.00"
26,26,2021-05-30,"1,099.00","1,100.00","1,050.00","1,052.00",-3.04,"5,325.00","5,661,620.00"
27,27,2021-05-27,"1,050.00","1,085.00","1,050.00","1,085.00",1.12,"4,868.00","5,198,017.00"
28,28,2021-05-25,"1,062.00","1,091.00","1,052.00","1,073.00",1.04,"5,907.00","6,276,660.00"
29,29,2021-05-24,"1,083.00","1,101.00","1,045.00","1,062.00",-1.94,"12,738.00","13,580,615.00"
30,30,2021-05-23,"1,179.00","1,179.00","1,030.00","1,083.00",-3.73,"10,376.00","11,227,161.00"
31,31,2021-05-20,"1,228.00","1,287.00","1,053.00","1,125.00",-3.85,"44,213.00","50,201,302.00"
32,32,2021-05-19,"1,117.00","1,170.00","1,117.00","1,170.00",9.96,"3,350.00","3,906,910.00"
33,33,2021-05-18,"1,016.00","1,064.00","1,016.00","1,064.00",9.92,"7,325.00","7,719,160.00"
34,34,2021-05-17,924.00,968.00,924.00,968.00,10.00,"9,826.00","9,504,188.00"
35,35,2021-05-16,840.00,880.00,840.00,880.00,10.00,"4,169.00","3,663,210.00"
36,36,2021-05-13,764.00,800.00,764.00,800.00,9.89,"2,030.00","1,623,010.00"
37,37,2021-05-12,695.00,728.00,695.00,728.00,9.97,"1,100.00","799,070.00"
38,38,2021-05-11,632.00,662.00,632.00,662.00,9.97,"2,386.00","1,578,601.00"
39,39,2021-05-10,575.00,602.00,575.00,602.00,9.85,"1,040.00","624,790.00"
40,40,2021-05-09,523.00,548.00,523.00,548.00,9.82,800.00,"437,200.00"
41,41,2021-05-06,463.00,499.00,463.00,499.00,9.91,300.00,"148,800.00"
42,42,2021-05-05,430.00,454.00,430.00,454.00,7.58,40.00,"17,680.00"
43,43,2021-05-04,391.00,422.00,391.00,422.00,9.90,"1,759.00","700,942.00"
44,44,2021-05-03,356.00,384.00,356.00,384.00,7.87,50.00,"18,500.00"
