,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,405.00,420.00,405.00,406.00,-0.98,"8,739.00","3,587,254.00"
2,2,2021-07-01,394.00,422.00,394.00,410.00,2.76,"14,215.00","5,845,546.00"
3,3,2021-06-30,406.00,406.00,392.00,399.00,-1.72,"12,801.00","5,071,086.00"
4,4,2021-06-29,405.00,429.00,400.00,406.00,-1.69,"4,944.00","2,020,242.00"
5,5,2021-06-28,420.00,434.00,412.00,413.00,-1.67,"8,425.00","3,538,030.00"
6,6,2021-06-27,401.00,427.00,400.00,420.00,4.74,"24,965.00","10,337,959.00"
7,7,2021-06-24,403.00,408.00,390.00,401.00,-0.50,"8,296.00","3,300,697.00"
8,8,2021-06-23,438.00,438.00,400.00,403.00,-3.59,"7,935.00","3,275,905.00"
9,9,2021-06-22,400.00,422.00,390.00,418.00,6.36,"9,441.00","3,871,786.00"
10,10,2021-06-21,402.00,415.00,392.00,393.00,-3.91,"14,863.00","5,983,437.00"
11,11,2021-06-20,416.00,426.00,401.00,409.00,-2.62,"18,676.00","7,683,836.00"
12,12,2021-06-17,418.00,425.00,413.00,420.00,-1.41,"16,264.00","6,817,407.00"
13,13,2021-06-16,422.00,440.00,422.00,426.00,-4.05,"15,064.00","6,425,300.00"
14,14,2021-06-15,442.00,445.00,435.00,444.00,-1.55,"18,723.00","8,256,192.00"
15,15,2021-06-14,471.00,480.00,449.00,451.00,-2.38,"37,947.00","17,434,170.00"
16,16,2021-06-13,435.00,465.00,432.00,462.00,7.69,"75,141.00","33,700,383.00"
17,17,2021-06-10,438.00,438.00,422.00,429.00,-0.23,"20,270.00","8,747,847.00"
18,18,2021-06-09,440.00,448.00,425.00,430.00,-1.60,"9,963.00","4,298,622.00"
19,19,2021-06-08,435.00,457.00,433.00,437.00,0.46,"14,905.00","6,584,120.00"
20,20,2021-06-07,417.00,445.00,412.00,435.00,4.32,"41,967.00","17,760,986.00"
21,21,2021-06-06,429.00,429.00,410.00,417.00,-0.95,"13,649.00","5,642,240.00"
22,22,2021-06-03,428.00,430.00,420.00,421.00,-2.09,"13,264.00","5,608,755.00"
23,23,2021-06-02,419.00,435.00,419.00,430.00,1.18,"7,663.00","3,272,914.00"
24,24,2021-06-01,449.00,449.00,413.00,425.00,-0.70,"10,310.00","4,389,586.00"
25,25,2021-05-31,438.00,440.00,428.00,428.00,-2.51,"21,638.00","9,335,241.00"
26,26,2021-05-30,460.00,469.00,438.00,439.00,-2.66,"27,028.00","12,108,481.00"
27,27,2021-05-27,433.00,461.00,433.00,451.00,3.68,"44,400.00","19,953,874.00"
28,28,2021-05-25,431.00,445.00,429.00,435.00,-0.23,"21,162.00","9,228,248.00"
29,29,2021-05-24,455.00,455.00,430.00,436.00,0.46,"13,437.00","5,869,880.00"
30,30,2021-05-23,440.00,445.00,425.00,434.00,0.00,"21,879.00","9,582,733.00"
31,31,2021-05-20,441.00,441.00,430.00,434.00,-1.59,"14,994.00","6,525,469.00"
32,32,2021-05-19,470.00,470.00,438.00,441.00,-4.13,"22,776.00","10,124,190.00"
33,33,2021-05-18,450.00,467.00,433.00,460.00,2.22,"26,109.00","12,000,268.00"
34,34,2021-05-17,422.00,459.00,422.00,450.00,3.45,"26,542.00","11,659,609.00"
35,35,2021-05-16,435.00,450.00,434.00,435.00,-1.58,"21,949.00","9,616,862.00"
36,36,2021-05-13,456.00,456.00,426.00,442.00,1.61,"21,340.00","9,312,800.00"
37,37,2021-05-12,418.00,448.00,418.00,435.00,-0.91,"15,950.00","6,919,228.00"
38,38,2021-05-11,420.00,456.00,420.00,439.00,3.29,"15,867.00","6,911,867.00"
39,39,2021-05-10,427.00,427.00,411.00,425.00,-2.30,"26,609.00","11,244,097.00"
40,40,2021-05-09,481.00,481.00,434.00,435.00,-9.56,"53,499.00","23,698,433.00"
41,41,2021-05-06,550.00,554.00,480.00,481.00,-9.07,"93,184.00","46,234,923.00"
42,42,2021-05-05,505.00,529.00,463.00,529.00,9.98,"85,216.00","43,925,687.00"
43,43,2021-05-04,459.00,481.00,459.00,481.00,9.82,"36,080.00","17,322,350.00"
44,44,2021-05-03,418.00,438.00,390.00,438.00,9.77,"136,670.00","58,890,385.00"
45,45,2021-05-02,381.00,399.00,381.00,399.00,9.92,"21,284.00","8,489,786.00"
46,46,2021-04-29,340.00,363.00,340.00,363.00,10.00,"4,940.00","1,791,898.00"
47,47,2021-04-28,300.00,330.00,300.00,330.00,7.84,640.00,"209,700.00"
