,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,385.00,416.00,385.00,406.00,0.25,"56,910.00","23,279,267.00"
2,2,2021-07-01,392.00,414.00,391.00,405.00,1.76,"60,563.00","24,621,354.00"
3,3,2021-06-30,390.00,401.00,375.00,398.00,1.02,"105,391.00","40,629,000.00"
4,4,2021-06-29,415.00,415.00,385.00,394.00,-3.90,"58,368.00","23,151,750.00"
5,5,2021-06-28,420.00,428.00,404.00,410.00,-0.49,"96,794.00","40,028,768.00"
6,6,2021-06-27,420.00,428.00,410.00,412.00,-0.48,"34,520.00","14,413,654.00"
7,7,2021-06-24,418.00,430.00,412.00,414.00,-1.66,"56,524.00","23,763,031.00"
8,8,2021-06-23,442.00,455.00,417.00,421.00,-3.66,"88,774.00","38,302,547.00"
9,9,2021-06-22,405.00,437.00,392.00,437.00,9.80,"132,352.00","55,696,212.00"
10,10,2021-06-21,430.00,435.00,396.00,398.00,-7.44,"136,359.00","55,682,612.00"
11,11,2021-06-20,465.00,468.00,420.00,430.00,-6.52,"132,655.00","57,818,684.00"
12,12,2021-06-17,470.00,470.00,432.00,460.00,0.00,"111,602.00","50,905,227.00"
13,13,2021-06-16,435.00,471.00,416.00,460.00,0.88,"289,713.00","127,643,772.00"
14,14,2021-06-15,497.00,497.00,454.00,456.00,-4.80,"160,264.00","74,373,531.00"
15,15,2021-06-14,521.00,521.00,462.00,479.00,-3.62,"246,227.00","119,254,330.00"
16,16,2021-06-13,480.00,504.00,470.00,497.00,4.41,"290,999.00","142,413,581.00"
17,17,2021-06-10,450.00,487.00,447.00,476.00,6.97,"289,012.00","135,025,029.00"
18,18,2021-06-09,432.00,464.00,429.00,445.00,3.97,"340,734.00","152,533,433.00"
19,19,2021-06-08,434.00,455.00,425.00,428.00,1.66,"210,875.00","92,762,940.00"
20,20,2021-06-07,405.00,426.00,405.00,421.00,3.95,"109,984.00","46,045,946.00"
21,21,2021-06-06,409.00,419.00,403.00,405.00,-2.17,"92,978.00","37,832,034.00"
22,22,2021-06-03,435.00,443.00,411.00,414.00,-3.50,"164,034.00","69,536,298.00"
23,23,2021-06-02,415.00,439.00,399.00,429.00,5.15,"171,032.00","72,062,771.00"
24,24,2021-06-01,406.00,423.00,392.00,408.00,0.74,"146,313.00","59,565,851.00"
25,25,2021-05-31,431.00,451.00,402.00,405.00,-6.03,"254,624.00","106,353,305.00"
26,26,2021-05-30,471.00,471.00,423.00,431.00,-4.01,"381,875.00","169,436,528.00"
27,27,2021-05-27,420.00,465.00,404.00,449.00,6.15,"340,911.00","153,215,681.00"
28,28,2021-05-25,415.00,428.00,406.00,423.00,3.93,"189,043.00","79,666,180.00"
29,29,2021-05-24,434.00,434.00,403.00,407.00,-1.69,"257,291.00","107,819,198.00"
30,30,2021-05-23,375.00,414.00,364.00,414.00,9.81,"508,135.00","203,449,848.00"
31,31,2021-05-20,400.00,400.00,374.00,377.00,-2.08,"214,747.00","81,343,622.00"
32,32,2021-05-19,400.00,416.00,375.00,385.00,-1.53,"258,698.00","100,749,030.00"
33,33,2021-05-18,363.00,391.00,363.00,391.00,9.83,"489,911.00","189,668,093.00"
34,34,2021-05-17,335.00,365.00,335.00,356.00,4.71,"229,314.00","80,025,557.00"
35,35,2021-05-16,361.00,361.00,336.00,340.00,-1.16,"195,570.00","66,395,861.00"
36,36,2021-05-13,349.00,349.00,338.00,344.00,1.47,"204,117.00","69,648,203.00"
37,37,2021-05-12,345.00,347.00,333.00,339.00,0.30,"222,444.00","76,043,649.00"
38,38,2021-05-11,330.00,342.00,325.00,338.00,4.00,"288,852.00","97,293,473.00"
39,39,2021-05-10,318.00,332.00,309.00,325.00,3.83,"209,861.00","67,055,623.00"
40,40,2021-05-09,310.00,321.00,301.00,313.00,1.62,"181,547.00","56,630,707.00"
41,41,2021-05-06,339.00,339.00,308.00,308.00,-4.64,"318,939.00","100,307,124.00"
42,42,2021-05-05,325.00,344.00,315.00,323.00,1.57,"227,303.00","74,261,235.00"
43,43,2021-05-04,297.00,323.00,291.00,318.00,8.16,"329,187.00","102,468,091.00"
44,44,2021-05-03,313.00,313.00,290.00,294.00,-1.67,"197,335.00","58,770,522.00"
45,45,2021-05-02,284.00,300.00,280.00,299.00,6.79,"318,769.00","93,350,072.00"
46,46,2021-04-29,270.00,284.00,270.00,280.00,3.70,"76,124.00","21,263,100.00"
47,47,2021-04-28,278.00,278.00,269.00,270.00,-0.74,"16,753.00","4,540,146.00"
48,48,2021-04-27,258.00,273.00,258.00,272.00,3.42,"44,891.00","12,089,724.00"
49,49,2021-04-26,272.00,274.00,261.00,263.00,-5.05,"68,119.00","18,250,749.00"
50,50,2021-04-25,290.00,290.00,271.00,277.00,-3.48,"88,394.00","24,760,150.00"
51,51,2021-04-22,280.00,288.00,279.00,287.00,2.50,"82,530.00","23,407,855.00"
52,52,2021-04-21,284.00,286.00,277.00,280.00,0.00,"131,755.00","37,138,299.00"
53,53,2021-04-20,277.00,280.00,271.00,280.00,2.56,"48,695.00","13,514,782.00"
54,54,2021-04-19,274.00,280.00,269.00,273.00,-0.73,"44,529.00","12,109,398.00"
55,55,2021-04-18,279.00,282.00,272.00,275.00,0.36,"52,222.00","14,427,699.00"
56,56,2021-04-15,287.00,287.00,272.00,274.00,0.00,"49,922.00","13,712,320.00"
57,57,2021-04-13,270.00,276.00,270.00,274.00,1.11,"32,367.00","8,868,491.00"
58,58,2021-04-12,271.00,278.00,269.00,271.00,-1.09,"38,104.00","10,313,833.00"
59,59,2021-04-08,283.00,283.00,271.00,274.00,-1.79,"47,845.00","13,192,861.00"
60,60,2021-04-07,287.00,292.00,279.00,279.00,-2.45,"59,279.00","16,887,637.00"
61,61,2021-04-06,272.00,295.00,268.00,286.00,3.62,"137,005.00","38,220,324.00"
62,62,2021-04-05,278.00,281.00,274.00,276.00,-1.43,"33,238.00","9,213,435.00"
63,63,2021-04-04,272.00,285.00,272.00,280.00,2.19,"63,992.00","17,895,888.00"
64,64,2021-04-01,271.00,285.00,269.00,274.00,1.86,"51,031.00","13,957,777.00"
65,65,2021-03-31,270.00,278.00,265.00,269.00,-1.47,"27,160.00","7,287,333.00"
66,66,2021-03-30,273.00,278.00,265.00,273.00,1.87,"14,966.00","4,034,124.00"
67,67,2021-03-29,258.00,278.00,258.00,268.00,0.37,"25,773.00","6,938,590.00"
68,68,2021-03-25,280.00,280.00,265.00,267.00,-2.91,"43,438.00","11,773,209.00"
69,69,2021-03-24,274.00,285.00,273.00,275.00,0.36,"98,559.00","27,527,042.00"
70,70,2021-03-23,261.00,279.00,261.00,274.00,3.40,"53,400.00","14,618,704.00"
71,71,2021-03-22,260.00,277.00,260.00,265.00,0.00,"27,237.00","7,253,113.00"
72,72,2021-03-21,279.00,279.00,260.00,265.00,-0.38,"22,639.00","5,987,053.00"
73,73,2021-03-18,283.00,283.00,265.00,266.00,-1.48,"31,237.00","8,380,666.00"
74,74,2021-03-17,258.00,270.00,258.00,270.00,2.66,"39,153.00","10,413,454.00"
75,75,2021-03-16,263.00,265.00,257.00,263.00,0.38,"17,496.00","4,573,631.00"
76,76,2021-03-15,266.00,276.00,256.00,262.00,-1.50,"33,845.00","8,908,708.00"
77,77,2021-03-14,272.00,276.00,261.00,266.00,-2.92,"21,533.00","5,761,966.00"
78,78,2021-03-10,269.00,281.00,269.00,274.00,0.37,"35,416.00","9,715,360.00"
79,79,2021-03-09,260.00,287.00,260.00,273.00,3.02,"103,727.00","28,815,481.00"
80,80,2021-03-07,277.00,277.00,263.00,265.00,-2.57,"20,349.00","5,401,140.00"
81,81,2021-03-04,251.00,274.00,251.00,272.00,6.67,"45,982.00","12,202,547.00"
82,82,2021-03-03,245.00,258.00,245.00,255.00,3.24,"61,677.00","15,682,604.00"
83,83,2021-03-02,262.00,262.00,246.00,247.00,-6.44,"66,378.00","16,741,084.00"
84,84,2021-03-01,258.00,278.00,255.00,264.00,2.33,"16,541.00","4,354,379.00"
85,85,2021-02-28,273.00,273.00,257.00,258.00,-3.73,"34,679.00","9,053,274.00"
86,86,2021-02-25,272.00,277.00,268.00,268.00,-3.25,"28,524.00","7,735,543.00"
87,87,2021-02-24,291.00,291.00,271.00,277.00,-0.36,"34,813.00","9,592,688.00"
88,88,2021-02-23,290.00,290.00,267.00,278.00,0.36,"42,045.00","11,503,095.00"
89,89,2021-02-22,290.00,295.00,277.00,277.00,-2.81,"51,681.00","14,632,223.00"
90,90,2021-02-21,295.00,295.00,274.00,285.00,1.42,"95,254.00","26,988,946.00"
91,91,2021-02-18,286.00,286.00,280.00,281.00,-1.40,"31,284.00","8,833,486.00"
92,92,2021-02-17,280.00,285.00,276.00,285.00,0.35,"48,760.00","13,650,108.00"
93,93,2021-02-16,298.00,299.00,279.00,284.00,-3.40,"89,060.00","25,278,946.00"
94,94,2021-02-15,278.00,297.00,278.00,294.00,7.69,"118,395.00","34,168,001.00"
95,95,2021-02-14,294.00,294.00,267.00,273.00,-2.50,"102,882.00","27,984,459.00"
96,96,2021-02-11,288.00,297.00,279.00,280.00,-2.78,"76,982.00","21,893,358.00"
97,97,2021-02-10,307.00,307.00,285.00,288.00,-1.71,"59,199.00","17,029,362.00"
98,98,2021-02-09,296.00,300.00,280.00,293.00,-1.01,"151,259.00","43,439,315.00"
99,99,2021-02-08,320.00,320.00,291.00,296.00,-2.95,"113,434.00","33,942,937.00"
100,100,2021-02-07,291.00,305.00,290.00,305.00,9.71,"277,700.00","83,042,553.00"
101,101,2021-02-04,265.00,278.00,248.00,278.00,9.88,"336,039.00","91,040,484.00"
102,102,2021-02-03,256.00,265.00,245.00,253.00,3.69,"206,081.00","52,156,599.00"
103,103,2021-02-02,243.00,247.00,236.00,244.00,2.09,"49,972.00","12,181,634.00"
104,104,2021-02-01,242.00,246.00,238.00,239.00,0.42,"35,333.00","8,493,821.00"
105,105,2021-01-31,241.00,242.00,236.00,238.00,-0.83,"66,949.00","16,015,140.00"
106,106,2021-01-28,250.00,259.00,239.00,240.00,-2.83,"200,664.00","50,016,746.00"
