,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,324.00,328.00,308.00,312.00,-1.89,"43,096.00","13,680,342.00"
2,2,2021-07-01,319.00,334.00,314.00,318.00,1.60,"43,173.00","13,859,171.00"
3,3,2021-06-30,325.00,325.00,300.00,313.00,0.97,"70,569.00","21,609,873.00"
4,4,2021-06-29,330.00,330.00,309.00,310.00,-4.32,"42,341.00","13,255,828.00"
5,5,2021-06-28,336.00,341.00,322.00,324.00,-1.82,"38,664.00","12,752,235.00"
6,6,2021-06-27,341.00,349.00,329.00,330.00,-1.49,"53,433.00","17,875,015.00"
7,7,2021-06-24,331.00,350.00,327.00,335.00,-0.59,"73,190.00","24,789,211.00"
8,8,2021-06-23,330.00,365.00,330.00,337.00,-2.88,"113,540.00","39,442,934.00"
9,9,2021-06-22,331.00,347.00,303.00,347.00,9.81,"99,812.00","33,458,688.00"
10,10,2021-06-21,336.00,353.00,314.00,316.00,-5.67,"106,452.00","34,416,897.00"
11,11,2021-06-20,327.00,360.00,321.00,335.00,-2.62,"146,080.00","49,917,762.00"
12,12,2021-06-17,326.00,362.00,326.00,344.00,0.29,"110,454.00","37,786,498.00"
13,13,2021-06-16,361.00,370.00,328.00,343.00,-5.51,"174,902.00","60,687,824.00"
14,14,2021-06-15,385.00,390.00,356.00,363.00,-4.22,"214,076.00","78,992,479.00"
15,15,2021-06-14,407.00,407.00,371.00,379.00,-2.32,"270,323.00","104,640,315.00"
16,16,2021-06-13,365.00,388.00,350.00,388.00,9.92,"369,437.00","139,699,691.00"
17,17,2021-06-10,305.00,353.00,305.00,353.00,9.97,"464,287.00","160,847,796.00"
18,18,2021-06-09,340.00,340.00,315.00,321.00,-3.02,"140,375.00","45,856,405.00"
19,19,2021-06-08,293.00,335.00,293.00,331.00,7.47,"312,237.00","102,372,088.00"
20,20,2021-06-07,280.00,316.00,280.00,308.00,4.76,"111,949.00","34,227,984.00"
21,21,2021-06-06,295.00,308.00,291.00,294.00,-2.97,"111,004.00","32,741,380.00"
22,22,2021-06-03,317.00,326.00,298.00,303.00,-3.50,"128,354.00","39,585,189.00"
23,23,2021-06-02,285.00,328.00,285.00,314.00,5.02,"182,958.00","56,007,949.00"
24,24,2021-06-01,317.00,317.00,291.00,299.00,-0.99,"106,165.00","31,637,085.00"
25,25,2021-05-31,340.00,340.00,299.00,302.00,-6.79,"276,653.00","85,477,878.00"
26,26,2021-05-30,335.00,352.00,310.00,324.00,0.62,"404,927.00","134,128,259.00"
27,27,2021-05-27,290.00,322.00,288.00,322.00,9.90,"327,619.00","103,280,495.00"
28,28,2021-05-25,281.00,303.00,276.00,293.00,6.16,"411,162.00","119,217,096.00"
29,29,2021-05-24,280.00,286.00,272.00,276.00,0.00,"175,306.00","49,124,123.00"
30,30,2021-05-23,261.00,283.00,253.00,276.00,3.76,"142,748.00","38,789,153.00"
31,31,2021-05-20,280.00,280.00,263.00,266.00,-2.21,"130,286.00","34,896,688.00"
32,32,2021-05-19,290.00,299.00,272.00,272.00,-4.90,"189,290.00","53,248,777.00"
33,33,2021-05-18,267.00,286.00,260.00,286.00,10.00,"342,025.00","95,738,969.00"
34,34,2021-05-17,257.00,265.00,243.00,260.00,6.12,"187,710.00","47,869,469.00"
35,35,2021-05-16,251.00,256.00,244.00,245.00,-2.39,"117,201.00","28,936,944.00"
36,36,2021-05-13,257.00,257.00,246.00,251.00,2.45,"187,048.00","47,233,889.00"
37,37,2021-05-12,244.00,250.00,237.00,245.00,2.08,"171,245.00","41,919,058.00"
38,38,2021-05-11,228.00,245.00,228.00,240.00,0.84,"37,878.00","9,103,994.00"
39,39,2021-05-10,232.00,242.00,232.00,238.00,1.71,"46,415.00","11,024,432.00"
40,40,2021-05-09,228.00,244.00,228.00,234.00,-2.09,"45,538.00","10,815,573.00"
41,41,2021-05-06,248.00,256.00,237.00,239.00,-4.02,"125,204.00","30,602,147.00"
42,42,2021-05-05,245.00,254.00,242.00,249.00,2.89,"141,718.00","35,190,099.00"
43,43,2021-05-04,233.00,252.00,226.00,242.00,5.22,"172,918.00","41,297,198.00"
44,44,2021-05-03,235.00,237.00,229.00,230.00,-1.29,"59,952.00","13,923,401.00"
45,45,2021-05-02,236.00,236.00,229.00,233.00,0.43,"52,995.00","12,297,796.00"
46,46,2021-04-29,227.00,235.00,227.00,232.00,2.20,"37,218.00","8,547,246.00"
47,47,2021-04-28,230.00,233.00,223.00,227.00,0.00,"35,285.00","7,995,215.00"
48,48,2021-04-27,218.00,229.00,216.00,227.00,5.58,"54,183.00","12,156,573.00"
49,49,2021-04-26,219.00,227.00,214.00,215.00,-3.59,"90,353.00","19,670,967.00"
50,50,2021-04-25,240.00,242.00,223.00,223.00,-4.70,"96,943.00","22,145,315.00"
51,51,2021-04-22,231.00,235.00,230.00,234.00,0.00,"49,394.00","11,536,849.00"
52,52,2021-04-21,240.00,240.00,231.00,234.00,1.30,"67,197.00","15,770,973.00"
53,53,2021-04-20,233.00,236.00,229.00,231.00,0.43,"57,378.00","13,282,165.00"
54,54,2021-04-19,228.00,238.00,228.00,230.00,-0.43,"71,167.00","16,650,654.00"
55,55,2021-04-18,238.00,242.00,230.00,231.00,-1.28,"65,061.00","15,163,540.00"
56,56,2021-04-15,246.00,246.00,231.00,234.00,-0.43,"66,407.00","15,573,101.00"
57,57,2021-04-13,236.00,240.00,230.00,235.00,-0.42,"84,437.00","19,971,524.00"
58,58,2021-04-12,245.00,246.00,231.00,236.00,-2.88,"122,476.00","28,861,882.00"
59,59,2021-04-08,255.00,256.00,240.00,243.00,-1.62,"154,562.00","38,031,849.00"
60,60,2021-04-07,246.00,258.00,237.00,247.00,5.11,"337,063.00","83,824,149.00"
61,61,2021-04-06,214.00,235.00,211.00,235.00,9.81,"271,366.00","60,378,420.00"
62,62,2021-04-05,200.00,215.00,200.00,214.00,2.88,"130,198.00","27,525,840.00"
63,63,2021-04-04,213.00,213.00,207.00,208.00,-0.48,"88,031.00","18,425,108.00"
64,64,2021-04-01,219.00,219.00,206.00,209.00,0.00,"103,170.00","21,522,534.00"
65,65,2021-03-31,213.00,216.00,208.00,209.00,-0.95,"54,658.00","11,528,695.00"
66,66,2021-03-30,206.00,216.00,203.00,211.00,3.94,"121,032.00","25,243,457.00"
67,67,2021-03-29,205.00,211.00,202.00,203.00,-2.87,"90,418.00","18,607,246.00"
68,68,2021-03-25,215.00,223.00,206.00,209.00,-1.88,"109,754.00","23,327,452.00"
69,69,2021-03-24,205.00,219.00,200.00,213.00,5.97,"233,794.00","49,277,994.00"
70,70,2021-03-23,195.00,204.00,193.00,201.00,4.15,"183,460.00","36,618,016.00"
71,71,2021-03-22,198.00,198.00,192.00,193.00,-1.03,"88,803.00","17,217,397.00"
72,72,2021-03-21,205.00,207.00,193.00,195.00,-1.52,"96,307.00","18,915,468.00"
73,73,2021-03-18,194.00,203.00,191.00,198.00,7.03,"258,180.00","50,971,512.00"
74,74,2021-03-17,181.00,186.00,180.00,185.00,3.35,"28,475.00","5,218,955.00"
75,75,2021-03-16,192.00,192.00,178.00,179.00,-2.19,"35,212.00","6,375,374.00"
76,76,2021-03-15,183.00,187.00,179.00,183.00,0.00,"47,781.00","8,685,809.00"
77,77,2021-03-14,188.00,188.00,180.00,183.00,-1.08,"48,257.00","8,824,628.00"
78,78,2021-03-10,185.00,191.00,182.00,185.00,0.54,"91,273.00","17,140,803.00"
79,79,2021-03-09,183.00,185.00,179.00,184.00,1.10,"60,640.00","11,037,922.00"
80,80,2021-03-07,184.00,190.00,179.00,182.00,0.00,"51,492.00","9,415,477.00"
81,81,2021-03-04,176.00,186.00,174.00,182.00,5.20,"58,025.00","10,445,944.00"
82,82,2021-03-03,178.00,179.00,170.00,173.00,-3.35,"42,817.00","7,431,176.00"
83,83,2021-03-02,181.00,185.00,175.00,179.00,-1.65,"46,619.00","8,296,519.00"
84,84,2021-03-01,178.00,189.00,173.00,182.00,1.11,"57,873.00","10,469,875.00"
85,85,2021-02-28,186.00,186.00,178.00,180.00,-3.23,"92,316.00","16,765,555.00"
86,86,2021-02-25,199.00,199.00,184.00,186.00,-2.11,"50,754.00","9,538,887.00"
87,87,2021-02-24,207.00,207.00,187.00,190.00,-4.04,"154,510.00","30,021,893.00"
88,88,2021-02-23,215.00,223.00,185.00,198.00,-3.41,"343,660.00","66,503,359.00"
89,89,2021-02-22,196.00,205.00,196.00,205.00,9.63,"139,609.00","28,476,480.00"
90,90,2021-02-21,175.00,187.00,170.00,187.00,10.00,"358,581.00","65,212,930.00"
91,91,2021-02-18,175.00,177.00,168.00,170.00,-0.58,"104,136.00","17,745,283.00"
92,92,2021-02-17,164.00,173.00,163.00,171.00,4.27,"142,722.00","24,128,163.00"
93,93,2021-02-16,170.00,172.00,160.00,164.00,1.23,"75,654.00","12,494,937.00"
94,94,2021-02-15,167.00,167.00,160.00,162.00,1.25,"55,874.00","9,020,532.00"
95,95,2021-02-14,165.00,165.00,158.00,160.00,-1.23,"36,982.00","5,954,907.00"
96,96,2021-02-11,161.00,165.00,160.00,162.00,-0.61,"47,230.00","7,634,120.00"
97,97,2021-02-10,161.00,167.00,156.00,163.00,2.52,"56,308.00","9,166,930.00"
98,98,2021-02-09,172.00,172.00,159.00,159.00,-3.05,"71,175.00","11,501,824.00"
99,99,2021-02-08,167.00,169.00,163.00,164.00,-1.20,"65,275.00","10,796,570.00"
100,100,2021-02-07,173.00,173.00,164.00,166.00,-2.35,"124,521.00","20,795,231.00"
101,101,2021-02-04,168.00,171.00,164.00,170.00,3.03,"81,866.00","13,771,840.00"
102,102,2021-02-03,170.00,173.00,161.00,165.00,-1.20,"100,257.00","16,751,449.00"
103,103,2021-02-02,168.00,170.00,162.00,167.00,1.21,"44,598.00","7,416,985.00"
104,104,2021-02-01,165.00,169.00,163.00,165.00,1.23,"49,517.00","8,217,882.00"
105,105,2021-01-31,167.00,167.00,160.00,163.00,-1.81,"70,179.00","11,413,749.00"
106,106,2021-01-28,176.00,176.00,165.00,166.00,-4.05,"62,688.00","10,583,156.00"
107,107,2021-01-27,170.00,179.00,168.00,173.00,0.00,"38,962.00","6,759,866.00"
108,108,2021-01-26,184.00,184.00,173.00,173.00,-4.95,"106,317.00","18,699,716.00"
109,109,2021-01-25,181.00,190.00,170.00,182.00,5.20,"317,708.00","57,732,944.00"
110,110,2021-01-24,162.00,173.00,160.00,173.00,9.49,"327,084.00","55,438,870.00"
111,111,2021-01-21,150.00,159.00,146.00,158.00,5.33,"118,302.00","18,118,992.00"
112,112,2021-01-20,144.00,150.00,144.00,150.00,3.45,"29,909.00","4,419,522.00"
113,113,2021-01-19,149.00,150.00,145.00,145.00,-1.36,"26,348.00","3,834,552.00"
114,114,2021-01-18,147.00,150.00,147.00,147.00,0.00,"18,435.00","2,725,590.00"
115,115,2021-01-17,150.00,150.00,147.00,147.00,-2.00,"20,853.00","3,090,817.00"
116,116,2021-01-13,143.00,156.00,143.00,150.00,0.00,"26,253.00","3,923,125.00"
117,117,2021-01-12,145.00,154.00,145.00,150.00,2.04,"25,095.00","3,729,410.00"
118,118,2021-01-11,150.00,154.00,147.00,147.00,-1.34,"16,040.00","2,377,360.00"
119,119,2021-01-10,155.00,156.00,147.00,149.00,-1.97,"18,678.00","2,799,961.00"
120,120,2021-01-07,154.00,155.00,149.00,152.00,-1.30,"23,570.00","3,559,480.00"
