,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,365.00,367.00,352.00,354.00,-1.67,"283,957.00","101,296,685.00"
2,2,2021-07-01,357.00,372.00,354.00,360.00,2.86,"109,060.00","39,596,968.00"
3,3,2021-06-30,344.00,356.00,330.00,350.00,1.74,"206,092.00","70,222,546.00"
4,4,2021-06-29,354.00,368.00,344.00,344.00,-4.71,"128,294.00","45,012,220.00"
5,5,2021-06-28,376.00,376.00,358.00,361.00,-2.17,"77,953.00","28,433,700.00"
6,6,2021-06-27,375.00,389.00,368.00,369.00,-0.81,"113,618.00","42,662,461.00"
7,7,2021-06-24,369.00,390.00,368.00,372.00,-1.06,"130,360.00","49,174,420.00"
8,8,2021-06-23,400.00,410.00,372.00,376.00,-3.84,"185,679.00","71,678,991.00"
9,9,2021-06-22,360.00,391.00,351.00,391.00,9.83,"249,971.00","93,917,941.00"
10,10,2021-06-21,400.00,400.00,356.00,356.00,-6.56,"237,009.00","87,281,700.00"
11,11,2021-06-20,377.00,413.00,370.00,381.00,-3.79,"281,037.00","108,110,603.00"
12,12,2021-06-17,380.00,408.00,362.00,396.00,2.59,"256,501.00","100,191,780.00"
13,13,2021-06-16,405.00,420.00,371.00,386.00,-6.31,"446,270.00","175,266,584.00"
14,14,2021-06-15,435.00,438.00,408.00,412.00,-4.19,"452,712.00","189,091,366.00"
15,15,2021-06-14,460.00,466.00,422.00,430.00,-4.44,"530,289.00","232,377,899.00"
16,16,2021-06-13,405.00,457.00,405.00,450.00,6.13,"795,878.00","344,335,817.00"
17,17,2021-06-10,430.00,448.00,414.00,424.00,0.95,"403,651.00","175,084,269.00"
18,18,2021-06-09,400.00,420.00,378.00,420.00,9.95,"1,150,663.00","471,406,010.00"
19,19,2021-06-08,360.00,383.00,353.00,382.00,9.46,"998,008.00","373,979,058.00"
20,20,2021-06-07,332.00,350.00,332.00,349.00,5.12,"331,584.00","114,149,768.00"
21,21,2021-06-06,339.00,339.00,320.00,332.00,-2.06,"369,578.00","121,810,885.00"
22,22,2021-06-03,355.00,357.00,331.00,339.00,-2.87,"239,858.00","82,457,082.00"
23,23,2021-06-02,335.00,360.00,328.00,349.00,4.18,"458,042.00","157,617,174.00"
24,24,2021-06-01,330.00,348.00,317.00,335.00,1.21,"503,625.00","165,352,754.00"
25,25,2021-05-31,350.00,357.00,326.00,331.00,-5.43,"721,945.00","244,280,077.00"
26,26,2021-05-30,345.00,363.00,341.00,350.00,6.06,"1,160,147.00","413,144,678.00"
27,27,2021-05-27,315.00,330.00,302.00,330.00,10.00,"1,091,653.00","355,458,129.00"
28,28,2021-05-25,285.00,305.00,282.00,300.00,5.63,"610,392.00","180,278,167.00"
29,29,2021-05-24,271.00,300.00,271.00,284.00,0.00,"294,009.00","84,718,093.00"
30,30,2021-05-23,270.00,290.00,261.00,284.00,2.16,"222,254.00","62,649,692.00"
31,31,2021-05-20,300.00,300.00,274.00,278.00,-2.80,"285,724.00","79,371,285.00"
32,32,2021-05-19,310.00,310.00,281.00,286.00,-5.92,"429,497.00","124,398,368.00"
33,33,2021-05-18,283.00,310.00,282.00,304.00,7.80,"628,860.00","188,215,305.00"
34,34,2021-05-17,272.00,289.00,266.00,282.00,4.83,"399,297.00","110,004,618.00"
35,35,2021-05-16,268.00,275.00,260.00,269.00,0.37,"323,910.00","86,056,474.00"
36,36,2021-05-13,286.00,286.00,266.00,268.00,-1.83,"471,559.00","127,880,190.00"
37,37,2021-05-12,267.00,275.00,250.00,273.00,7.06,"456,373.00","122,471,059.00"
38,38,2021-05-11,243.00,255.00,232.00,255.00,9.91,"557,413.00","138,354,915.00"
39,39,2021-05-10,240.00,240.00,226.00,232.00,1.31,"96,083.00","22,219,431.00"
40,40,2021-05-09,233.00,240.00,228.00,229.00,-3.38,"172,540.00","40,033,399.00"
41,41,2021-05-06,252.00,252.00,231.00,237.00,-1.66,"427,058.00","100,828,720.00"
42,42,2021-05-05,259.00,260.00,240.00,241.00,-2.82,"383,988.00","94,971,695.00"
43,43,2021-05-04,237.00,248.00,224.00,248.00,9.73,"563,993.00","136,912,393.00"
44,44,2021-05-03,214.00,231.00,212.00,226.00,6.60,"355,856.00","77,794,678.00"
45,45,2021-05-02,222.00,222.00,208.00,212.00,0.00,"90,842.00","19,136,754.00"
46,46,2021-04-29,209.00,212.00,206.00,212.00,2.91,"84,556.00","17,762,813.00"
47,47,2021-04-28,217.00,217.00,203.00,206.00,-3.29,"80,079.00","16,673,488.00"
48,48,2021-04-27,205.00,214.00,196.00,213.00,8.67,"137,865.00","28,458,138.00"
49,49,2021-04-26,201.00,208.00,191.00,196.00,-4.39,"148,837.00","29,728,112.00"
50,50,2021-04-25,219.00,219.00,201.00,205.00,-5.53,"236,127.00","48,857,388.00"
51,51,2021-04-22,215.00,223.00,206.00,217.00,0.93,"284,496.00","61,073,353.00"
52,52,2021-04-21,215.00,227.00,212.00,215.00,2.87,"469,589.00","102,062,900.00"
53,53,2021-04-20,190.00,209.00,190.00,209.00,10.00,"540,683.00","109,629,996.00"
54,54,2021-04-19,190.00,198.00,185.00,190.00,0.53,"131,484.00","25,129,082.00"
55,55,2021-04-18,191.00,193.00,187.00,189.00,-0.53,"98,990.00","18,812,016.00"
56,56,2021-04-15,188.00,194.00,187.00,190.00,2.15,"113,768.00","21,664,321.00"
57,57,2021-04-13,185.00,191.00,184.00,186.00,0.54,"92,314.00","17,232,157.00"
58,58,2021-04-12,193.00,193.00,185.00,185.00,-3.65,"81,293.00","15,224,780.00"
59,59,2021-04-08,200.00,200.00,190.00,192.00,-2.54,"123,310.00","23,796,468.00"
60,60,2021-04-07,200.00,207.00,190.00,197.00,0.51,"361,893.00","71,439,699.00"
61,61,2021-04-06,180.00,197.00,180.00,196.00,7.10,"267,328.00","51,070,203.00"
62,62,2021-04-05,189.00,192.00,177.00,183.00,-1.61,"69,109.00","12,687,771.00"
63,63,2021-04-04,195.00,195.00,185.00,186.00,-2.11,"123,936.00","23,342,190.00"
64,64,2021-04-01,190.00,192.00,178.00,190.00,4.97,"216,284.00","40,152,801.00"
65,65,2021-03-31,192.00,192.00,179.00,181.00,-1.09,"118,449.00","21,764,688.00"
66,66,2021-03-30,185.00,187.00,171.00,183.00,3.39,"321,519.00","58,304,155.00"
67,67,2021-03-29,172.00,178.00,170.00,177.00,4.73,"280,186.00","49,009,377.00"
68,68,2021-03-25,165.00,177.00,165.00,169.00,-2.31,"137,111.00","23,212,764.00"
69,69,2021-03-24,179.00,179.00,169.00,173.00,1.17,"165,876.00","28,705,188.00"
70,70,2021-03-23,169.00,171.00,164.00,171.00,3.01,"149,586.00","25,284,599.00"
71,71,2021-03-22,165.00,169.00,164.00,166.00,0.00,"42,141.00","7,018,945.00"
72,72,2021-03-21,172.00,172.00,164.00,166.00,-2.35,"48,436.00","8,014,566.00"
73,73,2021-03-18,167.00,174.00,164.00,170.00,3.03,"122,705.00","20,733,757.00"
74,74,2021-03-17,165.00,168.00,162.00,165.00,1.23,"62,871.00","10,345,049.00"
75,75,2021-03-16,166.00,167.00,162.00,163.00,-0.61,"35,156.00","5,751,155.00"
76,76,2021-03-15,167.00,169.00,162.00,164.00,0.00,"59,168.00","9,688,125.00"
77,77,2021-03-14,163.00,166.00,163.00,164.00,-0.61,"26,071.00","4,296,289.00"
78,78,2021-03-10,170.00,170.00,163.00,165.00,-1.20,"16,574.00","2,729,363.00"
79,79,2021-03-09,168.00,168.00,162.00,167.00,1.21,"28,719.00","4,763,876.00"
80,80,2021-03-07,174.00,174.00,164.00,165.00,-0.60,"21,470.00","3,540,526.00"
81,81,2021-03-04,166.00,169.00,163.00,166.00,1.84,"63,684.00","10,632,457.00"
82,82,2021-03-03,162.00,167.00,162.00,163.00,0.62,"69,965.00","11,480,652.00"
83,83,2021-03-02,173.00,173.00,161.00,162.00,-1.82,"94,371.00","15,450,435.00"
84,84,2021-03-01,161.00,167.00,160.00,165.00,0.61,"23,617.00","3,895,992.00"
85,85,2021-02-28,168.00,170.00,164.00,164.00,-2.38,"49,932.00","8,265,358.00"
86,86,2021-02-25,171.00,173.00,167.00,168.00,0.00,"106,908.00","18,203,127.00"
87,87,2021-02-24,173.00,175.00,168.00,168.00,-1.18,"120,803.00","20,790,384.00"
88,88,2021-02-23,170.00,173.00,160.00,170.00,1.19,"73,017.00","12,203,312.00"
89,89,2021-02-22,172.00,180.00,166.00,168.00,-0.59,"212,087.00","36,397,074.00"
90,90,2021-02-21,154.00,174.00,154.00,169.00,4.32,"136,726.00","23,163,472.00"
91,91,2021-02-18,152.00,168.00,152.00,162.00,1.89,"65,917.00","10,829,841.00"
92,92,2021-02-17,164.00,167.00,156.00,159.00,-3.05,"117,752.00","19,032,513.00"
93,93,2021-02-16,176.00,176.00,162.00,164.00,-2.38,"54,150.00","8,862,038.00"
94,94,2021-02-15,167.00,169.00,163.00,168.00,2.44,"31,394.00","5,217,114.00"
95,95,2021-02-14,167.00,170.00,159.00,164.00,-1.80,"110,191.00","17,850,779.00"
96,96,2021-02-11,168.00,174.00,165.00,167.00,-1.18,"90,538.00","15,129,357.00"
97,97,2021-02-10,164.00,176.00,164.00,169.00,-1.74,"52,740.00","9,039,551.00"
98,98,2021-02-09,172.00,177.00,167.00,172.00,0.00,"76,721.00","13,036,197.00"
99,99,2021-02-08,169.00,186.00,169.00,172.00,-2.82,"291,601.00","51,064,528.00"
100,100,2021-02-07,176.00,183.00,173.00,177.00,2.31,"291,670.00","51,987,596.00"
101,101,2021-02-04,176.00,178.00,168.00,173.00,2.98,"194,109.00","33,651,951.00"
102,102,2021-02-03,177.00,177.00,165.00,168.00,-3.45,"169,850.00","28,863,493.00"
103,103,2021-02-02,165.00,174.00,165.00,174.00,4.82,"41,349.00","7,061,499.00"
104,104,2021-02-01,168.00,178.00,166.00,166.00,0.61,"106,282.00","18,160,431.00"
105,105,2021-01-31,166.00,178.00,165.00,165.00,-2.37,"56,835.00","9,669,085.00"
106,106,2021-01-28,175.00,178.00,168.00,169.00,-1.74,"61,164.00","10,532,086.00"
107,107,2021-01-27,167.00,180.00,166.00,172.00,1.18,"142,569.00","24,818,923.00"
108,108,2021-01-26,163.00,172.00,163.00,170.00,3.03,"103,842.00","17,665,181.00"
109,109,2021-01-25,172.00,172.00,165.00,165.00,-2.94,"52,910.00","8,890,338.00"
110,110,2021-01-24,162.00,181.00,162.00,170.00,0.00,"112,509.00","19,396,513.00"
111,111,2021-01-21,178.00,178.00,164.00,170.00,0.00,"66,265.00","11,146,932.00"
112,112,2021-01-20,162.00,173.00,162.00,170.00,4.29,"93,729.00","15,589,941.00"
113,113,2021-01-19,165.00,166.00,161.00,163.00,-0.61,"31,465.00","5,120,679.00"
114,114,2021-01-18,159.00,164.00,159.00,164.00,1.86,"34,160.00","5,561,701.00"
115,115,2021-01-17,163.00,163.00,160.00,161.00,-0.62,"26,061.00","4,208,802.00"
116,116,2021-01-13,157.00,164.00,157.00,162.00,3.18,"113,353.00","18,196,052.00"
117,117,2021-01-12,158.00,161.00,153.00,157.00,0.64,"6,121.00","954,922.00"
118,118,2021-01-11,154.00,158.00,154.00,156.00,0.65,"10,133.00","1,581,484.00"
119,119,2021-01-10,156.00,156.00,153.00,155.00,-2.52,"16,621.00","2,566,956.00"
120,120,2021-01-07,156.00,159.00,154.00,159.00,0.63,"84,397.00","13,317,685.00"
121,121,2021-01-06,158.00,165.00,156.00,158.00,1.94,"80,137.00","12,777,632.00"
122,122,2021-01-05,146.00,161.00,145.00,155.00,5.44,"72,050.00","11,083,518.00"
123,123,2021-01-04,146.00,150.00,146.00,147.00,-0.68,"7,773.00","1,148,205.00"
124,124,2021-01-03,149.00,151.00,143.00,148.00,0.68,"20,187.00","2,992,780.00"
125,125,2020-12-31,147.00,150.00,143.00,147.00,-0.68,"12,575.00","1,854,042.00"
126,126,2020-12-30,146.00,150.00,142.00,148.00,0.00,"16,364.00","2,387,776.00"
127,127,2020-12-29,148.00,149.00,145.00,148.00,0.00,"9,097.00","1,332,525.00"
128,128,2020-12-28,145.00,154.00,144.00,148.00,0.68,"13,830.00","2,053,105.00"
129,129,2020-12-27,147.00,149.00,145.00,147.00,-2.00,"4,351.00","642,332.00"
130,130,2020-12-24,147.00,151.00,145.00,150.00,0.00,"11,585.00","1,712,484.00"
131,131,2020-12-23,161.00,161.00,145.00,150.00,-5.06,"39,125.00","5,814,351.00"
132,132,2020-12-22,147.00,158.00,145.00,158.00,8.97,"43,921.00","6,558,495.00"
133,133,2020-12-21,145.00,154.00,135.00,145.00,-1.36,"40,552.00","5,799,781.00"
134,134,2020-12-20,166.00,166.00,147.00,147.00,-7.55,"37,139.00","5,693,433.00"
135,135,2020-12-17,162.00,162.00,156.00,159.00,0.00,"40,080.00","6,369,673.00"
136,136,2020-12-16,162.00,162.00,157.00,159.00,-1.85,"41,614.00","6,670,972.00"
137,137,2020-12-15,160.00,163.00,154.00,162.00,3.18,"61,186.00","9,627,127.00"
138,138,2020-12-14,168.00,168.00,156.00,157.00,-1.88,"51,581.00","8,160,818.00"
139,139,2020-12-13,171.00,171.00,158.00,160.00,-1.84,"55,046.00","8,815,321.00"
140,140,2020-12-10,164.00,165.00,158.00,163.00,0.62,"32,731.00","5,319,778.00"
141,141,2020-12-09,165.00,165.00,159.00,162.00,0.00,"67,182.00","10,757,201.00"
142,142,2020-12-08,160.00,168.00,159.00,162.00,-0.61,"54,810.00","8,897,886.00"
143,143,2020-12-07,165.00,168.00,156.00,163.00,0.62,"49,943.00","8,214,031.00"
144,144,2020-12-06,161.00,167.00,155.00,162.00,-1.22,"113,944.00","18,658,458.00"
145,145,2020-12-03,168.00,171.00,162.00,164.00,-2.38,"61,537.00","10,224,905.00"
146,146,2020-12-02,174.00,174.00,167.00,168.00,-1.75,"73,920.00","12,551,180.00"
147,147,2020-12-01,184.00,184.00,166.00,171.00,-2.84,"138,995.00","23,801,536.00"
148,148,2020-11-30,168.00,176.00,159.00,176.00,10.00,"125,535.00","21,648,828.00"
149,149,2020-11-29,165.00,170.00,158.00,160.00,-2.44,"147,840.00","23,929,373.00"
150,150,2020-11-26,176.00,176.00,160.00,164.00,-2.38,"119,175.00","19,397,554.00"
151,151,2020-11-25,171.00,175.00,164.00,168.00,0.00,"39,508.00","6,634,136.00"
152,152,2020-11-24,162.00,171.00,162.00,168.00,1.82,"55,867.00","9,387,587.00"
153,153,2020-11-23,174.00,174.00,162.00,165.00,-0.60,"22,068.00","3,623,294.00"
154,154,2020-11-22,173.00,173.00,164.00,166.00,-2.35,"27,367.00","4,564,661.00"
155,155,2020-11-19,161.00,172.00,161.00,170.00,3.66,"81,005.00","13,695,735.00"
156,156,2020-11-18,182.00,182.00,162.00,164.00,-5.75,"92,330.00","15,271,805.00"
157,157,2020-11-12,176.00,176.00,169.00,174.00,-1.69,"96,508.00","16,574,597.00"
158,158,2020-11-11,177.00,180.00,174.00,177.00,-0.56,"63,623.00","11,176,021.00"
159,159,2020-11-10,179.00,181.00,175.00,178.00,-1.66,"76,935.00","13,605,481.00"
160,160,2020-11-09,177.00,191.00,177.00,181.00,-2.69,"90,852.00","16,726,476.00"
161,161,2020-11-08,182.00,192.00,180.00,186.00,3.91,"247,303.00","45,954,040.00"
162,162,2020-11-05,168.00,181.00,168.00,179.00,6.55,"197,508.00","34,809,805.00"
163,163,2020-11-04,166.00,168.00,165.00,168.00,1.20,"25,569.00","4,240,910.00"
164,164,2020-11-03,166.00,169.00,165.00,166.00,-0.60,"14,576.00","2,439,300.00"
165,165,2020-11-02,169.00,170.00,165.00,167.00,-0.60,"15,344.00","2,559,021.00"
166,166,2020-11-01,162.00,172.00,162.00,168.00,3.07,"51,962.00","8,737,496.00"
167,167,2020-10-29,166.00,170.00,163.00,163.00,-2.98,"36,048.00","5,948,375.00"
