,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,495.00,535.00,481.00,512.00,1.39,"12,155.00","6,040,941.00"
2,2,2021-07-01,476.00,517.00,475.00,505.00,4.12,"26,329.00","13,159,616.00"
3,3,2021-06-30,451.00,487.00,442.00,485.00,5.43,"7,884.00","3,621,456.00"
4,4,2021-06-29,468.00,471.00,459.00,460.00,-3.56,"4,230.00","1,948,585.00"
5,5,2021-06-28,497.00,524.00,472.00,477.00,-2.25,"4,880.00","2,391,460.00"
6,6,2021-06-27,455.00,492.00,441.00,488.00,7.25,"17,843.00","8,352,477.00"
7,7,2021-06-24,468.00,468.00,434.00,455.00,-0.87,"8,489.00","3,802,730.00"
8,8,2021-06-23,485.00,485.00,450.00,459.00,-4.18,"4,325.00","1,996,300.00"
9,9,2021-06-22,456.00,479.00,441.00,479.00,6.92,"6,271.00","2,908,266.00"
10,10,2021-06-21,473.00,485.00,441.00,448.00,-6.86,"8,378.00","3,837,230.00"
11,11,2021-06-20,487.00,493.00,471.00,481.00,-2.43,"8,322.00","3,990,402.00"
12,12,2021-06-17,480.00,499.00,470.00,493.00,2.71,"7,795.00","3,818,950.00"
13,13,2021-06-16,499.00,509.00,475.00,480.00,-5.70,"15,613.00","7,612,444.00"
14,14,2021-06-15,522.00,542.00,505.00,509.00,-3.78,"18,821.00","9,739,402.00"
15,15,2021-06-14,524.00,575.00,524.00,529.00,-3.64,"24,439.00","13,314,889.00"
16,16,2021-06-13,556.00,576.00,543.00,549.00,-2.83,"30,550.00","16,961,969.00"
17,17,2021-06-10,522.00,565.00,522.00,565.00,8.65,"30,948.00","16,932,002.00"
18,18,2021-06-09,577.00,591.00,520.00,520.00,-9.88,"41,531.00","22,694,905.00"
19,19,2021-06-08,560.00,607.00,560.00,577.00,-0.35,"49,472.00","28,701,883.00"
20,20,2021-06-07,550.00,579.00,519.00,579.00,1.22,"73,885.00","40,125,915.00"
21,51,2021-04-22,301.00,301.00,290.00,297.00,0.34,"2,956.00","866,372.00"
22,52,2021-04-21,293.00,300.00,291.00,296.00,0.00,"15,715.00","4,658,273.00"
23,53,2021-04-20,288.00,299.00,287.00,296.00,1.72,"8,540.00","2,495,850.00"
24,54,2021-04-19,288.00,306.00,288.00,291.00,-0.68,"3,670.00","1,076,440.00"
25,55,2021-04-18,293.00,299.00,292.00,293.00,-1.68,"5,683.00","1,671,582.00"
26,56,2021-04-15,294.00,307.00,294.00,298.00,0.34,"8,954.00","2,666,992.00"
27,57,2021-04-13,294.00,300.00,293.00,297.00,-1.00,"8,654.00","2,566,485.00"
28,58,2021-04-12,301.00,301.00,294.00,300.00,-2.28,"14,735.00","4,359,315.00"
29,59,2021-04-08,305.00,312.00,300.00,307.00,-0.97,"6,952.00","2,136,553.00"
30,60,2021-04-07,330.00,330.00,306.00,310.00,-6.06,"17,906.00","5,594,953.00"
31,61,2021-04-06,295.00,330.00,294.00,330.00,10.00,"8,063.00","2,420,043.00"
32,62,2021-04-05,315.00,315.00,287.00,300.00,-1.64,"6,710.00","2,006,950.00"
33,63,2021-04-04,298.00,315.00,295.00,305.00,0.99,"11,840.00","3,566,840.00"
34,64,2021-04-01,312.00,322.00,300.00,302.00,-2.58,"12,433.00","3,754,116.00"
35,65,2021-03-31,320.00,325.00,305.00,310.00,-3.13,"15,937.00","4,972,124.00"
36,66,2021-03-30,332.00,332.00,308.00,320.00,-5.33,"13,003.00","4,174,970.00"
37,67,2021-03-29,314.00,339.00,302.00,338.00,5.63,"11,472.00","3,608,672.00"
38,68,2021-03-25,317.00,327.00,294.00,320.00,0.95,"17,965.00","5,597,187.00"
39,69,2021-03-24,309.00,323.00,297.00,317.00,0.63,"10,707.00","3,327,707.00"
40,70,2021-03-23,327.00,333.00,290.00,315.00,0.96,"34,234.00","10,712,970.00"
41,71,2021-03-22,329.00,329.00,289.00,312.00,-0.64,"19,755.00","5,979,802.00"
42,72,2021-03-21,300.00,314.00,279.00,314.00,9.79,"30,005.00","9,008,559.00"
43,73,2021-03-18,273.00,286.00,258.00,286.00,10.00,"67,827.00","19,229,280.00"
44,74,2021-03-17,248.00,260.00,230.00,260.00,9.70,"23,083.00","5,871,491.00"
45,75,2021-03-16,220.00,245.00,220.00,237.00,2.60,"7,101.00","1,677,183.00"
46,76,2021-03-15,236.00,240.00,229.00,231.00,-2.12,"3,540.00","823,750.00"
47,77,2021-03-14,240.00,241.00,229.00,236.00,2.16,"7,749.00","1,818,041.00"
48,78,2021-03-10,226.00,232.00,223.00,231.00,2.21,"1,911.00","435,603.00"
49,79,2021-03-09,243.00,243.00,226.00,226.00,-2.59,"5,331.00","1,215,938.00"
50,80,2021-03-07,230.00,235.00,222.00,232.00,0.43,"4,565.00","1,040,130.00"
51,81,2021-03-04,221.00,234.00,221.00,231.00,4.05,"6,992.00","1,603,538.00"
52,82,2021-03-03,224.00,228.00,220.00,222.00,-1.33,"5,385.00","1,201,785.00"
53,83,2021-03-02,236.00,236.00,225.00,225.00,-3.02,"4,820.00","1,102,315.00"
54,84,2021-03-01,227.00,238.00,223.00,232.00,0.43,"3,675.00","842,945.00"
55,85,2021-02-28,236.00,236.00,226.00,231.00,-3.75,"6,785.00","1,563,980.00"
