,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,355.00,356.00,341.00,345.00,-1.43,"25,163.00","8,727,847.00"
2,2,2021-07-01,340.00,351.00,331.00,350.00,6.06,"36,670.00","12,555,060.00"
3,3,2021-06-30,324.00,350.00,314.00,330.00,0.92,"59,268.00","19,109,813.00"
4,4,2021-06-29,345.00,357.00,325.00,327.00,-6.57,"51,692.00","17,512,203.00"
5,5,2021-06-28,360.00,367.00,345.00,350.00,-2.78,"37,357.00","13,140,161.00"
6,6,2021-06-27,390.00,390.00,360.00,360.00,-3.23,"48,061.00","17,645,527.00"
7,7,2021-06-24,373.00,391.00,367.00,372.00,-2.11,"44,984.00","16,917,209.00"
8,8,2021-06-23,406.00,406.00,376.00,380.00,-1.81,"75,655.00","29,445,780.00"
9,9,2021-06-22,365.00,387.00,325.00,387.00,9.94,"97,669.00","35,840,036.00"
10,10,2021-06-21,390.00,390.00,348.00,352.00,-8.81,"121,449.00","44,029,097.00"
11,11,2021-06-20,407.00,431.00,386.00,386.00,-9.81,"159,639.00","63,406,844.00"
12,12,2021-06-17,439.00,470.00,404.00,428.00,-1.61,"123,272.00","53,420,265.00"
13,13,2021-06-16,404.00,435.00,364.00,435.00,7.67,"408,828.00","159,482,287.00"
14,14,2021-06-15,386.00,404.00,386.00,404.00,9.78,"85,644.00","34,553,036.00"
15,15,2021-06-14,351.00,368.00,351.00,368.00,9.85,"77,196.00","28,380,257.00"
16,16,2021-06-13,320.00,335.00,305.00,335.00,9.84,"205,030.00","66,183,510.00"
17,17,2021-06-10,300.00,309.00,285.00,305.00,4.45,"141,909.00","42,633,319.00"
18,18,2021-06-09,315.00,315.00,287.00,292.00,-2.67,"73,201.00","21,624,731.00"
19,19,2021-06-08,295.00,310.00,292.00,300.00,2.74,"137,336.00","41,353,655.00"
20,20,2021-06-07,290.00,293.00,274.00,292.00,5.42,"123,594.00","35,361,416.00"
