,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,300.00,301.00,291.00,294.00,-0.68,"51,483.00","15,150,756.00"
2,2,2021-07-01,295.00,306.00,288.00,296.00,2.07,"198,660.00","59,497,778.00"
3,3,2021-06-30,285.00,295.00,275.00,290.00,0.00,"77,849.00","21,996,083.00"
4,4,2021-06-29,295.00,299.00,279.00,290.00,-1.02,"102,133.00","29,257,962.00"
5,5,2021-06-28,307.00,313.00,293.00,293.00,-2.66,"74,996.00","22,327,522.00"
6,6,2021-06-27,308.00,316.00,299.00,301.00,-0.33,"111,266.00","33,837,140.00"
7,7,2021-06-24,303.00,318.00,297.00,302.00,-1.95,"122,747.00","37,822,329.00"
8,8,2021-06-23,312.00,331.00,300.00,308.00,0.65,"247,689.00","77,926,282.00"
9,9,2021-06-22,279.00,306.00,266.00,306.00,9.68,"196,833.00","58,080,544.00"
10,10,2021-06-21,304.00,312.00,277.00,279.00,-9.12,"193,209.00","55,906,786.00"
11,11,2021-06-20,325.00,326.00,297.00,307.00,-4.66,"162,226.00","50,477,514.00"
12,12,2021-06-17,303.00,335.00,303.00,322.00,1.26,"186,968.00","59,656,800.00"
13,13,2021-06-16,326.00,344.00,309.00,318.00,-7.29,"357,908.00","115,065,134.00"
14,14,2021-06-15,361.00,362.00,337.00,343.00,-4.99,"362,029.00","126,270,806.00"
15,15,2021-06-14,370.00,388.00,351.00,361.00,-2.43,"393,338.00","143,922,248.00"
16,16,2021-06-13,355.00,380.00,343.00,370.00,5.71,"404,954.00","148,076,714.00"
17,17,2021-06-10,344.00,360.00,322.00,350.00,6.71,"584,552.00","201,173,411.00"
18,18,2021-06-09,342.00,355.00,315.00,328.00,-2.09,"334,812.00","112,364,688.00"
19,19,2021-06-08,315.00,335.00,312.00,335.00,9.84,"579,216.00","190,930,115.00"
20,20,2021-06-07,291.00,305.00,275.00,305.00,9.71,"441,845.00","131,122,080.00"
21,21,2021-06-06,268.00,285.00,268.00,278.00,-1.42,"179,236.00","49,326,870.00"
22,22,2021-06-03,293.00,302.00,279.00,282.00,-3.75,"179,025.00","51,457,441.00"
23,23,2021-06-02,278.00,295.00,270.00,293.00,5.40,"175,387.00","50,058,085.00"
24,24,2021-06-01,277.00,295.00,265.00,278.00,-1.42,"158,755.00","44,035,644.00"
25,25,2021-05-31,317.00,317.00,276.00,282.00,-6.62,"352,542.00","101,801,865.00"
26,26,2021-05-30,314.00,336.00,290.00,302.00,-1.31,"653,453.00","202,574,631.00"
27,27,2021-05-27,290.00,306.00,279.00,306.00,9.68,"531,500.00","160,489,032.00"
28,28,2021-05-25,258.00,279.00,248.00,279.00,9.84,"545,952.00","147,747,045.00"
29,29,2021-05-24,263.00,263.00,251.00,254.00,-1.93,"195,887.00","50,093,165.00"
30,30,2021-05-23,245.00,262.00,231.00,259.00,5.28,"286,247.00","72,397,807.00"
31,31,2021-05-20,250.00,255.00,241.00,246.00,-2.38,"215,906.00","53,125,606.00"
32,32,2021-05-19,278.00,279.00,245.00,252.00,-5.97,"480,140.00","122,702,574.00"
33,33,2021-05-18,256.00,268.00,240.00,268.00,9.84,"485,607.00","127,008,957.00"
34,34,2021-05-17,239.00,244.00,227.00,244.00,2.09,"347,619.00","81,926,208.00"
35,35,2021-05-16,235.00,239.00,217.00,239.00,3.02,"435,349.00","97,449,538.00"
36,36,2021-05-13,220.00,233.00,215.00,232.00,6.91,"448,388.00","102,240,899.00"
37,37,2021-05-12,208.00,221.00,201.00,217.00,6.37,"403,143.00","86,225,344.00"
38,38,2021-05-11,192.00,206.00,192.00,204.00,6.25,"223,094.00","44,496,225.00"
39,39,2021-05-10,199.00,199.00,187.00,192.00,1.05,"95,036.00","18,139,108.00"
40,40,2021-05-09,196.00,197.00,189.00,190.00,-4.52,"194,825.00","37,413,651.00"
41,41,2021-05-06,216.00,216.00,198.00,199.00,-3.40,"228,912.00","45,897,734.00"
42,42,2021-05-05,200.00,207.00,190.00,206.00,6.19,"348,941.00","70,260,872.00"
43,43,2021-05-04,177.00,195.00,175.00,194.00,8.99,"512,610.00","97,284,778.00"
44,44,2021-05-03,182.00,186.00,176.00,178.00,-1.66,"156,270.00","28,113,439.00"
45,45,2021-05-02,170.00,181.00,170.00,181.00,7.10,"271,431.00","48,120,255.00"
46,46,2021-04-29,166.00,171.00,166.00,169.00,1.81,"59,670.00","10,087,628.00"
47,47,2021-04-28,165.00,170.00,164.00,166.00,-0.60,"38,378.00","6,384,478.00"
48,48,2021-04-27,159.00,168.00,158.00,167.00,5.03,"70,224.00","11,506,665.00"
49,49,2021-04-26,166.00,168.00,157.00,159.00,-4.22,"120,205.00","19,395,467.00"
50,50,2021-04-25,175.00,175.00,165.00,166.00,-5.14,"135,833.00","22,802,465.00"
51,51,2021-04-22,184.00,184.00,170.00,175.00,-0.57,"89,772.00","15,616,847.00"
52,52,2021-04-21,180.00,182.00,173.00,176.00,0.57,"121,247.00","21,510,583.00"
53,53,2021-04-20,160.00,180.00,160.00,175.00,6.06,"185,777.00","31,950,371.00"
54,54,2021-04-19,170.00,170.00,165.00,165.00,-1.20,"41,744.00","6,960,490.00"
55,55,2021-04-18,173.00,175.00,166.00,167.00,-1.76,"89,468.00","15,049,853.00"
56,56,2021-04-15,170.00,174.00,168.00,170.00,1.80,"96,008.00","16,387,341.00"
57,57,2021-04-13,159.00,173.00,159.00,167.00,0.00,"86,366.00","14,544,665.00"
58,58,2021-04-12,173.00,175.00,161.00,167.00,-3.47,"143,706.00","24,061,871.00"
59,59,2021-04-08,185.00,188.00,168.00,173.00,-4.42,"250,644.00","43,901,783.00"
60,60,2021-04-07,173.00,181.00,170.00,181.00,9.70,"669,285.00","119,767,182.00"
61,61,2021-04-06,153.00,165.00,149.00,165.00,10.00,"327,077.00","51,934,751.00"
62,62,2021-04-05,153.00,156.00,148.00,150.00,0.00,"103,056.00","15,536,886.00"
63,63,2021-04-04,148.00,150.00,146.00,150.00,2.74,"184,703.00","27,400,090.00"
64,64,2021-04-01,147.00,147.00,145.00,146.00,0.69,"50,174.00","7,329,624.00"
65,65,2021-03-31,146.00,147.00,144.00,145.00,-1.36,"64,954.00","9,423,697.00"
66,66,2021-03-30,147.00,149.00,143.00,147.00,1.38,"59,380.00","8,679,594.00"
67,67,2021-03-29,148.00,150.00,144.00,145.00,-0.68,"41,097.00","6,009,336.00"
68,68,2021-03-25,154.00,154.00,145.00,146.00,-0.68,"93,554.00","13,682,202.00"
69,69,2021-03-24,147.00,149.00,145.00,147.00,1.38,"89,216.00","13,112,655.00"
70,70,2021-03-23,145.00,149.00,143.00,145.00,0.69,"59,075.00","8,654,149.00"
71,71,2021-03-22,145.00,148.00,142.00,144.00,0.00,"58,491.00","8,434,309.00"
72,72,2021-03-21,148.00,149.00,143.00,144.00,-1.37,"50,887.00","7,350,435.00"
73,73,2021-03-18,157.00,157.00,146.00,146.00,-2.67,"116,662.00","17,393,100.00"
74,74,2021-03-17,153.00,155.00,146.00,150.00,2.74,"167,301.00","25,087,649.00"
75,75,2021-03-16,152.00,152.00,143.00,146.00,0.69,"67,581.00","9,865,595.00"
76,76,2021-03-15,142.00,147.00,138.00,145.00,2.11,"135,560.00","19,532,448.00"
77,77,2021-03-14,142.00,145.00,140.00,142.00,0.00,"68,698.00","9,761,407.00"
78,78,2021-03-10,151.00,151.00,141.00,142.00,-1.39,"34,953.00","5,016,036.00"
79,79,2021-03-09,144.00,148.00,141.00,144.00,0.00,"82,747.00","11,940,915.00"
80,80,2021-03-07,143.00,148.00,140.00,144.00,5.11,"189,159.00","27,232,578.00"
81,81,2021-03-04,135.00,140.00,133.00,137.00,3.01,"41,809.00","5,696,789.00"
82,82,2021-03-03,133.00,136.00,132.00,133.00,-0.75,"19,450.00","2,601,685.00"
83,83,2021-03-02,137.00,138.00,132.00,134.00,-2.90,"70,497.00","9,473,989.00"
84,84,2021-03-01,137.00,139.00,134.00,138.00,0.73,"62,358.00","8,522,458.00"
85,85,2021-02-28,141.00,143.00,135.00,137.00,-3.52,"56,631.00","7,781,993.00"
86,86,2021-02-25,142.00,145.00,140.00,142.00,0.00,"68,969.00","9,846,793.00"
87,87,2021-02-24,144.00,146.00,141.00,142.00,-0.70,"53,715.00","7,697,721.00"
88,88,2021-02-23,153.00,153.00,138.00,143.00,-2.05,"68,386.00","9,753,425.00"
89,89,2021-02-22,145.00,152.00,140.00,146.00,2.82,"274,509.00","39,860,094.00"
90,90,2021-02-21,139.00,147.00,136.00,142.00,3.65,"103,685.00","14,608,633.00"
91,91,2021-02-18,136.00,139.00,136.00,137.00,0.00,"31,820.00","4,374,410.00"
92,92,2021-02-17,143.00,143.00,135.00,137.00,-0.72,"29,727.00","4,066,479.00"
93,93,2021-02-16,144.00,144.00,136.00,138.00,0.00,"68,604.00","9,492,688.00"
94,94,2021-02-15,139.00,144.00,137.00,138.00,0.73,"46,402.00","6,451,197.00"
95,95,2021-02-14,140.00,143.00,136.00,137.00,-0.72,"34,419.00","4,761,448.00"
96,96,2021-02-11,142.00,144.00,137.00,138.00,-4.17,"97,411.00","13,564,241.00"
97,97,2021-02-08,145.00,152.00,143.00,144.00,-1.37,"71,143.00","10,322,506.00"
98,98,2021-02-07,143.00,150.00,143.00,146.00,3.55,"164,970.00","24,079,333.00"
99,99,2021-02-04,136.00,145.00,135.00,141.00,2.92,"165,963.00","23,450,793.00"
100,100,2021-02-03,136.00,140.00,135.00,137.00,0.74,"42,207.00","5,764,782.00"
101,101,2021-02-02,130.00,139.00,130.00,136.00,0.00,"35,759.00","4,909,114.00"
102,102,2021-02-01,135.00,139.00,134.00,136.00,0.74,"23,019.00","3,126,053.00"
103,103,2021-01-31,137.00,140.00,131.00,135.00,-1.46,"53,970.00","7,269,890.00"
104,104,2021-01-28,143.00,145.00,137.00,137.00,-2.84,"65,497.00","9,225,407.00"
105,105,2021-01-27,140.00,144.00,136.00,141.00,0.71,"62,392.00","8,869,707.00"
106,106,2021-01-26,145.00,145.00,138.00,140.00,-2.10,"54,497.00","7,653,725.00"
107,107,2021-01-25,130.00,144.00,130.00,143.00,5.15,"133,178.00","18,854,845.00"
108,108,2021-01-24,142.00,142.00,136.00,136.00,0.00,"74,262.00","10,290,548.00"
109,109,2021-01-21,131.00,136.00,131.00,136.00,3.82,"54,641.00","7,315,365.00"
110,110,2021-01-20,133.00,133.00,130.00,131.00,0.00,"47,126.00","6,183,597.00"
111,111,2021-01-19,133.00,134.00,131.00,131.00,-1.50,"44,426.00","5,865,070.00"
112,112,2021-01-18,134.00,135.00,132.00,133.00,0.00,"43,600.00","5,792,940.00"
113,113,2021-01-17,134.00,135.00,132.00,133.00,0.76,"32,488.00","4,332,294.00"
114,114,2021-01-13,133.00,135.00,131.00,132.00,0.76,"48,014.00","6,370,967.00"
115,115,2021-01-12,130.00,135.00,127.00,131.00,0.77,"58,206.00","7,615,832.00"
116,116,2021-01-11,128.00,134.00,128.00,130.00,0.00,"21,718.00","2,839,663.00"
117,117,2021-01-10,131.00,133.00,128.00,130.00,-1.52,"38,746.00","5,037,428.00"
