,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-04,804.00,810.00,774.00,784.00,2.22,"204,809.00","162,442,738.00"
2,2,2021-07-01,785.00,787.00,762.00,767.00,-0.39,"114,472.00","88,686,721.00"
3,3,2021-06-30,780.00,785.00,750.00,770.00,0.26,"137,570.00","105,282,295.00"
4,4,2021-06-29,751.00,810.00,751.00,768.00,-2.78,"198,364.00","154,639,464.00"
5,5,2021-06-28,859.00,900.00,788.00,790.00,-3.54,"802,487.00","669,448,989.00"
6,6,2021-06-27,782.00,819.00,782.00,819.00,9.93,"43,467.00","35,483,325.00"
7,7,2021-06-24,680.00,745.00,666.00,745.00,9.88,"400,951.00","289,213,483.00"
8,8,2021-06-23,701.00,707.00,668.00,678.00,-2.45,"169,886.00","115,687,717.00"
9,9,2021-06-22,680.00,705.00,669.00,695.00,2.21,"161,410.00","111,297,778.00"
10,10,2021-06-21,715.00,725.00,680.00,680.00,-5.69,"251,283.00","175,565,923.00"
11,11,2021-06-20,728.00,742.00,708.00,721.00,-1.77,"276,040.00","199,066,323.00"
12,12,2021-06-17,750.00,750.00,729.00,734.00,-2.00,"183,595.00","135,168,033.00"
13,13,2021-06-16,735.00,765.00,735.00,749.00,-2.98,"309,395.00","231,654,980.00"
14,14,2021-06-15,780.00,790.00,770.00,772.00,-1.53,"155,169.00","120,141,967.00"
15,15,2021-06-14,800.00,815.00,783.00,784.00,-1.01,"131,284.00","103,916,289.00"
16,16,2021-06-13,805.00,805.00,775.00,792.00,2.72,"207,160.00","163,941,166.00"
17,17,2021-06-10,738.00,789.00,738.00,771.00,-0.64,"141,849.00","109,836,395.00"
18,18,2021-06-09,786.00,788.00,775.00,776.00,-1.40,"122,062.00","95,016,423.00"
19,19,2021-06-08,829.00,829.00,782.00,787.00,-1.13,"130,480.00","103,317,949.00"
20,20,2021-06-07,770.00,820.00,765.00,796.00,4.05,"184,268.00","146,005,821.00"
21,21,2021-06-06,777.00,785.00,757.00,765.00,-1.54,"245,860.00","187,772,835.00"
22,22,2021-06-03,792.00,797.00,776.00,777.00,-1.15,"170,731.00","133,386,866.00"
23,23,2021-06-02,798.00,813.00,784.00,786.00,0.38,"138,789.00","109,940,765.00"
24,24,2021-06-01,788.00,800.00,775.00,783.00,-0.63,"165,501.00","129,908,626.00"
