,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,625.00,669.00,620.00,654.00,5.31,"51,282.00","33,328,063.00"
2,2,2021-07-04,590.00,625.00,581.00,621.00,7.25,"41,720.00","25,388,266.00"
3,3,2021-07-01,567.00,590.00,567.00,579.00,0.17,"14,450.00","8,400,640.00"
4,4,2021-06-30,580.00,590.00,560.00,578.00,-1.20,"9,389.00","5,324,284.00"
5,5,2021-06-29,600.00,605.00,577.00,585.00,-1.18,"14,902.00","8,803,154.00"
6,6,2021-06-28,570.00,600.00,563.00,592.00,3.14,"18,982.00","11,084,026.00"
7,7,2021-06-27,588.00,610.00,573.00,574.00,-2.38,"15,787.00","9,164,421.00"
8,8,2021-06-24,598.00,605.00,588.00,588.00,-3.61,"20,819.00","12,393,797.00"
9,9,2021-06-23,635.00,635.00,599.00,610.00,-4.39,"21,451.00","13,049,725.00"
10,10,2021-06-22,601.00,645.00,590.00,638.00,4.25,"24,901.00","15,317,442.00"
11,11,2021-06-21,623.00,635.00,593.00,612.00,-3.62,"30,308.00","18,343,968.00"
12,12,2021-06-20,700.00,700.00,619.00,635.00,-7.30,"66,666.00","42,432,744.00"
13,13,2021-06-17,769.00,806.00,680.00,685.00,-6.55,"139,756.00","102,121,340.00"
14,14,2021-06-16,700.00,733.00,700.00,733.00,9.90,"28,761.00","21,060,729.00"
15,15,2021-06-15,637.00,667.00,637.00,667.00,9.88,"3,300.00","2,199,900.00"
16,16,2021-06-14,579.00,607.00,579.00,607.00,9.96,"1,780.00","1,077,600.00"
17,17,2021-06-13,527.00,552.00,527.00,552.00,9.96,"1,281.00","705,911.00"
18,18,2021-06-10,479.00,502.00,479.00,502.00,9.85,590.00,"295,490.00"
19,19,2021-06-09,416.00,457.00,416.00,457.00,9.86,261.00,"116,377.00"
