,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"3,460.00","3,475.00","3,450.00","3,453.00",-0.49,"7,905.00","27,314,315.00"
2,2,2021-07-04,"3,525.00","3,528.00","3,460.00","3,470.00",0.29,"9,022.00","31,367,923.00"
3,3,2021-07-01,"3,480.00","3,535.00","3,448.00","3,460.00",0.82,"17,344.00","60,571,260.00"
4,4,2021-06-30,"3,500.00","3,500.00","3,420.00","3,432.00",-2.05,"17,217.00","59,219,615.00"
5,5,2021-06-29,"3,570.00","3,570.00","3,500.00","3,504.00",-1.02,"11,788.00","41,441,656.00"
6,6,2021-06-28,"3,609.00","3,609.00","3,535.00","3,540.00",-0.28,"10,556.00","37,573,911.00"
7,7,2021-06-27,"3,600.00","3,650.00","3,530.00","3,550.00",-0.98,"17,784.00","63,278,925.00"
8,8,2021-06-24,"3,680.00","3,695.00","3,570.00","3,585.00",-2.53,"26,583.00","95,725,767.00"
9,9,2021-06-23,"3,800.00","3,800.00","3,676.00","3,678.00",-2.83,"20,310.00","75,324,493.00"
10,10,2021-06-22,"3,900.00","3,900.00","3,743.00","3,785.00",1.12,"29,732.00","112,549,371.00"
11,11,2021-06-21,"4,150.00","4,220.00","4,075.00","4,080.00",-1.69,"72,086.00","296,179,913.00"
12,12,2021-06-20,"4,220.00","4,250.00","4,100.00","4,150.00",-0.79,"25,526.00","105,761,055.00"
13,13,2021-06-17,"4,200.00","4,200.00","4,139.00","4,183.00",0.80,"23,461.00","97,792,915.00"
14,14,2021-06-16,"4,017.00","4,215.00","4,017.00","4,150.00",-1.84,"34,008.00","141,155,330.00"
15,15,2021-06-15,"4,310.00","4,310.00","4,060.00","4,228.00",2.95,"44,322.00","186,354,484.00"
16,16,2021-06-14,"4,092.00","4,120.00","4,092.00","4,107.00",0.32,"18,807.00","77,218,284.00"
17,17,2021-06-13,"4,120.00","4,170.00","4,094.00","4,094.00",-0.02,"21,051.00","86,379,796.00"
18,18,2021-06-10,"4,305.00","4,305.00","4,080.00","4,095.00",-0.24,"15,741.00","64,556,827.00"
19,19,2021-06-09,"4,101.00","4,200.00","4,077.00","4,105.00",0.17,"30,176.00","124,224,537.00"
20,20,2021-06-08,"4,318.00","4,318.00","4,090.00","4,098.00",-0.36,"17,724.00","72,741,771.00"
21,21,2021-06-07,"4,200.00","4,225.00","4,101.00","4,113.00",0.02,"22,169.00","91,830,294.00"
22,22,2021-06-06,"4,024.00","4,151.00","3,981.00","4,112.00",3.42,"39,054.00","158,857,150.00"
23,23,2021-06-03,"4,005.00","4,050.00","3,971.00","3,976.00",-0.60,"19,905.00","79,810,552.00"
24,24,2021-06-02,"3,930.00","4,050.00","3,904.00","4,000.00",2.01,"21,213.00","83,841,244.00"
25,25,2021-06-01,"3,950.00","3,990.00","3,911.00","3,921.00",-1.01,"16,428.00","64,802,940.00"
26,26,2021-05-31,"4,000.00","4,050.00","3,960.00","3,961.00",-1.25,"20,186.00","80,462,881.00"
27,27,2021-05-30,"4,003.00","4,080.00","4,000.00","4,011.00",0.20,"19,971.00","80,288,820.00"
28,28,2021-05-27,"4,000.00","4,060.00","3,973.00","4,003.00",-1.26,"25,365.00","101,890,285.00"
29,29,2021-05-25,"4,200.00","4,200.00","4,050.00","4,054.00",-1.05,"16,258.00","66,132,589.00"
30,30,2021-05-24,"4,244.00","4,244.00","4,081.00","4,097.00",0.17,"22,102.00","90,506,737.00"
31,31,2021-05-23,"4,095.00","4,161.00","3,960.00","4,090.00",-0.75,"21,711.00","88,705,014.00"
32,32,2021-05-20,"4,145.00","4,186.00","4,105.00","4,121.00",-0.58,"13,863.00","57,291,666.00"
33,33,2021-05-19,"4,300.00","4,337.00","4,125.00","4,145.00",-2.22,"28,209.00","118,560,179.00"
34,34,2021-05-18,"4,100.00","4,300.00","4,000.00","4,239.00",6.88,"66,525.00","276,667,783.00"
35,35,2021-05-17,"3,990.00","4,009.00","3,960.00","3,966.00",0.15,"19,046.00","75,826,909.00"
36,36,2021-05-16,"3,945.00","4,000.00","3,923.00","3,960.00",1.46,"19,047.00","75,290,211.00"
37,37,2021-05-13,"3,925.00","3,949.00","3,900.00","3,903.00",-0.43,"13,968.00","54,708,620.00"
38,38,2021-05-12,"3,994.00","3,997.00","3,905.00","3,920.00",-0.23,"11,408.00","44,856,377.00"
39,39,2021-05-11,"3,900.00","3,950.00","3,900.00","3,929.00",1.92,"23,969.00","94,263,061.00"
40,40,2021-05-10,"3,829.00","3,900.00","3,802.00","3,855.00",0.76,"20,461.00","78,930,126.00"
41,41,2021-05-09,"3,810.00","3,878.00","3,788.00","3,826.00",0.00,"19,222.00","73,756,961.00"
42,42,2021-05-06,"3,889.00","3,889.00","3,822.00","3,826.00",-1.54,"18,094.00","69,606,866.00"
43,43,2021-05-05,"3,900.00","3,950.00","3,884.00","3,886.00",-0.74,"10,411.00","40,622,401.00"
44,44,2021-05-04,"3,714.00","4,000.00","3,714.00","3,915.00",0.15,"14,761.00","57,990,301.00"
45,45,2021-05-03,"3,980.00","4,050.00","3,901.00","3,909.00",-0.03,"23,929.00","94,250,216.00"
46,46,2021-05-02,"3,900.00","3,945.00","3,830.00","3,910.00",1.56,"27,735.00","108,170,645.00"
47,47,2021-04-29,"4,042.00","4,042.00","3,830.00","3,850.00",0.00,"23,904.00","92,582,873.00"
48,48,2021-04-28,"3,890.00","3,980.00","3,775.00","3,850.00",-0.65,"20,193.00","78,420,886.00"
49,49,2021-04-27,"3,701.00","3,876.00","3,701.00","3,875.00",4.70,"27,633.00","104,812,289.00"
50,50,2021-04-26,"3,750.00","3,825.00","3,700.00","3,701.00",-2.53,"45,474.00","169,589,940.00"
51,51,2021-04-25,"3,940.00","3,940.00","3,797.00","3,797.00",-2.29,"40,762.00","155,771,327.00"
52,52,2021-04-22,"4,086.00","4,086.00","3,829.00","3,886.00",-0.15,"32,235.00","124,934,762.00"
53,53,2021-04-21,"4,000.00","4,000.00","3,881.00","3,892.00",-1.47,"47,054.00","183,761,528.00"
54,54,2021-04-20,"4,000.00","4,000.00","3,845.00","3,950.00",-1.10,"54,464.00","214,289,368.00"
55,55,2021-04-19,"4,090.00","4,090.00","3,890.00","3,994.00",-2.94,"71,044.00","283,856,197.00"
56,56,2021-04-18,"4,150.00","4,150.00","4,100.00","4,115.00",-1.06,"9,856.00","40,659,552.00"
57,57,2021-04-15,"4,358.00","4,358.00","4,150.00","4,159.00",0.19,"7,320.00","30,499,506.00"
58,58,2021-04-13,"4,184.00","4,189.00","4,149.00","4,151.00",-0.79,"10,556.00","43,928,697.00"
59,59,2021-04-12,"4,205.00","4,205.00","4,181.00","4,184.00",-0.50,"7,890.00","33,046,374.00"
60,60,2021-04-08,"4,201.00","4,250.00","4,180.00","4,205.00",-0.61,"9,031.00","37,939,606.00"
61,61,2021-04-07,"4,300.00","4,300.00","4,222.00","4,231.00",-1.03,"3,828.00","16,285,400.00"
62,62,2021-04-06,"4,140.00","4,300.00","4,070.00","4,275.00",1.91,"18,207.00","76,447,469.00"
63,63,2021-04-05,"4,288.00","4,300.00","4,175.00","4,195.00",-2.17,"20,511.00","86,274,767.00"
64,64,2021-04-04,"4,363.00","4,364.00","4,250.00","4,288.00",-1.88,"31,284.00","134,434,851.00"
65,65,2021-04-01,"4,400.00","4,410.00","4,350.00","4,370.00",-0.46,"12,138.00","53,003,405.00"
66,66,2021-03-31,"4,400.00","4,400.00","4,350.00","4,390.00",0.69,"6,063.00","26,483,741.00"
67,67,2021-03-30,"4,362.00","4,390.00","4,329.00","4,360.00",0.25,"4,276.00","18,688,935.00"
68,68,2021-03-29,"4,350.00","4,400.00","4,291.00","4,349.00",-0.41,"4,192.00","18,307,661.00"
69,69,2021-03-25,"4,500.00","4,505.00","4,360.00","4,367.00",-1.20,"6,135.00","27,010,482.00"
70,70,2021-03-24,"4,390.00","4,480.00","4,380.00","4,420.00",1.33,"27,423.00","60,682,064.00"
71,71,2021-03-23,"4,400.00","4,400.00","4,310.00","4,362.00",-0.86,"9,848.00","42,884,003.00"
72,72,2021-03-22,"4,500.00","4,545.00","4,400.00","4,400.00",-2.20,"13,357.00","59,336,595.00"
73,73,2021-03-21,"4,464.00","4,525.00","4,448.00","4,499.00",2.79,"16,396.00","73,728,231.00"
