,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,497.00,499.00,488.00,489.00,-1.61,"271,311.00","133,235,970.00"
2,2,2021-07-04,501.00,505.00,496.00,497.00,-0.80,"184,761.00","92,046,354.00"
3,3,2021-07-01,505.00,508.00,500.00,501.00,0.20,"209,366.00","105,338,016.00"
4,4,2021-06-30,503.00,505.00,495.00,500.00,-0.60,"240,095.00","119,653,720.00"
5,5,2021-06-29,509.00,515.00,502.00,503.00,-1.18,"247,114.00","125,059,436.00"
6,6,2021-06-28,515.00,518.00,505.00,509.00,-0.39,"185,355.00","94,407,933.00"
7,7,2021-06-27,510.00,519.00,506.00,511.00,0.20,"306,783.00","156,557,063.00"
8,8,2021-06-24,512.00,518.00,508.00,510.00,-0.39,"252,503.00","128,823,709.00"
9,9,2021-06-23,529.00,533.00,511.00,512.00,-2.29,"201,087.00","103,528,587.00"
10,10,2021-06-22,515.00,524.00,505.00,524.00,2.75,"402,416.00","207,335,025.00"
11,11,2021-06-21,523.00,526.00,509.00,510.00,-2.49,"420,675.00","216,499,879.00"
12,12,2021-06-20,520.00,537.00,520.00,523.00,-1.13,"388,678.00","203,801,916.00"
13,13,2021-06-17,534.00,535.00,525.00,529.00,-0.94,"464,954.00","245,450,708.00"
14,14,2021-06-16,525.00,536.00,523.00,534.00,-0.93,"483,442.00","256,301,694.00"
15,15,2021-06-15,563.00,563.00,539.00,539.00,-2.00,"320,786.00","174,565,620.00"
16,16,2021-06-14,540.00,565.00,539.00,550.00,2.42,"577,558.00","316,920,942.00"
17,17,2021-06-13,541.00,548.00,534.00,537.00,-0.74,"419,915.00","225,843,331.00"
18,18,2021-06-10,560.00,560.00,540.00,541.00,-1.46,"444,293.00","242,045,120.00"
19,19,2021-06-09,561.00,568.00,547.00,549.00,-2.14,"466,594.00","258,073,985.00"
20,20,2021-06-08,578.00,578.00,560.00,561.00,-1.92,"588,485.00","333,115,109.00"
21,21,2021-06-07,590.00,599.00,566.00,572.00,-1.04,"805,770.00","466,288,021.00"
22,22,2021-06-06,542.00,581.00,542.00,578.00,8.44,"1,478,885.00","839,044,067.00"
23,23,2021-06-03,525.00,540.00,525.00,533.00,1.72,"618,859.00","331,386,774.00"
24,24,2021-06-02,525.00,528.00,523.00,524.00,-0.19,"312,966.00","164,348,306.00"
25,25,2021-06-01,526.00,532.00,523.00,525.00,-0.19,"285,458.00","150,125,522.00"
26,26,2021-05-31,530.00,535.00,526.00,526.00,-0.75,"332,230.00","175,793,236.00"
27,27,2021-05-30,530.00,545.00,528.00,530.00,0.00,"522,428.00","277,933,295.00"
28,28,2021-05-27,534.00,536.00,529.00,530.00,-0.75,"391,248.00","207,873,796.00"
29,29,2021-05-25,555.00,555.00,532.00,534.00,-0.37,"261,918.00","139,992,847.00"
30,30,2021-05-24,539.00,545.00,535.00,536.00,-0.37,"344,835.00","185,478,431.00"
31,31,2021-05-23,537.00,543.00,529.00,538.00,0.19,"362,473.00","194,864,909.00"
32,32,2021-05-20,560.00,560.00,530.00,537.00,-0.19,"371,438.00","199,767,111.00"
33,33,2021-05-19,544.00,552.00,537.00,538.00,-1.10,"323,110.00","175,636,344.00"
