,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,586.00,620.00,586.00,610.00,-0.97,"13,557.00","8,232,764.00"
2,2,2021-07-04,634.00,634.00,605.00,616.00,-2.07,"12,118.00","7,444,175.00"
3,3,2021-07-01,627.00,630.00,611.00,629.00,2.28,"21,335.00","13,220,670.00"
4,4,2021-06-30,600.00,630.00,576.00,615.00,1.65,"40,899.00","24,160,398.00"
5,5,2021-06-29,628.00,638.00,599.00,605.00,-3.51,"37,817.00","23,082,474.00"
6,6,2021-06-28,645.00,656.00,624.00,627.00,-2.64,"25,738.00","16,284,283.00"
7,7,2021-06-27,657.00,657.00,633.00,644.00,-0.16,"15,509.00","9,908,876.00"
8,8,2021-06-24,662.00,663.00,638.00,645.00,-4.44,"34,018.00","22,026,369.00"
9,9,2021-06-23,675.00,690.00,644.00,675.00,-0.74,"37,186.00","24,449,654.00"
10,10,2021-06-22,634.00,680.00,615.00,680.00,7.26,"32,453.00","21,247,324.00"
11,11,2021-06-21,685.00,689.00,630.00,634.00,-7.17,"40,948.00","26,671,841.00"
12,12,2021-06-20,697.00,700.00,660.00,683.00,-2.01,"53,804.00","36,434,694.00"
13,13,2021-06-17,690.00,710.00,680.00,697.00,0.00,"35,978.00","25,050,927.00"
14,14,2021-06-16,705.00,714.00,688.00,697.00,-3.19,"62,670.00","43,841,082.00"
15,15,2021-06-15,735.00,755.00,717.00,720.00,-2.70,"42,571.00","31,128,318.00"
16,16,2021-06-14,780.00,795.00,740.00,740.00,-3.01,"92,238.00","70,187,491.00"
17,17,2021-06-13,725.00,770.00,715.00,763.00,6.12,"126,915.00","93,711,919.00"
18,18,2021-06-10,702.00,734.00,698.00,719.00,2.42,"68,910.00","49,202,554.00"
19,19,2021-06-09,725.00,730.00,697.00,702.00,-3.04,"52,869.00","37,575,212.00"
20,20,2021-06-08,720.00,734.00,695.00,724.00,3.43,"57,932.00","41,337,436.00"
21,21,2021-06-07,701.00,713.00,695.00,700.00,-1.41,"61,134.00","42,940,411.00"
22,22,2021-06-06,735.00,735.00,700.00,710.00,-1.93,"43,749.00","30,986,984.00"
23,23,2021-06-03,737.00,739.00,720.00,724.00,0.14,"53,982.00","39,421,866.00"
24,24,2021-06-02,704.00,739.00,697.00,723.00,2.12,"57,334.00","40,701,743.00"
25,25,2021-06-01,740.00,740.00,690.00,708.00,-1.26,"65,577.00","46,347,774.00"
26,26,2021-05-31,735.00,750.00,717.00,717.00,-3.63,"75,330.00","55,060,415.00"
27,27,2021-05-30,711.00,769.00,711.00,744.00,-0.53,"86,334.00","65,361,656.00"
28,28,2021-05-27,739.00,764.00,739.00,748.00,-0.80,"67,111.00","49,948,042.00"
29,29,2021-05-25,763.00,775.00,747.00,754.00,-1.95,"58,976.00","44,711,642.00"
30,30,2021-05-24,775.00,784.00,755.00,769.00,0.00,"62,118.00","47,410,846.00"
31,31,2021-05-23,750.00,790.00,731.00,769.00,1.18,"119,862.00","91,596,111.00"
32,32,2021-05-20,765.00,780.00,757.00,760.00,-0.39,"76,759.00","58,476,461.00"
33,33,2021-05-19,800.00,805.00,760.00,763.00,-4.15,"105,051.00","81,222,120.00"
34,34,2021-05-18,840.00,840.00,795.00,796.00,-0.50,"103,118.00","83,185,954.00"
35,35,2021-05-17,763.00,807.00,755.00,800.00,4.85,"147,775.00","116,301,192.00"
36,36,2021-05-16,800.00,800.00,731.00,763.00,-3.42,"282,308.00","215,042,140.00"
37,37,2021-05-13,770.00,820.00,748.00,790.00,5.90,"123,357.00","98,095,698.00"
38,38,2021-05-12,680.00,748.00,675.00,746.00,9.71,"191,016.00","136,367,783.00"
39,39,2021-05-11,657.00,682.00,620.00,680.00,8.63,"213,992.00","141,720,155.00"
40,40,2021-05-10,630.00,640.00,610.00,626.00,0.81,"59,445.00","37,319,789.00"
41,41,2021-05-09,669.00,669.00,618.00,621.00,-2.66,"104,797.00","65,510,736.00"
42,42,2021-05-06,656.00,667.00,637.00,638.00,-2.74,"75,547.00","48,879,852.00"
43,43,2021-05-05,620.00,673.00,611.00,656.00,5.81,"110,756.00","71,214,219.00"
44,44,2021-05-04,620.00,628.00,600.00,620.00,0.49,"75,803.00","46,676,520.00"
45,45,2021-05-03,630.00,635.00,608.00,617.00,-2.06,"92,583.00","57,291,023.00"
46,46,2021-05-02,617.00,650.00,605.00,630.00,2.11,"108,416.00","68,395,906.00"
47,47,2021-04-29,551.00,620.00,551.00,617.00,7.30,"134,681.00","80,921,315.00"
