,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,777.00,778.00,768.00,769.00,0.92,"14,222.00","11,006,724.00"
2,2,2021-06-30,768.00,768.00,746.00,762.00,0.53,"21,630.00","16,259,936.00"
3,3,2021-06-29,780.00,784.00,758.00,758.00,-1.56,"15,741.00","12,011,099.00"
4,4,2021-06-28,767.00,784.00,767.00,770.00,0.13,"13,324.00","10,311,240.00"
5,5,2021-06-27,773.00,779.00,768.00,769.00,-0.52,"18,124.00","14,004,559.00"
6,6,2021-06-24,790.00,790.00,773.00,773.00,-1.65,"19,170.00","14,899,697.00"
7,7,2021-06-23,820.00,820.00,785.00,786.00,-3.56,"33,244.00","26,334,187.00"
8,8,2021-06-22,777.00,815.00,777.00,815.00,4.89,"38,792.00","30,823,481.00"
9,9,2021-06-21,800.00,813.00,775.00,777.00,-3.36,"57,554.00","45,549,273.00"
10,10,2021-06-20,820.00,825.00,796.00,804.00,-1.95,"31,998.00","25,846,146.00"
11,11,2021-06-17,815.00,837.00,810.00,820.00,1.11,"47,246.00","38,881,577.00"
12,12,2021-06-16,840.00,840.00,800.00,811.00,-3.80,"81,330.00","66,620,764.00"
13,13,2021-06-15,860.00,870.00,840.00,843.00,-1.40,"58,480.00","49,729,874.00"
14,14,2021-06-14,858.00,875.00,845.00,855.00,1.54,"64,896.00","55,265,071.00"
15,15,2021-06-13,862.00,862.00,840.00,842.00,-0.47,"50,771.00","43,134,882.00"
16,16,2021-06-10,879.00,890.00,846.00,846.00,-2.08,"66,527.00","57,424,247.00"
17,17,2021-06-09,880.00,901.00,855.00,864.00,0.00,"113,832.00","100,083,132.00"
18,18,2021-06-08,835.00,868.00,835.00,864.00,3.85,"100,547.00","86,035,734.00"
19,19,2021-06-07,835.00,845.00,830.00,832.00,-0.48,"40,756.00","34,053,220.00"
20,20,2021-06-06,849.00,849.00,832.00,836.00,-1.07,"44,898.00","37,655,827.00"
21,21,2021-06-03,869.00,873.00,840.00,845.00,-0.94,"101,647.00","87,098,908.00"
22,22,2021-06-02,871.00,871.00,816.00,853.00,2.77,"112,756.00","95,956,344.00"
23,23,2021-06-01,830.00,855.00,820.00,830.00,-1.54,"59,703.00","49,678,877.00"
24,24,2021-05-31,868.00,880.00,835.00,843.00,-1.98,"105,243.00","90,075,186.00"
25,25,2021-05-30,861.00,882.00,849.00,860.00,0.12,"157,202.00","136,437,160.00"
26,26,2021-05-27,830.00,879.00,830.00,859.00,-1.60,"125,263.00","107,220,777.00"
27,27,2021-05-25,770.00,891.00,770.00,873.00,7.78,"306,098.00","261,805,739.00"
28,28,2021-05-24,829.00,829.00,804.00,810.00,-0.49,"67,217.00","54,903,472.00"
29,29,2021-05-23,788.00,828.00,773.00,814.00,1.50,"87,421.00","70,992,310.00"
30,30,2021-05-20,805.00,815.00,800.00,802.00,-0.99,"36,623.00","29,414,124.00"
31,31,2021-05-19,840.00,840.00,802.00,810.00,-1.70,"96,296.00","78,852,215.00"
32,32,2021-05-18,805.00,829.00,788.00,824.00,2.74,"132,162.00","107,003,317.00"
33,33,2021-05-17,820.00,828.00,795.00,802.00,-1.47,"83,148.00","67,240,185.00"
34,34,2021-05-16,800.00,815.00,792.00,814.00,3.17,"129,894.00","104,852,948.00"
35,35,2021-05-13,800.00,800.00,768.00,789.00,2.87,"81,027.00","63,635,388.00"
36,36,2021-05-12,765.00,767.00,756.00,767.00,1.05,"39,502.00","30,099,292.00"
37,37,2021-05-11,762.00,765.00,755.00,759.00,0.53,"10,541.00","7,992,318.00"
38,38,2021-05-10,730.00,758.00,730.00,755.00,1.48,"8,780.00","6,597,265.00"
39,39,2021-05-09,746.00,760.00,743.00,744.00,-1.72,"21,505.00","16,102,615.00"
40,40,2021-05-06,764.00,770.00,757.00,757.00,-1.69,"21,896.00","16,677,846.00"
41,41,2021-05-05,771.00,785.00,758.00,770.00,0.00,"19,191.00","14,828,776.00"
42,42,2021-05-04,774.00,782.00,766.00,770.00,-0.52,"19,293.00","14,877,299.00"
43,43,2021-05-03,785.00,803.00,760.00,774.00,0.00,"33,104.00","25,706,208.00"
44,44,2021-05-02,750.00,782.00,735.00,774.00,5.16,"56,679.00","43,335,097.00"
45,45,2021-04-29,730.00,742.00,726.00,736.00,0.82,"10,894.00","8,021,692.00"
