,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,731.00,753.00,731.00,742.00,-0.27,"15,500.00","11,533,022.00"
2,2,2021-06-30,747.00,750.00,728.00,744.00,-0.93,"16,555.00","12,170,208.00"
3,3,2021-06-29,761.00,765.00,751.00,751.00,-1.57,"13,622.00","10,321,178.00"
4,4,2021-06-28,760.00,777.00,760.00,763.00,-0.65,"10,425.00","7,978,375.00"
5,5,2021-06-27,768.00,783.00,760.00,768.00,0.00,"16,351.00","12,477,477.00"
6,6,2021-06-24,740.00,785.00,740.00,768.00,-1.29,"16,325.00","12,599,370.00"
7,7,2021-06-23,800.00,800.00,778.00,778.00,-1.89,"15,007.00","11,772,517.00"
8,8,2021-06-22,790.00,795.00,779.00,793.00,1.54,"14,785.00","11,623,625.00"
9,9,2021-06-21,787.00,800.00,780.00,781.00,-2.25,"23,502.00","18,517,466.00"
10,10,2021-06-20,820.00,820.00,794.00,799.00,-1.60,"25,125.00","20,144,272.00"
11,11,2021-06-17,812.00,820.00,801.00,812.00,0.00,"18,380.00","14,943,109.00"
12,12,2021-06-16,805.00,820.00,800.00,812.00,-0.98,"29,681.00","24,021,165.00"
13,13,2021-06-15,840.00,840.00,818.00,820.00,-0.36,"23,191.00","19,046,397.00"
14,14,2021-06-14,822.00,840.00,819.00,823.00,0.12,"28,972.00","23,832,196.00"
15,15,2021-06-13,815.00,837.00,815.00,822.00,-0.60,"30,095.00","24,861,456.00"
16,16,2021-06-10,835.00,850.00,825.00,827.00,-0.72,"18,758.00","15,570,375.00"
17,17,2021-06-09,845.00,860.00,832.00,833.00,-1.30,"33,987.00","28,673,351.00"
18,18,2021-06-08,817.00,846.00,816.00,844.00,2.80,"66,308.00","54,691,948.00"
19,19,2021-06-07,822.00,835.00,819.00,821.00,-0.24,"29,435.00","24,211,178.00"
20,20,2021-06-06,822.00,832.00,818.00,823.00,-0.12,"23,696.00","19,502,581.00"
21,51,2021-04-21,788.00,826.00,788.00,826.00,9.99,"22,373.00","18,473,471.00"
22,52,2021-04-20,717.00,751.00,717.00,751.00,9.96,"2,934.00","2,201,444.00"
23,53,2021-04-19,652.00,683.00,652.00,683.00,9.98,"1,525.00","1,040,350.00"
24,54,2021-04-18,543.00,621.00,543.00,621.00,9.91,"1,508.00","932,658.00"
25,55,2021-04-15,501.00,565.00,501.00,565.00,9.92,789.00,"443,499.00"
26,56,2021-04-13,477.00,514.00,477.00,514.00,9.83,342.00,"174,172.00"
27,57,2021-04-12,434.00,468.00,434.00,468.00,9.86,392.00,"182,191.00"
28,58,2021-04-08,398.00,426.00,388.00,426.00,9.79,230.00,"93,202.00"
29,59,2021-04-07,360.00,388.00,360.00,388.00,7.78,270.00,"100,700.00"
30,51,2021-04-21,788.00,826.00,788.00,826.00,9.99,"22,373.00","18,473,471.00"
31,52,2021-04-20,717.00,751.00,717.00,751.00,9.96,"2,934.00","2,201,444.00"
32,53,2021-04-19,652.00,683.00,652.00,683.00,9.98,"1,525.00","1,040,350.00"
33,54,2021-04-18,543.00,621.00,543.00,621.00,9.91,"1,508.00","932,658.00"
34,55,2021-04-15,501.00,565.00,501.00,565.00,9.92,789.00,"443,499.00"
35,56,2021-04-13,477.00,514.00,477.00,514.00,9.83,342.00,"174,172.00"
36,57,2021-04-12,434.00,468.00,434.00,468.00,9.86,392.00,"182,191.00"
37,58,2021-04-08,398.00,426.00,388.00,426.00,9.79,230.00,"93,202.00"
38,59,2021-04-07,360.00,388.00,360.00,388.00,7.78,270.00,"100,700.00"
