,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,315.00","2,350.00","2,275.00","2,325.00",0.52,"16,981.00","38,931,820.00"
2,2,2021-06-30,"2,296.00","2,324.00","2,265.00","2,313.00",-1.11,"10,870.00","24,785,697.00"
3,3,2021-06-29,"2,360.00","2,360.00","2,290.00","2,339.00",-0.76,"6,909.00","15,966,428.00"
4,4,2021-06-28,"2,436.00","2,436.00","2,326.00","2,357.00",-1.34,"3,882.00","9,125,791.00"
5,5,2021-06-27,"2,355.00","2,389.00","2,308.00","2,389.00",1.44,"10,824.00","25,293,426.00"
6,6,2021-06-24,"2,360.00","2,360.00","2,301.00","2,355.00",-0.13,"6,901.00","16,075,470.00"
7,7,2021-06-23,"2,460.00","2,460.00","2,315.00","2,358.00",-2.64,"15,296.00","35,902,622.00"
8,8,2021-06-22,"2,400.00","2,428.00","2,355.00","2,422.00",1.34,"9,133.00","21,957,819.00"
9,9,2021-06-21,"2,409.00","2,495.00","2,372.00","2,390.00",-2.77,"9,173.00","21,953,041.00"
10,10,2021-06-20,"2,460.00","2,500.00","2,401.00","2,458.00",-0.08,"21,674.00","53,007,452.00"
11,11,2021-06-17,"2,483.00","2,494.00","2,430.00","2,460.00",0.57,"18,927.00","46,589,243.00"
12,12,2021-06-16,"2,480.00","2,519.00","2,430.00","2,446.00",-3.28,"22,312.00","55,133,535.00"
13,13,2021-06-15,"2,511.00","2,540.00","2,471.00","2,529.00",-0.71,"17,605.00","44,134,618.00"
14,14,2021-06-14,"2,535.00","2,581.00","2,502.00","2,547.00",0.59,"15,346.00","38,854,104.00"
15,15,2021-06-13,"2,555.00","2,606.00","2,530.00","2,532.00",-0.31,"28,121.00","71,616,139.00"
16,16,2021-06-10,"2,600.00","2,640.00","2,526.00","2,540.00",-2.68,"14,605.00","37,420,743.00"
17,17,2021-06-09,"2,755.00","2,755.00","2,543.00","2,610.00",-0.76,"36,198.00","96,828,631.00"
18,18,2021-06-08,"2,445.00","2,667.00","2,430.00","2,630.00",8.45,"61,692.00","158,954,313.00"
19,19,2021-06-07,"2,420.00","2,440.00","2,378.00","2,425.00",1.46,"30,643.00","73,979,515.00"
20,20,2021-06-06,"2,395.00","2,435.00","2,375.00","2,390.00",0.00,"17,511.00","42,027,547.00"
21,21,2021-06-03,"2,365.00","2,417.00","2,360.00","2,390.00",2.80,"30,910.00","73,595,183.00"
22,22,2021-06-02,"2,295.00","2,386.00","2,295.00","2,325.00",1.31,"5,832.00","13,595,240.00"
23,23,2021-06-01,"2,354.00","2,354.00","2,275.00","2,295.00",-0.74,"18,006.00","41,351,556.00"
24,24,2021-05-31,"2,350.00","2,375.00","2,312.00","2,312.00",-2.03,"8,696.00","20,361,616.00"
25,25,2021-05-30,"2,400.00","2,420.00","2,311.00","2,360.00",-1.05,"16,516.00","39,407,731.00"
26,26,2021-05-27,"2,280.00","2,390.00","2,280.00","2,385.00",-0.58,"5,385.00","12,685,348.00"
27,27,2021-05-25,"2,360.00","2,407.00","2,351.00","2,399.00",1.95,"10,956.00","26,221,097.00"
28,28,2021-05-24,"2,420.00","2,420.00","2,345.00","2,353.00",-1.30,"8,165.00","19,225,727.00"
29,29,2021-05-23,"2,345.00","2,397.00","2,299.00","2,384.00",-0.29,"7,359.00","17,320,005.00"
30,30,2021-05-20,"2,409.00","2,463.00","2,370.00","2,391.00",0.13,"9,412.00","22,693,043.00"
31,31,2021-05-19,"2,414.00","2,429.00","2,361.00","2,388.00",-0.87,"7,212.00","17,250,783.00"
32,32,2021-05-18,"2,400.00","2,415.00","2,370.00","2,409.00",-0.33,"8,590.00","20,511,881.00"
33,33,2021-05-17,"2,440.00","2,449.00","2,397.00","2,417.00",0.08,"10,150.00","24,556,458.00"
34,34,2021-05-16,"2,340.00","2,415.00","2,335.00","2,415.00",3.65,"13,929.00","33,133,245.00"
35,35,2021-05-13,"2,301.00","2,330.00","2,301.00","2,330.00",0.69,"11,676.00","27,091,247.00"
36,36,2021-05-12,"2,250.00","2,339.00","2,250.00","2,314.00",-0.30,"5,795.00","13,353,442.00"
37,37,2021-05-11,"2,276.00","2,334.00","2,253.00","2,321.00",1.75,"9,885.00","22,864,718.00"
38,38,2021-05-10,"2,226.00","2,296.00","2,226.00","2,281.00",0.75,"3,148.00","7,171,857.00"
39,39,2021-05-09,"2,298.00","2,299.00","2,253.00","2,264.00",-0.40,"6,943.00","15,727,498.00"
40,40,2021-05-06,"2,300.00","2,310.00","2,273.00","2,273.00",-2.19,"2,545.00","5,829,715.00"
41,41,2021-05-05,"2,302.00","2,325.00","2,302.00","2,324.00",0.96,"6,302.00","14,618,115.00"
42,42,2021-05-04,"2,290.00","2,320.00","2,260.00","2,302.00",0.31,"7,758.00","17,830,679.00"
43,43,2021-05-03,"2,404.00","2,404.00","2,276.00","2,295.00",0.22,"13,169.00","30,273,723.00"
44,44,2021-05-02,"2,207.00","2,300.00","2,207.00","2,290.00",2.51,"8,108.00","18,278,010.00"
45,45,2021-04-29,"2,155.00","2,243.00","2,149.00","2,234.00",2.01,"9,151.00","19,966,096.00"
46,46,2021-04-28,"2,185.00","2,244.00","2,126.00","2,190.00",-0.27,"10,043.00","21,748,848.00"
47,47,2021-04-27,"2,220.00","2,220.00","2,162.00","2,196.00",0.32,"31,707.00","69,319,532.00"
48,48,2021-04-26,"2,125.00","2,200.00","2,085.00","2,189.00",1.16,"13,745.00","29,127,065.00"
49,49,2021-04-25,"2,200.00","2,240.00","2,154.00","2,164.00",-3.74,"9,760.00","21,251,637.00"
50,50,2021-04-22,"2,208.00","2,290.00","2,208.00","2,248.00",-0.09,"6,830.00","15,242,365.00"
51,51,2021-04-21,"2,335.00","2,335.00","2,200.00","2,250.00",-1.96,"12,957.00","28,882,630.00"
