,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,939.00","1,964.00","1,937.00","1,942.00",0.26,"32,773.00","63,909,066.00"
2,2,2021-06-30,"1,965.00","1,965.00","1,915.00","1,937.00",-0.67,"47,583.00","91,818,544.00"
3,3,2021-06-29,"1,969.00","1,969.00","1,948.00","1,950.00",-0.46,"41,835.00","81,742,957.00"
4,4,2021-06-28,"1,986.00","1,986.00","1,958.00","1,959.00",0.20,"37,283.00","73,298,626.00"
5,5,2021-06-27,"1,999.00","1,999.00","1,946.00","1,955.00",-0.51,"47,109.00","92,161,890.00"
6,6,2021-06-24,"2,077.00","2,077.00","1,951.00","1,965.00",-0.71,"62,838.00","123,304,148.00"
7,7,2021-06-23,"2,030.00","2,030.00","1,975.00","1,979.00",-1.79,"55,101.00","109,399,482.00"
8,8,2021-06-22,"1,990.00","2,019.00","1,970.00","2,015.00",1.61,"55,704.00","111,304,957.00"
9,9,2021-06-21,"2,030.00","2,050.00","1,981.00","1,983.00",-2.07,"92,109.00","184,050,259.00"
10,10,2021-06-20,"2,079.00","2,080.00","2,010.00","2,025.00",-1.79,"88,600.00","180,155,316.00"
11,11,2021-06-17,"2,070.00","2,085.00","2,051.00","2,062.00",-0.39,"61,116.00","126,371,321.00"
12,12,2021-06-16,"2,063.00","2,100.00","2,050.00","2,070.00",-1.94,"85,358.00","177,287,114.00"
13,13,2021-06-15,"2,150.00","2,150.00","2,100.00","2,111.00",0.96,"84,271.00","178,102,383.00"
14,14,2021-06-14,"2,100.00","2,128.00","2,087.00","2,091.00",-0.10,"76,672.00","160,625,928.00"
15,15,2021-06-13,"2,148.00","2,149.00","2,091.00","2,093.00",-0.99,"65,887.00","138,619,084.00"
16,16,2021-06-10,"2,160.00","2,180.00","2,110.00","2,114.00",-1.45,"65,812.00","140,368,383.00"
17,17,2021-06-09,"2,125.00","2,200.00","2,125.00","2,145.00",1.95,"107,240.00","231,820,396.00"
18,18,2021-06-08,"2,040.00","2,121.00","2,040.00","2,104.00",1.50,"103,676.00","217,301,114.00"
19,19,2021-06-07,"2,085.00","2,098.00","2,072.00","2,073.00",-0.24,"47,007.00","97,810,817.00"
20,20,2021-06-06,"2,089.00","2,100.00","2,073.00","2,078.00",-0.48,"60,881.00","126,651,670.00"
21,21,2021-06-03,"2,138.00","2,138.00","2,082.00","2,088.00",-0.48,"47,425.00","99,359,042.00"
22,22,2021-06-02,"2,080.00","2,110.00","2,045.00","2,098.00",2.09,"50,660.00","105,343,616.00"
23,23,2021-06-01,"2,065.00","2,075.00","2,050.00","2,055.00",-0.48,"44,950.00","92,408,845.00"
24,24,2021-05-31,"2,096.00","2,124.00","2,060.00","2,065.00",-1.48,"55,517.00","115,783,351.00"
25,25,2021-05-30,"2,095.00","2,135.00","2,080.00","2,096.00",0.05,"63,938.00","134,158,868.00"
26,26,2021-05-27,"2,100.00","2,120.00","2,090.00","2,095.00",-1.41,"64,014.00","134,488,643.00"
27,27,2021-05-25,"2,120.00","2,152.00","2,092.00","2,125.00",0.85,"62,290.00","132,341,836.00"
28,28,2021-05-24,"2,120.00","2,150.00","2,100.00","2,107.00",-0.09,"55,987.00","118,704,967.00"
29,29,2021-05-23,"2,075.00","2,130.00","2,066.00","2,109.00",-0.42,"46,350.00","97,589,188.00"
30,30,2021-05-20,"2,247.00","2,247.00","2,118.00","2,118.00",-1.03,"41,263.00","87,835,181.00"
31,31,2021-05-19,"2,180.00","2,198.00","2,128.00","2,140.00",-0.23,"66,589.00","143,945,571.00"
32,32,2021-05-18,"2,155.00","2,171.00","2,119.00","2,145.00",0.23,"53,234.00","114,135,823.00"
33,33,2021-05-17,"2,100.00","2,160.00","2,100.00","2,140.00",1.90,"87,693.00","187,769,992.00"
34,34,2021-05-16,"2,095.00","2,115.00","2,075.00","2,100.00",1.69,"69,303.00","145,359,234.00"
35,35,2021-05-13,"2,058.00","2,067.00","2,036.00","2,065.00",0.34,"43,772.00","90,115,620.00"
36,36,2021-05-12,"2,169.00","2,169.00","2,040.00","2,058.00",-0.39,"17,482.00","36,008,273.00"
37,37,2021-05-11,"2,033.00","2,070.00","2,030.00","2,066.00",1.62,"29,311.00","60,476,115.00"
38,38,2021-05-10,"2,015.00","2,044.00","2,007.00","2,033.00",0.89,"22,973.00","46,552,479.00"
39,39,2021-05-09,"2,000.00","2,028.00","2,000.00","2,015.00",-0.64,"30,702.00","61,912,491.00"
40,40,2021-05-06,"2,055.00","2,070.00","2,021.00","2,028.00",-1.31,"31,696.00","64,497,355.00"
41,41,2021-05-05,"2,160.00","2,160.00","2,050.00","2,055.00",-0.82,"26,769.00","55,141,782.00"
42,42,2021-05-04,"2,000.00","2,100.00","2,000.00","2,072.00",-0.58,"21,801.00","45,220,492.00"
43,43,2021-05-03,"2,120.00","2,130.00","2,057.00","2,084.00",-0.67,"49,382.00","103,363,838.00"
44,44,2021-05-02,"2,000.00","2,131.00","1,996.00","2,098.00",4.85,"71,444.00","147,808,468.00"
45,45,2021-04-29,"2,029.00","2,029.00","1,993.00","2,001.00",0.15,"24,468.00","48,936,559.00"
46,46,2021-04-28,"1,980.00","2,030.00","1,980.00","1,998.00",-0.70,"27,566.00","55,224,037.00"
