,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,132.00","1,177.00","1,132.00","1,161.00",0.69,"14,049.00","16,341,528.00"
2,2,2021-06-30,"1,150.00","1,160.00","1,130.00","1,153.00",0.00,"37,413.00","42,716,145.00"
3,3,2021-06-29,"1,176.00","1,177.00","1,150.00","1,153.00",-1.71,"25,778.00","29,860,184.00"
4,4,2021-06-28,"1,190.00","1,192.00","1,173.00","1,173.00",0.17,"35,784.00","42,189,535.00"
5,5,2021-06-27,"1,156.00","1,193.00","1,155.00","1,171.00",-0.26,"27,544.00","32,358,577.00"
6,6,2021-06-24,"1,187.00","1,203.00","1,170.00","1,174.00",-1.10,"45,883.00","54,048,976.00"
7,7,2021-06-23,"1,240.00","1,240.00","1,175.00","1,187.00",-3.50,"61,002.00","72,755,361.00"
8,8,2021-06-22,"1,220.00","1,234.00","1,190.00","1,230.00",2.67,"48,925.00","59,271,758.00"
9,9,2021-06-21,"1,237.00","1,246.00","1,194.00","1,198.00",-3.00,"70,210.00","85,112,191.00"
10,10,2021-06-20,"1,270.00","1,282.00","1,230.00","1,235.00",-2.60,"80,333.00","100,308,992.00"
11,11,2021-06-17,"1,275.00","1,290.00","1,261.00","1,268.00",0.63,"75,996.00","96,569,785.00"
12,12,2021-06-16,"1,340.00","1,340.00","1,256.00","1,260.00",-1.79,"68,980.00","87,741,185.00"
13,13,2021-06-15,"1,340.00","1,340.00","1,282.00","1,283.00",-0.93,"93,535.00","120,588,860.00"
14,14,2021-06-14,"1,280.00","1,298.00","1,276.00","1,295.00",1.73,"93,963.00","120,539,200.00"
15,15,2021-06-13,"1,300.00","1,310.00","1,270.00","1,273.00",-1.47,"96,666.00","123,692,328.00"
16,16,2021-06-10,"1,305.00","1,305.00","1,282.00","1,292.00",0.54,"162,103.00","209,456,097.00"
17,17,2021-06-09,"1,299.00","1,346.00","1,280.00","1,285.00",-1.08,"160,719.00","209,254,702.00"
18,18,2021-06-08,"1,265.00","1,300.00","1,258.00","1,299.00",3.10,"135,494.00","173,992,790.00"
19,19,2021-06-07,"1,262.00","1,290.00","1,256.00","1,260.00",-0.16,"82,920.00","105,079,018.00"
20,20,2021-06-06,"1,220.00","1,293.00","1,220.00","1,262.00",-0.79,"73,899.00","93,862,598.00"
21,21,2021-06-03,"1,304.00","1,310.00","1,265.00","1,272.00",-1.32,"127,938.00","164,489,783.00"
22,22,2021-06-02,"1,260.00","1,293.00","1,250.00","1,289.00",3.20,"92,510.00","118,106,301.00"
23,23,2021-06-01,"1,324.00","1,324.00","1,238.00","1,249.00",-0.95,"88,652.00","111,286,957.00"
24,24,2021-05-31,"1,228.00","1,315.00","1,228.00","1,261.00",-2.40,"146,708.00","188,609,062.00"
25,25,2021-05-30,"1,212.00","1,317.00","1,212.00","1,292.00",1.33,"167,461.00","218,031,476.00"
26,26,2021-05-27,"1,270.00","1,291.00","1,245.00","1,275.00",-1.39,"138,818.00","177,594,056.00"
27,27,2021-05-25,"1,280.00","1,335.00","1,270.00","1,293.00",1.17,"214,297.00","278,541,318.00"
28,28,2021-05-24,"1,308.00","1,320.00","1,272.00","1,278.00",-1.31,"136,209.00","175,589,473.00"
29,29,2021-05-23,"1,289.00","1,308.00","1,251.00","1,295.00",0.47,"288,287.00","371,400,412.00"
30,30,2021-05-20,"1,297.00","1,314.00","1,285.00","1,289.00",0.70,"188,565.00","244,347,720.00"
31,31,2021-05-19,"1,300.00","1,318.00","1,261.00","1,280.00",1.59,"351,173.00","453,473,058.00"
32,32,2021-05-18,"1,180.00","1,280.00","1,180.00","1,260.00",6.78,"254,543.00","315,652,562.00"
33,33,2021-05-17,"1,185.00","1,203.00","1,172.00","1,180.00",-0.42,"85,505.00","101,443,991.00"
34,34,2021-05-16,"1,150.00","1,193.00","1,150.00","1,185.00",4.22,"91,682.00","107,964,505.00"
35,35,2021-05-13,"1,136.00","1,145.00","1,134.00","1,137.00",0.09,"35,766.00","40,746,600.00"
36,36,2021-05-12,"1,150.00","1,150.00","1,130.00","1,136.00",-0.35,"27,347.00","31,093,490.00"
37,37,2021-05-11,"1,121.00","1,150.00","1,121.00","1,140.00",1.60,"25,585.00","29,166,127.00"
38,38,2021-05-10,"1,113.00","1,125.00","1,113.00","1,122.00",0.81,"18,182.00","20,377,606.00"
39,39,2021-05-09,"1,113.00","1,124.00","1,109.00","1,113.00",-0.98,"28,799.00","32,138,501.00"
40,40,2021-05-06,"1,140.00","1,154.00","1,119.00","1,124.00",-1.75,"118,117.00","133,302,590.00"
41,41,2021-05-05,"1,138.00","1,160.00","1,137.00","1,144.00",0.00,"18,788.00","21,555,331.00"
42,42,2021-05-04,"1,154.00","1,155.00","1,135.00","1,144.00",-0.26,"18,972.00","21,705,864.00"
43,43,2021-05-03,"1,178.00","1,199.00","1,140.00","1,147.00",-1.04,"51,413.00","59,725,131.00"
44,44,2021-05-02,"1,118.00","1,162.00","1,110.00","1,159.00",4.51,"45,074.00","51,526,184.00"
45,45,2021-04-29,"1,026.00","1,111.00","1,026.00","1,109.00",2.69,"43,679.00","48,085,489.00"
46,46,2021-04-28,"1,102.00","1,108.00","1,078.00","1,080.00",-2.00,"28,830.00","31,422,490.00"
47,47,2021-04-27,"1,050.00","1,102.00","1,050.00","1,102.00",4.85,"32,164.00","34,792,705.00"
48,48,2021-04-26,"1,080.00","1,090.00","1,048.00","1,051.00",-2.69,"47,899.00","50,963,727.00"
49,49,2021-04-25,"1,105.00","1,120.00","1,078.00","1,080.00",-3.14,"45,758.00","49,938,726.00"
50,50,2021-04-22,"1,100.00","1,126.00","1,087.00","1,115.00",0.54,"27,424.00","30,506,598.00"
51,51,2021-04-21,"1,122.00","1,139.00","1,100.00","1,109.00",-1.25,"35,506.00","39,411,454.00"
52,52,2021-04-20,"1,115.00","1,139.00","1,112.00","1,123.00",0.09,"27,441.00","30,883,358.00"
53,53,2021-04-19,"1,136.00","1,148.00","1,118.00","1,122.00",-1.23,"36,880.00","41,673,591.00"
54,54,2021-04-18,"1,163.00","1,167.00","1,136.00","1,136.00",-1.98,"50,089.00","57,600,680.00"
55,55,2021-04-15,"1,190.00","1,190.00","1,155.00","1,159.00",0.43,"48,582.00","56,451,087.00"
56,56,2021-04-13,"1,176.00","1,176.00","1,150.00","1,154.00",-0.26,"38,454.00","44,552,075.00"
57,57,2021-04-12,"1,159.00","1,177.00","1,157.00","1,157.00",0.26,"47,762.00","55,448,174.00"
58,58,2021-04-08,"1,212.00","1,212.00","1,151.00","1,154.00",-0.09,"40,271.00","46,805,738.00"
