,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,750.00,765.00,741.00,755.00,1.07,"12,732.00","9,617,205.00"
2,2,2021-06-30,718.00,759.00,718.00,747.00,-1.06,"13,172.00","9,795,683.00"
3,3,2021-06-29,767.00,770.00,755.00,755.00,-1.56,"12,476.00","9,509,040.00"
4,4,2021-06-28,770.00,770.00,764.00,767.00,0.52,"10,549.00","8,093,419.00"
5,5,2021-06-27,754.00,774.00,754.00,763.00,-0.39,"16,194.00","12,360,313.00"
6,6,2021-06-24,758.00,775.00,758.00,766.00,-0.78,"13,179.00","10,113,404.00"
7,7,2021-06-23,792.00,798.00,769.00,772.00,-2.53,"18,976.00","14,728,700.00"
8,8,2021-06-22,775.00,795.00,768.00,792.00,2.86,"19,510.00","15,260,060.00"
9,9,2021-06-21,800.00,800.00,770.00,770.00,-2.90,"27,905.00","21,841,112.00"
10,10,2021-06-20,806.00,814.00,792.00,793.00,-1.61,"26,508.00","21,182,599.00"
11,11,2021-06-17,805.00,820.00,805.00,806.00,0.12,"22,147.00","17,921,256.00"
12,12,2021-06-16,802.00,825.00,800.00,805.00,-1.47,"35,768.00","28,876,142.00"
13,13,2021-06-15,850.00,850.00,817.00,817.00,-0.61,"35,913.00","29,523,694.00"
14,14,2021-06-14,815.00,830.00,812.00,822.00,0.86,"36,571.00","30,063,674.00"
15,15,2021-06-13,810.00,841.00,810.00,815.00,0.12,"42,605.00","35,042,376.00"
16,16,2021-06-10,820.00,835.00,814.00,814.00,-1.21,"31,653.00","25,961,491.00"
17,17,2021-06-09,831.00,861.00,817.00,824.00,-0.84,"51,309.00","42,859,178.00"
18,18,2021-06-08,805.00,850.00,805.00,831.00,3.10,"60,903.00","50,289,554.00"
19,19,2021-06-07,804.00,819.00,802.00,806.00,0.25,"21,744.00","17,582,242.00"
20,20,2021-06-06,811.00,811.00,800.00,804.00,-0.86,"37,489.00","30,180,504.00"
21,21,2021-06-03,807.00,826.00,807.00,811.00,0.12,"30,447.00","24,756,882.00"
22,22,2021-06-02,810.00,815.00,800.00,810.00,0.25,"21,948.00","17,784,056.00"
