,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,980.00,980.00,960.00,972.00,0.83,"30,500.00","29,574,824.00"
2,2,2021-06-30,986.00,986.00,950.00,964.00,-0.31,"24,355.00","23,267,977.00"
3,3,2021-06-29,"1,000.00","1,000.00",960.00,967.00,-1.83,"22,168.00","21,499,317.00"
4,4,2021-06-28,980.00,"1,000.00",978.00,985.00,0.51,"10,961.00","10,803,554.00"
5,5,2021-06-27,"1,023.00","1,023.00",970.00,980.00,0.51,"21,644.00","21,162,146.00"
6,6,2021-06-24,"1,034.00","1,034.00",956.00,975.00,-1.02,"55,388.00","54,967,691.00"
7,7,2021-06-23,"1,010.00","1,015.00",970.00,985.00,-1.50,"46,130.00","45,325,062.00"
8,8,2021-06-22,978.00,"1,010.00",965.00,"1,000.00",2.25,"49,774.00","49,475,576.00"
9,9,2021-06-21,"1,052.00","1,052.00",961.00,978.00,-2.40,"74,409.00","73,123,632.00"
10,10,2021-06-20,"1,041.00","1,045.00",990.00,"1,002.00",-3.75,"62,215.00","63,140,084.00"
11,11,2021-06-17,"1,058.00","1,060.00","1,027.00","1,041.00",0.29,"55,904.00","58,269,359.00"
12,12,2021-06-16,"1,050.00","1,081.00","1,022.00","1,038.00",-2.26,"68,866.00","72,163,482.00"
13,13,2021-06-15,"1,050.00","1,113.00","1,050.00","1,062.00",-0.19,"77,439.00","82,879,647.00"
14,14,2021-06-14,"1,055.00","1,080.00","1,045.00","1,064.00",2.31,"96,604.00","102,849,262.00"
15,15,2021-06-13,"1,050.00","1,060.00","1,031.00","1,040.00",-0.48,"72,461.00","75,446,761.00"
16,16,2021-06-10,"1,025.00","1,079.00","1,025.00","1,045.00",-2.52,"69,236.00","73,192,780.00"
17,17,2021-06-09,"1,100.00","1,133.00","1,057.00","1,072.00",-1.47,"103,615.00","113,412,583.00"
18,18,2021-06-08,"1,065.00","1,088.00","1,016.00","1,088.00",7.19,"194,436.00","204,174,221.00"
19,19,2021-06-07,"1,008.00","1,024.00","1,004.00","1,015.00",0.79,"88,375.00","89,436,310.00"
20,20,2021-06-06,"1,012.00","1,040.00",999.00,"1,007.00",-1.66,"82,591.00","83,717,238.00"
21,21,2021-06-03,"1,018.00","1,041.00","1,010.00","1,024.00",1.79,"225,962.00","231,420,816.00"
22,22,2021-06-02,976.00,"1,012.00",971.00,"1,006.00",2.97,"121,637.00","121,239,759.00"
23,23,2021-06-01,981.00,997.00,959.00,977.00,-0.71,"90,646.00","88,556,264.00"
24,24,2021-05-31,"1,015.00","1,025.00",981.00,984.00,-2.28,"127,967.00","128,670,747.00"
25,25,2021-05-30,"1,000.00","1,029.00",981.00,"1,007.00",3.28,"209,056.00","211,372,338.00"
26,26,2021-05-27,970.00,997.00,931.00,975.00,-0.20,"124,978.00","121,217,387.00"
27,27,2021-05-25,882.00,999.00,882.00,977.00,5.28,"202,819.00","196,019,840.00"
28,28,2021-05-24,928.00,933.00,915.00,928.00,0.54,"60,117.00","55,581,966.00"
29,29,2021-05-23,890.00,939.00,873.00,923.00,1.99,"50,001.00","45,642,940.00"
30,30,2021-05-20,909.00,916.00,898.00,905.00,-0.44,"27,430.00","24,871,506.00"
31,31,2021-05-19,920.00,937.00,904.00,909.00,-0.55,"57,295.00","52,779,520.00"
