,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,671.00,681.00,668.00,668.00,0.00,"16,425.00","11,064,742.00"
2,2,2021-06-30,672.00,680.00,656.00,668.00,-1.04,"22,814.00","15,118,050.00"
3,3,2021-06-29,681.00,688.00,672.00,675.00,-1.32,"17,496.00","11,859,356.00"
4,4,2021-06-28,682.00,692.00,680.00,684.00,0.29,"13,067.00","8,970,610.00"
5,5,2021-06-27,680.00,691.00,672.00,682.00,0.59,"18,590.00","12,650,960.00"
6,6,2021-06-24,675.00,687.00,675.00,678.00,-1.17,"19,521.00","13,277,339.00"
7,7,2021-06-23,700.00,703.00,686.00,686.00,-2.00,"14,922.00","10,304,280.00"
8,8,2021-06-22,680.00,701.00,677.00,700.00,2.94,"31,692.00","21,982,649.00"
9,9,2021-06-21,700.00,702.00,680.00,680.00,-2.58,"35,834.00","24,661,827.00"
10,10,2021-06-20,715.00,720.00,695.00,698.00,-1.97,"27,050.00","19,008,565.00"
11,11,2021-06-17,708.00,722.00,706.00,712.00,0.56,"31,341.00","22,304,258.00"
12,12,2021-06-16,700.00,722.00,700.00,708.00,-3.01,"64,245.00","45,689,310.00"
13,13,2021-06-15,750.00,750.00,725.00,730.00,-0.54,"54,538.00","39,991,576.00"
14,14,2021-06-14,748.00,748.00,730.00,734.00,0.00,"33,804.00","24,830,397.00"
15,15,2021-06-13,750.00,754.00,730.00,734.00,-0.94,"48,755.00","35,760,960.00"
16,16,2021-06-10,761.00,765.00,740.00,741.00,-0.94,"68,769.00","51,448,837.00"
17,17,2021-06-09,770.00,795.00,743.00,748.00,-1.32,"108,324.00","82,763,342.00"
18,18,2021-06-08,714.00,765.00,714.00,758.00,6.31,"101,212.00","74,358,961.00"
19,19,2021-06-07,706.00,723.00,706.00,713.00,0.28,"34,469.00","24,710,592.00"
20,20,2021-06-06,720.00,723.00,710.00,711.00,-0.97,"41,686.00","29,709,502.00"
21,21,2021-06-03,724.00,735.00,717.00,718.00,-0.69,"48,056.00","34,781,014.00"
22,22,2021-06-02,724.00,724.00,706.00,723.00,0.84,"29,025.00","20,924,314.00"
23,23,2021-06-01,710.00,726.00,710.00,717.00,-0.42,"23,514.00","16,854,416.00"
24,24,2021-05-31,750.00,750.00,716.00,720.00,-1.91,"74,732.00","55,128,975.00"
