,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,912.00,925.00,900.00,914.00,2.12,"35,573.00","32,449,132.00"
2,2,2021-06-30,901.00,907.00,887.00,895.00,-1.54,"29,801.00","26,628,433.00"
3,3,2021-06-29,920.00,936.00,904.00,909.00,-1.62,"19,194.00","17,526,452.00"
4,4,2021-06-28,932.00,946.00,920.00,924.00,-0.86,"28,418.00","26,351,112.00"
5,5,2021-06-27,940.00,947.00,929.00,932.00,-0.43,"19,546.00","18,257,176.00"
6,6,2021-06-24,945.00,953.00,935.00,936.00,-0.95,"32,803.00","30,807,532.00"
7,7,2021-06-23,998.00,998.00,944.00,945.00,-3.47,"31,800.00","30,342,072.00"
8,8,2021-06-22,955.00,979.00,940.00,979.00,3.60,"33,928.00","32,607,147.00"
9,9,2021-06-21,971.00,978.00,935.00,945.00,-2.68,"71,100.00","67,495,546.00"
10,10,2021-06-20,997.00,"1,007.00",969.00,971.00,-2.80,"41,963.00","41,140,939.00"
11,11,2021-06-17,"1,009.00","1,018.00",980.00,999.00,0.00,"44,328.00","44,312,891.00"
12,12,2021-06-16,995.00,"1,014.00",986.00,999.00,-0.79,"47,429.00","47,318,768.00"
13,13,2021-06-15,"1,035.00","1,039.00","1,001.00","1,007.00",-0.79,"60,467.00","61,263,156.00"
14,14,2021-06-14,"1,022.00","1,030.00","1,010.00","1,015.00",-0.39,"48,858.00","49,664,396.00"
15,15,2021-06-13,"1,040.00","1,040.00","1,005.00","1,019.00",-0.39,"54,767.00","55,665,151.00"
16,16,2021-06-10,"1,061.00","1,082.00","1,023.00","1,023.00",-1.82,"59,432.00","61,622,749.00"
17,17,2021-06-09,"1,090.00","1,091.00","1,032.00","1,042.00",-0.19,"141,160.00","149,295,422.00"
18,18,2021-06-08,"1,008.00","1,045.00",993.00,"1,044.00",5.14,"116,365.00","118,923,994.00"
19,19,2021-06-07,"1,000.00","1,005.00",989.00,993.00,-0.70,"33,537.00","33,384,574.00"
20,20,2021-06-06,960.00,"1,017.00",960.00,"1,000.00",-0.70,"73,501.00","73,566,898.00"
21,21,2021-06-03,"1,015.00","1,029.00","1,001.00","1,007.00",0.90,"82,110.00","83,036,265.00"
22,22,2021-06-02,925.00,"1,014.00",925.00,998.00,2.57,"86,066.00","85,708,763.00"
23,23,2021-06-01,988.00,991.00,950.00,973.00,-1.52,"121,747.00","118,228,827.00"
24,24,2021-05-31,"1,025.00","1,039.00",982.00,988.00,-3.61,"108,340.00","108,472,162.00"
25,25,2021-05-30,"1,051.00","1,051.00","1,012.00","1,025.00",-0.87,"182,328.00","188,592,609.00"
26,26,2021-05-27,"1,025.00","1,080.00","1,005.00","1,034.00",-1.80,"153,404.00","159,298,146.00"
27,27,2021-05-25,"1,015.00","1,089.00",995.00,"1,053.00",5.51,"281,716.00","291,785,858.00"
28,28,2021-05-24,995.00,"1,003.00",975.00,998.00,4.39,"250,543.00","248,192,929.00"
29,29,2021-05-23,900.00,977.00,883.00,956.00,5.75,"167,922.00","157,643,448.00"
30,30,2021-05-20,925.00,925.00,897.00,904.00,-0.44,"48,490.00","43,864,757.00"
31,31,2021-05-19,929.00,940.00,907.00,908.00,-0.77,"87,678.00","80,738,954.00"
32,32,2021-05-18,939.00,939.00,898.00,915.00,2.23,"109,270.00","99,296,112.00"
33,33,2021-05-17,899.00,927.00,893.00,895.00,0.67,"152,265.00","137,265,606.00"
34,34,2021-05-16,861.00,897.00,855.00,889.00,4.59,"110,847.00","97,482,611.00"
35,35,2021-05-13,845.00,856.00,840.00,850.00,1.19,"40,395.00","34,230,126.00"
36,36,2021-05-12,845.00,848.00,835.00,840.00,-0.36,"18,000.00","15,154,664.00"
37,37,2021-05-11,843.00,850.00,836.00,843.00,1.08,"33,036.00","27,933,621.00"
38,38,2021-05-10,819.00,834.00,819.00,834.00,1.83,"26,803.00","22,183,362.00"
39,39,2021-05-09,824.00,833.00,813.00,819.00,-0.73,"12,052.00","9,900,270.00"
40,40,2021-05-06,831.00,849.00,819.00,825.00,-1.55,"17,133.00","14,151,635.00"
41,41,2021-05-05,845.00,849.00,835.00,838.00,-0.95,"14,333.00","12,041,819.00"
