,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2019-10-10,"1,795.00","1,830.00","1,795.00","1,830.00",3.98,134.00,"244,870.00"
2,2,2019-05-06,"1,726.00","1,760.00","1,726.00","1,760.00",6.02,20.00,"34,860.00"
3,3,2014-09-10,"1,660.00","1,660.00","1,660.00","1,660.00",0.00,82.00,"136,120.00"
4,4,2014-08-26,"1,660.00","1,660.00","1,660.00","1,660.00",0.00,840.00,"1,394,400.00"
5,5,2013-07-15,"1,680.00","1,680.00","1,680.00","1,680.00",0.00,60.00,"100,800.00"
6,6,2013-05-26,"1,680.00","1,680.00","1,680.00","1,680.00",0.00,20.00,"33,600.00"
7,7,2012-09-11,"1,690.00","1,680.00","1,680.00","1,680.00",0.00,20.00,"33,600.00"
8,8,2012-04-12,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,960.00,"1,622,400.00"
9,9,2011-11-28,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,127.00,"214,630.00"
10,10,2011-10-10,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,14.00,"23,660.00"
11,11,2011-08-30,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,200.00,"338,000.00"
12,12,2011-08-18,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,10.00,"16,900.00"
13,13,2011-08-16,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,250.00,"422,500.00"
14,14,2011-08-10,"1,690.00","1,690.00","1,690.00","1,690.00",0.00,250.00,"422,500.00"
15,15,2011-08-04,"1,691.00","1,690.00","1,690.00","1,690.00",0.00,320.00,"540,800.00"
16,16,2011-07-17,"1,729.00","1,700.00","1,691.00","1,691.00",0.00,"428,805.00","725,109,696.00"
17,17,2011-07-14,"1,835.00","1,799.00","1,729.00","1,729.00",0.00,60.00,"106,470.00"
18,18,2011-07-13,"1,872.00","1,909.00","1,835.00","1,835.00",0.00,73.00,"136,737.00"
19,19,2011-07-11,"1,702.00","1,872.00","1,736.00","1,872.00",0.00,50.00,"90,240.00"
20,20,2011-07-10,"1,548.00","1,702.00","1,578.00","1,702.00",0.00,550.00,"896,600.00"
21,21,2011-07-05,"1,489.00","1,548.00","1,518.00","1,548.00",0.00,20.00,"30,660.00"
22,22,2011-06-30,"1,364.00","1,489.00","1,432.00","1,489.00",0.00,190.00,"279,450.00"
23,23,2011-06-29,"1,250.00","1,364.00","1,312.00","1,364.00",0.00,180.00,"241,620.00"
24,24,2011-06-27,"1,179.00","1,250.00","1,202.00","1,250.00",0.00,130.00,"158,420.00"
25,25,2011-06-26,"1,080.00","1,179.00","1,134.00","1,179.00",0.00,110.00,"126,300.00"
26,26,2011-06-23,"1,009.00","1,080.00","1,059.00","1,080.00",0.00,70.00,"74,760.00"
27,27,2011-06-21,990.00,"1,009.00","1,009.00","1,009.00",0.00,10.00,"10,090.00"
28,28,2011-06-20,907.00,952.00,952.00,952.00,0.00,30.00,"28,560.00"
29,29,2011-06-19,907.00,952.00,952.00,952.00,0.00,30.00,"28,560.00"
30,30,2011-06-16,890.00,907.00,907.00,907.00,0.00,17.00,"15,419.00"
31,31,2011-06-15,848.00,890.00,890.00,890.00,0.00,10.00,"8,900.00"
32,32,2011-06-14,832.00,848.00,848.00,848.00,0.00,14.00,"11,872.00"
33,33,2011-06-13,816.00,832.00,832.00,832.00,0.00,25.00,"20,800.00"
34,34,2011-06-12,785.00,816.00,800.00,816.00,0.00,25.00,"20,160.00"
35,35,2011-06-09,755.00,785.00,770.00,785.00,0.00,30.00,"23,370.00"
36,36,2011-06-08,727.00,755.00,741.00,755.00,0.00,23.00,"17,225.00"
37,37,2011-04-26,713.00,727.00,727.00,727.00,0.00,"428,755.00","311,704,896.00"
38,38,2011-04-19,700.00,713.00,713.00,713.00,0.00,10.00,"7,130.00"
