,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"9,810.00","9,960.00","9,810.00","9,960.00",1.53,97.00,"960,600.00"
2,2,2021-07-04,"9,810.00","9,810.00","9,801.00","9,810.00",-0.17,100.00,"980,820.00"
3,3,2021-07-01,"10,000.00","10,000.00","9,827.00","9,827.00",0.23,108.00,"1,075,146.00"
4,4,2021-06-30,"9,999.00","9,999.00","9,800.00","9,804.00",-0.98,268.00,"2,640,974.00"
5,5,2021-06-29,"9,900.00","9,996.00","9,800.00","9,901.00",-0.19,249.00,"2,458,230.00"
6,6,2021-06-28,"9,900.00","10,098.00","9,900.00","9,920.00",0.13,205.00,"2,032,940.00"
7,7,2021-06-27,"9,910.00","10,000.00","9,900.00","9,907.00",-1.94,385.00,"3,821,770.00"
8,8,2021-06-24,"10,100.00","10,103.00","10,100.00","10,103.00",-1.14,120.00,"1,212,060.00"
9,9,2021-06-23,"10,250.00","10,250.00","10,050.00","10,219.00",0.14,90.00,"915,790.00"
10,10,2021-06-22,"10,161.00","10,399.00","10,161.00","10,205.00",2.44,170.00,"1,748,890.00"
11,11,2021-06-21,"10,179.00","10,179.00","9,960.00","9,962.00",-3.75,440.00,"4,419,160.00"
12,12,2021-06-20,"10,401.00","10,605.00","10,350.00","10,350.00",-1.90,260.00,"2,700,210.00"
13,13,2021-06-17,"10,500.00","10,560.00","10,430.00","10,550.00",0.00,192.00,"2,017,260.00"
14,14,2021-06-16,"10,460.00","10,638.00","10,430.00","10,550.00",-0.86,225.00,"2,370,050.00"
15,15,2021-06-15,"10,700.00","10,847.00","10,635.00","10,642.00",-1.92,280.00,"2,988,920.00"
16,16,2021-06-14,"11,000.00","11,100.00","10,850.00","10,850.00",-1.72,469.00,"5,127,950.00"
17,17,2021-06-13,"10,996.00","11,100.00","10,790.00","11,040.00",2.40,385.00,"4,205,030.00"
18,18,2021-06-10,"11,225.00","11,445.00","10,570.00","10,781.00",-2.04,820.00,"8,845,960.00"
19,19,2021-06-09,"10,500.00","11,028.00","10,290.00","11,005.00",5.56,810.00,"8,637,945.00"
20,20,2021-06-08,"10,400.00","10,425.00","10,400.00","10,425.00",0.24,70.00,"728,460.00"
21,21,2021-06-07,"10,450.00","10,580.00","10,400.00","10,400.00",0.97,210.00,"2,202,660.00"
22,22,2021-06-06,"10,496.00","10,496.00","10,287.00","10,300.00",-1.87,241.00,"2,487,440.00"
23,23,2021-06-03,"10,710.00","10,710.00","10,496.00","10,496.00",-0.04,205.00,"2,156,448.00"
24,24,2021-06-02,"10,302.00","10,710.00","10,301.00","10,500.00",-0.02,352.00,"3,710,312.00"
25,25,2021-06-01,"10,710.00","10,710.00","10,500.00","10,502.00",0.02,206.00,"2,167,372.00"
26,26,2021-05-31,"11,544.00","11,544.00","10,500.00","10,500.00",-4.50,359.00,"3,856,770.00"
27,27,2021-05-30,"11,100.00","11,100.00","10,550.00","10,995.00",-0.95,"1,040.00","11,180,890.00"
28,28,2021-05-27,"11,107.00","11,107.00","10,550.00","11,100.00",1.93,957.00,"10,360,485.00"
29,29,2021-05-25,"10,801.00","10,890.00","10,594.00","10,890.00",0.82,200.00,"2,161,850.00"
30,30,2021-05-24,"10,918.00","11,000.00","10,700.00","10,801.00",-3.04,310.00,"3,372,900.00"
31,31,2021-05-23,"10,496.00","11,250.00","10,496.00","11,140.00",4.01,445.00,"4,938,070.00"
32,32,2021-05-20,"11,000.00","11,016.00","10,707.00","10,710.00",-0.83,81.00,"882,330.00"
33,33,2021-05-19,"11,021.00","11,189.00","10,788.00","10,800.00",-3.83,700.00,"7,639,250.00"
34,34,2021-05-18,"11,270.00","11,420.00","11,150.00","11,230.00",-0.36,635.00,"7,141,095.00"
35,35,2021-05-17,"11,170.00","11,400.00","11,170.00","11,271.00",-0.91,370.00,"4,176,125.00"
36,36,2021-05-16,"11,500.00","11,500.00","11,150.00","11,375.00",-2.36,658.00,"7,484,095.00"
37,37,2021-05-13,"11,624.00","12,178.00","11,235.00","11,650.00",5.23,"3,328.00","39,704,610.00"
38,38,2021-05-12,"10,568.00","11,071.00","10,568.00","11,071.00",10.00,"1,105.00","12,202,065.00"
39,39,2021-05-11,"9,333.00","10,065.00","9,333.00","10,065.00",10.00,"1,582.00","15,520,605.00"
