,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"5,338.00","5,740.00","5,260.00","5,685.00",8.02,"74,216.00","412,089,732.00"
2,2,2021-07-04,"5,160.00","5,285.00","5,160.00","5,263.00",2.19,"26,027.00","136,469,511.00"
3,3,2021-07-01,"5,150.00","5,200.00","5,131.00","5,150.00",0.78,"19,149.00","98,854,876.00"
4,4,2021-06-30,"5,100.00","5,130.00","5,025.00","5,110.00",0.22,"17,070.00","86,458,896.00"
5,5,2021-06-29,"5,200.00","5,200.00","5,077.00","5,099.00",-1.75,"19,589.00","100,139,420.00"
6,6,2021-06-28,"5,170.00","5,235.00","5,170.00","5,190.00",0.68,"16,762.00","87,180,829.00"
7,7,2021-06-27,"5,149.00","5,215.00","5,100.00","5,155.00",1.10,"25,001.00","129,313,056.00"
8,8,2021-06-24,"5,195.00","5,195.00","5,041.00","5,099.00",-0.33,"16,464.00","83,906,234.00"
9,9,2021-06-23,"5,295.00","5,300.00","5,093.00","5,116.00",-2.27,"30,891.00","159,427,490.00"
10,10,2021-06-22,"5,180.00","5,279.00","5,016.00","5,235.00",3.07,"31,149.00","160,786,252.00"
11,11,2021-06-21,"5,260.00","5,300.00","5,050.00","5,079.00",-3.44,"48,419.00","248,746,930.00"
12,12,2021-06-20,"5,445.00","5,470.00","5,176.00","5,260.00",-2.41,"46,803.00","246,693,646.00"
13,13,2021-06-17,"5,400.00","5,465.00","5,300.00","5,390.00",0.02,"44,989.00","242,157,044.00"
14,14,2021-06-16,"5,455.00","5,788.00","5,194.00","5,389.00",-6.08,"101,045.00","555,753,642.00"
15,15,2021-06-15,"5,600.00","5,916.00","5,500.00","5,738.00",4.42,"72,941.00","420,322,461.00"
16,16,2021-06-14,"5,100.00","5,509.00","5,021.00","5,495.00",9.70,"93,750.00","502,931,850.00"
17,17,2021-06-13,"4,920.00","5,060.00","4,855.00","5,009.00",2.64,"53,303.00","264,823,610.00"
18,18,2021-06-10,"4,890.00","4,970.00","4,801.00","4,880.00",1.04,"31,661.00","154,462,199.00"
19,19,2021-06-09,"4,700.00","5,020.00","4,670.00","4,830.00",4.30,"68,771.00","332,931,555.00"
20,20,2021-06-08,"4,600.00","4,670.00","4,534.00","4,631.00",1.56,"36,822.00","169,443,424.00"
21,21,2021-06-07,"4,540.00","4,570.00","4,515.00","4,560.00",0.44,"41,340.00","187,547,394.00"
22,22,2021-06-06,"4,750.00","4,750.00","4,500.00","4,540.00",0.22,"20,517.00","92,647,023.00"
23,23,2021-06-03,"4,600.00","4,600.00","4,500.00","4,530.00",-0.22,"13,536.00","61,349,360.00"
24,24,2021-06-02,"4,451.00","4,540.00","4,411.00","4,540.00",3.23,"17,291.00","77,563,938.00"
25,25,2021-06-01,"4,433.00","4,475.00","4,385.00","4,398.00",-0.77,"13,680.00","60,327,475.00"
26,26,2021-05-31,"4,550.00","4,550.00","4,430.00","4,432.00",-1.73,"23,160.00","103,727,432.00"
27,27,2021-05-30,"4,501.00","4,640.00","4,490.00","4,510.00",0.20,"18,683.00","84,563,394.00"
28,28,2021-05-27,"4,725.00","4,725.00","4,420.00","4,501.00",0.02,"25,659.00","115,905,720.00"
29,29,2021-05-25,"4,500.00","4,542.00","4,490.00","4,500.00",-0.64,"15,154.00","68,305,256.00"
