,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,316.00,316.00,316.00,316.00,4.98,10.00,"3,160.00"
2,2,2021-05-23,301.00,301.00,301.00,301.00,4.88,10.00,"3,010.00"
3,3,2021-05-20,287.00,287.00,287.00,287.00,4.74,10.00,"2,870.00"
4,4,2021-02-09,274.00,274.00,274.00,274.00,4.98,10.00,"2,740.00"
5,5,2020-12-28,261.00,261.00,261.00,261.00,4.82,10.00,"2,610.00"
6,6,2020-12-09,249.00,249.00,249.00,249.00,4.62,24.00,"5,976.00"
7,7,2020-12-02,238.00,238.00,238.00,238.00,4.39,10.00,"2,380.00"
8,8,2020-11-23,228.00,228.00,228.00,228.00,4.59,10.00,"2,280.00"
9,9,2020-11-05,218.00,218.00,218.00,218.00,4.81,10.00,"2,180.00"
10,10,2020-11-04,208.00,208.00,208.00,208.00,4.52,10.00,"2,080.00"
11,11,2020-10-18,199.00,199.00,199.00,199.00,4.74,10.00,"1,990.00"
12,12,2020-09-22,190.00,190.00,190.00,190.00,1.60,80.00,"15,200.00"
13,13,2020-02-23,187.00,187.00,187.00,187.00,1.60,"3,500.00","654,500.00"
14,14,2019-07-28,214.00,214.00,214.00,214.00,1.90,19.00,"4,102.00"
15,15,2019-07-25,202.00,210.00,202.00,210.00,-1.41,73.00,"15,046.00"
16,16,2015-04-13,213.00,213.00,213.00,213.00,0.00,681.00,"145,053.00"
17,17,2015-01-05,209.00,213.00,213.00,213.00,0.00,17.00,"3,621.00"
18,18,2014-03-25,205.00,209.00,209.00,209.00,0.00,178.00,"37,202.00"
19,19,2014-02-06,246.00,0.00,0.00,246.00,0.00,"1,050.00","1,050.00"
20,20,2014-01-29,242.00,246.00,246.00,246.00,0.00,36.00,"8,856.00"
21,21,2012-09-13,246.00,242.00,242.00,242.00,0.00,12.00,"2,904.00"
22,22,2012-01-08,251.00,246.00,246.00,246.00,0.00,14.00,"3,444.00"
23,23,2011-10-30,250.00,251.00,251.00,251.00,0.00,17.00,"4,267.00"
