,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"1,445.00","1,524.00","1,436.00","1,472.00",2.29,"41,653.00","61,543,049.00"
2,2,2021-07-04,"1,475.00","1,475.00","1,439.00","1,439.00",-1.98,"14,290.00","20,744,246.00"
3,3,2021-07-01,"1,468.00","1,482.00","1,455.00","1,468.00",0.00,"23,924.00","35,066,930.00"
4,4,2021-06-30,"1,400.00","1,468.00","1,400.00","1,468.00",2.02,"32,210.00","46,225,982.00"
5,5,2021-06-29,"1,450.00","1,464.00","1,435.00","1,439.00",-0.35,"19,077.00","27,601,097.00"
6,6,2021-06-28,"1,522.00","1,522.00","1,440.00","1,444.00",-0.41,"16,097.00","23,373,426.00"
7,7,2021-06-27,"1,465.00","1,467.00","1,426.00","1,450.00",0.76,"29,345.00","42,515,790.00"
8,8,2021-06-24,"1,528.00","1,528.00","1,436.00","1,439.00",-1.17,"32,803.00","47,653,767.00"
9,9,2021-06-23,"1,500.00","1,510.00","1,454.00","1,456.00",-2.61,"32,195.00","47,142,191.00"
10,10,2021-06-22,"1,388.00","1,550.00","1,388.00","1,495.00",2.47,"45,400.00","67,526,140.00"
11,11,2021-06-21,"1,500.00","1,530.00","1,458.00","1,459.00",-2.67,"54,448.00","80,464,249.00"
12,12,2021-06-20,"1,572.00","1,572.00","1,479.00","1,499.00",-2.79,"79,345.00","119,784,187.00"
13,13,2021-06-17,"1,560.00","1,569.00","1,538.00","1,542.00",-0.84,"33,965.00","52,771,211.00"
14,14,2021-06-16,"1,565.00","1,605.00","1,535.00","1,555.00",-2.20,"95,171.00","148,910,726.00"
15,15,2021-06-15,"1,600.00","1,655.00","1,581.00","1,590.00",-0.13,"116,330.00","187,046,765.00"
16,16,2021-06-14,"1,531.00","1,641.00","1,531.00","1,592.00",-1.12,"59,563.00","95,734,046.00"
17,17,2021-06-13,"1,616.00","1,645.00","1,588.00","1,610.00",-0.37,"120,016.00","192,893,077.00"
18,18,2021-06-10,"1,700.00","1,700.00","1,608.00","1,616.00",-1.46,"112,349.00","183,367,240.00"
19,19,2021-06-09,"1,570.00","1,685.00","1,566.00","1,640.00",5.26,"243,113.00","397,708,469.00"
20,20,2021-06-08,"1,571.00","1,571.00","1,505.00","1,558.00",3.94,"164,939.00","254,447,194.00"
