,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"19,700.00","19,700.00","19,700.00","19,700.00",1.81,10.00,"197,000.00"
2,2,2021-07-04,"19,350.00","19,350.00","19,350.00","19,350.00",-1.53,20.00,"387,000.00"
3,3,2021-07-01,"19,800.00","19,800.00","19,600.00","19,650.00",-1.73,30.00,"590,500.00"
4,4,2021-06-30,"20,000.00","20,000.00","19,995.00","19,995.00",0.48,30.00,"599,950.00"
5,5,2021-06-29,"20,000.00","20,090.00","19,800.00","19,900.00",1.02,65.00,"1,298,080.00"
6,6,2021-06-28,"20,000.00","20,000.00","19,700.00","19,700.00",-1.94,40.00,"796,900.00"
7,7,2021-06-27,"20,500.00","20,500.00","19,700.00","20,089.00",-0.20,60.00,"1,202,290.00"
8,8,2021-06-24,"19,750.00","20,130.00","19,737.00","20,130.00",-0.04,30.00,"596,170.00"
9,9,2021-06-23,"19,990.00","20,300.00","19,900.00","20,139.00",0.75,50.00,"1,005,080.00"
10,10,2021-06-22,"19,605.00","19,997.00","19,605.00","19,990.00",4.00,50.00,"995,720.00"
11,11,2021-06-21,"19,300.00","19,300.00","19,221.00","19,221.00",-1.95,30.00,"577,420.00"
12,12,2021-06-20,"19,604.00","19,604.00","19,604.00","19,604.00",-1.98,40.00,"784,160.00"
13,13,2021-06-17,"20,093.00","20,094.00","19,800.00","20,000.00",1.52,70.00,"1,394,870.00"
14,14,2021-06-16,"20,397.00","20,397.00","19,700.00","19,700.00",-1.49,90.00,"1,801,970.00"
15,15,2021-06-15,"19,900.00","19,998.00","19,816.00","19,998.00",0.00,60.00,"1,191,960.00"
16,16,2021-06-14,"19,600.00","20,000.00","19,600.00","19,998.00",1.31,141.00,"2,800,464.00"
17,17,2021-06-13,"19,451.00","19,740.00","19,451.00","19,740.00",1.69,80.00,"1,573,910.00"
18,18,2021-06-10,"19,696.00","19,696.00","19,412.00","19,412.00",0.53,30.00,"585,210.00"
