,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,530.00","1,560.00","1,526.00","1,531.00",0.07,"1,206.00","1,851,107.00"
2,2,2021-06-30,"1,540.00","1,545.00","1,515.00","1,530.00",-0.71,"1,843.00","2,807,356.00"
3,3,2021-06-29,"1,570.00","1,610.00","1,540.00","1,541.00",0.06,"5,281.00","8,321,930.00"
4,4,2021-06-28,"1,499.00","1,573.00","1,476.00","1,540.00",3.70,"4,564.00","7,031,606.00"
5,5,2021-06-27,"1,472.00","1,495.00","1,472.00","1,485.00",-0.47,"1,930.00","2,866,049.00"
6,6,2021-06-24,"1,513.00","1,515.00","1,480.00","1,492.00",-1.39,"2,946.00","4,384,921.00"
7,7,2021-06-23,"1,530.00","1,540.00","1,501.00","1,513.00",-1.11,"3,715.00","5,630,560.00"
8,8,2021-06-22,"1,535.00","1,560.00","1,520.00","1,530.00",-0.20,"6,308.00","9,655,976.00"
9,9,2021-06-21,"1,535.00","1,571.00","1,533.00","1,533.00",-1.41,"3,923.00","6,051,845.00"
10,10,2021-06-20,"1,590.00","1,615.00","1,549.00","1,555.00",-2.20,"5,174.00","8,096,821.00"
11,11,2021-06-17,"1,634.00","1,634.00","1,585.00","1,590.00",-1.36,"2,894.00","4,621,865.00"
12,12,2021-06-16,"1,532.00","1,681.00","1,532.00","1,612.00",3.33,"10,167.00","16,533,790.00"
13,13,2021-06-15,"1,585.00","1,600.00","1,558.00","1,560.00",-0.64,"6,820.00","10,687,108.00"
14,14,2021-06-14,"1,586.00","1,600.00","1,568.00","1,570.00",-1.01,"5,057.00","7,980,209.00"
15,15,2021-06-13,"1,569.00","1,632.00","1,569.00","1,586.00",-0.88,"3,569.00","5,671,505.00"
16,16,2021-06-10,"1,600.00","1,625.00","1,585.00","1,600.00",-0.50,"6,794.00","10,841,660.00"
17,17,2021-06-09,"1,602.00","1,630.00","1,602.00","1,608.00",0.12,"4,443.00","7,175,306.00"
18,18,2021-06-08,"1,602.00","1,625.00","1,602.00","1,606.00",-0.56,"4,469.00","7,195,814.00"
19,19,2021-06-07,"1,620.00","1,650.00","1,615.00","1,615.00",-1.52,"3,200.00","5,200,312.00"
20,20,2021-06-06,"1,655.00","1,670.00","1,637.00","1,640.00",0.61,"7,444.00","12,288,787.00"
21,21,2021-06-03,"1,595.00","1,665.00","1,595.00","1,630.00",1.43,"7,348.00","11,983,081.00"
22,22,2021-06-02,"1,600.00","1,610.00","1,586.00","1,607.00",0.63,"7,333.00","11,682,122.00"
23,23,2021-06-01,"1,600.00","1,600.00","1,586.00","1,597.00",0.19,"3,534.00","5,628,520.00"
24,24,2021-05-31,"1,606.00","1,624.00","1,591.00","1,594.00",-0.69,"7,007.00","11,273,261.00"
25,25,2021-05-30,"1,650.00","1,650.00","1,590.00","1,605.00",-1.71,"11,100.00","17,834,265.00"
26,26,2021-05-27,"1,625.00","1,664.00","1,565.00","1,633.00",-4.50,"28,630.00","46,588,692.00"
27,27,2021-05-25,"1,730.00","1,750.00","1,709.00","1,710.00",-1.16,"6,141.00","10,553,880.00"
28,28,2021-05-24,"1,788.00","1,790.00","1,706.00","1,730.00",-1.70,"17,969.00","31,339,355.00"
29,29,2021-05-23,"1,710.00","1,790.00","1,710.00","1,760.00",-2.17,"11,244.00","19,793,606.00"
30,30,2021-05-20,"1,766.00","1,799.00","1,751.00","1,799.00",-0.06,"18,965.00","33,789,021.00"
31,31,2021-05-19,"1,790.00","1,820.00","1,766.00","1,800.00",1.12,"18,484.00","33,032,133.00"
32,32,2021-05-18,"1,695.00","1,785.00","1,675.00","1,780.00",5.95,"37,400.00","64,985,471.00"
33,33,2021-05-17,"1,683.00","1,705.00","1,660.00","1,680.00",0.18,"10,379.00","17,490,570.00"
34,34,2021-05-16,"1,660.00","1,677.00","1,631.00","1,677.00",2.88,"17,984.00","29,911,325.00"
35,35,2021-05-13,"1,610.00","1,665.00","1,600.00","1,630.00",0.74,"3,323.00","5,456,925.00"
36,36,2021-05-12,"1,630.00","1,636.00","1,610.00","1,618.00",-1.04,"2,373.00","3,847,298.00"
37,37,2021-05-11,"1,610.00","1,650.00","1,610.00","1,635.00",0.93,"5,683.00","9,317,454.00"
38,38,2021-05-10,"1,610.00","1,636.00","1,590.00","1,620.00",0.50,"4,006.00","6,460,120.00"
39,39,2021-05-09,"1,642.00","1,642.00","1,595.00","1,612.00",-1.83,"4,566.00","7,361,661.00"
40,40,2021-05-06,"1,670.00","1,675.00","1,629.00","1,642.00",-1.68,"9,289.00","15,246,975.00"
41,41,2021-05-05,"1,731.00","1,731.00","1,641.00","1,670.00",1.27,"13,725.00","22,980,277.00"
42,42,2021-05-04,"1,580.00","1,649.00","1,580.00","1,649.00",2.74,"11,581.00","18,882,768.00"
43,43,2021-05-03,"1,632.00","1,632.00","1,600.00","1,605.00",0.00,"7,444.00","11,961,560.00"
44,44,2021-05-02,"1,606.00","1,608.00","1,580.00","1,605.00",1.39,"7,610.00","12,171,931.00"
45,45,2021-04-29,"1,580.00","1,594.00","1,563.00","1,583.00",0.19,"1,419.00","2,239,634.00"
46,46,2021-04-28,"1,625.00","1,625.00","1,555.00","1,580.00",-0.94,"3,183.00","4,994,764.00"
47,47,2021-04-27,"1,550.00","1,600.00","1,540.00","1,595.00",3.98,"5,004.00","7,864,348.00"
48,48,2021-04-26,"1,531.00","1,595.00","1,472.00","1,534.00",-1.79,"6,235.00","9,588,376.00"
49,49,2021-04-25,"1,620.00","1,659.00","1,539.00","1,562.00",-2.38,"15,888.00","24,961,330.00"
50,50,2021-04-22,"1,571.00","1,604.00","1,555.00","1,600.00",1.85,"6,445.00","10,184,739.00"
51,51,2021-04-21,"1,590.00","1,600.00","1,570.00","1,571.00",-0.70,"4,153.00","6,546,525.00"
52,52,2021-04-20,"1,548.00","1,645.00","1,531.00","1,582.00",0.19,"7,240.00","11,573,304.00"
53,53,2021-04-19,"1,585.00","1,630.00","1,574.00","1,579.00",-1.62,"4,012.00","6,405,040.00"
54,54,2021-04-18,"1,650.00","1,650.00","1,605.00","1,605.00",-2.07,"5,525.00","8,919,825.00"
55,55,2021-04-15,"1,644.00","1,660.00","1,637.00","1,639.00",-1.27,"6,484.00","10,677,640.00"
56,56,2021-04-13,"1,700.00","1,700.00","1,645.00","1,660.00",-0.90,"11,203.00","18,687,449.00"
57,57,2021-04-12,"1,625.00","1,700.00","1,620.00","1,675.00",3.59,"12,581.00","21,081,674.00"
58,58,2021-04-08,"1,599.00","1,620.00","1,581.00","1,617.00",2.67,"11,080.00","17,782,935.00"
59,59,2021-04-07,"1,585.00","1,615.00","1,570.00","1,575.00",0.64,"7,135.00","11,337,376.00"
60,60,2021-04-06,"1,550.00","1,591.00","1,535.00","1,565.00",0.32,"4,465.00","6,913,310.00"
61,61,2021-04-05,"1,543.00","1,573.00","1,530.00","1,560.00",1.10,"3,330.00","5,163,878.00"
62,62,2021-04-04,"1,566.00","1,575.00","1,530.00","1,543.00",-1.34,"5,901.00","9,072,877.00"
