,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,710.00","1,742.00","1,710.00","1,724.00",0.94,"1,948.00","3,358,497.00"
2,2,2021-06-30,"1,692.00","1,730.00","1,692.00","1,708.00",-0.99,"2,331.00","3,980,718.00"
3,3,2021-06-29,"1,819.00","1,848.00","1,721.00","1,725.00",-0.46,"3,555.00","6,301,514.00"
4,4,2021-06-28,"1,684.00","1,800.00","1,676.00","1,733.00",4.08,"5,757.00","9,985,885.00"
5,5,2021-06-27,"1,675.00","1,715.00","1,665.00","1,665.00",-1.19,"4,610.00","7,758,245.00"
6,6,2021-06-24,"1,685.00","1,700.00","1,668.00","1,685.00",-0.94,"3,992.00","6,713,801.00"
7,7,2021-06-23,"1,715.00","1,758.00","1,700.00","1,701.00",-2.47,"2,936.00","5,031,542.00"
8,8,2021-06-22,"1,716.00","1,750.00","1,716.00","1,744.00",0.75,"3,658.00","6,345,543.00"
9,9,2021-06-21,"1,760.00","1,760.00","1,729.00","1,731.00",-1.03,"4,386.00","7,611,359.00"
10,10,2021-06-20,"1,770.00","1,795.00","1,745.00","1,749.00",-2.56,"4,083.00","7,175,379.00"
11,11,2021-06-17,"1,861.00","1,861.00","1,790.00","1,795.00",-1.64,"1,602.00","2,893,683.00"
12,12,2021-06-16,"1,760.00","1,900.00","1,755.00","1,825.00",3.69,"7,085.00","13,042,314.00"
13,13,2021-06-15,"1,775.00","1,780.00","1,750.00","1,760.00",-0.85,"5,776.00","10,185,946.00"
14,14,2021-06-14,"1,790.00","1,790.00","1,760.00","1,775.00",-0.84,"4,031.00","7,151,431.00"
15,15,2021-06-13,"1,790.00","1,807.00","1,770.00","1,790.00",-1.32,"5,878.00","10,471,164.00"
16,16,2021-06-10,"1,745.00","1,814.00","1,745.00","1,814.00",2.49,"4,714.00","8,357,055.00"
17,17,2021-06-09,"1,775.00","1,824.00","1,763.00","1,770.00",-0.06,"5,093.00","9,145,743.00"
18,18,2021-06-08,"1,837.00","1,862.00","1,770.00","1,771.00",-1.67,"6,908.00","12,316,026.00"
19,19,2021-06-07,"1,801.00","1,819.00","1,801.00","1,801.00",0.06,"3,466.00","6,252,701.00"
20,20,2021-06-06,"1,855.00","1,892.00","1,800.00","1,800.00",-1.04,"3,694.00","6,743,684.00"
21,21,2021-06-03,"1,849.00","1,849.00","1,801.00","1,819.00",0.33,"4,129.00","7,535,208.00"
22,22,2021-06-02,"1,800.00","1,813.00","1,771.00","1,813.00",2.26,"3,962.00","7,135,122.00"
23,23,2021-06-01,"1,757.00","1,796.00","1,722.00","1,773.00",-0.67,"4,452.00","7,886,677.00"
24,24,2021-05-31,"1,785.00","1,813.00","1,780.00","1,785.00",0.22,"5,287.00","9,501,183.00"
25,25,2021-05-30,"1,788.00","1,823.00","1,780.00","1,781.00",-2.30,"7,952.00","14,323,576.00"
26,26,2021-05-27,"1,801.00","1,868.00","1,767.00","1,823.00",-3.80,"16,012.00","29,102,541.00"
27,27,2021-05-25,"1,873.00","1,920.00","1,873.00","1,895.00",-0.63,"5,075.00","9,676,364.00"
28,28,2021-05-24,"1,876.00","1,910.00","1,876.00","1,907.00",1.98,"8,106.00","15,400,605.00"
29,29,2021-05-23,"1,838.00","1,880.00","1,833.00","1,870.00",0.00,"12,961.00","24,223,994.00"
30,30,2021-05-20,"1,888.00","1,888.00","1,868.00","1,870.00",-0.95,"3,526.00","6,603,541.00"
31,31,2021-05-19,"1,905.00","1,943.00","1,885.00","1,888.00",-0.89,"7,910.00","15,099,515.00"
32,32,2021-05-18,"1,900.00","1,924.00","1,897.00","1,905.00",1.06,"7,683.00","14,705,596.00"
33,33,2021-05-17,"1,895.00","1,915.00","1,862.00","1,885.00",1.34,"8,382.00","15,780,869.00"
34,34,2021-05-16,"1,899.00","1,899.00","1,841.00","1,860.00",1.31,"10,800.00","20,067,723.00"
35,35,2021-05-13,"1,840.00","1,867.00","1,823.00","1,836.00",-0.86,"7,156.00","13,232,496.00"
36,36,2021-05-12,"1,865.00","1,897.00","1,823.00","1,852.00",-0.43,"8,358.00","15,448,693.00"
37,37,2021-05-11,"1,790.00","1,865.00","1,790.00","1,860.00",3.56,"9,196.00","16,929,762.00"
38,38,2021-05-10,"1,767.00","1,810.00","1,767.00","1,796.00",1.47,"11,134.00","19,897,230.00"
39,39,2021-05-09,"1,784.00","1,805.00","1,749.00","1,770.00",-2.75,"6,393.00","11,386,722.00"
40,40,2021-05-06,"1,888.00","1,888.00","1,820.00","1,820.00",-3.60,"7,004.00","12,869,982.00"
41,41,2021-05-05,"1,900.00","1,975.00","1,888.00","1,888.00",-3.43,"15,689.00","30,119,051.00"
42,42,2021-05-04,"1,850.00","1,978.00","1,821.00","1,955.00",7.54,"38,229.00","72,126,586.00"
43,43,2021-05-03,"1,850.00","1,853.00","1,804.00","1,818.00",-0.33,"16,485.00","29,970,502.00"
44,44,2021-05-02,"1,729.00","1,824.00","1,712.00","1,824.00",6.05,"30,862.00","55,033,123.00"
45,45,2021-04-29,"1,675.00","1,720.00","1,675.00","1,720.00",1.18,"5,402.00","9,191,918.00"
46,46,2021-04-28,"1,728.00","1,728.00","1,670.00","1,700.00",0.29,"8,388.00","14,269,716.00"
47,47,2021-04-27,"1,650.00","1,710.00","1,600.00","1,695.00",3.99,"11,423.00","18,986,952.00"
48,48,2021-04-26,"1,747.00","1,747.00","1,600.00","1,630.00",-2.04,"10,571.00","17,406,803.00"
49,49,2021-04-25,"1,750.00","1,750.00","1,640.00","1,664.00",-0.78,"9,507.00","15,896,800.00"
