,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,750.00","1,750.00","1,720.00","1,725.00",-0.40,"19,386.00","33,527,592.00"
2,2,2021-06-30,"1,827.00","1,827.00","1,715.00","1,732.00",-0.46,"17,565.00","30,310,668.00"
3,3,2021-06-29,"1,770.00","1,790.00","1,735.00","1,740.00",0.17,"32,562.00","57,022,231.00"
4,4,2021-06-28,"1,720.00","1,749.00","1,720.00","1,737.00",1.22,"22,276.00","38,777,595.00"
5,5,2021-06-27,"1,730.00","1,730.00","1,700.00","1,716.00",-0.23,"24,532.00","42,061,928.00"
6,6,2021-06-24,"1,730.00","1,734.00","1,695.00","1,720.00",-0.58,"20,333.00","34,960,962.00"
7,7,2021-06-23,"1,845.00","1,845.00","1,720.00","1,730.00",-1.59,"23,814.00","41,352,031.00"
8,8,2021-06-22,"1,735.00","1,760.00","1,694.00","1,758.00",1.80,"36,934.00","64,172,276.00"
9,9,2021-06-21,"1,770.00","1,770.00","1,725.00","1,727.00",-2.43,"40,710.00","70,980,640.00"
10,10,2021-06-20,"1,750.00","1,805.00","1,750.00","1,770.00",-0.90,"39,020.00","68,908,446.00"
11,11,2021-06-17,"1,830.00","1,840.00","1,781.00","1,786.00",-1.05,"25,595.00","46,023,243.00"
12,12,2021-06-16,"1,770.00","1,876.00","1,760.00","1,805.00",2.15,"94,269.00","171,217,247.00"
13,13,2021-06-15,"1,780.00","1,785.00","1,755.00","1,767.00",-0.28,"33,873.00","60,002,552.00"
14,14,2021-06-14,"1,864.00","1,864.00","1,765.00","1,772.00",-0.23,"39,832.00","70,740,147.00"
15,15,2021-06-13,"1,800.00","1,800.00","1,775.00","1,776.00",-0.22,"46,800.00","83,496,105.00"
16,16,2021-06-10,"1,876.00","1,876.00","1,768.00","1,780.00",-0.50,"44,687.00","79,424,843.00"
17,17,2021-06-09,"1,873.00","1,873.00","1,778.00","1,789.00",0.28,"53,426.00","95,955,635.00"
18,18,2021-06-08,"1,791.00","1,792.00","1,770.00","1,784.00",0.34,"47,843.00","85,061,534.00"
19,19,2021-06-07,"1,884.00","1,884.00","1,776.00","1,778.00",-0.95,"42,602.00","76,143,019.00"
20,20,2021-06-06,"1,800.00","1,849.00","1,784.00","1,795.00",0.62,"55,823.00","100,401,430.00"
21,21,2021-06-03,"1,725.00","1,807.00","1,725.00","1,784.00",1.88,"391,823.00","681,650,159.00"
22,22,2021-06-02,"1,760.00","1,766.00","1,750.00","1,751.00",0.00,"36,259.00","63,644,168.00"
23,23,2021-06-01,"1,766.00","1,780.00","1,749.00","1,751.00",-0.51,"23,833.00","41,969,015.00"
24,24,2021-05-31,"1,755.00","1,780.00","1,745.00","1,760.00",0.51,"37,588.00","66,259,738.00"
25,25,2021-05-30,"1,800.00","1,803.00","1,750.00","1,751.00",-1.35,"60,173.00","106,196,913.00"
26,26,2021-05-27,"1,740.00","1,800.00","1,740.00","1,775.00",-3.06,"124,984.00","221,486,036.00"
27,27,2021-05-25,"1,820.00","1,835.00","1,808.00","1,831.00",0.60,"46,048.00","84,235,282.00"
