,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,495.00","1,535.00","1,485.00","1,515.00",0.87,"31,721.00","47,911,130.00"
2,2,2021-06-30,"1,475.00","1,513.00","1,445.00","1,502.00",0.47,"19,659.00","29,363,558.00"
3,3,2021-06-29,"1,500.00","1,550.00","1,470.00","1,495.00",2.47,"28,145.00","42,131,038.00"
4,4,2021-06-28,"1,365.00","1,485.00","1,365.00","1,459.00",8.07,"63,331.00","91,041,238.00"
5,5,2021-06-27,"1,359.00","1,370.00","1,343.00","1,350.00",-0.66,"6,274.00","8,470,069.00"
6,6,2021-06-24,"1,340.00","1,380.00","1,326.00","1,359.00",1.34,"8,405.00","11,329,439.00"
7,7,2021-06-23,"1,365.00","1,365.00","1,338.00","1,341.00",-1.76,"8,939.00","12,045,096.00"
8,8,2021-06-22,"1,386.00","1,386.00","1,296.00","1,365.00",3.41,"4,976.00","6,657,816.00"
9,9,2021-06-21,"1,350.00","1,383.00","1,320.00","1,320.00",-2.94,"10,162.00","13,550,807.00"
10,10,2021-06-20,"1,340.00","1,430.00","1,340.00","1,360.00",-2.51,"10,820.00","14,725,761.00"
11,11,2021-06-17,"1,407.00","1,436.00","1,379.00","1,395.00",-0.85,"7,266.00","10,122,621.00"
12,12,2021-06-16,"1,362.00","1,498.00","1,362.00","1,407.00",3.30,"19,506.00","27,683,535.00"
13,13,2021-06-15,"1,380.00","1,434.00","1,357.00","1,362.00",-1.23,"6,515.00","8,911,653.00"
14,14,2021-06-14,"1,410.00","1,410.00","1,379.00","1,379.00",-0.58,"5,564.00","7,722,811.00"
15,15,2021-06-13,"1,387.00","1,420.00","1,370.00","1,387.00",-0.57,"8,086.00","11,295,436.00"
16,16,2021-06-10,"1,402.00","1,430.00","1,385.00","1,395.00",-0.85,"5,825.00","8,138,949.00"
17,17,2021-06-09,"1,395.00","1,448.00","1,393.00","1,407.00",-0.99,"10,819.00","15,361,447.00"
18,18,2021-06-08,"1,426.00","1,429.00","1,415.00","1,421.00",-1.93,"5,408.00","7,685,430.00"
19,19,2021-06-07,"1,440.00","1,469.00","1,433.00","1,449.00",0.69,"8,779.00","12,750,665.00"
20,20,2021-06-06,"1,500.00","1,500.00","1,436.00","1,439.00",-0.96,"8,723.00","12,753,819.00"
21,21,2021-06-03,"1,450.00","1,480.00","1,450.00","1,453.00",1.18,"11,260.00","16,519,104.00"
22,22,2021-06-02,"1,385.00","1,439.00","1,375.00","1,436.00",4.66,"31,377.00","44,228,725.00"
23,23,2021-06-01,"1,359.00","1,408.00","1,359.00","1,372.00",-0.94,"2,076.00","2,858,551.00"
24,24,2021-05-31,"1,411.00","1,440.00","1,375.00","1,385.00",0.00,"14,860.00","20,744,624.00"
25,25,2021-05-30,"1,448.00","1,450.00","1,377.00","1,385.00",-4.35,"16,040.00","22,760,571.00"
26,26,2021-05-27,"1,487.00","1,487.00","1,422.00","1,448.00",-4.55,"35,711.00","51,510,176.00"
27,27,2021-05-25,"1,510.00","1,536.00","1,500.00","1,517.00",-0.85,"14,490.00","21,905,350.00"
28,28,2021-05-24,"1,555.00","1,555.00","1,510.00","1,530.00",-1.92,"22,389.00","34,126,431.00"
29,29,2021-05-23,"1,540.00","1,560.00","1,503.00","1,560.00",0.00,"19,080.00","29,298,945.00"
30,30,2021-05-20,"1,510.00","1,561.00","1,467.00","1,560.00",4.35,"29,884.00","45,444,251.00"
31,31,2021-05-19,"1,580.00","1,580.00","1,458.00","1,495.00",-0.66,"9,141.00","13,613,433.00"
32,32,2021-05-18,"1,460.00","1,510.00","1,438.00","1,505.00",3.08,"23,684.00","34,977,326.00"
33,33,2021-05-17,"1,453.00","1,470.00","1,440.00","1,460.00",-0.68,"8,373.00","12,156,048.00"
34,34,2021-05-16,"1,462.00","1,490.00","1,453.00","1,470.00",0.55,"8,487.00","12,448,116.00"
35,35,2021-05-13,"1,470.00","1,550.00","1,462.00","1,462.00",-1.95,"17,690.00","26,123,600.00"
36,36,2021-05-12,"1,395.00","1,550.00","1,390.00","1,491.00",4.63,"25,401.00","36,214,365.00"
37,37,2021-05-11,"1,380.00","1,435.00","1,353.00","1,425.00",5.32,"31,672.00","44,485,852.00"
38,38,2021-05-10,"1,350.00","1,355.00","1,315.00","1,353.00",1.35,"5,450.00","7,322,945.00"
39,39,2021-05-09,"1,349.00","1,359.00","1,325.00","1,335.00",-1.18,"11,415.00","15,313,251.00"
40,40,2021-05-06,"1,399.00","1,400.00","1,345.00","1,351.00",-2.67,"16,677.00","22,681,334.00"
41,41,2021-05-05,"1,430.00","1,433.00","1,370.00","1,388.00",-1.21,"25,316.00","35,314,057.00"
42,42,2021-05-04,"1,293.00","1,414.00","1,293.00","1,405.00",3.23,"37,631.00","52,076,746.00"
43,43,2021-05-03,"1,226.00","1,361.00","1,226.00","1,361.00",5.50,"36,125.00","47,648,084.00"
44,44,2021-05-02,"1,212.00","1,300.00","1,212.00","1,290.00",1.18,"21,686.00","27,719,740.00"
45,45,2021-04-29,"1,275.00","1,290.00","1,255.00","1,275.00",2.00,"11,628.00","14,732,142.00"
46,46,2021-04-28,"1,283.00","1,300.00","1,217.00","1,250.00",-0.64,"4,108.00","5,181,839.00"
47,47,2021-04-27,"1,228.00","1,263.00","1,206.00","1,258.00",4.40,"7,761.00","9,647,291.00"
48,48,2021-04-26,"1,200.00","1,259.00","1,200.00","1,205.00",-0.25,"11,897.00","14,446,571.00"
49,49,2021-04-25,"1,299.00","1,299.00","1,208.00","1,208.00",-5.63,"11,554.00","14,188,538.00"
50,50,2021-04-22,"1,281.00","1,294.00","1,270.00","1,280.00",-0.70,"7,627.00","9,791,772.00"
