,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,660.00","1,660.00","1,630.00","1,640.00",-0.79,"12,361.00","20,334,625.00"
2,2,2021-06-30,"1,675.00","1,675.00","1,635.00","1,653.00",-0.96,"6,578.00","10,846,495.00"
3,3,2021-06-29,"1,700.00","1,701.00","1,655.00","1,669.00",0.06,"19,930.00","33,567,879.00"
4,4,2021-06-28,"1,555.00","1,675.00","1,555.00","1,668.00",1.96,"26,541.00","44,210,168.00"
5,5,2021-06-27,"1,633.00","1,658.00","1,625.00","1,636.00",0.31,"9,366.00","15,318,323.00"
6,6,2021-06-24,"1,598.00","1,665.00","1,598.00","1,631.00",-1.09,"26,358.00","43,142,812.00"
7,7,2021-06-23,"1,601.00","1,697.00","1,601.00","1,649.00",-2.14,"17,536.00","29,158,295.00"
8,8,2021-06-22,"1,680.00","1,700.00","1,645.00","1,685.00",1.20,"20,879.00","35,071,966.00"
9,9,2021-06-21,"1,687.00","1,702.00","1,664.00","1,665.00",-2.06,"24,419.00","41,018,121.00"
10,10,2021-06-20,"1,735.00","1,749.00","1,690.00","1,700.00",-1.33,"24,422.00","41,589,958.00"
11,11,2021-06-17,"1,761.00","1,780.00","1,722.00","1,723.00",-1.15,"17,751.00","30,858,577.00"
12,12,2021-06-16,"1,702.00","1,809.00","1,700.00","1,743.00",2.47,"56,627.00","99,701,494.00"
13,13,2021-06-15,"1,712.00","1,719.00","1,700.00","1,701.00",-0.53,"32,815.00","55,923,374.00"
14,14,2021-06-14,"1,680.00","1,764.00","1,680.00","1,710.00",-0.52,"40,177.00","68,825,631.00"
15,15,2021-06-13,"1,680.00","1,745.00","1,680.00","1,719.00",0.00,"37,248.00","64,077,154.00"
16,16,2021-06-10,"1,730.00","1,740.00","1,718.00","1,719.00",-0.17,"21,685.00","37,336,676.00"
17,17,2021-06-09,"1,730.00","1,749.00","1,720.00","1,722.00",-0.12,"24,119.00","41,717,354.00"
18,18,2021-06-08,"1,750.00","1,750.00","1,715.00","1,724.00",-0.17,"25,908.00","44,633,220.00"
19,19,2021-06-07,"1,758.00","1,758.00","1,726.00","1,727.00",-0.35,"15,213.00","26,339,476.00"
20,20,2021-06-06,"1,755.00","1,760.00","1,728.00","1,733.00",-0.35,"20,095.00","34,985,336.00"
21,21,2021-06-03,"1,730.00","1,767.00","1,730.00","1,739.00",0.52,"22,341.00","39,104,000.00"
22,22,2021-06-02,"1,723.00","1,739.00","1,715.00","1,730.00",0.35,"16,569.00","28,698,205.00"
23,23,2021-06-01,"1,750.00","1,750.00","1,706.00","1,724.00",-0.46,"14,603.00","25,221,275.00"
24,24,2021-05-31,"1,740.00","1,759.00","1,719.00","1,732.00",0.81,"20,446.00","35,624,918.00"
25,25,2021-05-30,"1,740.00","1,769.00","1,710.00","1,718.00",-1.26,"32,809.00","56,820,011.00"
