,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,829.00,831.00,800.00,804.00,-1.35,"53,215.00","42,934,843.00"
2,2,2021-06-30,810.00,816.00,792.00,815.00,1.88,"18,290.00","14,700,212.00"
3,3,2021-06-29,840.00,847.00,800.00,800.00,-1.23,"58,702.00","48,049,910.00"
4,4,2021-06-28,817.00,825.00,800.00,810.00,0.25,"59,587.00","48,487,131.00"
5,5,2021-06-27,805.00,811.00,802.00,808.00,0.37,"14,130.00","11,428,224.00"
6,6,2021-06-24,852.00,852.00,802.00,805.00,-0.86,"28,400.00","22,907,934.00"
7,7,2021-06-23,835.00,840.00,812.00,812.00,-2.52,"31,553.00","25,849,773.00"
8,8,2021-06-22,830.00,840.00,816.00,833.00,1.96,"33,469.00","27,669,146.00"
9,9,2021-06-21,831.00,847.00,815.00,817.00,-2.04,"49,379.00","40,636,753.00"
10,10,2021-06-20,880.00,880.00,832.00,834.00,-2.91,"40,981.00","34,654,800.00"
11,11,2021-06-17,924.00,924.00,856.00,859.00,-2.39,"82,188.00","72,253,353.00"
12,12,2021-06-16,861.00,902.00,817.00,880.00,7.32,"250,193.00","219,670,695.00"
13,13,2021-06-15,865.00,865.00,819.00,820.00,-0.49,"39,521.00","32,621,129.00"
14,14,2021-06-14,839.00,839.00,824.00,824.00,-0.24,"46,503.00","38,534,769.00"
15,15,2021-06-13,840.00,840.00,814.00,826.00,-0.12,"42,490.00","35,063,948.00"
16,16,2021-06-10,840.00,847.00,826.00,827.00,-0.48,"32,854.00","27,375,838.00"
17,17,2021-06-09,830.00,860.00,830.00,831.00,0.73,"49,849.00","41,907,458.00"
18,18,2021-06-08,824.00,833.00,820.00,825.00,0.24,"48,254.00","39,732,704.00"
19,19,2021-06-07,835.00,835.00,822.00,823.00,-1.08,"30,276.00","24,960,993.00"
20,20,2021-06-06,840.00,856.00,823.00,832.00,0.00,"33,063.00","27,356,626.00"
21,21,2021-06-03,874.00,874.00,830.00,832.00,-0.12,"31,964.00","26,865,882.00"
22,22,2021-06-02,862.00,862.00,816.00,833.00,1.46,"28,569.00","23,673,012.00"
23,23,2021-06-01,825.00,835.00,819.00,821.00,-0.48,"34,382.00","28,421,695.00"
24,24,2021-05-31,830.00,847.00,818.00,825.00,-0.12,"47,009.00","39,087,772.00"
25,25,2021-05-30,835.00,845.00,819.00,826.00,-1.08,"56,070.00","46,390,166.00"
26,26,2021-05-27,827.00,856.00,800.00,835.00,-4.02,"82,565.00","68,835,766.00"
27,27,2021-05-25,868.00,872.00,852.00,870.00,1.64,"81,645.00","70,863,912.00"
28,28,2021-05-24,868.00,873.00,852.00,856.00,0.00,"39,237.00","33,746,018.00"
29,29,2021-05-23,841.00,872.00,839.00,856.00,-0.12,"51,493.00","44,159,975.00"
30,30,2021-05-20,865.00,865.00,849.00,857.00,-0.12,"28,521.00","24,364,113.00"
31,31,2021-05-19,880.00,895.00,850.00,858.00,-0.69,"61,744.00","53,505,534.00"
32,32,2021-05-18,850.00,865.00,840.00,864.00,2.25,"68,846.00","58,652,479.00"
33,33,2021-05-17,886.00,886.00,844.00,845.00,0.12,"32,310.00","27,406,110.00"
34,34,2021-05-16,822.00,845.00,822.00,844.00,2.68,"29,878.00","25,044,953.00"
35,35,2021-05-13,830.00,832.00,819.00,822.00,-0.36,"17,629.00","14,537,164.00"
36,36,2021-05-12,840.00,846.00,820.00,825.00,-0.60,"15,543.00","12,850,953.00"
37,37,2021-05-11,838.00,840.00,824.00,830.00,0.73,"19,814.00","16,454,972.00"
38,38,2021-05-10,830.00,830.00,810.00,824.00,0.86,"21,731.00","17,831,762.00"
39,39,2021-05-09,786.00,833.00,786.00,817.00,-1.21,"25,866.00","21,189,284.00"
40,40,2021-05-06,852.00,852.00,820.00,827.00,-1.90,"30,721.00","25,482,598.00"
41,41,2021-05-05,860.00,865.00,843.00,843.00,-0.82,"39,435.00","33,655,218.00"
42,42,2021-05-04,845.00,856.00,830.00,850.00,0.59,"36,652.00","31,114,901.00"
43,43,2021-05-03,876.00,876.00,840.00,845.00,1.20,"61,508.00","52,275,419.00"
44,44,2021-05-02,826.00,838.00,825.00,835.00,1.09,"24,022.00","20,040,177.00"
45,45,2021-04-29,816.00,830.00,815.00,826.00,1.23,"17,320.00","14,269,854.00"
46,46,2021-04-28,830.00,837.00,807.00,816.00,-1.69,"15,580.00","12,834,551.00"
47,47,2021-04-27,787.00,830.00,780.00,830.00,5.46,"40,820.00","33,035,803.00"
48,48,2021-04-26,802.00,824.00,785.00,787.00,-3.67,"52,354.00","41,691,776.00"
49,49,2021-04-25,845.00,845.00,800.00,817.00,-2.62,"44,248.00","36,027,747.00"
50,50,2021-04-22,827.00,841.00,815.00,839.00,1.45,"29,961.00","24,967,206.00"
51,51,2021-04-21,842.00,855.00,826.00,827.00,-1.31,"31,291.00","26,105,867.00"
52,52,2021-04-20,889.00,889.00,833.00,838.00,-1.06,"38,650.00","32,603,402.00"
53,53,2021-04-19,853.00,867.00,843.00,847.00,-1.97,"37,135.00","31,613,149.00"
54,54,2021-04-18,900.00,900.00,860.00,864.00,-1.26,"58,465.00","50,976,539.00"
55,55,2021-04-15,870.00,901.00,870.00,875.00,-1.02,"48,904.00","42,781,581.00"
56,56,2021-04-13,910.00,920.00,880.00,884.00,-1.45,"78,850.00","70,393,047.00"
57,57,2021-04-12,875.00,910.00,867.00,897.00,3.70,"138,638.00","123,901,675.00"
58,58,2021-04-08,876.00,877.00,860.00,865.00,0.46,"39,457.00","34,185,839.00"
59,59,2021-04-07,865.00,870.00,860.00,861.00,0.23,"39,509.00","34,181,520.00"
60,60,2021-04-06,908.00,908.00,851.00,859.00,-0.69,"31,418.00","27,009,306.00"
