,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,680.00","2,700.00","2,666.00","2,685.00",0.71,"3,983.00","10,673,699.00"
2,2,2021-06-30,"2,665.00","2,666.00","2,640.00","2,666.00",-0.52,"2,856.00","7,560,696.00"
3,3,2021-06-29,"2,719.00","2,760.00","2,667.00","2,680.00",0.53,"7,009.00","19,074,758.00"
4,4,2021-06-28,"2,639.00","2,706.00","2,600.00","2,666.00",2.78,"4,034.00","10,741,926.00"
5,5,2021-06-27,"2,649.00","2,666.00","2,590.00","2,594.00",-1.18,"4,515.00","11,802,756.00"
6,6,2021-06-24,"2,630.00","2,640.00","2,601.00","2,625.00",-0.94,"4,203.00","11,024,469.00"
7,7,2021-06-23,"2,689.00","2,695.00","2,635.00","2,650.00",-1.49,"5,184.00","13,768,710.00"
8,8,2021-06-22,"2,646.00","2,700.00","2,646.00","2,690.00",1.66,"6,098.00","16,292,982.00"
9,9,2021-06-21,"2,700.00","2,745.00","2,646.00","2,646.00",-2.00,"6,763.00","18,086,097.00"
10,10,2021-06-20,"2,782.00","2,790.00","2,695.00","2,700.00",-2.95,"6,966.00","18,950,371.00"
11,11,2021-06-17,"2,800.00","2,820.00","2,770.00","2,782.00",-0.18,"2,685.00","7,500,045.00"
12,12,2021-06-16,"2,593.00","2,900.00","2,593.00","2,787.00",2.13,"14,706.00","41,474,352.00"
13,13,2021-06-15,"2,750.00","2,775.00","2,725.00","2,729.00",-0.94,"6,250.00","17,128,133.00"
14,14,2021-06-14,"2,745.00","2,780.00","2,745.00","2,755.00",-0.72,"3,863.00","10,650,893.00"
15,15,2021-06-13,"2,800.00","2,825.00","2,751.00","2,775.00",-0.18,"6,461.00","17,949,233.00"
16,16,2021-06-10,"2,740.00","2,790.00","2,740.00","2,780.00",-0.22,"4,627.00","12,829,765.00"
17,17,2021-06-09,"2,849.00","2,849.00","2,769.00","2,786.00",-1.38,"3,447.00","9,628,097.00"
18,18,2021-06-08,"2,745.00","2,825.00","2,745.00","2,825.00",1.25,"9,302.00","26,031,215.00"
19,19,2021-06-07,"2,830.00","2,835.00","2,790.00","2,790.00",-1.48,"4,002.00","11,220,502.00"
20,20,2021-06-06,"2,880.00","2,883.00","2,810.00","2,832.00",0.18,"4,696.00","13,300,192.00"
21,21,2021-06-03,"2,799.00","2,860.00","2,780.00","2,827.00",1.87,"6,367.00","17,981,163.00"
22,22,2021-06-02,"2,741.00","2,780.00","2,741.00","2,775.00",1.02,"4,952.00","13,683,958.00"
23,23,2021-06-01,"2,790.00","2,790.00","2,731.00","2,747.00",-0.51,"4,832.00","13,270,053.00"
24,24,2021-05-31,"2,756.00","2,825.00","2,739.00","2,761.00",-1.18,"8,337.00","23,271,769.00"
25,25,2021-05-30,"2,785.00","2,840.00","2,761.00","2,794.00",0.32,"6,202.00","17,330,218.00"
26,26,2021-05-27,"2,727.00","2,876.00","2,680.00","2,785.00",-2.96,"29,918.00","83,035,635.00"
27,27,2021-05-25,"2,874.00","2,924.00","2,870.00","2,870.00",-0.69,"9,757.00","28,163,899.00"
28,28,2021-05-24,"2,903.00","2,960.00","2,890.00","2,890.00",-1.30,"16,300.00","47,350,965.00"
29,29,2021-05-23,"2,920.00","2,974.00","2,890.00","2,928.00",-0.64,"10,556.00","31,073,647.00"
30,30,2021-05-20,"2,945.00","3,000.00","2,945.00","2,947.00",-1.31,"4,363.00","12,909,124.00"
31,31,2021-05-19,"2,995.00","3,033.00","2,960.00","2,986.00",0.88,"17,811.00","53,305,664.00"
32,32,2021-05-18,"2,990.00","2,990.00","2,900.00","2,960.00",0.61,"13,124.00","38,592,447.00"
33,33,2021-05-17,"2,985.00","3,030.00","2,938.00","2,942.00",0.20,"4,935.00","14,653,927.00"
34,34,2021-05-16,"2,912.00","2,974.00","2,912.00","2,936.00",0.20,"8,079.00","23,816,925.00"
35,35,2021-05-13,"2,931.00","2,983.00","2,927.00","2,930.00",-0.34,"3,194.00","9,390,397.00"
