,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,193.00","1,209.00","1,176.00","1,199.00",0.67,"11,794.00","13,997,098.00"
2,2,2021-06-30,"1,215.00","1,215.00","1,181.00","1,191.00",-1.98,"7,256.00","8,641,862.00"
3,3,2021-06-29,"1,261.00","1,263.00","1,200.00","1,215.00",1.17,"21,767.00","26,794,655.00"
4,4,2021-06-28,"1,192.00","1,243.00","1,170.00","1,201.00",2.65,"22,624.00","27,358,707.00"
5,5,2021-06-27,"1,171.00","1,194.00","1,167.00","1,170.00",-0.09,"12,786.00","14,998,514.00"
6,6,2021-06-24,"1,167.00","1,190.00","1,166.00","1,171.00",-1.26,"13,663.00","16,067,592.00"
7,7,2021-06-23,"1,220.00","1,225.00","1,185.00","1,186.00",-2.39,"14,420.00","17,238,192.00"
8,8,2021-06-22,"1,220.00","1,224.00","1,200.00","1,215.00",1.25,"22,517.00","27,226,517.00"
9,9,2021-06-21,"1,231.00","1,250.00","1,187.00","1,200.00",-2.44,"34,629.00","41,754,144.00"
10,10,2021-06-20,"1,280.00","1,280.00","1,225.00","1,230.00",-2.61,"23,586.00","29,224,869.00"
11,11,2021-06-17,"1,311.00","1,330.00","1,260.00","1,263.00",-1.79,"22,833.00","29,206,350.00"
12,12,2021-06-16,"1,215.00","1,348.00","1,215.00","1,286.00",4.13,"79,879.00","103,888,645.00"
13,13,2021-06-15,"1,242.00","1,264.00","1,226.00","1,235.00",-0.80,"31,847.00","39,564,562.00"
14,14,2021-06-14,"1,257.00","1,265.00","1,244.00","1,245.00",-1.03,"33,269.00","41,712,115.00"
15,15,2021-06-13,"1,275.00","1,299.00","1,257.00","1,258.00",-1.18,"33,075.00","42,048,451.00"
16,16,2021-06-10,"1,250.00","1,285.00","1,250.00","1,273.00",1.03,"33,625.00","42,379,551.00"
17,17,2021-06-09,"1,290.00","1,290.00","1,260.00","1,260.00",-1.56,"26,156.00","33,310,422.00"
18,18,2021-06-08,"1,288.00","1,300.00","1,265.00","1,280.00",-0.47,"29,011.00","37,003,556.00"
19,19,2021-06-07,"1,265.00","1,300.00","1,265.00","1,286.00",-1.08,"28,295.00","36,419,473.00"
20,20,2021-06-06,"1,325.00","1,325.00","1,290.00","1,300.00",-0.99,"27,925.00","36,384,941.00"
21,21,2021-06-03,"1,375.00","1,375.00","1,312.00","1,313.00",0.23,"85,873.00","113,860,924.00"
22,22,2021-06-02,"1,332.00","1,332.00","1,295.00","1,310.00",1.08,"42,010.00","54,951,499.00"
