,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,824.00","2,824.00","2,660.00","2,675.00",-0.56,"7,494.00","20,168,285.00"
2,2,2021-06-30,"2,735.00","2,735.00","2,681.00","2,690.00",-2.00,"7,394.00","19,940,825.00"
3,3,2021-06-29,"2,773.00","2,820.00","2,735.00","2,745.00",0.92,"9,887.00","27,523,939.00"
4,4,2021-06-28,"2,670.00","2,739.00","2,670.00","2,720.00",1.99,"6,937.00","18,785,033.00"
5,5,2021-06-27,"2,665.00","2,718.00","2,631.00","2,667.00",-0.11,"6,358.00","16,932,743.00"
6,6,2021-06-24,"2,710.00","2,710.00","2,670.00","2,670.00",-1.48,"4,505.00","12,133,704.00"
7,7,2021-06-23,"2,795.00","2,795.00","2,700.00","2,710.00",-2.73,"6,941.00","18,892,074.00"
8,8,2021-06-22,"2,750.00","2,795.00","2,681.00","2,786.00",3.19,"7,981.00","21,724,976.00"
9,9,2021-06-21,"2,710.00","2,770.00","2,691.00","2,700.00",-1.42,"11,802.00","32,089,880.00"
10,10,2021-06-20,"2,775.00","2,840.00","2,702.00","2,739.00",-2.18,"13,299.00","36,595,390.00"
11,11,2021-06-17,"2,900.00","2,900.00","2,800.00","2,800.00",-1.75,"10,295.00","29,003,743.00"
12,12,2021-06-16,"2,669.00","3,000.00","2,669.00","2,850.00",1.46,"15,519.00","44,611,455.00"
13,13,2021-06-15,"2,840.00","2,840.00","2,796.00","2,809.00",-1.09,"14,035.00","39,422,415.00"
14,14,2021-06-14,"2,920.00","2,920.00","2,830.00","2,840.00",-2.74,"16,042.00","45,754,094.00"
15,15,2021-06-13,"3,129.00","3,191.00","2,825.00","2,920.00",-2.01,"49,838.00","146,502,093.00"
16,16,2021-06-10,"2,740.00","2,998.00","2,690.00","2,980.00",9.32,"40,200.00","116,331,545.00"
17,17,2021-06-09,"2,755.00","2,755.00","2,711.00","2,726.00",-1.16,"11,116.00","30,395,859.00"
18,18,2021-06-08,"2,793.00","2,793.00","2,700.00","2,758.00",0.66,"13,278.00","36,164,849.00"
19,19,2021-06-07,"2,850.00","2,850.00","2,720.00","2,740.00",-0.83,"5,685.00","15,600,699.00"
20,20,2021-06-06,"2,788.00","2,828.00","2,751.00","2,763.00",-0.90,"7,064.00","19,612,308.00"
21,21,2021-06-03,"2,770.00","2,816.00","2,750.00","2,788.00",1.20,"8,351.00","23,348,964.00"
22,22,2021-06-02,"2,710.00","2,760.00","2,710.00","2,755.00",0.73,"3,727.00","10,223,454.00"
23,23,2021-06-01,"2,715.00","2,754.00","2,705.00","2,735.00",1.30,"12,744.00","34,809,285.00"
24,24,2021-05-31,"2,760.00","2,778.00","2,697.00","2,700.00",-1.46,"10,371.00","28,258,037.00"
25,25,2021-05-30,"2,750.00","2,809.00","2,712.00","2,740.00",-0.15,"17,883.00","49,323,638.00"
26,26,2021-05-27,"2,700.00","2,800.00","2,646.00","2,744.00",-2.21,"18,734.00","51,150,203.00"
27,27,2021-05-25,"2,812.00","2,858.00","2,800.00","2,806.00",-0.21,"4,124.00","11,623,472.00"
28,28,2021-05-24,"2,973.00","2,973.00","2,807.00","2,812.00",-0.71,"5,348.00","15,145,026.00"
29,29,2021-05-23,"2,790.00","2,840.00","2,780.00","2,832.00",-0.46,"11,375.00","31,923,164.00"
30,30,2021-05-20,"2,870.00","2,899.00","2,833.00","2,845.00",-1.39,"6,795.00","19,362,383.00"
31,31,2021-05-19,"2,899.00","2,909.00","2,845.00","2,885.00",0.21,"7,842.00","22,543,179.00"
32,32,2021-05-18,"2,925.00","2,925.00","2,851.00","2,879.00",-0.03,"4,960.00","14,240,396.00"
33,33,2021-05-17,"2,910.00","2,925.00","2,870.00","2,880.00",-0.35,"4,350.00","12,550,965.00"
34,34,2021-05-16,"2,886.00","2,927.00","2,835.00","2,890.00",2.12,"8,535.00","24,695,064.00"
35,35,2021-05-13,"2,800.00","2,855.00","2,793.00","2,830.00",1.07,"9,548.00","26,888,030.00"
36,36,2021-05-12,"2,790.00","2,840.00","2,780.00","2,800.00",-1.20,"8,080.00","22,708,085.00"
37,37,2021-05-11,"2,859.00","2,899.00","2,822.00","2,834.00",0.85,"7,877.00","22,484,942.00"
38,38,2021-05-10,"2,730.00","2,822.00","2,730.00","2,810.00",2.63,"8,281.00","23,099,170.00"
39,39,2021-05-09,"2,779.00","2,798.00","2,647.00","2,738.00",0.11,"10,832.00","29,658,334.00"
40,40,2021-05-06,"2,780.00","2,785.00","2,730.00","2,735.00",-2.29,"14,756.00","40,666,794.00"
41,41,2021-05-05,"2,860.00","2,871.00","2,790.00","2,799.00",-2.13,"14,683.00","41,571,004.00"
42,42,2021-05-04,"2,820.00","2,905.00","2,766.00","2,860.00",2.99,"20,407.00","58,311,605.00"
43,43,2021-05-03,"2,554.00","2,856.00","2,554.00","2,777.00",3.31,"23,526.00","65,510,486.00"
44,44,2021-05-02,"2,639.00","2,700.00","2,593.00","2,688.00",1.63,"11,678.00","31,083,821.00"
45,45,2021-04-29,"2,665.00","2,665.00","2,575.00","2,645.00",0.19,"15,936.00","41,753,738.00"
46,46,2021-04-28,"2,700.00","2,730.00","2,544.00","2,640.00",-0.38,"19,339.00","51,249,327.00"
47,47,2021-04-27,"2,400.00","2,662.00","2,400.00","2,650.00",9.50,"30,166.00","76,882,557.00"
48,48,2021-04-26,"2,402.00","2,504.00","2,391.00","2,420.00",1.21,"40,049.00","97,672,821.00"
49,49,2021-04-25,"2,510.00","2,510.00","2,318.00","2,391.00",-4.89,"20,908.00","50,317,547.00"
50,50,2021-04-22,"2,460.00","2,552.00","2,450.00","2,514.00",2.40,"10,086.00","25,289,262.00"
51,51,2021-04-21,"2,501.00","2,545.00","2,455.00","2,455.00",-3.50,"15,343.00","38,292,439.00"
52,52,2021-04-20,"2,493.00","2,560.00","2,471.00","2,544.00",2.05,"10,625.00","26,949,539.00"
53,53,2021-04-19,"2,585.00","2,598.00","2,490.00","2,493.00",-1.66,"10,414.00","26,183,501.00"
54,54,2021-04-18,"2,502.00","2,600.00","2,490.00","2,535.00",1.36,"12,125.00","30,733,737.00"
55,55,2021-04-15,"2,508.00","2,551.00","2,461.00","2,501.00",-0.28,"9,537.00","23,944,994.00"
56,56,2021-04-13,"2,640.00","2,665.00","2,508.00","2,508.00",-4.27,"12,953.00","33,241,849.00"
57,57,2021-04-12,"2,492.00","2,680.00","2,426.00","2,620.00",7.20,"28,546.00","74,082,708.00"
58,58,2021-04-08,"2,260.00","2,450.00","2,260.00","2,444.00",9.60,"20,157.00","48,418,300.00"
59,59,2021-04-07,"2,201.00","2,259.00","2,183.00","2,230.00",1.64,"12,479.00","27,883,810.00"
60,60,2021-04-06,"2,120.00","2,195.00","2,106.00","2,194.00",2.14,"7,802.00","16,975,719.00"
61,61,2021-04-05,"2,145.00","2,187.00","2,115.00","2,148.00",0.14,"12,700.00","27,213,623.00"
62,62,2021-04-04,"2,150.00","2,185.00","2,110.00","2,145.00",0.23,"6,622.00","14,118,852.00"
63,63,2021-04-01,"2,150.00","2,150.00","2,120.00","2,140.00",-0.47,"7,265.00","15,479,882.00"
64,64,2021-03-31,"2,180.00","2,200.00","2,140.00","2,150.00",-0.88,"12,005.00","26,152,350.00"
65,65,2021-03-30,"2,100.00","2,179.00","2,100.00","2,169.00",3.83,"8,634.00","18,525,433.00"
66,66,2021-03-29,"2,132.00","2,132.00","2,049.00","2,089.00",1.06,"5,390.00","11,269,568.00"
67,67,2021-03-25,"2,123.00","2,131.00","2,061.00","2,067.00",-1.10,"7,207.00","15,114,071.00"
68,68,2021-03-24,"2,081.00","2,101.00","2,045.00","2,090.00",0.72,"9,169.00","19,159,403.00"
69,69,2021-03-23,"2,005.00","2,090.00","2,005.00","2,075.00",1.47,"8,879.00","18,276,261.00"
70,70,2021-03-22,"2,060.00","2,100.00","2,022.00","2,045.00",-2.62,"9,850.00","20,252,105.00"
71,71,2021-03-21,"2,068.00","2,135.00","2,000.00","2,100.00",6.60,"14,808.00","30,456,925.00"
72,72,2021-03-18,"1,915.00","1,975.00","1,914.00","1,970.00",1.91,"4,154.00","8,085,373.00"
73,73,2021-03-17,"1,989.00","1,989.00","1,870.00","1,933.00",2.01,"6,012.00","11,463,515.00"
74,74,2021-03-16,"1,855.00","1,922.00","1,855.00","1,895.00",2.21,"6,250.00","11,768,663.00"
75,75,2021-03-15,"1,839.00","1,874.00","1,826.00","1,854.00",0.22,"6,910.00","12,827,167.00"
76,76,2021-03-14,"1,890.00","1,890.00","1,832.00","1,850.00",-1.75,"6,425.00","11,898,799.00"
77,77,2021-03-10,"1,865.00","1,905.00","1,859.00","1,883.00",-0.63,"4,244.00","8,040,676.00"
78,78,2021-03-09,"1,900.00","1,927.00","1,876.00","1,895.00",-0.26,"6,797.00","12,908,598.00"
79,79,2021-03-07,"1,920.00","1,963.00","1,900.00","1,900.00",-1.91,"9,798.00","18,952,136.00"
80,80,2021-03-04,"1,900.00","1,980.00","1,897.00","1,937.00",2.60,"9,484.00","18,424,527.00"
81,81,2021-03-03,"1,898.00","1,935.00","1,885.00","1,888.00",-2.43,"6,944.00","13,234,755.00"
82,82,2021-03-02,"1,980.00","1,980.00","1,912.00","1,935.00",-0.82,"4,972.00","9,593,542.00"
83,83,2021-03-01,"1,882.00","1,980.00","1,880.00","1,951.00",1.72,"6,495.00","12,640,034.00"
84,84,2021-02-28,"1,980.00","1,980.00","1,911.00","1,918.00",-3.13,"8,410.00","16,248,578.00"
85,85,2021-02-25,"1,983.00","2,000.00","1,962.00","1,980.00",-1.83,"2,823.00","5,604,163.00"
86,86,2021-02-24,"2,040.00","2,080.00","1,936.00","2,017.00",0.85,"6,574.00","13,260,635.00"
87,87,2021-02-23,"1,941.00","2,000.00","1,899.00","2,000.00",1.01,"8,701.00","16,766,160.00"
88,88,2021-02-22,"1,965.00","2,003.00","1,942.00","1,980.00",-1.00,"6,026.00","11,851,423.00"
89,89,2021-02-21,"2,030.00","2,050.00","1,979.00","2,000.00",-1.23,"2,721.00","5,450,894.00"
90,90,2021-02-18,"2,010.00","2,050.00","2,000.00","2,025.00",-1.03,"7,361.00","14,820,506.00"
91,91,2021-02-17,"2,071.00","2,071.00","2,025.00","2,046.00",-3.03,"4,992.00","10,209,957.00"
92,92,2021-02-16,"2,150.00","2,235.00","2,032.00","2,110.00",-1.26,"9,341.00","19,480,818.00"
93,93,2021-02-15,"1,981.00","2,137.00","1,981.00","2,137.00",9.98,"12,194.00","25,452,912.00"
94,94,2021-02-14,"1,940.00","1,943.00","1,876.00","1,943.00",0.41,"10,179.00","19,344,362.00"
